workload	mode	raw_run_ref	source_log	stdout_sha256	stderr_sha256
GEMM	IO	/workspace/fast64-runs/fast64_4_gemm_io_cap8192_a1_v3	/workspace/fast64-runs/fast64_4_gemm_io_cap8192_a1_v3/simulator.stdout	7a1af9c52e6293520edbcb04e6b49c6c804d52054281528957311f3d6c05adfc	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
GEMM	OO	/workspace/fast64-runs/fast64_4_gemm_oo_cap8192_a1_v3	/workspace/fast64-runs/fast64_4_gemm_oo_cap8192_a1_v3/simulator.stdout	e280719fd1929d50e2cdd22527e7849e6f4959261d85115838a6137a27f9d2b6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2DConvolution	BASE	/workspace/fast64-stage3-tag-identity-repair-v2/fast64_3_2DConvolution_base_core6587238c_a1_v1	/workspace/fast64-stage3-tag-identity-repair-v2/fast64_3_2DConvolution_base_core6587238c_a1_v1/simulator.stdout	88ba0fd41f8d7160f8ee745917f0b4384ec653c7ea17a95ba4da36045f17fec5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2DConvolution	IO	/workspace/fast64-primary-r4-cap-recovery/fast64_4_2DConvolution_io_cap16384_core658_a1_v1	/workspace/fast64-primary-r4-cap-recovery/fast64_4_2DConvolution_io_cap16384_core658_a1_v1/simulator.stdout	6f85aec3eff2e701e2f992c3fba95558d4a4aeb29aa87490a7ec644b11355430	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2DConvolution	OO	/workspace/fast64-primary-r4-tag-identity-v2/fast64_4_primary_2DConvolution_oo_core6587238c_a1_v1	/workspace/fast64-primary-r4-tag-identity-v2/fast64_4_primary_2DConvolution_oo_core6587238c_a1_v1/simulator.stdout	6c6c2285dbb906854d2df956a1bb744860d8434ebb70ae2a3c77436b05d11123	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Btree	BASE	/workspace/fast64-repaired-ramp/fast64_btree_base_core95ccdb7a_a1_r1	/workspace/fast64-repaired-ramp/fast64_btree_base_core95ccdb7a_a1_r1/simulator.stdout	887bd9cbdf008abc318273196e77a1e874d95f8516f1d582998ec93d87e8a712	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Btree	IO	/workspace/fast64-repaired-ramp/fast64_btree_io_core95ccdb7a_a1_r1	/workspace/fast64-repaired-ramp/fast64_btree_io_core95ccdb7a_a1_r1/simulator.stdout	c574cb8565c9aed79c91ba95b051d3119c2b4bc1c41f1390de9c22cac7b9adc9	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Btree	OO	/workspace/fast64-repaired-ramp/fast64_btree_oo_core95ccdb7a_a1_r1	/workspace/fast64-repaired-ramp/fast64_btree_oo_core95ccdb7a_a1_r1/simulator.stdout	01f2d8d1215c26f13c337af4a3f9cac552769c41830126838e57dc4a65782ed9	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DWT2D	BASE	/workspace/fast64-runs/fast64_3_precomputed_dwt2d_base_cap8192_a1_r2	/workspace/fast64-runs/fast64_3_precomputed_dwt2d_base_cap8192_a1_r2/simulator.stdout	1fb004cbe294194c29cfa317c8776289488fc9a63f1afea6fff9b462dccf3af3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DWT2D	IO	/workspace/fast64-runs/fast64_4_dwt2d_io_cap8192_a1_v3	/workspace/fast64-runs/fast64_4_dwt2d_io_cap8192_a1_v3/simulator.stdout	fff2a0770802cf0b9f554c9e331314a9f145e34927e3b0927efc40266495af3e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DWT2D	OO	/workspace/fast64-runs/fast64_4_dwt2d_oo_cap8192_a1_v3	/workspace/fast64-runs/fast64_4_dwt2d_oo_cap8192_a1_v3/simulator.stdout	3cb415e2f97db386990d8d7d21cd43e3ffaee54ebe477b4211e5fa61b93c5f69	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Gaussian	BASE	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Gaussian_base_cap16384_core95_a1_v1	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Gaussian_base_cap16384_core95_a1_v1/simulator.stdout	b794eeaddaeeba8671141c7b2a763f1a84c931697c00e53acae0261d8796f98b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Gaussian	IO	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Gaussian_io_cap16384_core95_a1_v1	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Gaussian_io_cap16384_core95_a1_v1/simulator.stdout	4e85aaae7bca07b05f6a9bb4b78eb78252b0cfef84ac6046969e6febc15f5407	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Gaussian	OO	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Gaussian_oo_cap16384_core95_a1_v1	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Gaussian_oo_cap16384_core95_a1_v1/simulator.stdout	a835837f0114acccc61c07e1a241f9a79aa776a4b2ed6539ed693ef3c66d34cc	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Hotspot1	BASE	/workspace/fast64-repair-formal/fast64_hotspot1_base_core95ccdb7a_a1_v1	/workspace/fast64-repair-formal/fast64_hotspot1_base_core95ccdb7a_a1_v1/simulator.stdout	74670a02ef22cee03ba2d42b16f0ece327e23b77414c65aa470c8a39b2fabcf4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Hotspot1	IO	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Hotspot1_io_cap32768_core95_a1_v1	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Hotspot1_io_cap32768_core95_a1_v1/simulator.stdout	c90bb3346dd905fa211f38beba52bbd4d85c58cff90947a14bbc5242ad63a12b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Hotspot1	OO	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Hotspot1_oo_cap32768_core95_a1_v1	/workspace/fast64-primary-r4-cap-recovery/fast64_4_Hotspot1_oo_cap32768_core95_a1_v1/simulator.stdout	6fb016812a87bf98474ba127b9545ef943dfcfc232b97a9fc23de0b69d758322	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
LUD	BASE	/workspace/fast64-primary-r4-cap-recovery/fast64_4_LUD_base_cap16384_core95_a1_v1	/workspace/fast64-primary-r4-cap-recovery/fast64_4_LUD_base_cap16384_core95_a1_v1/simulator.stdout	0a44e692398f3c49f40f2be0dbbd8856ec54de1f1150479a4e17887e76037af9	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
LUD	IO	/workspace/fast64-primary-r4-cap-recovery/fast64_4_LUD_io_cap16384_core95_a1_v1	/workspace/fast64-primary-r4-cap-recovery/fast64_4_LUD_io_cap16384_core95_a1_v1/simulator.stdout	8f3b56acc7004a482aec624c90411cac98bdb51326c58e3d5e561d7535241589	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
LUD	OO	/workspace/fast64-primary-r4-cap-recovery/fast64_4_LUD_oo_cap16384_core95_a1_v1	/workspace/fast64-primary-r4-cap-recovery/fast64_4_LUD_oo_cap16384_core95_a1_v1/simulator.stdout	5dc714fa523d12b98ad4baac8be740d4624bd56ef0a6c3b5dec4964a6cce605c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
NN	BASE	/workspace/fast64-repaired-ramp3/fast64_3_nn_base_core95ccdb7a_a1_v1	/workspace/fast64-repaired-ramp3/fast64_3_nn_base_core95ccdb7a_a1_v1/simulator.stdout	1fe386053fe3e92315cc5242172acf99091c3807d782dc9c79a5f2f97fb9871a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
NN	IO	/workspace/fast64-primary-r4/fast64_4_primary_nn_io_core95ccdb7a_a1_v1	/workspace/fast64-primary-r4/fast64_4_primary_nn_io_core95ccdb7a_a1_v1/simulator.stdout	d5359e2f1db90e7e84d7043d08d2f959639aab04b474061bda86904fa6a60c84	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
NN	OO	/workspace/fast64-primary-r4/fast64_4_primary_nn_oo_core95ccdb7a_a1_v1	/workspace/fast64-primary-r4/fast64_4_primary_nn_oo_core95ccdb7a_a1_v1/simulator.stdout	92aa7483c8cfc387e4d554f856af50055c519621735b616728dcc55fd12a9835	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
MRI-Q	BASE	/workspace/fast64-repaired-ramp/fast64_mriq_base_core95ccdb7a_a1_r1	/workspace/fast64-repaired-ramp/fast64_mriq_base_core95ccdb7a_a1_r1/simulator.stdout	b6abf4ebf0931e351feddeb6e468c17ae6f970891c35024d863ee31c30770deb	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
MRI-Q	IO	/workspace/fast64-repaired-ramp/fast64_mriq_io_core95ccdb7a_a1_r1	/workspace/fast64-repaired-ramp/fast64_mriq_io_core95ccdb7a_a1_r1/simulator.stdout	8d03b268b1be7ec127216e43941fca545c8a2fded5399c48da088d9ada1934db	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
MRI-Q	OO	/workspace/fast64-repaired-ramp/fast64_mriq_oo_core95ccdb7a_a1_r1	/workspace/fast64-repaired-ramp/fast64_mriq_oo_core95ccdb7a_a1_r1/simulator.stdout	b03a016a538fe3f4b5e12dbfc9c5f1f83ff0f02439f7ba5f0e39b0a011c6351f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
