phase	decode_step	layer_id	before_allocated	before_reserved	peak_allocated	peak_reserved	post_release_allocated	post_release_reserved
DECODE	2	22	21352960	1981808640	1272893952	1981808640	21359616	1981808640
DECODE	2	23	21355008	1981808640	1272896000	1981808640	21361664	1981808640
DECODE	2	24	21357056	1981808640	1272898048	1981808640	21363712	1981808640
DECODE	2	25	21359104	1981808640	1272900096	1981808640	21365760	1981808640
DECODE	2	26	21361152	1981808640	1272902144	1981808640	21367808	1981808640
DECODE	2	27	21363200	1981808640	1272904192	1981808640	21369856	1981808640
DECODE	2	28	21365248	1981808640	1272906240	1981808640	21371904	1981808640
DECODE	2	29	21367296	1981808640	1272908288	1981808640	21373952	1981808640
DECODE	2	30	21369344	1981808640	1272910336	1981808640	21376000	1981808640
DECODE	2	31	21371392	1981808640	1272912384	1981808640	21378048	1981808640
DECODE	2	32	21373440	1981808640	1272914432	1981808640	21380096	1981808640
DECODE	2	33	21375488	1981808640	1272916480	1981808640	21382144	1981808640
DECODE	2	34	21377536	1981808640	1272918528	1981808640	21384192	1981808640
DECODE	2	35	21379584	1981808640	1272920576	1981808640	21386240	1981808640
DECODE	2	36	21381632	1981808640	1272922624	1981808640	21388288	1981808640
DECODE	2	37	21383680	1981808640	1272924672	1981808640	21390336	1981808640
DECODE	2	38	21385728	1981808640	1272926720	1981808640	21392384	1981808640
DECODE	2	39	21387776	1981808640	1272928768	1981808640	21394432	1981808640
DECODE	2	40	21389824	1981808640	1272930816	1981808640	21396480	1981808640
DECODE	2	41	21391872	1981808640	1272932864	1981808640	21398528	1981808640
DECODE	2	42	21393920	1981808640	1272934912	1981808640	21400576	1981808640
DECODE	2	43	21395968	1981808640	1272936960	1981808640	21402624	1981808640
DECODE	2	44	21398016	1981808640	1272939008	1981808640	21404672	1981808640
DECODE	2	45	21400064	1981808640	1272941056	1981808640	21406720	1981808640
DECODE	2	46	21402112	1981808640	1272943104	1981808640	21408768	1981808640
DECODE	2	47	21404160	1981808640	1272945152	1981808640	21410816	1981808640
DECODE	3	0	21405696	1981808640	1272946688	1981808640	21412352	1981808640
DECODE	3	1	21408256	1981808640	1272949248	1981808640	21414912	1981808640
DECODE	3	2	21410304	1981808640	1272951296	1981808640	21416960	1981808640
DECODE	3	3	21412352	1981808640	1272953344	1981808640	21419008	1981808640
DECODE	3	4	21414400	1981808640	1272955392	1981808640	21421056	1981808640
DECODE	3	5	21416448	1981808640	1272957440	1981808640	21423104	1981808640
DECODE	3	6	21418496	1981808640	1272959488	1981808640	21425152	1981808640
DECODE	3	7	21420544	1981808640	1272961536	1981808640	21427200	1981808640
DECODE	3	8	21422592	1981808640	1272963584	1981808640	21429248	1981808640
DECODE	3	9	21424640	1981808640	1272965632	1981808640	21431296	1981808640
DECODE	3	10	21426688	1981808640	1272967680	1981808640	21433344	1981808640
DECODE	3	11	21428736	1981808640	1272969728	1981808640	21435392	1981808640
DECODE	3	12	21430784	1981808640	1272971776	1981808640	21437440	1981808640
DECODE	3	13	21432832	1981808640	1272973824	1981808640	21439488	1981808640
DECODE	3	14	21434880	1981808640	1272975872	1981808640	21441536	1981808640
DECODE	3	15	21436928	1981808640	1272977920	1981808640	21443584	1981808640
DECODE	3	16	21438976	1981808640	1272979968	1981808640	21445632	1981808640
DECODE	3	17	21441024	1981808640	1272982016	1981808640	21447680	1981808640
DECODE	3	18	21443072	1981808640	1272984064	1981808640	21449728	1981808640
DECODE	3	19	21445120	1981808640	1272986112	1981808640	21451776	1981808640
DECODE	3	20	21447168	1981808640	1272988160	1981808640	21453824	1981808640
DECODE	3	21	21449216	1981808640	1272990208	1981808640	21455872	1981808640
DECODE	3	22	21451264	1981808640	1272992256	1981808640	21457920	1981808640
DECODE	3	23	21453312	1981808640	1272994304	1981808640	21459968	1981808640
DECODE	3	24	21455360	1981808640	1272996352	1981808640	21462016	1981808640
DECODE	3	25	21457408	1981808640	1272998400	1981808640	21464064	1981808640
DECODE	3	26	21459456	1981808640	1273000448	1981808640	21466112	1981808640
DECODE	3	27	21461504	1981808640	1273002496	1981808640	21468160	1981808640
DECODE	3	28	21463552	1981808640	1273004544	1981808640	21470208	1981808640
DECODE	3	29	21465600	1981808640	1273006592	1981808640	21472256	1981808640
DECODE	3	30	21467648	1981808640	1273008640	1981808640	21474304	1981808640
DECODE	3	31	21469696	1981808640	1273010688	1981808640	21476352	1981808640
DECODE	3	32	21471744	1981808640	1273012736	1981808640	21478400	1981808640
DECODE	3	33	21473792	1981808640	1273014784	1981808640	21480448	1981808640
DECODE	3	34	21475840	1981808640	1273016832	1981808640	21482496	1981808640
DECODE	3	35	21477888	1981808640	1273018880	1981808640	21484544	1981808640
DECODE	3	36	21479936	1981808640	1273020928	1981808640	21486592	1981808640
DECODE	3	37	21481984	1981808640	1273022976	1981808640	21488640	1981808640
DECODE	3	38	21484032	1981808640	1273025024	1981808640	21490688	1981808640
DECODE	3	39	21486080	1981808640	1273027072	1981808640	21492736	1981808640
DECODE	3	40	21488128	1981808640	1273029120	1981808640	21494784	1981808640
DECODE	3	41	21490176	1981808640	1273031168	1981808640	21496832	1981808640
DECODE	3	42	21492224	1981808640	1273033216	1981808640	21498880	1981808640
DECODE	3	43	21494272	1981808640	1273035264	1981808640	21500928	1981808640
DECODE	3	44	21496320	1981808640	1273037312	1981808640	21502976	1981808640
DECODE	3	45	21498368	1981808640	1273039360	1981808640	21505024	1981808640
DECODE	3	46	21500416	1981808640	1273041408	1981808640	21507072	1981808640
DECODE	3	47	21502464	1981808640	1273043456	1981808640	21509120	1981808640
