workload	mode	lower_created	duplicate_after_eviction	duplicate_share_of_lower	duplicate_traffic_inflation	duplicate_payload_bytes	payload_scope	evidence_source	evidence_class	ratio_formula
Btree	IO	507779	8	0.000015754885	0.000015755134	1024	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_C_accepted_IO	ACCEPTED_FAST64_EVIDENCE	D/L; payload inflation D/(L-D)
Btree	OO	502450	57	0.000113444124	0.000113456995	7296	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_D_qualified_observer	NEW_DIAGNOSTIC_TELEMETRY	D/L; payload inflation D/(L-D)
DWT2D	IO	232115	1520	0.006548478125	0.006591643357	194560	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_C_accepted_IO	ACCEPTED_FAST64_EVIDENCE	D/L; payload inflation D/(L-D)
DWT2D	OO	232015	1537	0.006624571687	0.006668749295	196736	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_D_qualified_observer	NEW_DIAGNOSTIC_TELEMETRY	D/L; payload inflation D/(L-D)
Gaussian	IO	1422278	713979	0.501996796688	1.008019212225	91389312	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_C_accepted_IO	ACCEPTED_FAST64_EVIDENCE	D/L; payload inflation D/(L-D)
Gaussian	OO	1435914	727497	0.506643851930	1.026933289291	93119616	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_D_qualified_observer	NEW_DIAGNOSTIC_TELEMETRY	D/L; payload inflation D/(L-D)
Hotspot1	IO	351857	4567	0.012979704823	0.013150393043	584576	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_C_accepted_IO	ACCEPTED_FAST64_EVIDENCE	D/L; payload inflation D/(L-D)
Hotspot1	OO	351837	4546	0.012920755918	0.013089887155	581888	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_D_qualified_observer	NEW_DIAGNOSTIC_TELEMETRY	D/L; payload inflation D/(L-D)
LUD	IO	517232	31436	0.060777368763	0.064710289916	4023808	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_C_accepted_IO	ACCEPTED_FAST64_EVIDENCE	D/L; payload inflation D/(L-D)
LUD	OO	518472	25129	0.048467419649	0.050936164089	3216512	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_D_qualified_observer	NEW_DIAGNOSTIC_TELEMETRY	D/L; payload inflation D/(L-D)
MRI-Q	IO	15517	0	0.000000000000	0.000000000000	0	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_C_accepted_IO	ACCEPTED_FAST64_EVIDENCE	D/L; payload inflation D/(L-D)
MRI-Q	OO	15516	0	0.000000000000	0.000000000000	0	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_D_qualified_observer	NEW_DIAGNOSTIC_TELEMETRY	D/L; payload inflation D/(L-D)
NN	IO	2673	0	0.000000000000	0.000000000000	0	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_C_accepted_IO	ACCEPTED_FAST64_EVIDENCE	D/L; payload inflation D/(L-D)
NN	OO	2673	0	0.000000000000	0.000000000000	0	SOURCE_PROVEN_128B_LOWER_REQUEST_PAYLOAD_ONLY_NOT_DRAM_OR_TOTAL_LINK_TRAFFIC	Lane_D_qualified_observer	NEW_DIAGNOSTIC_TELEMETRY	D/L; payload inflation D/(L-D)
