control_id	identity	metric	estimate	exact	absolute_error	status	scope
FULL_CENSUS_N_EQUALS_n	decode1:F7:20	vm_l1_tlb_misses	7950153	7950153	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F7:5	gpu_sim_cycle	33959029	33959029	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F7:5	vm_l1_tlb_accesses	68021271	68021271	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F7:5	vm_l1_tlb_misses	27857	27857	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F8:10	gpu_sim_cycle	34432059	34432059	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F8:10	vm_l1_tlb_accesses	76029888	76029888	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F8:10	vm_l1_tlb_misses	8081592	8081592	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F8:20	gpu_sim_cycle	36035731	36035731	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F8:20	vm_l1_tlb_accesses	75823163	75823163	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F8:20	vm_l1_tlb_misses	7950153	7950153	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F8:5	gpu_sim_cycle	33959029	33959029	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F8:5	vm_l1_tlb_accesses	68021271	68021271	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F8:5	vm_l1_tlb_misses	27857	27857	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F9:NONE	gpu_sim_cycle	34564626	34564626	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F9:NONE	vm_l1_tlb_accesses	76015393	76015393	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	decode1:F9:NONE	vm_l1_tlb_misses	57947	57947	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F0:NONE	gpu_sim_cycle	62490238	62490238	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F0:NONE	vm_l1_tlb_accesses	94168155	94168155	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F0:NONE	vm_l1_tlb_misses	1119527	1119527	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F1:NONE	gpu_sim_cycle	63758501	63758501	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F1:NONE	vm_l1_tlb_accesses	94274247	94274247	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F1:NONE	vm_l1_tlb_misses	1119927	1119927	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F2:NONE	gpu_sim_cycle	63302886	63302886	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F2:NONE	vm_l1_tlb_accesses	94244002	94244002	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F2:NONE	vm_l1_tlb_misses	1120375	1120375	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F5:NONE	gpu_sim_cycle	63223313	63223313	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F5:NONE	vm_l1_tlb_accesses	94242902	94242902	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F5:NONE	vm_l1_tlb_misses	1120099	1120099	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F7:10	gpu_sim_cycle	63370888	63370888	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F7:10	vm_l1_tlb_accesses	94315107	94315107	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F7:10	vm_l1_tlb_misses	49106086	49106086	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F7:20	gpu_sim_cycle	76131192	76131192	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F7:20	vm_l1_tlb_accesses	94034510	94034510	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F7:20	vm_l1_tlb_misses	48940078	48940078	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F7:5	gpu_sim_cycle	59834219	59834219	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F7:5	vm_l1_tlb_accesses	46569954	46569954	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F7:5	vm_l1_tlb_misses	1014137	1014137	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F8:10	gpu_sim_cycle	63375503	63375503	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F8:10	vm_l1_tlb_accesses	94311192	94311192	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F8:10	vm_l1_tlb_misses	49104893	49104893	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F8:20	gpu_sim_cycle	76144277	76144277	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F8:20	vm_l1_tlb_accesses	94035629	94035629	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F8:20	vm_l1_tlb_misses	48940148	48940148	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F8:5	gpu_sim_cycle	59817355	59817355	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F8:5	vm_l1_tlb_accesses	46585486	46585486	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F8:5	vm_l1_tlb_misses	1014302	1014302	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F9:NONE	gpu_sim_cycle	63252745	63252745	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F9:NONE	vm_l1_tlb_accesses	94240399	94240399	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
FULL_CENSUS_N_EQUALS_n	prefill:F9:NONE	vm_l1_tlb_misses	1120458	1120458	0	PASS	RETROSPECTIVE_ORACLE_CALIBRATION
