universe_id	deployment_id	scenario_id	phase	stratum_id	N_s	certainty_units	operator_class	implementation_key	shape_bucket	dtype_key	split_role	source_cohort	evidence_tier
c16_qwen25_05b_native_reference|S1|DECODE	c16_qwen25_05b_native_reference	S1	DECODE	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	82575	0	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM	R2_P2_5xP2_2	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_qwen25_05b_native_reference|S1|FULL_FORWARD_UNATTRIBUTED	c16_qwen25_05b_native_reference	S1	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	1	5	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM	R2_P2_5xP2_2	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_qwen25_05b_native_reference|S1|PREFILL	c16_qwen25_05b_native_reference	S1	PREFILL	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_2|float16	5015	0	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM	R2_P2_5xP2_2	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_qwen25_05b_native_reference|S2|DECODE	c16_qwen25_05b_native_reference	S2	DECODE	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_1|float16	170655	0	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM	R2_P2_5xP2_1	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_qwen25_05b_native_reference|S2|FULL_FORWARD_UNATTRIBUTED	c16_qwen25_05b_native_reference	S2	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_1|float16	1654	5	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM	R2_P2_5xP2_1	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_qwen25_05b_native_reference|S2|PREFILL	c16_qwen25_05b_native_reference	S2	PREFILL	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM|R2_P2_5xP2_1|float16	3246	0	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM	R2_P2_5xP2_1	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_qwen25_05b_native_reference|S3|DECODE	c16_qwen25_05b_native_reference	S3	DECODE	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_7xP2_2|float16	82575	0	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM_EAGER	R2_P2_7xP2_2	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_qwen25_05b_native_reference|S3|FULL_FORWARD_UNATTRIBUTED	c16_qwen25_05b_native_reference	S3	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_7xP2_2|float16	4055	5	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM_EAGER	R2_P2_7xP2_2	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_qwen25_05b_native_reference|S3|PREFILL	c16_qwen25_05b_native_reference	S3	PREFILL	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_7xP2_2|float16	825	20	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM_EAGER	R2_P2_7xP2_2	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_qwen25_05b_native_reference|S4|DECODE	c16_qwen25_05b_native_reference	S4	DECODE	DECODE|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	80775	0	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM_EAGER	R2_P2_5xP2_2	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_qwen25_05b_native_reference|S4|FULL_FORWARD_UNATTRIBUTED	c16_qwen25_05b_native_reference	S4	FULL_FORWARD_UNATTRIBUTED	FULL_FORWARD_UNATTRIBUTED|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	3537	5	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM_EAGER	R2_P2_5xP2_2	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
c16_qwen25_05b_native_reference|S4|PREFILL	c16_qwen25_05b_native_reference	S4	PREFILL	PREFILL|UNKNOWN_OPERATOR|TRANSFORMERS_CAUSAL_LM_EAGER|R2_P2_5xP2_2|float16	1363	0	UNKNOWN_OPERATOR	TRANSFORMERS_CAUSAL_LM_EAGER	R2_P2_5xP2_2	float16	TUNING	TRAIN_TUNE	NATIVE_PROFILED
