tensor_name	shard	size	dtype	shape	component_class	layer_id	expert_id	semantic_role
model.layers.0.mlp.experts.113.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	113	weight
model.layers.0.mlp.experts.113.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	113	weight
model.layers.0.mlp.experts.113.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	113	weight
model.layers.0.mlp.experts.114.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	114	weight
model.layers.0.mlp.experts.114.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	114	weight
model.layers.0.mlp.experts.114.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	114	weight
model.layers.0.mlp.experts.115.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	115	weight
model.layers.0.mlp.experts.115.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	115	weight
model.layers.0.mlp.experts.115.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	115	weight
model.layers.0.mlp.experts.116.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	116	weight
model.layers.0.mlp.experts.116.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	116	weight
model.layers.0.mlp.experts.116.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	116	weight
model.layers.0.mlp.experts.117.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	117	weight
model.layers.0.mlp.experts.117.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	117	weight
model.layers.0.mlp.experts.117.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	117	weight
model.layers.0.mlp.experts.118.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	118	weight
model.layers.0.mlp.experts.118.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	118	weight
model.layers.0.mlp.experts.118.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	118	weight
model.layers.0.mlp.experts.119.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	119	weight
model.layers.0.mlp.experts.119.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	119	weight
model.layers.0.mlp.experts.119.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	119	weight
model.layers.0.mlp.experts.12.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	12	weight
model.layers.0.mlp.experts.12.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	12	weight
model.layers.0.mlp.experts.12.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	12	weight
model.layers.0.mlp.experts.120.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	120	weight
model.layers.0.mlp.experts.120.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	120	weight
model.layers.0.mlp.experts.120.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	120	weight
model.layers.0.mlp.experts.121.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	121	weight
model.layers.0.mlp.experts.121.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	121	weight
model.layers.0.mlp.experts.121.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	121	weight
model.layers.0.mlp.experts.122.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	122	weight
model.layers.0.mlp.experts.122.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	122	weight
model.layers.0.mlp.experts.122.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	122	weight
model.layers.0.mlp.experts.123.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	123	weight
model.layers.0.mlp.experts.123.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	123	weight
model.layers.0.mlp.experts.123.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	123	weight
model.layers.0.mlp.experts.124.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	124	weight
model.layers.0.mlp.experts.124.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	124	weight
model.layers.0.mlp.experts.124.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	124	weight
model.layers.0.mlp.experts.125.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	125	weight
model.layers.0.mlp.experts.125.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	125	weight
model.layers.0.mlp.experts.125.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	125	weight
model.layers.0.mlp.experts.126.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	126	weight
model.layers.0.mlp.experts.126.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	126	weight
model.layers.0.mlp.experts.126.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	126	weight
model.layers.0.mlp.experts.127.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	127	weight
model.layers.0.mlp.experts.127.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	127	weight
model.layers.0.mlp.experts.127.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	127	weight
model.layers.0.mlp.experts.13.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	13	weight
model.layers.0.mlp.experts.13.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	13	weight
model.layers.0.mlp.experts.13.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	13	weight
model.layers.0.mlp.experts.14.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	14	weight
model.layers.0.mlp.experts.14.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	14	weight
model.layers.0.mlp.experts.14.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	14	weight
model.layers.0.mlp.experts.15.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	15	weight
model.layers.0.mlp.experts.15.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	15	weight
model.layers.0.mlp.experts.15.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	15	weight
model.layers.0.mlp.experts.16.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	16	weight
model.layers.0.mlp.experts.16.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	16	weight
model.layers.0.mlp.experts.16.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	16	weight
model.layers.0.mlp.experts.17.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	17	weight
model.layers.0.mlp.experts.17.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	17	weight
model.layers.0.mlp.experts.17.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	17	weight
model.layers.0.mlp.experts.18.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	18	weight
model.layers.0.mlp.experts.18.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	18	weight
model.layers.0.mlp.experts.18.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	18	weight
model.layers.0.mlp.experts.19.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	19	weight
model.layers.0.mlp.experts.19.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	19	weight
model.layers.0.mlp.experts.19.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	19	weight
model.layers.0.mlp.experts.2.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	2	weight
model.layers.0.mlp.experts.2.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	2	weight
model.layers.0.mlp.experts.2.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	2	weight
model.layers.0.mlp.experts.20.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	20	weight
model.layers.0.mlp.experts.20.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	20	weight
model.layers.0.mlp.experts.20.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	20	weight
model.layers.0.mlp.experts.21.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	21	weight
model.layers.0.mlp.experts.21.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	21	weight
model.layers.0.mlp.experts.21.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	21	weight
model.layers.0.mlp.experts.22.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	22	weight
model.layers.0.mlp.experts.22.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	22	weight
model.layers.0.mlp.experts.22.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	22	weight
model.layers.0.mlp.experts.23.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	23	weight
model.layers.0.mlp.experts.23.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	23	weight
model.layers.0.mlp.experts.23.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	23	weight
model.layers.0.mlp.experts.24.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	24	weight
model.layers.0.mlp.experts.24.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	24	weight
model.layers.0.mlp.experts.24.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	24	weight
model.layers.0.mlp.experts.25.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	25	weight
model.layers.0.mlp.experts.25.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	25	weight
model.layers.0.mlp.experts.25.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	25	weight
model.layers.0.mlp.experts.26.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	26	weight
model.layers.0.mlp.experts.26.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	26	weight
model.layers.0.mlp.experts.26.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	26	weight
model.layers.0.mlp.experts.27.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	27	weight
model.layers.0.mlp.experts.27.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	27	weight
model.layers.0.mlp.experts.27.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	27	weight
model.layers.0.mlp.experts.28.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	28	weight
model.layers.0.mlp.experts.28.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	28	weight
model.layers.0.mlp.experts.28.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	28	weight
model.layers.0.mlp.experts.29.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	29	weight
model.layers.0.mlp.experts.29.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	29	weight
model.layers.0.mlp.experts.29.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	29	weight
model.layers.0.mlp.experts.3.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	3	weight
model.layers.0.mlp.experts.3.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	3	weight
model.layers.0.mlp.experts.3.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	3	weight
model.layers.0.mlp.experts.30.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	30	weight
model.layers.0.mlp.experts.30.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	30	weight
model.layers.0.mlp.experts.30.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	30	weight
model.layers.0.mlp.experts.31.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	31	weight
model.layers.0.mlp.experts.31.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	31	weight
model.layers.0.mlp.experts.31.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	31	weight
model.layers.0.mlp.experts.32.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	32	weight
model.layers.0.mlp.experts.32.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	32	weight
model.layers.0.mlp.experts.32.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	32	weight
model.layers.0.mlp.experts.33.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	33	weight
model.layers.0.mlp.experts.33.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	33	weight
model.layers.0.mlp.experts.33.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	33	weight
model.layers.0.mlp.experts.34.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	34	weight
model.layers.0.mlp.experts.34.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	34	weight
model.layers.0.mlp.experts.34.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	34	weight
model.layers.0.mlp.experts.35.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	35	weight
model.layers.0.mlp.experts.35.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	35	weight
model.layers.0.mlp.experts.35.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	35	weight
model.layers.0.mlp.experts.36.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	36	weight
model.layers.0.mlp.experts.36.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	36	weight
model.layers.0.mlp.experts.36.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	36	weight
model.layers.0.mlp.experts.37.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	37	weight
model.layers.0.mlp.experts.37.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	37	weight
model.layers.0.mlp.experts.37.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	37	weight
model.layers.0.mlp.experts.38.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	38	weight
model.layers.0.mlp.experts.38.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	38	weight
model.layers.0.mlp.experts.38.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	38	weight
model.layers.0.mlp.experts.39.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	39	weight
model.layers.0.mlp.experts.39.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	39	weight
model.layers.0.mlp.experts.39.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	39	weight
model.layers.0.mlp.experts.4.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	4	weight
model.layers.0.mlp.experts.4.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	4	weight
model.layers.0.mlp.experts.4.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	4	weight
model.layers.0.mlp.experts.40.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	40	weight
model.layers.0.mlp.experts.40.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	40	weight
model.layers.0.mlp.experts.40.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	40	weight
model.layers.0.mlp.experts.41.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	41	weight
model.layers.0.mlp.experts.41.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	41	weight
model.layers.0.mlp.experts.41.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	41	weight
model.layers.0.mlp.experts.42.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	42	weight
model.layers.0.mlp.experts.42.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	42	weight
model.layers.0.mlp.experts.42.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	42	weight
model.layers.0.mlp.experts.43.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	43	weight
model.layers.0.mlp.experts.43.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	43	weight
model.layers.0.mlp.experts.43.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	43	weight
model.layers.0.mlp.experts.44.down_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[2048,768]	EXPERT	0	44	weight
model.layers.0.mlp.experts.44.gate_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	44	weight
model.layers.0.mlp.experts.44.up_proj.weight	model-00001-of-00016.safetensors	3145728	BF16	[768,2048]	EXPERT	0	44	weight
