stage_id	owner	tier	prerequisites	work	validation_tests	pass_condition	required_artifacts	failure_action
C15-2.5	B	T1	C15-2.4	storage/generation寿命V2	T09,T01	别名/复用/异步测试通过;真实未知不强分类	OBJECT_LIFETIME_V2.tsv;OBJECT_ATTRIBUTION_COVERAGE.tsv;LOGITS_POLICY_AUDIT.md	不明寿命标AMBIGUOUS_LIFETIME
C15-2.6	B	T1	C15-2.3;C15-2.4	最多3部署8轻量scenario	T07,T08,T20,T24	逐scenario身份和开销通过;无笛卡尔积扩张	SCENARIO_REGISTRY.tsv;KERNEL_CATALOG.tsv	到预算停止动态;继续离线
C15-2.7	B	PUBLISH	C15-2.4;C15-2.5	提前发布可消费目录	T01,T21,T23	native/history/header来源分离;manifest完整	PUBLISH_MANIFEST.json;LATEST_REPORT.md	无native时能力受限发布
C15-3.1	C	T0_T1	C15-0.4	feature成本可观测性清单	T01,T12,T14	cheap和oracle输入隔离;单位范围完整	FEATURE_COST_AND_SCOPE.tsv	缺feature留空;不伪装低成本
C15-3.2	C	SELECTOR	C15-3.1	三策略分层选样与覆盖	T14,T15,T21	确定性;无候选结果泄漏;represented/sampled分开	SAMPLE_PLAN.tsv;SAMPLING_COVERAGE.tsv;SELECTOR_RELEASE.json	不满足覆盖标INFEASIBLE
C15-3.3	C	PROTOCOL	C15-3.2	seed/split/误差目标预冻结	T14,T18	候选delta突变不改plan;历史数据标retrospective	SAMPLING_VALIDATION_PROTOCOL.json;SPLIT_MANIFEST.tsv	污染测试集后升级版本并重新标seen
C15-3.4	B	T2_PLAN	C15-2.4	固定语义上下文选区计划	T10,T14,T15	使用C发布版或规定bootstrap;无target双计	SAMPLE_PLAN.tsv;CAPTURE_PREFLIGHT.tsv	缺依赖先2-4个bootstrap或dry-run
C15-3.5	B	T2_CANARY	C15-3.4	实际tracer过滤与身份canary	T10,T11,T21,T24	选内有选外无;第二次身份核验;未超预算	CAPTURE_CANARY_RECEIPT.json;TRACE_INPUT_RECEIPTS.tsv	wrong selection隔离;partial不能PASS
C15-3.6	B	T2	C15-3.5	预算内选择性捕获	T10,T11,T20,T21,T24	每窗口terminal和hash闭合;不新增full trace	CAPTURE_MANIFEST.tsv;CAPTURE_STATUS.tsv	超时/超字节保留partial并继续其他可行项
C15-3.7	C	T2_ANALYSIS	C15-0.4;C15-3.1	页行双尺度解析与sketch	T06,T11,T12,T13,T21	精确/估计区分;顺序边界测试通过;不全扫大trace	FINGERPRINTS.tsv;FINGERPRINT_VALIDATION.tsv	大集合有界估计;无顺序不报真实MRC
C15-3.8	C	SCREENING	C15-3.2;C15-3.7	新颖性与审核窗口规则	T18,T22	相似不等于机制等价;新颖点理由可审	NOVELTY_AND_UPGRADE.tsv	无新模型保留DYNAMIC_PENDING
C15-4.1	C	HISTORICAL_VALIDATION	C15-0.4	全量无采样adapter守恒control	T16,T17	所有可加值回同源总量;缺失重复fail-fast	ZERO_SAMPLING_CONSERVATION.tsv	不通过禁止解释采样结果
C15-4.2	C	RETROSPECTIVE_TEST	C15-3.3;C15-4.1	不同预算代表性回测	T15,T16,T18	误差逐量报告;5%仅筛选目标;不剔除负结果	REPRESENTATIVENESS_ERROR.tsv;COVERAGE_COST_FRONTIER.tsv	误差超目标保留FAIL并有限加样
C15-4.3	C	RETROSPECTIVE_TEST	C15-4.2	跨配置成对机制响应	T17,T18	同plan对两臂;错误C13排除;小收益可INCONCLUSIVE	CROSS_CONFIG_HOLDOUT.tsv;MECHANISM_SIGN_AUDIT.md	不确定跨0不裁胜负
C15-4.4	C	CONTEXT_AUDIT	C15-4.1	C14 cold与C12上下文偏差	T19,T17	核身份和confounding;不把cold外推ROI	CONTEXT_BIAS_AUDIT.md;CONTEXT_COMPARISON.tsv	缺matched pair明确无法隔离context因果
C15-4.5	C	QUALIFICATION	C15-4.2;C15-3.7	sketch与采样精度适用范围	T13,T14,T18	工具PASS与估计达标分开;参数版本固定	METRIC_QUALIFICATION.tsv;LIMITATIONS.md	失败可标SAMPLER_NOT_QUALIFIED
C15-4.6	C	COST	C15-4.2	完整成本和低成本价值	T20	采集预热重试解析计入;unknown不补0	COST_LEDGER.tsv;LOWCOST_VALUE_ASSESSMENT.md	缺baseline不声称10x成本下降
C15-4.7	C	PUBLISH	C15-4.3;C15-4.4;C15-4.5;C15-4.6	发布采样校准主体	T01,T21,T22,T23	所有测试与失败可复核;来源分层	FINAL_REPORT.md;PUBLISH_MANIFEST.json;LATEST_REPORT.md	无动态数据只限制跨模型结论
C15-5.1	A	INTEGRATION	C15-1.6	固定commit导入B/C	T01,T21,T22	只读发布物hash一致;无live partial	integration/CONSUMED_INPUTS.tsv;integration/STAGE_ACCEPTANCE_SUMMARY.tsv	上游未发布先interim不合并live
C15-5.2	A	SYNTHESIS	C15-5.1	静态与真实动态跨部署比较	T18,T22	证据和维度边界明确;无native不声称动态规律	integration/CROSS_MODEL_FINDINGS.md;integration/UPGRADE_DECISIONS.tsv	缺能力范围内partial
C15-5.3	C	PLAN_ONLY	C15-4.7	最多3项未来T3申请	T19,T20,T24	上下文/成本/对照/判定清晰;不执行模拟	NEXT_HIGH_FIDELITY_REQUESTS.md	全部requires_new_authorization
C15-5.4	A	CLOSEOUT	C15-5.2	完整或能力受限整合收口	T01,T20,T22,T23	36小阶段逐项状态;无虚构结果;未改保护资产	integration/FINAL_REPORT.md;LATEST_REPORT.md	PARTIAL与READY明确区分
