trace_id	semantic	latency	gpu_sim_cycle	gpu_sim_insn	cta	translation_lookups	mshr_active	pwq_active	walkers_active	run_log_sha256	status	vm_requests	vm_ideal_translations	l1_tlb_hits	l1_tlb_misses	l2_tlb_hits	l2_tlb_misses	walk_starts	walk_completions	l1d_accesses	l1d_misses	l2_cache_accesses	l2_cache_misses	lookup_entries	lookup_ready	segment_activity	ready_duplicate_attempts	quiescent	coverage_note
M1	V2R1_READY_CONSUME_APPLY	0/80	682722	5648	1	1279	0	0	0	e22207fe59b7ec5403308759232e323bc0af32ad5d2edcee7dcb5c7c0a2190cf	TERMINAL_PASS	141967	1026	366	913	660	253	253	253	1026	1025	1282	1045	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M1	V2R1_READY_CONSUME_APPLY	10/80	695553	5648	1	1279	0	0	0	66aa9092c1fe8c1c1c4984b292a6bbf941e2cfd6075eb3514be0f7bc1bcb03de	TERMINAL_PASS	154756	1026	366	913	660	253	253	253	1026	1025	1282	1045	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M2	LEGACY	0/80	1140995	90372	1	16673	0	0	0	efa62cd0a9fff8ec50ae2c201641522fc07c30800284c57e7b1ca751522111a1	TERMINAL_PASS	1111243	16416	3847	12826	12569	257	257	257	16416	14322	14606	4111	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M2	LEGACY	10/80	1334095	90372	1	16673	0	0	0	2acab0b3399d65bf03dbfbff85abe486b9fcbb32caf9d3e9a4e5e790ef57f644	TERMINAL_PASS	1307142	16416	3482	13191	12934	257	257	257	16416	14622	14906	4111	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M2	V1_PIPELINED_LAUNCH	0/80	1140995	90372	1	16673	0	0	0	2dd8445938a45848a89752f2389cec9e4a24f13cfb1b8e595682d3ba615da734	TERMINAL_PASS	1111243	16416	3847	12826	12569	257	257	257	16416	14322	14606	4111	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M2	V1_PIPELINED_LAUNCH	10/80	1334095	90372	1	16673	0	0	0	99fe98028781fe61ebd2c307eba6fe34a393511a801e1c324f35527715f46b17	TERMINAL_PASS	1307142	16416	3482	13191	12934	257	257	257	16416	14622	14906	4111	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M2	V2R1_READY_CONSUME_APPLY	0/80	1140995	90372	1	16673	0	0	0	12fc86141a715790ca100de87e5ce7c96b9b484f7c2ebc512fc43ce3644393d2	TERMINAL_PASS	1111243	16416	3847	12826	12569	257	257	257	16416	14322	14606	4111	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M2	V2R1_READY_CONSUME_APPLY	10/80	1334095	90372	1	16673	0	0	0	f7fc16809adc0c8f7ca6c46f919b6004739cb0e19a11722eb9c997355edcf19b	TERMINAL_PASS	1307142	16416	3482	13191	12934	257	257	257	16416	14622	14906	4111	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M3	LEGACY	0/80	762269	5648	1	1789	0	0	0	077c8bfc40af69579e70b1a82b102f10499062c3a64d8f84cbd2a2fae72a0b16	TERMINAL_PASS	301456	1026	763	1026	263	763	763	763	1026	1025	1794	949	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M3	LEGACY	10/80	780122	5648	1	1789	0	0	0	d39c6a14c3eb7c3f9f405633c35498e93dba680b97a1f9d53de406b5735f8534	TERMINAL_PASS	319342	1026	763	1026	263	763	763	763	1026	1025	1794	949	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M3	V1_PIPELINED_LAUNCH	0/80	762269	5648	1	1789	0	0	0	085f107097665f8c59c697bdd0938cfdc510c51a0a7bf3327cff1890c4f57593	TERMINAL_PASS	301456	1026	763	1026	263	763	763	763	1026	1025	1794	949	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M3	V1_PIPELINED_LAUNCH	10/80	780122	5648	1	1789	0	0	0	8694f4a58e6d722b60f86164101794e8dc63ed6eb2c96e0814e64eaa9106fb75	TERMINAL_PASS	319342	1026	763	1026	263	763	763	763	1026	1025	1794	949	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M3	V2R1_READY_CONSUME_APPLY	0/80	762269	5648	1	1789	0	0	0	650da276b3b16de33e9db7c2fcece79257bf9c92ec31d557a50ca9e75b75c67a	TERMINAL_PASS	301456	1026	763	1026	263	763	763	763	1026	1025	1794	949	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
M3	V2R1_READY_CONSUME_APPLY	10/80	780122	5648	1	1789	0	0	0	234388a5f2e9af674d5f7ebd52386248031bcec4ca3b25f5d420f289b31109a8	TERMINAL_PASS	319342	1026	763	1026	263	763	763	763	1026	1025	1794	949	0	0	0	0	1	explicit untranslated/unobserved not emitted; terminal VM/quiescence counters published
