workload	pressure_field	pressure_category	raw_events	base_instructions	base_cycles	events_per_million_base_instructions	events_per_base_cycle	normalization_formulas	denominator_provenance	exclusivity	evidence_class	accepted_source
BICG	mshr_merge_full_events	MSHR merge full	0	145666048	88495620	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
BICG	miss_queue_downstream_full_events	missqueue/downstream full	1145	145666048	88495620	7.860445284	0.000012938	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
GESUMMV	pib_full_events	PIB full	49978400	190918656	194986098	261778.503196670	0.256317761	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
GESUMMV	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	3157387337	190918656	194986098	16537866.980375139	16.192884361	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
GESUMMV	tag_bank_conflicts	Tag-bank conflict	38798080	190918656	194986098	203217.856300015	0.198978698	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
GESUMMV	mshr_entry_full_events	MSHR entry full	0	190918656	194986098	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
GESUMMV	mshr_merge_full_events	MSHR merge full	0	190918656	194986098	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
GESUMMV	miss_queue_downstream_full_events	missqueue/downstream full	1455	190918656	194986098	7.621046735	0.000007462	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
GEMM	pib_full_events	PIB full	128879948	739246080	2662394	174339.711074288	48.407541483	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
GEMM	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	114099368	739246080	2662394	154345.584084802	42.855928912	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
GEMM	tag_bank_conflicts	Tag-bank conflict	25214976	739246080	2662394	34109.042553191	9.470790574	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
GEMM	mshr_entry_full_events	MSHR entry full	0	739246080	2662394	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
GEMM	mshr_merge_full_events	MSHR merge full	0	739246080	2662394	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
GEMM	miss_queue_downstream_full_events	missqueue/downstream full	49091	739246080	2662394	66.406845201	0.018438668	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
2DConvolution	pib_full_events	PIB full	122219084	620347492	2247155	197017.132455820	54.388363954	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
2DConvolution	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	5576660	620347492	2247155	8989.574507702	2.481653468	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
2DConvolution	tag_bank_conflicts	Tag-bank conflict	15720960	620347492	2247155	25342.183538642	6.995939310	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
2DConvolution	mshr_entry_full_events	MSHR entry full	0	620347492	2247155	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
2DConvolution	mshr_merge_full_events	MSHR merge full	0	620347492	2247155	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
2DConvolution	miss_queue_downstream_full_events	missqueue/downstream full	13	620347492	2247155	0.020955997	0.000005785	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
Btree	pib_full_events	PIB full	18175485	444467849	369977	40892.687830836	49.125986210	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
Btree	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	590	444467849	369977	1.327430097	0.001594694	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
Btree	tag_bank_conflicts	Tag-bank conflict	1751328	444467849	369977	3940.280503844	4.733613171	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
Btree	mshr_entry_full_events	MSHR entry full	1622927	444467849	369977	3651.393466707	4.386561867	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
Btree	mshr_merge_full_events	MSHR merge full	0	444467849	369977	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
Btree	miss_queue_downstream_full_events	missqueue/downstream full	0	444467849	369977	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
DWT2D	pib_full_events	PIB full	8289065	148684429	344119	55749.381799758	24.087786492	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
DWT2D	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	1417779	148684429	344119	9535.490767497	4.120025340	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
DWT2D	tag_bank_conflicts	Tag-bank conflict	1225446	148684429	344119	8241.925588590	3.561111127	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
DWT2D	mshr_entry_full_events	MSHR entry full	346268	148684429	344119	2328.878701885	1.006244933	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
DWT2D	mshr_merge_full_events	MSHR merge full	0	148684429	344119	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
DWT2D	miss_queue_downstream_full_events	missqueue/downstream full	18367	148684429	344119	123.530083974	0.053373978	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
Gaussian	pib_full_events	PIB full	3706501	283685120	4229815	13065.546053314	0.876279695	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
Gaussian	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	29611524	283685120	4229815	104381.660906289	7.000666459	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
Gaussian	tag_bank_conflicts	Tag-bank conflict	8502071	283685120	4229815	29970.098537421	2.010033772	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
Gaussian	mshr_entry_full_events	MSHR entry full	2025717	283685120	4229815	7140.723489480	0.478913853	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
Gaussian	mshr_merge_full_events	MSHR merge full	0	283685120	4229815	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
Gaussian	miss_queue_downstream_full_events	missqueue/downstream full	78330	283685120	4229815	276.115997906	0.018518540	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
Hotspot1	pib_full_events	PIB full	5037171	377291004	160486	13350.890815303	31.386980796	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
Hotspot1	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	24303354	377291004	160486	64415.408112938	151.435975724	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
Hotspot1	tag_bank_conflicts	Tag-bank conflict	577925	377291004	160486	1531.775191756	3.601092930	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
Hotspot1	mshr_entry_full_events	MSHR entry full	866624	377291004	160486	2296.964387733	5.399997508	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
Hotspot1	mshr_merge_full_events	MSHR merge full	0	377291004	160486	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
Hotspot1	miss_queue_downstream_full_events	missqueue/downstream full	15056	377291004	160486	39.905536682	0.093815037	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
LUD	pib_full_events	PIB full	5720827	184963840	1113878	30929.434639765	5.135954745	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
LUD	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	6288688	184963840	1113878	33999.553642485	5.645760128	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
LUD	tag_bank_conflicts	Tag-bank conflict	1040112	184963840	1113878	5623.326159318	0.933775512	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
LUD	mshr_entry_full_events	MSHR entry full	0	184963840	1113878	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
LUD	mshr_merge_full_events	MSHR merge full	0	184963840	1113878	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
LUD	miss_queue_downstream_full_events	missqueue/downstream full	1372	184963840	1113878	7.417666069	0.001231733	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
NN	pib_full_events	PIB full	57768	1284872	6985	44960.120541190	8.270293486	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
NN	cacheline_all_lines_reserved_events	true cacheline/all-lines-reserved	0	1284872	6985	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
NN	tag_bank_conflicts	Tag-bank conflict	20045	1284872	6985	15600.775797122	2.869720830	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
NN	mshr_entry_full_events	MSHR entry full	89427	1284872	6985	69599.929020167	12.802720115	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
NN	mshr_merge_full_events	MSHR merge full	0	1284872	6985	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
NN	miss_queue_downstream_full_events	missqueue/downstream full	0	1284872	6985	0	0	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
MRI-Q	pib_full_events	PIB full	420442	1411757056	366667	297.814697092	1.146658958	raw_events / base_instructions * 1,000,000; raw_events / base_cycles	FAST64_FINAL/FAST12_summary.tsv Base instructions and cycles	NONEXCLUSIVE_DO_NOT_STACK_OR_SUM_AS_A_PERCENT	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/structural_pressure.tsv + FAST12_summary.tsv
