counter	P1	P2	P4	P8	P16	P34
vm_object_WEIGHT_requester_mshr_wait_cycles_total	0	0	0	0	0	0
vm_object_WEIGHT_translation_requesters	0	0	0	0	0	0
vm_object_WEIGHT_unique_translation_keys	0	0	0	0	0	0
vm_object_WEIGHT_walk_starts	0	0	0	0	0	0
vm_object_attribution_conservation_pass	0	0	0	0	0	0
vm_object_attribution_enabled	0	0	0	0	0	0
vm_pte_dram_responses	66	39	39	10	11	10
vm_pte_l2_only_responses	150	92	92	9	8	8
vm_pte_memory_wait_cycles_max	4790	5506	4120	1749	1807	3185
vm_pte_memory_wait_cycles_total	169745	68173	65489	28569	26040	33398
vm_pte_requests	216	131	131	19	19	18
vm_pte_response_misassociations	0	0	0	0	0	0
vm_pte_responses	216	131	131	19	19	18
vm_pwc_accesses	552	384	384	48	48	45
vm_pwc_entries_configured	0	0	0	0	0	0
vm_pwc_evictions	0	0	0	0	0	0
vm_pwc_hits	520	381	381	45	45	42
vm_pwc_inserts	5	3	3	3	3	3
vm_pwc_level_0_accesses	184	128	128	16	16	15
vm_pwc_level_0_hits	183	127	127	15	15	14
vm_pwc_level_0_misses	1	1	1	1	1	1
vm_pwc_level_0_occupancy	0	0	0	0	0	0
vm_pwc_level_0_pte_requests_skipped	183	127	127	15	15	14
vm_pwc_level_1_accesses	184	128	128	16	16	15
vm_pwc_level_1_hits	169	127	127	15	15	14
vm_pwc_level_1_misses	15	1	1	1	1	1
vm_pwc_level_1_occupancy	0	0	0	0	0	0
vm_pwc_level_1_pte_requests_skipped	169	127	127	15	15	14
vm_pwc_level_2_accesses	184	128	128	16	16	15
vm_pwc_level_2_hits	168	127	127	15	15	14
vm_pwc_level_2_misses	16	1	1	1	1	1
vm_pwc_level_2_occupancy	0	0	0	0	0	0
vm_pwc_level_2_pte_requests_skipped	168	127	127	15	15	14
vm_pwc_level_3_accesses	0	0	0	0	0	0
vm_pwc_level_3_hits	0	0	0	0	0	0
vm_pwc_level_3_misses	0	0	0	0	0	0
vm_pwc_level_3_occupancy	0	0	0	0	0	0
vm_pwc_level_3_pte_requests_skipped	0	0	0	0	0	0
vm_pwc_lookup_latency_cycles	0	0	0	0	0	0
vm_pwc_misses	32	3	3	3	3	3
vm_pwc_mode	0	0	0	0	0	0
vm_pwc_occupancy	5	3	3	3	3	3
vm_pwc_occupancy_high_watermark	5	3	3	3	3	3
vm_pwc_physical_f5_array_bits	0	0	0	0	0	0
vm_pwc_physical_f5_attributes_bits	0	0	0	0	0	0
vm_pwc_physical_f5_charged_bits	0	0	0	0	0	0
vm_pwc_physical_f5_enabled	0	0	0	0	0	0
vm_pwc_physical_f5_entries_per_nonleaf_level	0	0	0	0	0	0
vm_pwc_physical_f5_entries_total	0	0	0	0	0	0
vm_pwc_physical_f5_payload_bits	0	0	0	0	0	0
vm_pwc_physical_f5_plru_bits	0	0	0	0	0	0
vm_pwc_physical_f5_sets_per_level	0	0	0	0	0	0
vm_pwc_physical_f5_ways	0	0	0	0	0	0
vm_pwc_physical_payload_validations	0	0	0	0	0	0
vm_pwc_port_accepts	0	0	0	0	0	0
vm_pwc_port_denials	0	0	0	0	0	0
vm_pwc_queue_high_watermark	0	0	0	0	0	0
vm_pwc_queue_wait_cycles_max	0	0	0	0	0	0
vm_pwc_queue_wait_cycles_total	0	0	0	0	0	0
vm_pwc_service_cycles	552	384	384	48	48	45
vm_requests	9384988	9243034	9251520	9243819	9148505	9254048
vm_translation_generation_advances	0	0	0	0	0	0
vm_translation_generation_wrap_quiesces	0	0	0	0	0	0
vm_translation_lookup_inflight_bypasses	7261011	7270455	7263232	7270429	7273917	7266036
vm_translation_lookup_requests	776755	777307	777222	777656	777626	776915
vm_translation_mshr_active	0	0	0	0	0	0
vm_translation_mshr_allocations	184	128	128	16	16	15
vm_translation_mshr_entries_completed	184	128	128	16	16	15
vm_translation_mshr_full_events	0	0	0	0	0	0
vm_translation_mshr_lifetime_cycles_max	3639	4377	3437	1749	1344	3185
vm_translation_mshr_lifetime_cycles_total	170329	68560	65876	28620	26091	33446
vm_translation_mshr_merges	326	287	322	276	225	234
vm_translation_mshr_occupancy_high_watermark	13	11	13	0	0	0
vm_translation_mshr_waiter_depth_max	0	0	0	0	0	0
vm_translation_mshr_waiter_depth_total	510	415	450	292	241	249
vm_translation_page_size_bytes	0	0	0	0	0	0
vm_translation_pending_waiter_bypasses	570977	418380	434294	418370	319577	434431
vm_translation_pwq_full_events	0	0	0	0	0	0
vm_translation_pwq_occupancy	0	0	0	0	0	0
vm_translation_requester_completions	776755	777307	777222	777656	777626	776915
vm_translation_requester_l1_queue_cycles_max	0	0	0	0	0	0
vm_translation_requester_l1_queue_cycles_total	0	0	0	0	0	0
vm_translation_requester_l1_service_cycles_max	0	0	0	0	0	0
vm_translation_requester_l1_service_cycles_total	7767550	7773070	7772220	7776560	7776260	7769150
vm_translation_requester_l2_queue_cycles_max	0	0	0	0	0	0
vm_translation_requester_l2_queue_cycles_total	776	772	794	805	803	681
vm_translation_requester_l2_service_cycles_max	0	0	0	0	0	0
vm_translation_requester_l2_service_cycles_total	269440	273920	267440	270720	274480	273120
vm_translation_requester_latency_cycles_max	3638	4376	3437	1749	1344	3185
vm_translation_requester_latency_cycles_total	8608743	8466142	8474748	8466455	8371120	8477382
vm_translation_requester_mshr_wait_cycles_max	3639	4377	3437	1749	1344	3185
vm_translation_requester_mshr_wait_cycles_total	570977	418380	434294	418370	319577	434431
vm_translation_stale_fills_discarded	0	0	0	0	0	0
vm_translation_stale_ready_discards	0	0	0	0	0	0
vm_translation_stale_waiters_discarded	0	0	0	0	0	0
vm_translation_stall_cycles	8608743	8466142	8474748	8466455	8371120	8477382
vm_translation_virtual_address_bits	0	0	0	0	0	0
vm_translation_waiter_registrations	510	415	450	292	241	249
vm_translation_waiter_wakeups	510	415	450	292	241	249
vm_translation_walk_completions	184	128	128	16	16	15
vm_translation_walk_starts	184	128	128	16	16	15
vm_translation_walkers_active	0	0	0	0	0	0
vm_weight_segment_active_epoch	0	0	0	0	0	0
vm_weight_segment_both_miss	0	0	0	0	0	0
vm_weight_segment_descriptors_loaded	0	0	0	0	0	0
vm_weight_segment_effective_l1_hits	0	0	0	0	0	0
vm_weight_segment_effective_l1_misses	0	0	0	0	0	0
vm_weight_segment_entries_configured	0	0	0	0	0	0
vm_weight_segment_epoch_wrap_quiesces	0	0	0	0	0	0
vm_weight_segment_fallback_asid	0	0	0	0	0	0
vm_weight_segment_fallback_boundary	0	0	0	0	0	0
vm_weight_segment_fallback_epoch	0	0	0	0	0	0
vm_weight_segment_fallback_no_descriptor	0	0	0	0	0	0
vm_weight_segment_fallback_rights	0	0	0	0	0	0
vm_weight_segment_first_owners	0	0	0	0	0	0
vm_weight_segment_hits	0	0	0	0	0	0
vm_weight_segment_install_acks	0	0	0	0	0	0
vm_weight_segment_install_attempts	0	0	0	0	0	0
vm_weight_segment_install_rejections	0	0	0	0	0	0
vm_weight_segment_install_replica_acks	0	0	0	0	0	0
vm_weight_segment_l1_fills_suppressed	0	0	0	0	0	0
vm_weight_segment_l1_first_owners	0	0	0	0	0	0
vm_weight_segment_l2_suppressed	0	0	0	0	0	0
vm_weight_segment_late_result_discards	0	0	0	0	0	0
vm_weight_segment_lifecycle_active_asid	0	0	0	0	0	0
vm_weight_segment_lifecycle_active_epoch	0	0	0	0	0	0
vm_weight_segment_local_accepts_per_cycle	0	0	0	0	0	0
vm_weight_segment_local_table_entries	0	0	0	0	0	0
vm_weight_segment_local_table_replicas	0	0	0	0	0	0
vm_weight_segment_lookup_accepts	0	0	0	0	0	0
vm_weight_segment_lookup_attempts	0	0	0	0	0	0
vm_weight_segment_lookup_completions	0	0	0	0	0	0
vm_weight_segment_lookup_latency_cycles	0	0	0	0	0	0
vm_weight_segment_lookup_launches	0	0	0	0	0	0
vm_weight_segment_mapping_mismatch_faults	0	0	0	0	0	0
vm_weight_segment_miss_join_wait_cycles	0	0	0	0	0	0
vm_weight_segment_misses	0	0	0	0	0	0
vm_weight_segment_mshr_suppressed	0	0	0	0	0	0
vm_weight_segment_port_denials	0	0	0	0	0	0
vm_weight_segment_provisioned_asid	0	0	0	0	0	0
vm_weight_segment_pte_suppressed	0	0	0	0	0	0
vm_weight_segment_pwc_suppressed	0	0	0	0	0	0
vm_weight_segment_pwq_suppressed	0	0	0	0	0	0
vm_weight_segment_raw_l1_completions	0	0	0	0	0	0
vm_weight_segment_raw_l1_hits	0	0	0	0	0	0
vm_weight_segment_raw_l1_misses	0	0	0	0	0	0
vm_weight_segment_revoke_acks	0	0	0	0	0	0
vm_weight_segment_revoke_attempts	0	0	0	0	0	0
vm_weight_segment_revoke_replica_acks	0	0	0	0	0	0
vm_weight_segment_walker_suppressed	0	0	0	0	0	0
vm_weight_segmentation_enabled	0	0	0	0	0	0
