contrast	counter	left	right	right_minus_left
P2_vs_P4	vm_object_KV_CACHE_pte_memory_wait_cycles_max	5506	4120	-1386
P2_vs_P4	vm_object_KV_CACHE_pte_memory_wait_cycles_total	68173	65489	-2684
P2_vs_P4	vm_object_KV_CACHE_requester_latency_cycles_max	4376	3437	-939
P2_vs_P4	vm_object_KV_CACHE_requester_latency_cycles_total	8466142	8474748	8606
P2_vs_P4	vm_object_KV_CACHE_requester_mshr_wait_cycles_max	4377	3437	-940
P2_vs_P4	vm_object_KV_CACHE_requester_mshr_wait_cycles_total	418380	434294	15914
P2_vs_P4	vm_object_KV_CACHE_translation_requesters	777307	777222	-85
P2_vs_P4	vm_pte_memory_wait_cycles_max	5506	4120	-1386
P2_vs_P4	vm_pte_memory_wait_cycles_total	68173	65489	-2684
P2_vs_P4	vm_requests	9243034	9251520	8486
P2_vs_P4	vm_translation_lookup_inflight_bypasses	7270455	7263232	-7223
P2_vs_P4	vm_translation_lookup_requests	777307	777222	-85
P2_vs_P4	vm_translation_mshr_lifetime_cycles_max	4377	3437	-940
P2_vs_P4	vm_translation_mshr_lifetime_cycles_total	68560	65876	-2684
P2_vs_P4	vm_translation_mshr_merges	287	322	35
P2_vs_P4	vm_translation_mshr_occupancy_high_watermark	11	13	2
P2_vs_P4	vm_translation_mshr_waiter_depth_total	415	450	35
P2_vs_P4	vm_translation_pending_waiter_bypasses	418380	434294	15914
P2_vs_P4	vm_translation_requester_completions	777307	777222	-85
P2_vs_P4	vm_translation_requester_l1_service_cycles_total	7773070	7772220	-850
P2_vs_P4	vm_translation_requester_l2_queue_cycles_total	772	794	22
P2_vs_P4	vm_translation_requester_l2_service_cycles_total	273920	267440	-6480
P2_vs_P4	vm_translation_requester_latency_cycles_max	4376	3437	-939
P2_vs_P4	vm_translation_requester_latency_cycles_total	8466142	8474748	8606
P2_vs_P4	vm_translation_requester_mshr_wait_cycles_max	4377	3437	-940
P2_vs_P4	vm_translation_requester_mshr_wait_cycles_total	418380	434294	15914
P2_vs_P4	vm_translation_stall_cycles	8466142	8474748	8606
P2_vs_P4	vm_translation_waiter_registrations	415	450	35
P2_vs_P4	vm_translation_waiter_wakeups	415	450	35
P8_vs_P16	L2_BW	-36	-55	-19
P8_vs_P16	L2_BW_total	-10	-7	3
P8_vs_P16	L2_WB	15408	15356	-52
P8_vs_P16	L2_total_cache_accesses	2463303	2462815	-488
P8_vs_P16	L2_total_cache_misses	1183770	1181047	-2723
P8_vs_P16	L2_total_cache_pending_hits	338	658	320
P8_vs_P16	L2_total_cache_reservation_fails	3196	2729	-467
P8_vs_P16	gpgpu_n_mem_read_local	30196	29708	-488
P8_vs_P16	gpgpu_n_stall_shd_mem	10797564	10727524	-70040
P8_vs_P16	gpgpu_silicon_slowdown	-187537	-30624	156913
P8_vs_P16	gpgpu_simulation_rate	465	96	-369
P8_vs_P16	icnt_total_pkts_mem_to_simt	2463303	2462815	-488
P8_vs_P16	icnt_total_pkts_simt_to_mem	2463284	2462796	-488
P8_vs_P16	partiton_level_parallism	-1	-2	-1
P8_vs_P16	partiton_level_parallism_util_total	-1	0	1
P8_vs_P16	total_CMD	1948950	2013074	64124
P8_vs_P16	total_req	38572	38492	-80
P8_vs_P16	vm_functional_completed	777364	777385	21
P8_vs_P16	vm_ideal_translations	777364	777385	21
P8_vs_P16	vm_identity_equal	777364	777385	21
P8_vs_P16	vm_l1_tlb_accesses	777656	777626	-30
P8_vs_P16	vm_l1_tlb_evictions	3384	3431	47
P8_vs_P16	vm_l1_tlb_hits	774272	774195	-77
P8_vs_P16	vm_l1_tlb_lookup_completions	777656	777626	-30
P8_vs_P16	vm_l1_tlb_lookup_launches	777656	777626	-30
P8_vs_P16	vm_l1_tlb_lookup_service_cycles	7776560	7776260	-300
P8_vs_P16	vm_l1_tlb_misses	3384	3431	47
P8_vs_P16	vm_l2_tlb_accesses	3384	3431	47
P8_vs_P16	vm_l2_tlb_hits	3092	3190	98
P8_vs_P16	vm_l2_tlb_lookup_completions	3384	3431	47
P8_vs_P16	vm_l2_tlb_lookup_launches	3384	3431	47
P8_vs_P16	vm_l2_tlb_lookup_service_cycles	270720	274480	3760
P8_vs_P16	vm_l2_tlb_misses	292	241	-51
P8_vs_P16	vm_l2_tlb_port_stalls	3466	3448	-18
P8_vs_P16	vm_object_KV_CACHE_completed	777656	777626	-30
P8_vs_P16	vm_object_KV_CACHE_l1_hits	774272	774195	-77
P8_vs_P16	vm_object_KV_CACHE_l1_lookup_launches	777656	777626	-30
P8_vs_P16	vm_object_KV_CACHE_l1_misses	3384	3431	47
P8_vs_P16	vm_object_KV_CACHE_l2_hits	3092	3190	98
P8_vs_P16	vm_object_KV_CACHE_l2_lookup_launches	3384	3431	47
P8_vs_P16	vm_object_KV_CACHE_l2_misses	292	241	-51
P8_vs_P16	vm_object_KV_CACHE_mshr_merges	276	225	-51
P8_vs_P16	vm_object_KV_CACHE_pte_dram_responses	10	11	1
P8_vs_P16	vm_object_KV_CACHE_pte_l2_only_responses	9	8	-1
P8_vs_P16	vm_object_KV_CACHE_pte_memory_wait_cycles_max	1749	1807	58
P8_vs_P16	vm_object_KV_CACHE_pte_memory_wait_cycles_total	28569	26040	-2529
P8_vs_P16	vm_object_KV_CACHE_requester_latency_cycles_max	1749	1344	-405
P8_vs_P16	vm_object_KV_CACHE_requester_latency_cycles_total	8466455	8371120	-95335
P8_vs_P16	vm_object_KV_CACHE_requester_mshr_wait_cycles_max	1749	1344	-405
P8_vs_P16	vm_object_KV_CACHE_requester_mshr_wait_cycles_total	418370	319577	-98793
P8_vs_P16	vm_object_KV_CACHE_translation_requesters	777656	777626	-30
P8_vs_P16	vm_pte_dram_responses	10	11	1
P8_vs_P16	vm_pte_l2_only_responses	9	8	-1
P8_vs_P16	vm_pte_memory_wait_cycles_max	1749	1807	58
P8_vs_P16	vm_pte_memory_wait_cycles_total	28569	26040	-2529
P8_vs_P16	vm_requests	9243819	9148505	-95314
P8_vs_P16	vm_translation_lookup_inflight_bypasses	7270429	7273917	3488
P8_vs_P16	vm_translation_lookup_requests	777656	777626	-30
P8_vs_P16	vm_translation_mshr_lifetime_cycles_max	1749	1344	-405
P8_vs_P16	vm_translation_mshr_lifetime_cycles_total	28620	26091	-2529
P8_vs_P16	vm_translation_mshr_merges	276	225	-51
P8_vs_P16	vm_translation_mshr_waiter_depth_total	292	241	-51
P8_vs_P16	vm_translation_pending_waiter_bypasses	418370	319577	-98793
P8_vs_P16	vm_translation_requester_completions	777656	777626	-30
P8_vs_P16	vm_translation_requester_l1_service_cycles_total	7776560	7776260	-300
P8_vs_P16	vm_translation_requester_l2_queue_cycles_total	805	803	-2
P8_vs_P16	vm_translation_requester_l2_service_cycles_total	270720	274480	3760
P8_vs_P16	vm_translation_requester_latency_cycles_max	1749	1344	-405
P8_vs_P16	vm_translation_requester_latency_cycles_total	8466455	8371120	-95335
P8_vs_P16	vm_translation_requester_mshr_wait_cycles_max	1749	1344	-405
P8_vs_P16	vm_translation_requester_mshr_wait_cycles_total	418370	319577	-98793
P8_vs_P16	vm_translation_stall_cycles	8466455	8371120	-95335
P8_vs_P16	vm_translation_waiter_registrations	292	241	-51
P8_vs_P16	vm_translation_waiter_wakeups	292	241	-51
P16_vs_P34	L2_BW	-55	-57	-2
P16_vs_P34	L2_BW_total	-7	-5	2
P16_vs_P34	L2_WB	15356	15532	176
P16_vs_P34	L2_total_cache_accesses	2462815	2463206	391
P16_vs_P34	L2_total_cache_misses	1181047	1190722	9675
P16_vs_P34	L2_total_cache_pending_hits	658	360	-298
P16_vs_P34	L2_total_cache_reservation_fails	2729	3565	836
P16_vs_P34	gpgpu_n_mem_read_local	29708	30100	392
P16_vs_P34	gpgpu_n_stall_shd_mem	10727524	10773001	45477
P16_vs_P34	gpgpu_silicon_slowdown	-30624	-41955	-11331
P16_vs_P34	gpgpu_simulation_rate	96	119	23
P16_vs_P34	icnt_total_pkts_mem_to_simt	2462815	2463206	391
P16_vs_P34	icnt_total_pkts_simt_to_mem	2462796	2463188	392
P16_vs_P34	partiton_level_parallism_util_total	0	-1	-1
P16_vs_P34	total_CMD	2013074	2034573	21499
P16_vs_P34	total_req	38492	38848	356
P16_vs_P34	vm_functional_completed	777385	776666	-719
P16_vs_P34	vm_functional_mapper_lookups	16	15	-1
P16_vs_P34	vm_ideal_translations	777385	776666	-719
P16_vs_P34	vm_identity_equal	777385	776666	-719
P16_vs_P34	vm_l1_tlb_accesses	777626	776915	-711
P16_vs_P34	vm_l1_tlb_evictions	3431	3414	-17
P16_vs_P34	vm_l1_tlb_hits	774195	773501	-694
P16_vs_P34	vm_l1_tlb_lookup_completions	777626	776915	-711
P16_vs_P34	vm_l1_tlb_lookup_launches	777626	776915	-711
P16_vs_P34	vm_l1_tlb_lookup_service_cycles	7776260	7769150	-7110
P16_vs_P34	vm_l1_tlb_misses	3431	3414	-17
P16_vs_P34	vm_l2_tlb_accesses	3431	3414	-17
P16_vs_P34	vm_l2_tlb_hits	3190	3165	-25
P16_vs_P34	vm_l2_tlb_lookup_completions	3431	3414	-17
P16_vs_P34	vm_l2_tlb_lookup_launches	3431	3414	-17
P16_vs_P34	vm_l2_tlb_lookup_service_cycles	274480	273120	-1360
P16_vs_P34	vm_l2_tlb_misses	241	249	8
P16_vs_P34	vm_l2_tlb_occupancy	16	15	-1
P16_vs_P34	vm_l2_tlb_port_stalls	3448	2912	-536
P16_vs_P34	vm_object_KV_CACHE_completed	777626	776915	-711
P16_vs_P34	vm_object_KV_CACHE_l1_hits	774195	773501	-694
P16_vs_P34	vm_object_KV_CACHE_l1_lookup_launches	777626	776915	-711
P16_vs_P34	vm_object_KV_CACHE_l1_misses	3431	3414	-17
P16_vs_P34	vm_object_KV_CACHE_l2_fills	16	15	-1
P16_vs_P34	vm_object_KV_CACHE_l2_hits	3190	3165	-25
P16_vs_P34	vm_object_KV_CACHE_l2_lookup_launches	3431	3414	-17
P16_vs_P34	vm_object_KV_CACHE_l2_misses	241	249	8
P16_vs_P34	vm_object_KV_CACHE_mshr_allocations	16	15	-1
P16_vs_P34	vm_object_KV_CACHE_mshr_merges	225	234	9
P16_vs_P34	vm_object_KV_CACHE_pte_dram_responses	11	10	-1
P16_vs_P34	vm_object_KV_CACHE_pte_memory_wait_cycles_max	1807	3185	1378
P16_vs_P34	vm_object_KV_CACHE_pte_memory_wait_cycles_total	26040	33398	7358
P16_vs_P34	vm_object_KV_CACHE_pte_requests	19	18	-1
P16_vs_P34	vm_object_KV_CACHE_pwc_accesses	48	45	-3
P16_vs_P34	vm_object_KV_CACHE_pwc_hits	45	42	-3
P16_vs_P34	vm_object_KV_CACHE_requester_latency_cycles_max	1344	3185	1841
P16_vs_P34	vm_object_KV_CACHE_requester_latency_cycles_total	8371120	8477382	106262
P16_vs_P34	vm_object_KV_CACHE_requester_mshr_wait_cycles_max	1344	3185	1841
P16_vs_P34	vm_object_KV_CACHE_requester_mshr_wait_cycles_total	319577	434431	114854
P16_vs_P34	vm_object_KV_CACHE_translation_requesters	777626	776915	-711
P16_vs_P34	vm_object_KV_CACHE_unique_translation_keys	16	15	-1
P16_vs_P34	vm_object_KV_CACHE_walk_starts	16	15	-1
P16_vs_P34	vm_pte_dram_responses	11	10	-1
P16_vs_P34	vm_pte_memory_wait_cycles_max	1807	3185	1378
P16_vs_P34	vm_pte_memory_wait_cycles_total	26040	33398	7358
P16_vs_P34	vm_pte_requests	19	18	-1
P16_vs_P34	vm_pte_responses	19	18	-1
P16_vs_P34	vm_pwc_accesses	48	45	-3
P16_vs_P34	vm_pwc_hits	45	42	-3
P16_vs_P34	vm_pwc_level_0_accesses	16	15	-1
P16_vs_P34	vm_pwc_level_0_hits	15	14	-1
P16_vs_P34	vm_pwc_level_0_pte_requests_skipped	15	14	-1
P16_vs_P34	vm_pwc_level_1_accesses	16	15	-1
P16_vs_P34	vm_pwc_level_1_hits	15	14	-1
P16_vs_P34	vm_pwc_level_1_pte_requests_skipped	15	14	-1
P16_vs_P34	vm_pwc_level_2_accesses	16	15	-1
P16_vs_P34	vm_pwc_level_2_hits	15	14	-1
P16_vs_P34	vm_pwc_level_2_pte_requests_skipped	15	14	-1
P16_vs_P34	vm_pwc_service_cycles	48	45	-3
P16_vs_P34	vm_requests	9148505	9254048	105543
P16_vs_P34	vm_translation_lookup_inflight_bypasses	7273917	7266036	-7881
P16_vs_P34	vm_translation_lookup_requests	777626	776915	-711
P16_vs_P34	vm_translation_mshr_allocations	16	15	-1
P16_vs_P34	vm_translation_mshr_entries_completed	16	15	-1
P16_vs_P34	vm_translation_mshr_lifetime_cycles_max	1344	3185	1841
P16_vs_P34	vm_translation_mshr_lifetime_cycles_total	26091	33446	7355
P16_vs_P34	vm_translation_mshr_merges	225	234	9
P16_vs_P34	vm_translation_mshr_waiter_depth_total	241	249	8
P16_vs_P34	vm_translation_pending_waiter_bypasses	319577	434431	114854
P16_vs_P34	vm_translation_requester_completions	777626	776915	-711
P16_vs_P34	vm_translation_requester_l1_service_cycles_total	7776260	7769150	-7110
P16_vs_P34	vm_translation_requester_l2_queue_cycles_total	803	681	-122
P16_vs_P34	vm_translation_requester_l2_service_cycles_total	274480	273120	-1360
P16_vs_P34	vm_translation_requester_latency_cycles_max	1344	3185	1841
P16_vs_P34	vm_translation_requester_latency_cycles_total	8371120	8477382	106262
P16_vs_P34	vm_translation_requester_mshr_wait_cycles_max	1344	3185	1841
P16_vs_P34	vm_translation_requester_mshr_wait_cycles_total	319577	434431	114854
P16_vs_P34	vm_translation_stall_cycles	8371120	8477382	106262
P16_vs_P34	vm_translation_waiter_registrations	241	249	8
P16_vs_P34	vm_translation_waiter_wakeups	241	249	8
P16_vs_P34	vm_translation_walk_completions	16	15	-1
P16_vs_P34	vm_translation_walk_starts	16	15	-1
