scenario	s2_cluster_id	s2_cluster_type	phase	family_archetype	normalized_kernel_family	level2_implementation_family_key	level2_recurrence_signatures	level3_member_shape_count	s2_represented_mass_ns	classification	classification_basis	matching_exact_shape_count	matching_exact_scenario_mass_ns	matching_level2_scenario_mass_ns_nonadditive	matching_archetype_scenario_mass_ns_nonadditive	new_horizon_shape_count	new_horizon_mass_ns
S2	STR_e5778137820d	STRUCTURAL_STRATUM	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_3152a5cb6f7e1e6677da5888d1fefa8b3ca559fddf1fb0c4617d0cb56def4477	STABLE_48	1	1953708	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	1953708	4769908	37758724	0	0
S2	STR_fb002dc5652b	STRUCTURAL_STRATUM	DECODE	GEMV	CUBLAS_GEMV	CUBLAS_GEMV_EXACT_9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	STABLE_1	1	13107325	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	13107325	13107325	60929146	0	0
S2	TRJ_a372e5defa43	DECODE_SHAPE_TRAJECTORY	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	32	10661015	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	32	10661015	10661015	37758724	0	0
T256	STR_01503476cf8d	STRUCTURAL_STRATUM	DECODE	COPY	COPY_KERNEL	EXACT_SHA256_1dcd309bfcaf4619985c9773e3174747e99765bae9400e943b6c6c44db5ba036	VARIABLE_0_48	1	4982632	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	2767265	0	5760898	0	0
T256	STR_1a4d1a138a59	STRUCTURAL_STRATUM	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_3152a5cb6f7e1e6677da5888d1fefa8b3ca559fddf1fb0c4617d0cb56def4477	STABLE_48	1	2816200	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	2824547	4788323	30608036	0	0
T256	STR_1e33a02a023d	STRUCTURAL_STRATUM	PREFILL	GEMM	CUBLAS_GEMM	CUTLASS_F16_GEMM_256X128_32X3_TN_ALIGN8	ONE_OBSERVED_PASS	1	9737876	PORTABLE_IMPLEMENTATION_SHAPE_VARIANT	SAME_EXACT_FUNCTION_AND_RECURRENCE;GRID_OR_BLOCK_DIFFERS	0	0	796033	3636038	0	0
T256	STR_1e8f76f5cafe	STRUCTURAL_STRATUM	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_bdd4f2099fa3c9f8e3b033bd895b8cab81b6e96352879bf37854ae6723f62c16	STABLE_48	1	2397031	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	2402947	2402947	30608036	0	0
T256	STR_1f2dafe69bb0	STRUCTURAL_STRATUM	DECODE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_e88663be9a32f280a8174eef80811f6610d41523e6f08d34561f29442abd05c4	STABLE_49	1	1684834	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	1603651	1603651	30608036	0	0
T256	STR_2e3b147f9188	STRUCTURAL_STRATUM	DECODE	FLASH	PYTORCH_FLASH_FWD	FLASH_FWD_SPLITKV_COMBINE	STABLE_24	1	2164261	PORTABLE_IMPLEMENTATION_SHAPE_VARIANT	CANONICAL_IMPLEMENTATION_FAMILY_AND_RECURRENCE_MATCH;EXACT_SPECIALIZATION_DIFFERS	0	0	1418563	6908040	0	0
T256	STR_3ee044e4b346	STRUCTURAL_STRATUM	DECODE	GEMV	CUBLAS_GEMV	CUBLAS_GEMV_EXACT_9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	STABLE_48	1	24759017	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	24699643	24699643	60560984	0	0
T256	STR_48b98b28a393	STRUCTURAL_STRATUM	DECODE	ELEMENTWISE	AT_NATIVE_UNROLLED_ELEMENTWISE	EXACT_SHA256_26d2f4f0b5d9d5b83d006b5e996d302bc2540a6b46e756e9c77b55f1b382e8bb	STABLE_49	1	3378439	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	3439809	3439809	30608036	0	0
T256	STR_4d6a458e05a7	STRUCTURAL_STRATUM	PREFILL	GEMM	CUBLAS_GEMM	CUTLASS_F16_GEMM_256X128_32X3_TN_ALIGN8	ONE_OBSERVED_PASS	1	6155566	PORTABLE_IMPLEMENTATION_SHAPE_VARIANT	SAME_EXACT_FUNCTION_AND_RECURRENCE;GRID_OR_BLOCK_DIFFERS	0	0	796033	3636038	0	0
T256	STR_6d8d2509696c	STRUCTURAL_STRATUM	DECODE	GEMV	CUBLAS_GEMV	CUBLAS_GEMV_EXACT_64f86c20cfc766d359c75d4b471c98ecf3fa8577e91f37cfb5564379668a2353	STABLE_48	1	4468140	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	4439139	11257579	60560984	0	0
T256	STR_83d0c7bfb367	STRUCTURAL_STRATUM	DECODE	FLASH	PYTORCH_FLASH_FWD	FLASH_FWD_SPLITKV	STABLE_24	1	9924399	PORTABLE_IMPLEMENTATION_SHAPE_VARIANT	SAME_EXACT_FUNCTION_AND_RECURRENCE;GRID_OR_BLOCK_DIFFERS	0	0	5489477	6908040	0	0
T256	STR_860680a18dcd	STRUCTURAL_STRATUM	DECODE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_2cd3f805e75b60f437e0ecf47f1945becd532a081eeb10bb36e7cc262e6f7e26	STABLE_72	1	2274215	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	2329314	2329314	30608036	0	0
T256	STR_8a5773a1d265	STRUCTURAL_STRATUM	DECODE	GEMV	CUBLAS_GEMV	CUBLAS_GEMV_EXACT_64f86c20cfc766d359c75d4b471c98ecf3fa8577e91f37cfb5564379668a2353	STABLE_48	1	6837034	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	6818440	11257579	60560984	0	0
T256	STR_8bc741e5debc	STRUCTURAL_STRATUM	DECODE	GEMV	CUBLAS_GEMV	CUBLAS_GEMV_EXACT_9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	STABLE_24	1	11757630	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	11629254	11629254	60560984	0	0
T256	STR_9222044406be	STRUCTURAL_STRATUM	DECODE	COPY	COPY_KERNEL	EXACT_SHA256_e593dab8aec90bd69f8465eb6a67ce3b4db21258884d7c33fec094f870a90650	VARIABLE_48_96	1	3071111	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	2945953	2945953	5760898	0	0
T256	STR_b0eca525e868	STRUCTURAL_STRATUM	PREFILL	FLASH	PYTORCH_FLASH_FWD	FLASH_FWD	ONE_OBSERVED_PASS	1	3624299	PORTABLE_IMPLEMENTATION_SHAPE_VARIANT	SAME_EXACT_FUNCTION_AND_RECURRENCE;GRID_OR_BLOCK_DIFFERS	0	0	262016	262016	0	0
T256	STR_c6105f5a2136	STRUCTURAL_STRATUM	DECODE	ELEMENTWISE	AT_NATIVE_UNROLLED_ELEMENTWISE	EXACT_SHA256_3702ca85440b806203a31d138d80432ce866ff4ba454c09654edbe7c32daf526	STABLE_49	1	3157799	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	3183144	3183144	30608036	0	0
T256	STR_ca7222ce4e26	STRUCTURAL_STRATUM	PREFILL	GEMM	CUBLAS_GEMM	EXACT_SHA256_8530e1eefcc894c7e7a5fc850f51ffdce69371602db40ea0cca0c9242443f1f5	ONE_OBSERVED_PASS	1	4783818	PORTABLE_IMPLEMENTATION_SHAPE_VARIANT	SAME_EXACT_FUNCTION_AND_RECURRENCE;GRID_OR_BLOCK_DIFFERS	0	0	1399393	3636038	0	0
T256	STR_ccdc733edc2b	STRUCTURAL_STRATUM	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_91297a911e5ce0bc544f9f1e69b7e03db76a50894146196e6db519747eea57d6	STABLE_49	1	2160965	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	2179780	2179780	30608036	0	0
T256	STR_e0922aa2a506	STRUCTURAL_STRATUM	DECODE	REDUCE	AT_NATIVE_REDUCE	EXACT_SHA256_d1934c1198203f32a8446aa6060a5371f039492e919c517e67a0ff56e061d5c8	STABLE_49	1	3475750	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	3476132	3476132	3476132	0	0
T256	STR_e5778137820d	STRUCTURAL_STRATUM	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_3152a5cb6f7e1e6677da5888d1fefa8b3ca559fddf1fb0c4617d0cb56def4477	STABLE_48	1	1953708	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	1963776	4788323	30608036	0	0
T256	STR_fb002dc5652b	STRUCTURAL_STRATUM	DECODE	GEMV	CUBLAS_GEMV	CUBLAS_GEMV_EXACT_9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	STABLE_1	1	13107325	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	12974508	12974508	60560984	0	0
T256	TRJ_a372e5defa43	DECODE_SHAPE_TRAJECTORY	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	32	10661015	PORTABLE_IMPLEMENTATION_SHAPE_VARIANT	SAME_EXACT_FUNCTION_AND_RECURRENCE;GRID_OR_BLOCK_DIFFERS	0	0	3356867	30608036	0	0
T8192	STR_01503476cf8d	STRUCTURAL_STRATUM	DECODE	COPY	COPY_KERNEL	EXACT_SHA256_1dcd309bfcaf4619985c9773e3174747e99765bae9400e943b6c6c44db5ba036	VARIABLE_0_48	1	4982632	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	12843729	0	16064276	0	0
T8192	STR_1a4d1a138a59	STRUCTURAL_STRATUM	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_3152a5cb6f7e1e6677da5888d1fefa8b3ca559fddf1fb0c4617d0cb56def4477	STABLE_48	1	2816200	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	2555780	4341414	55904961	0	0
T8192	STR_1e33a02a023d	STRUCTURAL_STRATUM	PREFILL	GEMM	CUBLAS_GEMM	CUTLASS_F16_GEMM_256X128_32X3_TN_ALIGN8	ONE_OBSERVED_PASS	1	9737876	PORTABLE_IMPLEMENTATION_SHAPE_VARIANT	SAME_EXACT_FUNCTION_AND_RECURRENCE;GRID_OR_BLOCK_DIFFERS	0	0	24471716	88070936	0	0
T8192	STR_1e8f76f5cafe	STRUCTURAL_STRATUM	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_bdd4f2099fa3c9f8e3b033bd895b8cab81b6e96352879bf37854ae6723f62c16	STABLE_48	1	2397031	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	2177090	2177090	55904961	0	0
T8192	STR_1f2dafe69bb0	STRUCTURAL_STRATUM	DECODE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_e88663be9a32f280a8174eef80811f6610d41523e6f08d34561f29442abd05c4	STABLE_49	1	1684834	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	1642116	1642116	55904961	0	0
T8192	STR_2e3b147f9188	STRUCTURAL_STRATUM	DECODE	FLASH	PYTORCH_FLASH_FWD	FLASH_FWD_SPLITKV_COMBINE	STABLE_24	1	2164261	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	1969571	1969571	27241312	0	0
T8192	STR_3ee044e4b346	STRUCTURAL_STRATUM	DECODE	GEMV	CUBLAS_GEMV	CUBLAS_GEMV_EXACT_9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	STABLE_48	1	24759017	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	24154538	24154538	59501288	0	0
T8192	STR_48b98b28a393	STRUCTURAL_STRATUM	DECODE	ELEMENTWISE	AT_NATIVE_UNROLLED_ELEMENTWISE	EXACT_SHA256_26d2f4f0b5d9d5b83d006b5e996d302bc2540a6b46e756e9c77b55f1b382e8bb	STABLE_49	1	3378439	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	3088548	3088548	55904961	0	0
T8192	STR_4d6a458e05a7	STRUCTURAL_STRATUM	PREFILL	GEMM	CUBLAS_GEMM	CUTLASS_F16_GEMM_256X128_32X3_TN_ALIGN8	ONE_OBSERVED_PASS	1	6155566	PORTABLE_IMPLEMENTATION_SHAPE_VARIANT	SAME_EXACT_FUNCTION_AND_RECURRENCE;GRID_OR_BLOCK_DIFFERS	0	0	24471716	88070936	0	0
T8192	STR_6d8d2509696c	STRUCTURAL_STRATUM	DECODE	GEMV	CUBLAS_GEMV	CUBLAS_GEMV_EXACT_64f86c20cfc766d359c75d4b471c98ecf3fa8577e91f37cfb5564379668a2353	STABLE_48	1	4468140	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	4220167	10819090	59501288	0	0
T8192	STR_83d0c7bfb367	STRUCTURAL_STRATUM	DECODE	FLASH	PYTORCH_FLASH_FWD	FLASH_FWD_SPLITKV	STABLE_24	1	9924399	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	25271741	25271741	27241312	0	0
T8192	STR_860680a18dcd	STRUCTURAL_STRATUM	DECODE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	EXACT_SHA256_2cd3f805e75b60f437e0ecf47f1945becd532a081eeb10bb36e7cc262e6f7e26	STABLE_72	1	2274215	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	2088195	2088195	55904961	0	0
T8192	STR_8a5773a1d265	STRUCTURAL_STRATUM	DECODE	GEMV	CUBLAS_GEMV	CUBLAS_GEMV_EXACT_64f86c20cfc766d359c75d4b471c98ecf3fa8577e91f37cfb5564379668a2353	STABLE_48	1	6837034	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	6598923	10819090	59501288	0	0
T8192	STR_8bc741e5debc	STRUCTURAL_STRATUM	DECODE	GEMV	CUBLAS_GEMV	CUBLAS_GEMV_EXACT_9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	STABLE_24	1	11757630	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	11449495	11449495	59501288	0	0
T8192	STR_9222044406be	STRUCTURAL_STRATUM	DECODE	COPY	COPY_KERNEL	EXACT_SHA256_e593dab8aec90bd69f8465eb6a67ce3b4db21258884d7c33fec094f870a90650	VARIABLE_48_96	1	3071111	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	3173763	3173763	16064276	0	0
T8192	STR_b0eca525e868	STRUCTURAL_STRATUM	PREFILL	FLASH	PYTORCH_FLASH_FWD	FLASH_FWD	ONE_OBSERVED_PASS	1	3624299	PORTABLE_IMPLEMENTATION_SHAPE_VARIANT	SAME_EXACT_FUNCTION_AND_RECURRENCE;GRID_OR_BLOCK_DIFFERS	0	0	37437222	37437222	0	0
T8192	STR_c6105f5a2136	STRUCTURAL_STRATUM	DECODE	ELEMENTWISE	AT_NATIVE_UNROLLED_ELEMENTWISE	EXACT_SHA256_3702ca85440b806203a31d138d80432ce866ff4ba454c09654edbe7c32daf526	STABLE_49	1	3157799	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	2871426	2871426	55904961	0	0
T8192	STR_ca7222ce4e26	STRUCTURAL_STRATUM	PREFILL	GEMM	CUBLAS_GEMM	EXACT_SHA256_8530e1eefcc894c7e7a5fc850f51ffdce69371602db40ea0cca0c9242443f1f5	ONE_OBSERVED_PASS	1	4783818	PORTABLE_IMPLEMENTATION_SHAPE_VARIANT	SAME_EXACT_FUNCTION_AND_RECURRENCE;GRID_OR_BLOCK_DIFFERS	0	0	18263298	88070936	0	0
T8192	STR_ccdc733edc2b	STRUCTURAL_STRATUM	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_91297a911e5ce0bc544f9f1e69b7e03db76a50894146196e6db519747eea57d6	STABLE_49	1	2160965	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	1973446	1973446	55904961	0	0
T8192	STR_e0922aa2a506	STRUCTURAL_STRATUM	DECODE	REDUCE	AT_NATIVE_REDUCE	EXACT_SHA256_d1934c1198203f32a8446aa6060a5371f039492e919c517e67a0ff56e061d5c8	STABLE_49	1	3475750	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	3132422	3132422	3132422	0	0
T8192	STR_e5778137820d	STRUCTURAL_STRATUM	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_3152a5cb6f7e1e6677da5888d1fefa8b3ca559fddf1fb0c4617d0cb56def4477	STABLE_48	1	1953708	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	1785634	4341414	55904961	0	0
T8192	STR_fb002dc5652b	STRUCTURAL_STRATUM	DECODE	GEMV	CUBLAS_GEMV	CUBLAS_GEMV_EXACT_9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	STABLE_1	1	13107325	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	13078165	13078165	59501288	0	0
T8192	TRJ_a372e5defa43	DECODE_SHAPE_TRAJECTORY	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	32	10661015	PORTABLE_IMPLEMENTATION_SHAPE_VARIANT	SAME_EXACT_FUNCTION_AND_RECURRENCE;GRID_OR_BLOCK_DIFFERS	0	0	31077217	55904961	0	0
B4	STR_01503476cf8d	STRUCTURAL_STRATUM	DECODE	COPY	COPY_KERNEL	EXACT_SHA256_1dcd309bfcaf4619985c9773e3174747e99765bae9400e943b6c6c44db5ba036	VARIABLE_0_48	1	4982632	PORTABLE_EXACT	FULL_EXACT_IMPLEMENTATION_GRID_BLOCK_PRESENT	1	14567774	0	18536066	0	0
