scenario	phase	family_archetype	normalized_kernel_family	exact_implementation_sha256	implementation_family_key	recurrence_signature	grid	block	launch_count	accumulated_gpu_duration_ns	scenario_gpu_time_share	s2_balanced_relation	scenario_specific_high_mass_gap	meta_suite_relation	remaining_high_mass_exact_gap
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3623,1,1	128,1,1	48	337536	0.002179382323678849	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3621,1,1	128,1,1	48	337408	0.002178555860909157	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3619,1,1	128,1,1	48	337217	0.0021773226234950063	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3618,1,1	128,1,1	48	337120	0.002176696319677349	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3614,1,1	128,1,1	48	336929	0.0021754630822631987	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3612,1,1	128,1,1	48	336897	0.0021752564665707755	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3609,1,1	128,1,1	48	336800	0.002174630162753118	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3616,1,1	128,1,1	48	336641	0.0021736035410313908	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3611,1,1	128,1,1	48	336128	0.002170291233212233	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3607,1,1	128,1,1	48	336096	0.0021700846175198097	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3605,1,1	128,1,1	48	336065	0.002169884458567775	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3602,1,1	128,1,1	48	335905	0.0021688513801056595	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3604,1,1	128,1,1	48	335746	0.002167824758383932	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3600,1,1	128,1,1	48	335648	0.0021671919978258863	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3598,1,1	128,1,1	48	335553	0.0021665786074890054	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3593,1,1	128,1,1	48	335137	0.002163892603487505	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3591,1,1	128,1,1	48	335073	0.002163479372102659	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3597,1,1	128,1,1	48	335009	0.002163066140717813	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3588,1,1	128,1,1	48	334977	0.0021628595250253895	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3595,1,1	128,1,1	48	334752	0.0021614067584380396	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3590,1,1	128,1,1	48	334304	0.0021585141387441163	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3586,1,1	128,1,1	48	333601	0.0021539750502511962	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3637,1,1	128,1,1	48	316226	0.002041789186005842	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3640,1,1	128,1,1	48	293667	0.001896131579587945	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	3639,1,1	128,1,1	48	293569	0.0018954988190298993	LEVEL3_EXACT	NO	LEVEL3_EXACT	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_UNROLLED_ELEMENTWISE	26d2f4f0b5d9d5b83d006b5e996d302bc2540a6b46e756e9c77b55f1b382e8bb	EXACT_SHA256_26d2f4f0b5d9d5b83d006b5e996d302bc2540a6b46e756e9c77b55f1b382e8bb	STABLE_2	1,1,1	128,1,1	64	78784	0.00050868783474567	LEVEL1_ARCHETYPE_ONLY	NO	LEVEL1_ARCHETYPE_ONLY	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	a43e69a63440bd40b51a333c784e6c93da8a5d97e93b96abb6fdaa150d7c6302	EXACT_SHA256_a43e69a63440bd40b51a333c784e6c93da8a5d97e93b96abb6fdaa150d7c6302	STABLE_2	1,1,1	128,1,1	64	61664	0.00039814843929931196	LEVEL1_ARCHETYPE_ONLY	NO	LEVEL1_ARCHETYPE_ONLY	NO
S2	DECODE	OTHER	OTHER_EXACT_IMPLEMENTATION	d71007a2126c2b81da00e00d42fe2158c2639bbad926caa197a2cf8e98c1c922	EXACT_SHA256_d71007a2126c2b81da00e00d42fe2158c2639bbad926caa197a2cf8e98c1c922	STABLE_1	7,1,1	128,1,1	32	59648	0.0003851316506766567	UNCOVERED_ARCHETYPE	NO	UNCOVERED_ARCHETYPE	NO
S2	DECODE	COPY	COPY_KERNEL	5fe75b7df488d1ed3fba483dcdad114fa364a783823058ebc540d8d8788bf0e1	EXACT_SHA256_5fe75b7df488d1ed3fba483dcdad114fa364a783823058ebc540d8d8788bf0e1	STABLE_1	1,2,1	128,1,1	32	47904	0.0003093036915573793	LEVEL1_ARCHETYPE_ONLY	NO	LEVEL1_ARCHETYPE_ONLY	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_UNROLLED_ELEMENTWISE	3702ca85440b806203a31d138d80432ce866ff4ba454c09654edbe7c32daf526	EXACT_SHA256_3702ca85440b806203a31d138d80432ce866ff4ba454c09654edbe7c32daf526	STABLE_1	1,1,1	128,1,1	32	43872	0.00028327011431206883	LEVEL1_ARCHETYPE_ONLY	NO	LEVEL1_ARCHETYPE_ONLY	NO
S2	DECODE	GEMM	CUBLAS_GEMM	236b2b929cf3f9ebf8ad18474634f2a94ee4eec7cf4cb0d73ff98ef8a395c849	EXACT_SHA256_236b2b929cf3f9ebf8ad18474634f2a94ee4eec7cf4cb0d73ff98ef8a395c849	STABLE_1	1,1,1	256,1,1	32	40832	0.00026364162353187447	UNCOVERED_ARCHETYPE	NO	LEVEL1_ARCHETYPE_ONLY	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	a68982cf6d846a655cd482da3ca16cf4540e49dfc55e4ebbd4b26df2d827866e	EXACT_SHA256_a68982cf6d846a655cd482da3ca16cf4540e49dfc55e4ebbd4b26df2d827866e	STABLE_1	1,1,1	128,1,1	32	39392	0.000254343917372835	LEVEL1_ARCHETYPE_ONLY	NO	LEVEL1_ARCHETYPE_ONLY	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	07f1489f01f6aeca4c868a66daa2d779d06d084290e03498907d6ca894520361	EXACT_SHA256_07f1489f01f6aeca4c868a66daa2d779d06d084290e03498907d6ca894520361	STABLE_1	1,1,1	128,1,1	32	38560	0.0002489719093698344	LEVEL1_ARCHETYPE_ONLY	NO	LEVEL1_ARCHETYPE_ONLY	NO
S2	DECODE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	9b1cdd2742b2670c8e01f898eb0822cd8797c01086aac0c04669129e160274ce	EXACT_SHA256_9b1cdd2742b2670c8e01f898eb0822cd8797c01086aac0c04669129e160274ce	STABLE_1	1,1,1	64,1,1	32	28160	0.0001818218093323272	LEVEL1_ARCHETYPE_ONLY	NO	LEVEL1_ARCHETYPE_ONLY	NO
