target_id	candidate_id	source_scenario	represented_scenarios	scenario_mass_ns_nonadditive	meta_role	phase	normalized_kernel_family	family_archetype	implementation_family_key	recurrence_signature	exact_implementation_sha256	grid	block	decode_step	group_total_native_mass_ns_nonadditive	group_mass_accounted_ns	asset_classification	capture_authorized	selection_reason
EXT_EXACT_9658f26e9e23_P1	EXT_EXACT_9658f26e9e23	T256	T256	T256:262016	SCENARIO_EXTENSION	PREFILL	PYTORCH_FLASH_FWD	FLASH	FLASH_FWD	ONE_OBSERVED_PASS	28f5ddff59b2ab385e957e346a004210bdff57579ab7607d302907c74f415ba4	2,1,14	128,1,1	REPRESENTATIVE_STEP_UNRESOLVED	262016	262016	MISSING_SIM_TRACE_PLANNING	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_a01c2b11d255_P1	EXT_EXACT_a01c2b11d255	T8192	B4;T8192	B4:36828986;T8192:36834608	SCENARIO_EXTENSION	PREFILL	CUBLAS_GEMM	GEMM	EXACT_SHA256_6772506365e233da090e0ec1971f29a2a97bb416727f6cee57157daa8f9f1462	ONE_OBSERVED_PASS	6772506365e233da090e0ec1971f29a2a97bb416727f6cee57157daa8f9f1462	38,64,1	128,1,1	REPRESENTATIVE_STEP_UNRESOLVED	73663594	73663594	MISSING_SIM_TRACE_PLANNING	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_b32af2ffd236_P1	EXT_EXACT_b32af2ffd236	T8192	B4;T8192	B4:9365871;T8192:9377218	SCENARIO_EXTENSION	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	EXACT_SHA256_e88663be9a32f280a8174eef80811f6610d41523e6f08d34561f29442abd05c4	ONE_OBSERVED_PASS	e88663be9a32f280a8174eef80811f6610d41523e6f08d34561f29442abd05c4	77824,1,1	128,1,1	REPRESENTATIVE_STEP_UNRESOLVED	18743089	18743089	MISSING_SIM_TRACE_PLANNING	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_b9e960de7c28_P1	EXT_EXACT_b9e960de7c28	B4	B4;T8192	B4:18267771;T8192:18263298	SCENARIO_EXTENSION	PREFILL	CUBLAS_GEMM	GEMM	EXACT_SHA256_8530e1eefcc894c7e7a5fc850f51ffdce69371602db40ea0cca0c9242443f1f5	ONE_OBSERVED_PASS	8530e1eefcc894c7e7a5fc850f51ffdce69371602db40ea0cca0c9242443f1f5	7,64,1	128,1,1	REPRESENTATIVE_STEP_UNRESOLVED	36531069	36531069	MISSING_SIM_TRACE_PLANNING	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_d01bca44e9a3_P1	EXT_EXACT_d01bca44e9a3	B4	B4	B4:9882478	SCENARIO_EXTENSION	PREFILL	PYTORCH_FLASH_FWD	FLASH	FLASH_FWD	ONE_OBSERVED_PASS	28f5ddff59b2ab385e957e346a004210bdff57579ab7607d302907c74f415ba4	16,4,14	128,1,1	REPRESENTATIVE_STEP_UNRESOLVED	9882478	9882478	MISSING_SIM_TRACE_PLANNING	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_EXACT_d24393dd9bd1_P1	EXT_EXACT_d24393dd9bd1	B4	B4;T8192	B4:5796680;T8192:5795192	SCENARIO_EXTENSION	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	ELEMENTWISE	EXACT_SHA256_0c13d038c2620873928ae5a36dd84e84b24a70287e3637f75bc0f3ed71c8a4d1	ONE_OBSERVED_PASS	0c13d038c2620873928ae5a36dd84e84b24a70287e3637f75bc0f3ed71c8a4d1	77824,1,1	128,1,1	REPRESENTATIVE_STEP_UNRESOLVED	11591872	11591872	MISSING_SIM_TRACE_PLANNING	NO	EXACT_IMPLEMENTATION_GRID_BLOCK_SHARED_WHERE_PRESENT
EXT_TRJ_305523e4b3a4_P1	EXT_TRJ_305523e4b3a4	T256	T256	T256:3356867	SCENARIO_EXTENSION	DECODE	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	450,1,1	128,1,1	1	3356867	3356867	MISSING_SIM_TRACE_PLANNING	NO	SOURCE_MONOTONIC_GRID_RECURRENCE_48
EXT_TRJ_305523e4b3a4_P2	EXT_TRJ_305523e4b3a4	T256	T256	T256:3356867	SCENARIO_EXTENSION	DECODE	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	476,1,1	128,1,1	16	3356867	0	MISSING_SIM_TRACE_PLANNING	NO	SOURCE_MONOTONIC_GRID_RECURRENCE_48
EXT_TRJ_305523e4b3a4_P3	EXT_TRJ_305523e4b3a4	T256	T256	T256:3356867	SCENARIO_EXTENSION	DECODE	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	504,1,1	128,1,1	32	3356867	0	MISSING_SIM_TRACE_PLANNING	NO	SOURCE_MONOTONIC_GRID_RECURRENCE_48
EXT_TRJ_874f0472206c_P1	EXT_TRJ_874f0472206c	T8192	T8192	T8192:31077217	SCENARIO_EXTENSION	DECODE	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	14338,1,1	128,1,1	1	31077217	31077217	MISSING_SIM_TRACE_PLANNING	NO	SOURCE_MONOTONIC_GRID_RECURRENCE_48
EXT_TRJ_874f0472206c_P2	EXT_TRJ_874f0472206c	T8192	T8192	T8192:31077217	SCENARIO_EXTENSION	DECODE	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	14364,1,1	128,1,1	16	31077217	0	MISSING_SIM_TRACE_PLANNING	NO	SOURCE_MONOTONIC_GRID_RECURRENCE_48
EXT_TRJ_874f0472206c_P3	EXT_TRJ_874f0472206c	T8192	T8192	T8192:31077217	SCENARIO_EXTENSION	DECODE	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	14392,1,1	128,1,1	32	31077217	0	MISSING_SIM_TRACE_PLANNING	NO	SOURCE_MONOTONIC_GRID_RECURRENCE_48
EXT_TRJ_c23e188c1e40_P1	EXT_TRJ_c23e188c1e40	B4	B4	B4:31434347	SCENARIO_EXTENSION	DECODE	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	14343,1,1	128,1,1	1	31434347	31434347	MISSING_SIM_TRACE_PLANNING	NO	SOURCE_MONOTONIC_GRID_RECURRENCE_48
EXT_TRJ_c23e188c1e40_P2	EXT_TRJ_c23e188c1e40	B4	B4	B4:31434347	SCENARIO_EXTENSION	DECODE	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	14448,1,1	128,1,1	16	31434347	0	MISSING_SIM_TRACE_PLANNING	NO	SOURCE_MONOTONIC_GRID_RECURRENCE_48
EXT_TRJ_c23e188c1e40_P3	EXT_TRJ_c23e188c1e40	B4	B4	B4:31434347	SCENARIO_EXTENSION	DECODE	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	14560,1,1	128,1,1	32	31434347	0	MISSING_SIM_TRACE_PLANNING	NO	SOURCE_MONOTONIC_GRID_RECURRENCE_48
EXT_TRJ_f72c35c4785d_P1	EXT_TRJ_f72c35c4785d	D128	D128	D128:28654328	SCENARIO_EXTENSION	DECODE	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	3642,1,1	128,1,1	33	28654328	28654328	MISSING_SIM_TRACE_PLANNING	NO	SOURCE_MONOTONIC_GRID_RECURRENCE_48
EXT_TRJ_f72c35c4785d_P2	EXT_TRJ_f72c35c4785d	D128	D128	D128:28654328	SCENARIO_EXTENSION	DECODE	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	3724,1,1	128,1,1	80	28654328	0	MISSING_SIM_TRACE_PLANNING	NO	SOURCE_MONOTONIC_GRID_RECURRENCE_48
EXT_TRJ_f72c35c4785d_P3	EXT_TRJ_f72c35c4785d	D128	D128	D128:28654328	SCENARIO_EXTENSION	DECODE	AT_NATIVE_ELEMENTWISE	ELEMENTWISE	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	ONE_STEP_SHAPE_48	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	3808,1,1	128,1,1	128	28654328	0	MISSING_SIM_TRACE_PLANNING	NO	SOURCE_MONOTONIC_GRID_RECURRENCE_48
