scenario_binding	phase	normalized_kernel_family	exact_implementation	grid	block	phase_accumulated_gpu_duration_ns	phase_gpu_time_share_full_s2	family_accumulated_gpu_duration_ns	family_gpu_time_share_full_s2	family_gpu_time_share_within_phase	stratum_accumulated_gpu_duration_ns	stratum_gpu_time_share_full_s2	stratum_gpu_time_share_within_phase	performance_weight_label
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_UNROLLED_ELEMENTWISE	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	2,1,1	128,1,1	122454407	0.790656315392656	6658894	0.04299474983068813	0.05437855740055154	3157799	0.020389088341186558	0.025787548830316902	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	COPY_KERNEL	void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)	152,2,1	512,1,1	122454407	0.790656315392656	8101647	0.05231023139601636	0.06616051801222637	3071111	0.019829366430412384	0.025079628208072576	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	2,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	2816200	0.018183472281310363	0.022997947309483114	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	1,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	2397031	0.015477006869519801	0.019574885532702795	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2,1,1	128,1,1	122454407	0.790656315392656	11082751	0.07155844599430605	0.0905051216327396	2274215	0.014684015841999947	0.018571932654085695	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	PYTORCH_FLASH_FWD	void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (int)8, (int)4, (bool)1>(pytorch_flash::Flash_fwd_params)	2,1,1	128,1,1	122454407	0.790656315392656	12088660	0.0780533392614819	0.09871968103197788	2164261	0.013974071409353401	0.017674014786580934	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	4,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	2160965	0.013952789993033822	0.017647098646274118	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	1,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	1953708	0.012614585350392128	0.015954574832084237	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2,1,1	128,1,1	122454407	0.790656315392656	11082751	0.07155844599430605	0.0905051216327396	1684834	0.010878535735249367	0.013758867820902517	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	1,1,1	128,1,1	122454407	0.790656315392656	11082751	0.07155844599430605	0.0905051216327396	1548388	0.00999753933623805	0.012644608209159839	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	2,1,1	128,1,1	122454407	0.790656315392656	11082751	0.07155844599430605	0.0905051216327396	1525381	0.009848989110126228	0.012456726036817932	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)	1,1,1	128,1,1	122454407	0.790656315392656	11082751	0.07155844599430605	0.0905051216327396	1517863	0.009800447335887577	0.012395331758047712	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 5)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	10,1,1	128,1,1	122454407	0.790656315392656	11082751	0.07155844599430605	0.0905051216327396	878978	0.005675332752958462	0.007178002176761184	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	10,1,1	128,1,1	122454407	0.790656315392656	11082751	0.07155844599430605	0.0905051216327396	761826	0.004918912702997496	0.00622130324799172	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char *, (int)3>>(int, T2, T3)	1,1,1	128,1,1	122454407	0.790656315392656	11082751	0.07155844599430605	0.0905051216327396	751650	0.004853208912806951	0.006138202931316306	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3635,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	338529	0.0021857938668843535	0.002764530965390245	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3630,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	338464	0.002185374178759119	0.0027640001555844372	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3633,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	338336	0.002184547715989427	0.0027629548685822306	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3632,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	338208	0.0021837212532197343	0.0027619095815800245	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3625,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	337953	0.0021820747844207376	0.0027598271738803162	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3628,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	337921	0.0021818681687283147	0.0027595658521297646	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3626,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	337600	0.0021797955550636955	0.0027569444683195436	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3623,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	337536	0.002179382323678849	0.0027564218248184403	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3621,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	337408	0.002178555860909157	0.0027553765378162337	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3619,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	337217	0.0021773226234950063	0.002753816773617629	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3618,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	337120	0.002176696319677349	0.0027530246420612694	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3614,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	336929	0.0021754630822631987	0.0027514648778626644	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3612,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	336897	0.0021752564665707755	0.0027512035561121128	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3609,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	336800	0.002174630162753118	0.0027504114245557533	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3616,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	336641	0.0021736035410313908	0.0027491129821077	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3611,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	336128	0.002170291233212233	0.002744923667794169	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3607,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	336096	0.0021700846175198097	0.0027446623460436175	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3605,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	336065	0.002169884458567775	0.002744409190597771	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3602,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	335905	0.0021688513801056595	0.0027431025818450126	SCENARIO_SPECIFIC
B=1;Prefill=2048;Decode=32;FP16;SDPA;TEXT_S2	DECODE	AT_NATIVE_ELEMENTWISE	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3604,1,1	128,1,1	122454407	0.790656315392656	20017079	0.12924508243352736	0.1634655664128119	335746	0.002167824758383932	0.0027418041393969593	SCENARIO_SPECIFIC
