workload	dimension	point	mode	summary	origin
BICG	physical	40	OO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v6/fast64_sens_v8_bicg_physical40_oo.json	STRICT_TERMINAL_SENSITIVITY
BICG	physical	48	IO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v7/fast64_sens_v9_bicg_physical48_io.json	STRICT_TERMINAL_SENSITIVITY
BICG	physical	48	OO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v7/fast64_sens_v10_bicg_physical48_oo.json	STRICT_TERMINAL_SENSITIVITY
BICG	pib	128	IO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib128_bicg_io_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
BICG	pib	128	OO	docs/dtc_l1/fast64/generated/fast64_repaired_ramp2_v1/fast64_bicg_oo_core95ccdb7a_a1_r1.json	EXACT_FAST64_4_PRIMARY_REUSE
BICG	pib	192	IO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib192_bicg_io_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
BICG	pib	192	OO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib192_bicg_oo_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
BICG	pib	256	IO	docs/dtc_l1/fast64/generated/fast64_repaired_ramp2_v1/fast64_bicg_io_core95ccdb7a_a1_r1.json	EXACT_FAST64_4_PRIMARY_REUSE
BICG	pib	256	OO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib256_bicg_oo_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
BICG	pib	32	IO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib32_bicg_io_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
BICG	pib	32	OO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib32_bicg_oo_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
BICG	pib	64	IO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib64_bicg_io_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
BICG	pib	64	OO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib64_bicg_oo_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
Btree	logical	16	IO	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical16_btree_io_core95_a1_v2.json	STRICT_TERMINAL_SENSITIVITY
Btree	logical	16	OO	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical16_btree_oo_core95_a1_v2.json	STRICT_TERMINAL_SENSITIVITY
Btree	logical	32	IO	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical32_btree_io_core95_a1_v2.json	STRICT_TERMINAL_SENSITIVITY
Btree	logical	32	OO	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical32_btree_oo_core95_a1_v2.json	STRICT_TERMINAL_SENSITIVITY
Btree	logical	64	IO	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical64_btree_io_core95_a1_v2.json	STRICT_TERMINAL_SENSITIVITY
Btree	logical	64	OO	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical64_btree_oo_core95_a1_v2.json	STRICT_TERMINAL_SENSITIVITY
Btree	physical	16.5	IO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_btree_physical16p5_io.json	STRICT_TERMINAL_SENSITIVITY
Btree	physical	16.5	OO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_btree_physical16p5_oo.json	STRICT_TERMINAL_SENSITIVITY
Btree	physical	24	IO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_btree_physical24_io.json	STRICT_TERMINAL_SENSITIVITY
Btree	physical	24	OO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical24_oo.json	STRICT_TERMINAL_SENSITIVITY
Btree	physical	32	IO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v4/fast64_sens_v6_btree_physical32_io.json	STRICT_TERMINAL_SENSITIVITY
Btree	physical	32	OO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v4/fast64_sens_v6_btree_physical32_oo.json	STRICT_TERMINAL_SENSITIVITY
Btree	physical	40	IO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical40_io.json	STRICT_TERMINAL_SENSITIVITY
Btree	physical	40	OO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical40_oo.json	STRICT_TERMINAL_SENSITIVITY
Btree	physical	48	IO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical48_io.json	STRICT_TERMINAL_SENSITIVITY
Btree	physical	48	OO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_btree_physical48_oo.json	STRICT_TERMINAL_SENSITIVITY
Btree	pib	128	IO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib128_btree_io_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
Btree	pib	128	OO	docs/dtc_l1/fast64/generated/fast64_repaired_ramp_v1/fast64_btree_oo_core95ccdb7a_a1_r1.json	EXACT_FAST64_4_PRIMARY_REUSE
Btree	pib	192	IO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib192_btree_io_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
Btree	pib	192	OO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib192_btree_oo_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
Btree	pib	256	IO	docs/dtc_l1/fast64/generated/fast64_repaired_ramp_v1/fast64_btree_io_core95ccdb7a_a1_r1.json	EXACT_FAST64_4_PRIMARY_REUSE
Btree	pib	256	OO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib256_btree_oo_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
Btree	pib	32	IO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib32_btree_io_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
Btree	pib	32	OO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib32_btree_oo_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
Btree	pib	64	IO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib64_btree_io_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
Btree	pib	64	OO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib64_btree_oo_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	logical	16	IO	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical16_gesummv_io_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	logical	16	OO	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical16_gesummv_oo_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	logical	32	IO	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical32_gesummv_io_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	logical	32	OO	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical32_gesummv_oo_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	logical	64	IO	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical64_gesummv_io_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	logical	64	OO	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical64_gesummv_oo_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	physical	24	IO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_gesummv_physical24_io.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	physical	24	OO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_gesummv_physical24_oo.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	physical	32	IO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v8/fast64_sens_v11_gesummv_physical32_io.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	physical	32	OO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v8/fast64_sens_v12_gesummv_physical32_oo.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	physical	40	IO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v10/fast64_sens_v13_gesummv_physical40_io.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	physical	40	OO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v10/fast64_sens_v14_gesummv_physical40_oo.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	physical	48	IO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v11/fast64_sens_v15_gesummv_physical48_io.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	physical	48	OO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v11/fast64_sens_v16_gesummv_physical48_oo.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	pib	128	IO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib128_gesummv_io_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	pib	128	OO	docs/dtc_l1/fast64/generated/fast64_repaired_ramp_v1/fast64_gesummv_oo_core95ccdb7a_a1_r1.json	EXACT_FAST64_4_PRIMARY_REUSE
GESUMMV	pib	192	IO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib192_gesummv_io_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	pib	192	OO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib192_gesummv_oo_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	pib	256	IO	docs/dtc_l1/fast64/generated/fast64_repaired_ramp3_v1/fast64_gesummv_io_core95ccdb7a_a1_r1.json	EXACT_FAST64_4_PRIMARY_REUSE
GESUMMV	pib	256	OO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib256_gesummv_oo_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	pib	32	IO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib32_gesummv_io_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	pib	32	OO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib32_gesummv_oo_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	pib	64	IO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib64_gesummv_io_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
GESUMMV	pib	64	OO	docs/dtc_l1/fast64/generated/fast64_6_pib_precomputed_v1/fast64_sens_pib64_gesummv_oo_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
