scope	semantic_category	normalized_kernel_family	launch_count	launch_count_share	total_gpu_duration_ns	gpu_time_share	mean_ns	median_ns	min_ns	p25_ns	p75_ns	max_ns
DECODE_STEP_3	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	194	0.1844106463878327	294689	0.07693022583140348	1519.0154639175257	1392.0	896	1280.0	1824.0	1920
DECODE_STEP_3	ELEMENTWISE	AT_NATIVE_REDUCE	49	0.04657794676806084	109344	0.0285448680246259	2231.5102040816328	2240	2176	2208	2240	2272
DECODE_STEP_3	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	344	0.3269961977186312	348961	0.09109823758726111	1014.421511627907	992.0	928	992.0	1024.0	1216
DECODE_STEP_3	UNKNOWN	COPY_KERNEL	97	0.09220532319391635	250145	0.06530176335253919	2578.814432989691	2016	1504	1728	3296	3905
DECODE_STEP_3	UNKNOWN	CUBLAS_GEMM	1	0.0009505703422053232	1312	0.00034250500117344513	1312	1312	1312	1312	1312	1312
DECODE_STEP_3	UNKNOWN	CUBLAS_GEMV	169	0.16064638783269963	1899269	0.4958148864890914	11238.278106508877	4512	2752	3072	15968	409121
DECODE_STEP_3	UNKNOWN	OTHER_EXACT_IMPLEMENTATION	1	0.0009505703422053232	1856	0.00048451926995267847	1856	1856	1856	1856	1856	1856
DECODE_STEP_4	ATTENTION_CORE	PYTORCH_FLASH_FWD	48	0.045627376425855515	381376	0.09951465937438028	7945.333333333333	7920.0	2816	2848.0	13056.0	13088
DECODE_STEP_4	COPY_LAYOUT	AT_NATIVE_ELEMENTWISE	48	0.045627376425855515	335073	0.08743254809047167	6980.6875	6976.0	6912	6976.0	7008.0	7072
DECODE_STEP_4	COPY_LAYOUT	AT_NATIVE_UNROLLED_ELEMENTWISE	101	0.09600760456273764	209761	0.0547341585863541	2076.841584158416	2080	1120	2048	2176	2208
DECODE_STEP_4	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	194	0.1844106463878327	294689	0.07689491592647872	1519.0154639175257	1392.0	864	1280.0	1824.0	1920
DECODE_STEP_4	ELEMENTWISE	AT_NATIVE_REDUCE	49	0.04657794676806084	109408	0.028548466219248714	2232.816326530612	2240	2176	2208	2240	2272
DECODE_STEP_4	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	344	0.3269961977186312	348995	0.09106529657965327	1014.5203488372093	992.0	960	992.0	1024.0	1280
DECODE_STEP_4	UNKNOWN	COPY_KERNEL	97	0.09220532319391635	248736	0.06490413217964909	2564.2886597938145	2016	1536	1728	3168	3936
DECODE_STEP_4	UNKNOWN	CUBLAS_GEMM	1	0.0009505703422053232	1280	0.0003339978498888413	1280	1280	1280	1280	1280	1280
DECODE_STEP_4	UNKNOWN	CUBLAS_GEMV	169	0.16064638783269963	1901218	0.49609587825778373	11249.810650887574	4512	2784	3072	16000	409089
DECODE_STEP_4	UNKNOWN	OTHER_EXACT_IMPLEMENTATION	1	0.0009505703422053232	1824	0.0004759469360915989	1824	1824	1824	1824	1824	1824
DECODE_STEP_5	ATTENTION_CORE	PYTORCH_FLASH_FWD	48	0.045627376425855515	381185	0.09939590880561938	7941.354166666667	7904.0	2816	2848.0	13056.0	13152
DECODE_STEP_5	COPY_LAYOUT	AT_NATIVE_ELEMENTWISE	48	0.045627376425855515	335137	0.08738866085860897	6982.020833333333	6976.0	6880	6976.0	7008.0	7040
DECODE_STEP_5	COPY_LAYOUT	AT_NATIVE_UNROLLED_ELEMENTWISE	101	0.09600760456273764	209760	0.05469597657585351	2076.831683168317	2048	1120	2048	2176	2208
DECODE_STEP_5	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	194	0.1844106463878327	294560	0.07680800371940985	1518.3505154639174	1392.0	864	1312.0	1824.0	1920
DECODE_STEP_5	ELEMENTWISE	AT_NATIVE_REDUCE	49	0.04657794676806084	109696	0.02860378454645703	2238.6938775510203	2240	2208	2208	2272	2304
DECODE_STEP_5	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	344	0.3269961977186312	349089	0.09102671513581295	1014.7936046511628	992.0	928	992.0	1024.0	1280
DECODE_STEP_5	UNKNOWN	COPY_KERNEL	97	0.09220532319391635	250369	0.06528497787623888	2581.1237113402062	2016	1504	1760	3200	3904
DECODE_STEP_5	UNKNOWN	CUBLAS_GEMM	1	0.0009505703422053232	1312	0.0003421106086361547	1312	1312	1312	1312	1312	1312
DECODE_STEP_5	UNKNOWN	CUBLAS_GEMV	169	0.16064638783269963	1902053	0.4959699005245609	11254.75147928994	4512	2784	3040	16032	409441
DECODE_STEP_5	UNKNOWN	OTHER_EXACT_IMPLEMENTATION	1	0.0009505703422053232	1856	0.0004839613488023652	1856	1856	1856	1856	1856	1856
DECODE_STEP_6	ATTENTION_CORE	PYTORCH_FLASH_FWD	48	0.045627376425855515	381344	0.09910916005517038	7944.666666666667	7904.0	2816	2848.0	13056.0	13120
DECODE_STEP_6	COPY_LAYOUT	AT_NATIVE_ELEMENTWISE	48	0.045627376425855515	334752	0.08700016139440608	6974	6976.0	6848	6944.0	7008.0	7040
DECODE_STEP_6	COPY_LAYOUT	AT_NATIVE_UNROLLED_ELEMENTWISE	101	0.09600760456273764	209569	0.0544658040079351	2074.940594059406	2048	1120	2016	2176	2208
DECODE_STEP_6	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	194	0.1844106463878327	294753	0.07660464633963465	1519.3453608247423	1392.0	864	1312.0	1792.0	1920
DECODE_STEP_6	ELEMENTWISE	AT_NATIVE_REDUCE	49	0.04657794676806084	109440	0.02844284026086118	2233.469387755102	2240	2176	2208	2240	2272
DECODE_STEP_6	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	344	0.3269961977186312	348992	0.09070105727630176	1014.5116279069767	992.0	928	992.0	1024.0	1248
DECODE_STEP_6	UNKNOWN	COPY_KERNEL	97	0.09220532319391635	254112	0.06604227909692943	2619.7113402061855	2016	1504	1728	3488	4032
DECODE_STEP_6	UNKNOWN	CUBLAS_GEMM	1	0.0009505703422053232	1248	0.00032434817841332927	1248	1248	1248	1248	1248	1248
DECODE_STEP_6	UNKNOWN	CUBLAS_GEMV	169	0.16064638783269963	1911651	0.49682733943270774	11311.544378698225	4544	2784	3072	16032	409441
DECODE_STEP_6	UNKNOWN	OTHER_EXACT_IMPLEMENTATION	1	0.0009505703422053232	1856	0.0004823639576403358	1856	1856	1856	1856	1856	1856
DECODE_STEP_7	ATTENTION_CORE	PYTORCH_FLASH_FWD	48	0.045627376425855515	381792	0.09945545823408419	7954	7920.0	2816	2848.0	13056.0	13248
DECODE_STEP_7	COPY_LAYOUT	AT_NATIVE_ELEMENTWISE	48	0.045627376425855515	335009	0.08726865310834776	6979.354166666667	6976.0	6848	6976.0	7008.0	7040
DECODE_STEP_7	COPY_LAYOUT	AT_NATIVE_UNROLLED_ELEMENTWISE	101	0.09600760456273764	209314	0.05452555261715567	2072.4158415841584	2048	1120	2016	2176	2209
DECODE_STEP_7	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	194	0.1844106463878327	295136	0.07688187840859596	1521.319587628866	1392.0	896	1280.0	1824.0	1920
DECODE_STEP_7	ELEMENTWISE	AT_NATIVE_REDUCE	49	0.04657794676806084	109216	0.028450379595417765	2228.8979591836733	2208	2208	2208	2240	2272
DECODE_STEP_7	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	344	0.3269961977186312	348995	0.09091195636997164	1014.5203488372093	992.0	928	992.0	1024.0	1248
DECODE_STEP_7	UNKNOWN	COPY_KERNEL	97	0.09220532319391635	251264	0.06545337843047767	2590.3505154639174	2016	1504	1728	3456	3968
DECODE_STEP_7	UNKNOWN	CUBLAS_GEMM	1	0.0009505703422053232	1280	0.0003334354479392647	1280	1280	1280	1280	1280	1280
DECODE_STEP_7	UNKNOWN	CUBLAS_GEMV	169	0.16064638783269963	1904930	0.49622749050229964	11271.775147928995	4576	2784	3040	16000	408961
DECODE_STEP_7	UNKNOWN	OTHER_EXACT_IMPLEMENTATION	1	0.0009505703422053232	1888	0.0004918172857104155	1888	1888	1888	1888	1888	1888
DECODE_STEP_8	ATTENTION_CORE	PYTORCH_FLASH_FWD	48	0.045627376425855515	381506	0.09921877174033751	7948.041666666667	7920.0	2816	2848.0	13056.0	13184
DECODE_STEP_8	COPY_LAYOUT	AT_NATIVE_ELEMENTWISE	48	0.045627376425855515	335553	0.08726771404325351	6990.6875	6976.0	6880	6976.0	7008.0	7072
DECODE_STEP_8	COPY_LAYOUT	AT_NATIVE_UNROLLED_ELEMENTWISE	101	0.09600760456273764	209472	0.05447766104331774	2073.980198019802	2048	1152	2016	2176	2208
DECODE_STEP_8	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	194	0.1844106463878327	294785	0.07666512617750544	1519.5103092783504	1392.0	896	1280.0	1824.0	1920
DECODE_STEP_8	ELEMENTWISE	AT_NATIVE_REDUCE	49	0.04657794676806084	109408	0.02845388376216061	2232.816326530612	2240	2208	2208	2240	2272
DECODE_STEP_8	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	344	0.3269961977186312	348802	0.09071339905682532	1013.9593023255813	992.0	928	992.0	1024.0	1312
DECODE_STEP_8	UNKNOWN	COPY_KERNEL	97	0.09220532319391635	251937	0.06552158995126003	2597.2886597938145	2016	1536	1728	3456	3808
DECODE_STEP_8	UNKNOWN	CUBLAS_GEMM	1	0.0009505703422053232	1280	0.0003328912987676	1280	1280	1280	1280	1280	1280
DECODE_STEP_8	UNKNOWN	CUBLAS_GEMV	169	0.16064638783269963	1910500	0.49686627054335925	11304.733727810652	4544	2784	3040	15968	409473
DECODE_STEP_8	UNKNOWN	OTHER_EXACT_IMPLEMENTATION	1	0.0009505703422053232	1856	0.00048269238321302	1856	1856	1856	1856	1856	1856
DECODE_STEP_9	ATTENTION_CORE	PYTORCH_FLASH_FWD	48	0.045627376425855515	381153	0.09915917634663163	7940.6875	7904.0	2816	2848.0	13024.0	13152
DECODE_STEP_9	COPY_LAYOUT	AT_NATIVE_ELEMENTWISE	48	0.045627376425855515	335648	0.08732078515030503	6992.666666666667	6992.0	6912	6976.0	7008.0	7136
DECODE_STEP_9	COPY_LAYOUT	AT_NATIVE_UNROLLED_ELEMENTWISE	101	0.09600760456273764	209569	0.05452059783810503	2074.940594059406	2048	1120	2016	2176	2208
DECODE_STEP_9	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	194	0.1844106463878327	294369	0.0765818125056909	1517.3659793814434	1392.0	896	1280.0	1792.0	1921
DECODE_STEP_9	ELEMENTWISE	AT_NATIVE_REDUCE	49	0.04657794676806084	109568	0.028504754347854364	2236.081632653061	2240	2208	2208	2240	2304
DECODE_STEP_9	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	344	0.3269961977186312	349312	0.09087555445711981	1015.4418604651163	992.0	960	992.0	1024.0	1216
DECODE_STEP_9	UNKNOWN	COPY_KERNEL	97	0.09220532319391635	253217	0.0658758796519115	2610.4845360824743	2016	1504	1729	3552	3968
DECODE_STEP_9	UNKNOWN	CUBLAS_GEMM	1	0.0009505703422053232	1280	0.00033299946668054165	1280	1280	1280	1280	1280	1280
DECODE_STEP_9	UNKNOWN	CUBLAS_GEMV	169	0.16064638783269963	1907878	0.4963455910090144	11289.218934911243	4576	2816	3040	16032	408833
DECODE_STEP_9	UNKNOWN	OTHER_EXACT_IMPLEMENTATION	1	0.0009505703422053232	1856	0.0004828492266867854	1856	1856	1856	1856	1856	1856
DECODE_STEP_10	ATTENTION_CORE	PYTORCH_FLASH_FWD	48	0.045627376425855515	381121	0.09909562994410805	7940.020833333333	7888.0	2816	2848.0	13024.0	13152
DECODE_STEP_10	COPY_LAYOUT	AT_NATIVE_ELEMENTWISE	48	0.045627376425855515	335905	0.08733897522407742	6998.020833333333	6992.0	6912	6976.0	7008.0	7104
DECODE_STEP_10	COPY_LAYOUT	AT_NATIVE_UNROLLED_ELEMENTWISE	101	0.09600760456273764	209665	0.05451519399936349	2075.891089108911	2048	1152	2016	2176	2208
DECODE_STEP_10	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	194	0.1844106463878327	294464	0.07656386180730484	1517.8556701030927	1392.0	864	1280.0	1792.0	1920
DECODE_STEP_10	ELEMENTWISE	AT_NATIVE_REDUCE	49	0.04657794676806084	109504	0.028472238111779742	2234.7755102040815	2240	2176	2208	2240	2272
DECODE_STEP_10	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	344	0.3269961977186312	349440	0.09085822331403705	1015.8139534883721	992.0	928	992.0	1024.0	1248
DECODE_STEP_10	UNKNOWN	COPY_KERNEL	97	0.09220532319391635	252672	0.06569748455014987	2604.865979381443	2016	1504	1728	3424	4032
DECODE_STEP_10	UNKNOWN	CUBLAS_GEMM	1	0.0009505703422053232	1248	0.00032449365469298946	1248	1248	1248	1248	1248	1248
DECODE_STEP_10	UNKNOWN	CUBLAS_GEMV	169	0.16064638783269963	1910117	0.4966513190875072	11302.467455621301	4544	2784	3008	16000	408737
DECODE_STEP_10	UNKNOWN	OTHER_EXACT_IMPLEMENTATION	1	0.0009505703422053232	1856	0.0004825803069793177	1856	1856	1856	1856	1856	1856
DECODE_STEP_11	ATTENTION_CORE	PYTORCH_FLASH_FWD	48	0.045627376425855515	380545	0.09918596328807026	7928.020833333333	7904.0	2816	2848.0	13000.0	13089
DECODE_STEP_11	COPY_LAYOUT	AT_NATIVE_ELEMENTWISE	48	0.045627376425855515	335746	0.0875094678162016	6994.708333333333	6992.5	6880	6976.0	7016.75	7104
DECODE_STEP_11	COPY_LAYOUT	AT_NATIVE_UNROLLED_ELEMENTWISE	101	0.09600760456273764	209344	0.05456381321151975	2072.7128712871286	2048	1120	2016	2176	2208
DECODE_STEP_11	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	194	0.1844106463878327	294818	0.07684191705228632	1519.680412371134	1392.0	896	1280.0	1824.0	1920
DECODE_STEP_11	ELEMENTWISE	AT_NATIVE_REDUCE	49	0.04657794676806084	109536	0.02854966869810946	2235.4285714285716	2240	2208	2208	2240	2304
DECODE_STEP_11	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	344	0.3269961977186312	348929	0.09094550968779795	1014.328488372093	992.0	928	992.0	1024.0	1248
DECODE_STEP_11	UNKNOWN	COPY_KERNEL	97	0.09220532319391635	251232	0.06548158017787244	2590.020618556701	2016	1472	1728	3424	3840
DECODE_STEP_11	UNKNOWN	CUBLAS_GEMM	1	0.0009505703422053232	1280	0.00033362160324989143	1280	1280	1280	1280	1280	1280
DECODE_STEP_11	UNKNOWN	CUBLAS_GEMV	169	0.16064638783269963	1903396	0.49610470714017996	11262.69822485207	4544	2784	3040	15968	409025
DECODE_STEP_11	UNKNOWN	OTHER_EXACT_IMPLEMENTATION	1	0.0009505703422053232	1856	0.0004837513247123426	1856	1856	1856	1856	1856	1856
DECODE_STEP_12	ATTENTION_CORE	PYTORCH_FLASH_FWD	48	0.045627376425855515	381025	0.09916718047164565	7938.020833333333	7904.0	2816	2848.0	13024.25	13088
DECODE_STEP_12	COPY_LAYOUT	AT_NATIVE_ELEMENTWISE	48	0.045627376425855515	336065	0.08746570042701553	7001.354166666667	7008.0	6944	6976.0	7040.0	7072
DECODE_STEP_12	COPY_LAYOUT	AT_NATIVE_UNROLLED_ELEMENTWISE	101	0.09600760456273764	209408	0.05450141310466865	2073.3465346534654	2048	1152	2048	2176	2208
DECODE_STEP_12	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	194	0.1844106463878327	295041	0.0767886204147623	1520.8298969072166	1392.0	896	1280.0	1824.0	1920
DECODE_STEP_12	ELEMENTWISE	AT_NATIVE_REDUCE	49	0.04657794676806084	109568	0.028516631795596797	2236.081632653061	2240	2176	2208	2240	2272
DECODE_STEP_12	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	344	0.3269961977186312	349120	0.09086345002627368	1014.8837209302326	992.0	928	992.0	1024.0	1248
DECODE_STEP_12	UNKNOWN	COPY_KERNEL	97	0.09220532319391635	252289	0.06566180380292896	2600.917525773196	2016	1504	1728	3424	3809
DECODE_STEP_12	UNKNOWN	CUBLAS_GEMM	1	0.0009505703422053232	1248	0.0003248097663633981	1248	1248	1248	1248	1248	1248
DECODE_STEP_12	UNKNOWN	CUBLAS_GEMV	169	0.16064638783269963	1906629	0.4962273397689739	11281.828402366864	4512	2784	3008	16000	408961
DECODE_STEP_12	UNKNOWN	OTHER_EXACT_IMPLEMENTATION	1	0.0009505703422053232	1856	0.00048305042177120743	1856	1856	1856	1856	1856	1856
DECODE_STEP_13	ATTENTION_CORE	PYTORCH_FLASH_FWD	48	0.045627376425855515	380225	0.09895896908295115	7921.354166666667	7872.0	2816	2848.0	12992.0	13120
DECODE_STEP_13	COPY_LAYOUT	AT_NATIVE_ELEMENTWISE	48	0.045627376425855515	336096	0.08747376861832744	7002	7008.0	6944	6976.0	7016.0	7136
DECODE_STEP_13	COPY_LAYOUT	AT_NATIVE_UNROLLED_ELEMENTWISE	101	0.09600760456273764	209953	0.05464325711321676	2078.7425742574255	2049	1120	2048	2176	2208
DECODE_STEP_13	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	194	0.1844106463878327	294497	0.07664703667045004	1518.0257731958764	1376.0	896	1280.0	1824.0	1920
DECODE_STEP_13	ELEMENTWISE	AT_NATIVE_REDUCE	49	0.04657794676806084	109696	0.028549945617787915	2238.6938775510203	2240	2208	2208	2272	2304
DECODE_STEP_13	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	344	0.3269961977186312	349474	0.09095558356577098	1015.9127906976744	992.0	960	992.0	1024.0	1248
DECODE_STEP_13	UNKNOWN	COPY_KERNEL	97	0.09220532319391635	253120	0.06587808338293535	2609.4845360824743	2016	1504	1728	3456	4000
DECODE_STEP_13	UNKNOWN	CUBLAS_GEMM	1	0.0009505703422053232	1280	0.00033313822191117755	1280	1280	1280	1280	1280	1280
DECODE_STEP_13	UNKNOWN	CUBLAS_GEMV	169	0.16064638783269963	1906020	0.4960688388493302	11278.224852071005	4512	2784	3040	15968	408801
DECODE_STEP_13	UNKNOWN	OTHER_EXACT_IMPLEMENTATION	1	0.0009505703422053232	1888	0.0004913788773189869	1888	1888	1888	1888	1888	1888
