scope	semantic_category	launch_count	launch_count_share	total_gpu_duration_ns	gpu_time_share	mean_ns	median_ns	min_ns	p25_ns	p75_ns	max_ns
DECODE_STEP_4	UNKNOWN	268	0.25475285171102663	2153058	0.5618099552234133	8033.798507462687	3536.0	1280	2880.0	15048.0	409089
DECODE_STEP_5	ATTENTION_CORE	48	0.045627376425855515	381185	0.09939590880561938	7941.354166666667	7904.0	2816	2848.0	13056.0	13152
DECODE_STEP_5	COPY_LAYOUT	149	0.14163498098859315	544897	0.14208463743446248	3657.026845637584	2176	1120	2048	6976	7040
DECODE_STEP_5	ELEMENTWISE	587	0.5579847908745247	753345	0.19643850340167984	1283.381601362862	1088	864	992.0	1376.0	2304
DECODE_STEP_5	UNKNOWN	268	0.25475285171102663	2155590	0.5620809503582384	8043.246268656716	3584.0	1312	2880.0	15136.0	409441
DECODE_STEP_6	ATTENTION_CORE	48	0.045627376425855515	381344	0.09910916005517038	7944.666666666667	7904.0	2816	2848.0	13056.0	13120
DECODE_STEP_6	COPY_LAYOUT	149	0.14163498098859315	544321	0.1414659654023412	3653.1610738255035	2176	1120	2048	6944	7040
DECODE_STEP_6	ELEMENTWISE	587	0.5579847908745247	753185	0.1957485438767976	1283.1090289608178	1088	864	992.0	1376.0	2272
DECODE_STEP_6	UNKNOWN	268	0.25475285171102663	2168867	0.5636763306656909	8092.787313432836	3680.0	1248	2880.0	15136.0	409441
DECODE_STEP_7	ATTENTION_CORE	48	0.045627376425855515	381792	0.09945545823408419	7954	7920.0	2816	2848.0	13056.0	13248
DECODE_STEP_7	COPY_LAYOUT	149	0.14163498098859315	544323	0.14179420572550344	3653.1744966442952	2176	1120	2048	6944	7040
DECODE_STEP_7	ELEMENTWISE	587	0.5579847908745247	753347	0.19624421437398537	1283.3850085178876	1120	896	992.0	1376.0	2272
DECODE_STEP_7	UNKNOWN	268	0.25475285171102663	2159362	0.562506121666427	8057.320895522388	3584.0	1280	2880.0	15208.0	408961
DECODE_STEP_8	ATTENTION_CORE	48	0.045627376425855515	381506	0.09921877174033751	7948.041666666667	7920.0	2816	2848.0	13056.0	13184
DECODE_STEP_8	COPY_LAYOUT	149	0.14163498098859315	545025	0.14174537508657123	3657.8859060402683	2176	1152	2048	6976	7072
DECODE_STEP_8	ELEMENTWISE	587	0.5579847908745247	752995	0.19583240899649138	1282.7853492333902	1088	896	992.0	1376.0	2272
DECODE_STEP_8	UNKNOWN	268	0.25475285171102663	2165573	0.5632034441765998	8080.496268656716	3584.0	1280	2880.0	15144.0	409473
DECODE_STEP_9	ATTENTION_CORE	48	0.045627376425855515	381153	0.09915917634663163	7940.6875	7904.0	2816	2848.0	13024.0	13152
DECODE_STEP_9	COPY_LAYOUT	149	0.14163498098859315	545217	0.14184138298841006	3659.1744966442952	2176	1120	2048	6976	7136
DECODE_STEP_9	ELEMENTWISE	587	0.5579847908745247	753249	0.1959621213106651	1283.2180579216354	1088	896	992.0	1376.0	2304
DECODE_STEP_9	UNKNOWN	268	0.25475285171102663	2164231	0.5630373193542932	8075.488805970149	3616.0	1280	2880.0	15136.0	408833
DECODE_STEP_10	ATTENTION_CORE	48	0.045627376425855515	381121	0.09909562994410805	7940.020833333333	7888.0	2816	2848.0	13024.0	13152
DECODE_STEP_10	COPY_LAYOUT	149	0.14163498098859315	545570	0.14185416922344093	3661.5436241610737	2176	1152	2048	6976	7104
DECODE_STEP_10	ELEMENTWISE	587	0.5579847908745247	753408	0.19589432323312164	1283.488926746167	1088	864	992.0	1376.0	2272
DECODE_STEP_10	UNKNOWN	268	0.25475285171102663	2165893	0.5631558775993294	8081.690298507463	3584.0	1248	2848.0	15176.0	408737
DECODE_STEP_11	ATTENTION_CORE	48	0.045627376425855515	380545	0.09918596328807026	7928.020833333333	7904.0	2816	2848.0	13000.0	13089
DECODE_STEP_11	COPY_LAYOUT	149	0.14163498098859315	545090	0.14207328102772135	3658.3221476510066	2176	1120	2048	6976	7104
DECODE_STEP_11	ELEMENTWISE	587	0.5579847908745247	753283	0.19633709543819372	1283.2759795570698	1088	896	992.0	1376.0	2304
DECODE_STEP_11	UNKNOWN	268	0.25475285171102663	2157764	0.5624036602460146	8051.358208955224	3632.0	1280	2880.0	15168.0	409025
DECODE_STEP_12	ATTENTION_CORE	48	0.045627376425855515	381025	0.09916718047164565	7938.020833333333	7904.0	2816	2848.0	13024.25	13088
DECODE_STEP_12	COPY_LAYOUT	149	0.14163498098859315	545473	0.14196711353168417	3660.8926174496646	2176	1152	2048	6976	7072
DECODE_STEP_12	ELEMENTWISE	587	0.5579847908745247	753729	0.19616870223663277	1284.0357751277684	1088	896	992.0	1376.0	2272
DECODE_STEP_12	UNKNOWN	268	0.25475285171102663	2162022	0.5626970037600374	8067.246268656716	3600.0	1248	2880.0	15176.0	408961
DECODE_STEP_13	ATTENTION_CORE	48	0.045627376425855515	380225	0.09895896908295115	7921.354166666667	7872.0	2816	2848.0	12992.0	13120
DECODE_STEP_13	COPY_LAYOUT	149	0.14163498098859315	546049	0.1421170257315442	3664.758389261745	2176	1120	2048	6976	7136
DECODE_STEP_13	ELEMENTWISE	587	0.5579847908745247	753667	0.19615256585400895	1283.9301533219761	1088	896	992.0	1376.0	2304
DECODE_STEP_13	UNKNOWN	268	0.25475285171102663	2162308	0.5627714393314956	8068.313432835821	3648.0	1280	2880.0	15152.75	408801
DECODE_STEP_14	ATTENTION_CORE	48	0.045627376425855515	380448	0.09903603035368114	7926	7904.0	2816	2848.0	13000.0	13152
DECODE_STEP_14	COPY_LAYOUT	149	0.14163498098859315	546817	0.1423442494372657	3669.912751677852	2176	1152	2048	7008	7168
DECODE_STEP_14	ELEMENTWISE	587	0.5579847908745247	753731	0.1962069092083818	1284.039182282794	1120	864	992.0	1376.0	2272
DECODE_STEP_14	UNKNOWN	268	0.25475285171102663	2160515	0.5624128110006713	8061.623134328358	3552.0	1280	2904.0	15168.0	409249
DECODE_STEP_15	ATTENTION_CORE	48	0.045627376425855515	380545	0.09915376213415156	7928.020833333333	7904.0	2816	2848.0	12992.0	13120
DECODE_STEP_15	COPY_LAYOUT	149	0.14163498098859315	545632	0.1421683783541536	3661.959731543624	2176	1120	2048	6976	7072
DECODE_STEP_15	ELEMENTWISE	587	0.5579847908745247	753954	0.19644818766792915	1284.419080068143	1088	896	992.0	1376.0	2272
DECODE_STEP_15	UNKNOWN	268	0.25475285171102663	2157797	0.5622296718437657	8051.481343283582	3632.0	1280	2880.0	15080.0	408961
DECODE_STEP_16	ATTENTION_CORE	48	0.045627376425855515	379648	0.09868635846588629	7909.333333333333	7888.0	2816	2848.0	12992.0	13152
DECODE_STEP_16	COPY_LAYOUT	149	0.14163498098859315	546465	0.14204905828309525	3667.55033557047	2176	1120	2048	6976	7136
DECODE_STEP_16	ELEMENTWISE	587	0.5579847908745247	753989	0.19599320616290652	1284.4787052810902	1088	896	992.0	1376.0	2304
DECODE_STEP_16	UNKNOWN	268	0.25475285171102663	2166914	0.5632713770881119	8085.5	3648.0	1280	2880.0	15072.0	410497
DECODE_STEP_17	ATTENTION_CORE	48	0.045627376425855515	380864	0.09923357032831204	7934.666666666667	7904.0	2816	2848.0	12992.0	13216
DECODE_STEP_17	COPY_LAYOUT	149	0.14163498098859315	547041	0.14253074994215822	3671.4161073825503	2176	1120	2048	6976	7104
DECODE_STEP_17	ELEMENTWISE	587	0.5579847908745247	753636	0.1963587816332018	1283.8773424190802	1120	896	992.0	1376.0	2304
DECODE_STEP_17	UNKNOWN	268	0.25475285171102663	2156515	0.5618768980963279	8046.69776119403	3648.0	1312	2880.0	15136.0	409409
DECODE_STEP_18	ATTENTION_CORE	48	0.045627376425855515	380161	0.09876948961956596	7920.020833333333	7888.0	2816	2848.0	12992.0	13184
DECODE_STEP_18	COPY_LAYOUT	149	0.14163498098859315	546978	0.14211015304865818	3670.993288590604	2176	1120	2048	6976	7072
DECODE_STEP_18	ELEMENTWISE	587	0.5579847908745247	754017	0.1959008795075672	1284.526405451448	1088	896	992.0	1376.0	2272
DECODE_STEP_18	UNKNOWN	268	0.25475285171102663	2167816	0.5632194778242087	8088.865671641791	3616.0	1280	2880.0	15176.0	410593
DECODE_STEP_19	ATTENTION_CORE	48	0.045627376425855515	380256	0.09899022452789372	7922	7904.0	2816	2848.0	12992.0	13152
DECODE_STEP_19	COPY_LAYOUT	149	0.14163498098859315	547072	0.14241663540594723	3671.6241610738257	2176	1120	2048	7008	7168
DECODE_STEP_19	ELEMENTWISE	587	0.5579847908745247	753379	0.196123549305205	1283.4395229982965	1088	896	992.0	1376.0	2304
DECODE_STEP_19	UNKNOWN	268	0.25475285171102663	2160642	0.562469590760954	8062.0970149253735	3616.0	1280	2880.0	15176.0	409249
DECODE_STEP_20	ATTENTION_CORE	48	0.045627376425855515	380480	0.09884587157155011	7926.666666666667	7904.0	2816	2848.0	12992.0	13152
DECODE_STEP_20	COPY_LAYOUT	149	0.14163498098859315	547265	0.14217537296468769	3672.9194630872485	2176	1152	2048	7008	7104
DECODE_STEP_20	ELEMENTWISE	587	0.5579847908745247	754245	0.19594723613194864	1284.9148211243612	1120	896	992.0	1376.0	2273
DECODE_STEP_20	UNKNOWN	268	0.25475285171102663	2167235	0.5630315193318135	8086.69776119403	3632.0	1280	2880.0	15176.0	409025
DECODE_STEP_21	ATTENTION_CORE	48	0.045627376425855515	380928	0.0991039930067747	7936	7888.0	2816	2848.0	13032.0	13216
DECODE_STEP_21	COPY_LAYOUT	149	0.14163498098859315	547841	0.14252885225770867	3676.7852348993288	2176	1120	2048	7008	7200
DECODE_STEP_21	ELEMENTWISE	587	0.5579847908745247	753925	0.1961446203157358	1284.3696763202727	1088	896	992.0	1376.0	2273
DECODE_STEP_21	UNKNOWN	268	0.25475285171102663	2161026	0.5622225344197809	8063.5298507462685	3600.0	1280	2880.0	15120.0	409345
DECODE_STEP_22	ATTENTION_CORE	48	0.045627376425855515	380545	0.09879130604315826	7928.020833333333	7872.0	2784	2848.0	13024.0	13216
DECODE_STEP_22	COPY_LAYOUT	149	0.14163498098859315	547840	0.14222188992808688	3676.778523489933	2176	1120	2048	7008	7136
DECODE_STEP_22	ELEMENTWISE	587	0.5579847908745247	754403	0.19584663483392692	1285.18398637138	1088	864	992.0	1376.5	2304
DECODE_STEP_22	UNKNOWN	268	0.25475285171102663	2169221	0.5631401691948279	8094.108208955224	3600.0	1280	2848.0	15184.75	411745
DECODE_STEP_23	ATTENTION_CORE	48	0.045627376425855515	381632	0.09916166569314844	7950.666666666667	7904.0	2816	2848.0	13024.0	13312
DECODE_STEP_23	COPY_LAYOUT	149	0.14163498098859315	548289	0.14246512483552393	3679.7919463087246	2176	1120	2048	7008	7136
DECODE_STEP_23	ELEMENTWISE	587	0.5579847908745247	754336	0.1960035171377317	1285.0698466780239	1088	896	992.0	1376.0	2304
DECODE_STEP_23	UNKNOWN	268	0.25475285171102663	2164327	0.5623696923335959	8075.8470149253735	3584.0	1312	2880.0	15144.0	409441
DECODE_STEP_24	ATTENTION_CORE	48	0.045627376425855515	381634	0.0991300657093779	7950.708333333333	7920.0	2816	2848.0	13024.0	13280
DECODE_STEP_24	COPY_LAYOUT	149	0.14163498098859315	547968	0.1423355986275761	3677.6375838926174	2176	1120	2048	7008	7104
DECODE_STEP_24	ELEMENTWISE	587	0.5579847908745247	754944	0.19609795858571455	1286.1056218057922	1120	864	992.0	1376.0	2304
DECODE_STEP_24	UNKNOWN	268	0.25475285171102663	2165285	0.5624363770773314	8079.421641791045	3680.0	1312	2880.0	15168.0	408608
DECODE_STEP_25	ATTENTION_CORE	48	0.045627376425855515	381601	0.09914706724471126	7950.020833333333	7904.0	2816	2848.0	13032.0	13280
DECODE_STEP_25	COPY_LAYOUT	149	0.14163498098859315	548193	0.14243078040696958	3679.1476510067114	2176	1120	2048	7008	7168
DECODE_STEP_25	ELEMENTWISE	587	0.5579847908745247	754434	0.1960160443229879	1285.236797274276	1088	864	992.0	1376.0	2304
DECODE_STEP_25	UNKNOWN	268	0.25475285171102663	2164610	0.5624061080253313	8076.9029850746265	3648.0	1280	2872.0	15240.0	409056
DECODE_STEP_26	ATTENTION_CORE	48	0.045627376425855515	381280	0.09900445063020301	7943.333333333333	7888.0	2816	2848.0	13056.0	13216
DECODE_STEP_26	COPY_LAYOUT	149	0.14163498098859315	548993	0.14255337380619765	3684.51677852349	2176	1120	2048	7040	7104
DECODE_STEP_26	ELEMENTWISE	587	0.5579847908745247	755552	0.19618918034659866	1287.1413969335604	1088	896	992.0	1376.0	2272
DECODE_STEP_26	UNKNOWN	268	0.25475285171102663	2165315	0.5622529952170007	8079.5335820895525	3616.0	1280	2880.0	15216.0	408929
DECODE_STEP_27	ATTENTION_CORE	48	0.045627376425855515	383617	0.09972548112292778	7992.020833333333	7936.0	2816	2816.0	13184.0	13312
DECODE_STEP_27	COPY_LAYOUT	149	0.14163498098859315	548512	0.14259175975438879	3681.288590604027	2176	1120	2048	7040	7136
DECODE_STEP_27	ELEMENTWISE	587	0.5579847908745247	754049	0.1960233756983204	1284.580919931857	1120	896	992.0	1376.0	2304
DECODE_STEP_27	UNKNOWN	268	0.25475285171102663	2160552	0.5616593834243631	8061.761194029851	3616.0	1280	2880.0	15168.0	409089
DECODE_STEP_28	ATTENTION_CORE	48	0.045627376425855515	381249	0.09895022939643186	7942.6875	7904.0	2816	2848.0	13032.0	13152
DECODE_STEP_28	COPY_LAYOUT	149	0.14163498098859315	548704	0.14241187956096868	3682.577181208054	2176	1120	2048	7008	7136
DECODE_STEP_28	ELEMENTWISE	587	0.5579847908745247	754434	0.1958075099592856	1285.236797274276	1120	896	992.0	1376.0	2304
DECODE_STEP_28	UNKNOWN	268	0.25475285171102663	2168550	0.5628303810833138	8091.604477611941	3648.0	1280	2880.0	15112.0	410945
DECODE_STEP_29	ATTENTION_CORE	48	0.045627376425855515	382240	0.09938074232921795	7963.333333333333	7888.0	2816	2848.0	13088.0	13344
DECODE_STEP_29	COPY_LAYOUT	149	0.14163498098859315	548899	0.1427113595745223	3683.8859060402683	2176	1120	2048	7008	7136
DECODE_STEP_29	ELEMENTWISE	587	0.5579847908745247	754275	0.1961082289147417	1284.9659284497445	1120	896	992.0	1376.0	2272
DECODE_STEP_29	UNKNOWN	268	0.25475285171102663	2160804	0.561799669181518	8062.701492537313	3616.0	1344	2880.0	15176.0	409473
DECODE_STEP_30	ATTENTION_CORE	48	0.045627376425855515	359233	0.09662593436387942	7484.020833333333	7200.0	2496	2744.0	11912.0	13184
DECODE_STEP_30	COPY_LAYOUT	149	0.14163498098859315	514498	0.13838887289961455	3453.006711409396	2048	1120	1920	6112	7136
DECODE_STEP_30	ELEMENTWISE	587	0.5579847908745247	712257	0.19158178155184424	1213.3850085178876	1024	832	960.0	1312.0	2272
DECODE_STEP_30	UNKNOWN	268	0.25475285171102663	2131782	0.5734034111846618	7954.410447761194	3520.0	1280	2656.0	15016.0	409889
DECODE_STEP_31	ATTENTION_CORE	48	0.045627376425855515	337952	0.0945266075651606	7040.666666666667	7008.0	2496	2528.0	11552.0	11680
DECODE_STEP_31	COPY_LAYOUT	149	0.14163498098859315	479777	0.13419566150752194	3219.979865771812	1920	992	1824	6080	6208
DECODE_STEP_31	ELEMENTWISE	587	0.5579847908745247	667841	0.18679795983726807	1137.718909710392	992	800	864.0	1216.0	2016
DECODE_STEP_31	UNKNOWN	268	0.25475285171102663	2089635	0.5844797710900493	7797.145522388059	3392.0	1120	2592.0	14920.0	408929
DECODE_STEP_32	ATTENTION_CORE	48	0.045627376425855515	337600	0.09437485603361713	7033.333333333333	7008.0	2496	2528.0	11552.0	11616
DECODE_STEP_32	COPY_LAYOUT	149	0.14163498098859315	479523	0.13404891614279676	3218.2751677852348	1920	992	1824	6080	6240
DECODE_STEP_32	ELEMENTWISE	587	0.5579847908745247	668130	0.18677331919946863	1138.2112436115842	992	800	864.0	1216.0	2016
DECODE_STEP_32	UNKNOWN	268	0.25475285171102663	2091971	0.5848029086241174	7805.861940298508	3392.0	1152	2592.0	14944.0	408416
