scope	phase	decode_step	launch_count	launch_count_share	total_gpu_duration_ns	gpu_time_share	mean_ns	median_ns	min_ns	p25_ns	p75_ns	max_ns
DECODE_TOTAL	DECODE	10	1052	0.03125	3845992	0.031407542563984654	3655.885931558935	1856.0	864	1024.0	2912.0	408737
DECODE_TOTAL	DECODE	11	1052	0.03125	3836682	0.03133151426718354	3647.036121673004	1856.0	896	1024.0	2944.0	409025
DECODE_TOTAL	DECODE	12	1052	0.03125	3842249	0.031376976085474816	3652.327946768061	1856.0	896	1024.0	2920.0	408961
DECODE_TOTAL	DECODE	13	1052	0.03125	3842249	0.031376976085474816	3652.327946768061	1856.0	896	1024.0	2944.0	408801
DECODE_TOTAL	DECODE	14	1052	0.03125	3841511	0.03137094935260272	3651.6264258555134	1856.0	864	1024.0	2944.0	409249
DECODE_TOTAL	DECODE	15	1052	0.03125	3837928	0.031341689482845644	3648.2205323193916	1856.0	896	1024.0	2944.0	408961
DECODE_TOTAL	DECODE	16	1052	0.03125	3847016	0.0314159048600023	3656.8593155893536	1840.0	896	1024.0	2944.0	410497
DECODE_TOTAL	DECODE	17	1052	0.03125	3838056	0.03134273476984785	3648.342205323194	1824.0	896	1024.0	2912.0	409409
DECODE_TOTAL	DECODE	18	1052	0.03125	3848972	0.03143187815200477	3658.7186311787073	1824.0	896	1024.0	2912.0	410593
DECODE_TOTAL	DECODE	19	1052	0.03125	3841349	0.03136962641124055	3651.472433460076	1856.0	896	1024.0	2912.0	409249
DECODE_TOTAL	DECODE	2	1052	0.03125	3839690	0.03135607851173539	3649.8954372623575	1856.0	896	1024.0	2920.0	412769
DECODE_TOTAL	DECODE	20	1052	0.03125	3849225	0.03143394422709507	3658.959125475285	1856.0	896	1024.0	2912.0	409025
DECODE_TOTAL	DECODE	21	1052	0.03125	3843720	0.03138898871969548	3653.7262357414447	1856.0	896	1024.0	2944.0	409345
DECODE_TOTAL	DECODE	22	1052	0.03125	3852009	0.03145667921939306	3661.605513307985	1856.0	864	1024.0	2912.0	411745
DECODE_TOTAL	DECODE	23	1052	0.03125	3848584	0.03142870962577933	3658.3498098859313	1856.0	896	1024.0	2944.0	409441
DECODE_TOTAL	DECODE	24	1052	0.03125	3849831	0.03143889300774614	3659.5351711026615	1856.0	864	1024.0	2912.0	408608
DECODE_TOTAL	DECODE	25	1052	0.03125	3848838	0.031430783867174336	3658.591254752852	1856.0	864	1024.0	2912.0	409056
DECODE_TOTAL	DECODE	26	1052	0.03125	3851140	0.03144958270060464	3660.7794676806084	1856.0	896	1024.0	2944.0	408929
DECODE_TOTAL	DECODE	27	1052	0.03125	3846730	0.03141356929685675	3656.5874524714827	1856.0	896	1024.0	2944.0	409089
DECODE_TOTAL	DECODE	28	1052	0.03125	3852937	0.03146425755015906	3662.4876425855514	1856.0	896	1024.0	2912.0	410945
DECODE_TOTAL	DECODE	29	1052	0.03125	3846218	0.03140938814884792	3656.1007604562737	1840.0	896	1024.0	2920.0	409473
DECODE_TOTAL	DECODE	3	1052	0.03125	3830601	0.03128185496827403	3641.255703422053	1840.0	896	1024.0	2912.0	409121
DECODE_TOTAL	DECODE	30	1052	0.03125	3717770	0.030360442642133736	3534.0019011406844	1728.0	832	992.0	2848.0	409889
DECODE_TOTAL	DECODE	31	1052	0.03125	3575205	0.029196213411902767	3398.4838403041826	1632.0	800	896.0	2656.0	408929
DECODE_TOTAL	DECODE	32	1052	0.03125	3577224	0.02921270118110163	3400.403041825095	1632.0	800	896.0	2632.0	408416
DECODE_TOTAL	DECODE	4	1052	0.03125	3832360	0.031296219498249664	3642.927756653992	1824.0	864	1024.0	2912.0	409089
DECODE_TOTAL	DECODE	5	1052	0.03125	3835017	0.03131791736985015	3645.453422053232	1856.0	864	1024.0	2944.0	409441
DECODE_TOTAL	DECODE	6	1052	0.03125	3847717	0.03142162943960032	3657.5256653992396	1856.0	864	1024.0	2944.0	409441
DECODE_TOTAL	DECODE	7	1052	0.03125	3838824	0.03134900649186109	3649.072243346008	1856.0	896	1024.0	2912.0	408961
DECODE_TOTAL	DECODE	8	1052	0.03125	3845099	0.03140025005388332	3655.037072243346	1824.0	896	1024.0	2920.0	409473
DECODE_TOTAL	DECODE	9	1052	0.03125	3843850	0.0313900503393071	3653.8498098859313	1856.0	896	1024.0	2944.0	408833
DECODE_STEP_1	DECODE	1	1052	1.0	3959814	1.0	3764.0817490494296	1856.0	864	1024.0	2944.0	413825
DECODE_STEP_2	DECODE	2	1052	1.0	3839690	1.0	3649.8954372623575	1856.0	896	1024.0	2920.0	412769
DECODE_STEP_3	DECODE	3	1052	1.0	3830601	1.0	3641.255703422053	1840.0	896	1024.0	2912.0	409121
DECODE_STEP_4	DECODE	4	1052	1.0	3832360	1.0	3642.927756653992	1824.0	864	1024.0	2912.0	409089
DECODE_STEP_5	DECODE	5	1052	1.0	3835017	1.0	3645.453422053232	1856.0	864	1024.0	2944.0	409441
DECODE_STEP_6	DECODE	6	1052	1.0	3847717	1.0	3657.5256653992396	1856.0	864	1024.0	2944.0	409441
DECODE_STEP_7	DECODE	7	1052	1.0	3838824	1.0	3649.072243346008	1856.0	896	1024.0	2912.0	408961
DECODE_STEP_8	DECODE	8	1052	1.0	3845099	1.0	3655.037072243346	1824.0	896	1024.0	2920.0	409473
DECODE_STEP_9	DECODE	9	1052	1.0	3843850	1.0	3653.8498098859313	1856.0	896	1024.0	2944.0	408833
DECODE_STEP_10	DECODE	10	1052	1.0	3845992	1.0	3655.885931558935	1856.0	864	1024.0	2912.0	408737
DECODE_STEP_11	DECODE	11	1052	1.0	3836682	1.0	3647.036121673004	1856.0	896	1024.0	2944.0	409025
DECODE_STEP_12	DECODE	12	1052	1.0	3842249	1.0	3652.327946768061	1856.0	896	1024.0	2920.0	408961
DECODE_STEP_13	DECODE	13	1052	1.0	3842249	1.0	3652.327946768061	1856.0	896	1024.0	2944.0	408801
DECODE_STEP_14	DECODE	14	1052	1.0	3841511	1.0	3651.6264258555134	1856.0	864	1024.0	2944.0	409249
DECODE_STEP_15	DECODE	15	1052	1.0	3837928	1.0	3648.2205323193916	1856.0	896	1024.0	2944.0	408961
DECODE_STEP_16	DECODE	16	1052	1.0	3847016	1.0	3656.8593155893536	1840.0	896	1024.0	2944.0	410497
DECODE_STEP_17	DECODE	17	1052	1.0	3838056	1.0	3648.342205323194	1824.0	896	1024.0	2912.0	409409
DECODE_STEP_18	DECODE	18	1052	1.0	3848972	1.0	3658.7186311787073	1824.0	896	1024.0	2912.0	410593
DECODE_STEP_19	DECODE	19	1052	1.0	3841349	1.0	3651.472433460076	1856.0	896	1024.0	2912.0	409249
DECODE_STEP_20	DECODE	20	1052	1.0	3849225	1.0	3658.959125475285	1856.0	896	1024.0	2912.0	409025
DECODE_STEP_21	DECODE	21	1052	1.0	3843720	1.0	3653.7262357414447	1856.0	896	1024.0	2944.0	409345
DECODE_STEP_22	DECODE	22	1052	1.0	3852009	1.0	3661.605513307985	1856.0	864	1024.0	2912.0	411745
DECODE_STEP_23	DECODE	23	1052	1.0	3848584	1.0	3658.3498098859313	1856.0	896	1024.0	2944.0	409441
DECODE_STEP_24	DECODE	24	1052	1.0	3849831	1.0	3659.5351711026615	1856.0	864	1024.0	2912.0	408608
DECODE_STEP_25	DECODE	25	1052	1.0	3848838	1.0	3658.591254752852	1856.0	864	1024.0	2912.0	409056
DECODE_STEP_26	DECODE	26	1052	1.0	3851140	1.0	3660.7794676806084	1856.0	896	1024.0	2944.0	408929
DECODE_STEP_27	DECODE	27	1052	1.0	3846730	1.0	3656.5874524714827	1856.0	896	1024.0	2944.0	409089
DECODE_STEP_28	DECODE	28	1052	1.0	3852937	1.0	3662.4876425855514	1856.0	896	1024.0	2912.0	410945
DECODE_STEP_29	DECODE	29	1052	1.0	3846218	1.0	3656.1007604562737	1840.0	896	1024.0	2920.0	409473
DECODE_STEP_30	DECODE	30	1052	1.0	3717770	1.0	3534.0019011406844	1728.0	832	992.0	2848.0	409889
DECODE_STEP_31	DECODE	31	1052	1.0	3575205	1.0	3398.4838403041826	1632.0	800	896.0	2656.0	408929
DECODE_STEP_32	DECODE	32	1052	1.0	3577224	1.0	3400.403041825095	1632.0	800	896.0	2632.0	408416
