field	kind	formula_or_semantics	unit	provenance
valid_hits	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
pending_hits	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
tag_evictions	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
io_duplicate_after_eviction	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
io_no_free_physical_events	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
io_partial_allocation_events	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
io_allocation_width_limited_events	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
physical_allocations	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
physical_releases	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
physical_allocated_terminal	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
physical_allocated_peak_per_sm	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
physical_free_minimum_per_sm_reported	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
oo_out_of_order_retires	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
oo_immediate_reclaims	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
oo_deferred_reclaims	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
oo_final_ref_reclaims	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
oo_wakeups	raw	Exact compact counter value; mode-inapplicable or unexported accepted fields are NA_NOT_REPORTED_IN_ACCEPTED_COMPACT.	events/count unless field name states otherwise	Accepted Stage6 compact evidence path/SHA in each raw-table row
per_1m_instructions	derived	raw_metric / instructions * 1,000,000	raw-metric units per 1M instructions	EXISTING_DATA_DERIVED_ANALYSIS from accepted raw table
per_1m_lower_requests	derived	raw_metric / lower_requests_created * 1,000,000; emitted only for event counters where lower-request exposure is meaningful	raw-metric events per 1M lower requests	EXISTING_DATA_DERIVED_ANALYSIS from accepted raw table
per_simulated_cycle	derived	raw_metric / gpu_tot_sim_cycle	raw-metric events per simulated cycle	EXISTING_DATA_DERIVED_ANALYSIS from accepted raw table
per_sm_cycle	derived	raw_metric / (64 * gpu_tot_sim_cycle)	raw-metric events per SM-cycle	EXISTING_DATA_DERIVED_ANALYSIS; 64 endpoints from FAST64_PLATFORM_CONTRACT.md
same_mode_cycles_relative_to_32k	derived	cycles(point, workload, mode) / cycles(32KiB, same workload, same mode)	ratio	EXISTING_DATA_DERIVED_ANALYSIS from accepted raw table
same_mode_speedup_vs_32k	derived	cycles(32KiB, same workload, same mode) / cycles(point, workload, mode)	speedup; higher is faster	EXISTING_DATA_DERIVED_ANALYSIS from accepted raw table
