deployment_id	scenario_id	object_kind	layer_or_expert_scope	quantity	value	unit	formula_id	assumptions_json	page_granule_bytes	evidence_tier	missing_reason
5c3ed44a71a1699685b98982603fc6b3b8bffbd79c8f14b9103c23c168133726	static-storage	WEIGHT	ALL	allocated_payload_bytes	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	HEADER_LIMITED_OR_INVALID
5c3ed44a71a1699685b98982603fc6b3b8bffbd79c8f14b9103c23c168133726	static-storage	WEIGHT	ALL	reserved_bytes	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_RUNTIME_ALLOCATOR_EVIDENCE
5c3ed44a71a1699685b98982603fc6b3b8bffbd79c8f14b9103c23c168133726	static-storage	WEIGHT	ALL	active_parameter_estimate	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_EXECUTED_EXPERT_OR_RUNTIME_ACTIVITY_EVIDENCE
c4a04c36897ef5e76a20ca30d46cf430b1ccaae9a6bdf902b16f85cbcb83704e	static-storage	WEIGHT	ALL	allocated_payload_bytes	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	HEADER_LIMITED_OR_INVALID
c4a04c36897ef5e76a20ca30d46cf430b1ccaae9a6bdf902b16f85cbcb83704e	static-storage	WEIGHT	ALL	reserved_bytes	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_RUNTIME_ALLOCATOR_EVIDENCE
c4a04c36897ef5e76a20ca30d46cf430b1ccaae9a6bdf902b16f85cbcb83704e	static-storage	WEIGHT	ALL	active_parameter_estimate	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_EXECUTED_EXPERT_OR_RUNTIME_ACTIVITY_EVIDENCE
33175976fa57807e7349d5054b8ee2a01fa46df20eb36747863a7f33e0f24d1c	static-storage	WEIGHT	ALL	allocated_payload_bytes	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_SAFETENSORS_HEADER_SOURCE
33175976fa57807e7349d5054b8ee2a01fa46df20eb36747863a7f33e0f24d1c	static-storage	WEIGHT	ALL	reserved_bytes	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_RUNTIME_ALLOCATOR_EVIDENCE
33175976fa57807e7349d5054b8ee2a01fa46df20eb36747863a7f33e0f24d1c	static-storage	WEIGHT	ALL	active_parameter_estimate	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_EXECUTED_EXPERT_OR_RUNTIME_ACTIVITY_EVIDENCE
e905fa5f222e38ecab569c038909d8ced15be3d820b8ebcf73ab90841497661a	static-storage	WEIGHT	ALL	allocated_payload_bytes	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	HEADER_LIMITED_OR_INVALID
e905fa5f222e38ecab569c038909d8ced15be3d820b8ebcf73ab90841497661a	static-storage	WEIGHT	ALL	reserved_bytes	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_RUNTIME_ALLOCATOR_EVIDENCE
e905fa5f222e38ecab569c038909d8ced15be3d820b8ebcf73ab90841497661a	static-storage	WEIGHT	ALL	active_parameter_estimate	NA	B	NA	"{""allocation_mode"":""UNVERIFIED_RUNTIME"",""not_gpu_va_or_pa"":true,""runtime_repack"":""UNKNOWN"",""source"":""Safetensors data_offsets""}"	NA	UNRESOLVED	NO_EXECUTED_EXPERT_OR_RUNTIME_ACTIVITY_EVIDENCE
