arm	roi	profile	metric	value	provenance
decode1-ideal	decode1	ideal	vm_l1_tlb_hits	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	vm_l1_tlb_misses	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	vm_l2_tlb_hits	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	vm_l2_tlb_misses	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	vm_translation_mshr_allocations	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	vm_translation_mshr_merges	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	vm_translation_mshr_full_events	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	vm_translation_pwq_full_events	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	vm_translation_walk_starts	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	vm_pwc_hits	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	vm_pwc_misses	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	vm_pte_requests	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	vm_pte_responses	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	vm_pte_dram_responses	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	vm_object_WEIGHT_translation_requesters	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	vm_object_KV_CACHE_translation_requesters	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	vm_object_UNKNOWN_translation_requesters	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	vm_object_attribution_conservation_pass	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	completion_missing_telemetry_records	0	manifest/log checkpoint evidence
decode1-ideal	decode1	ideal	completion_duplicate_processing_kernel_marker	FALSE	manifest/log checkpoint evidence
decode1-ideal	decode1	ideal	completion_duplicate_telemetry_records	NOT_AVAILABLE	manifest/log checkpoint evidence
decode1-ideal	decode1	ideal	completion_start_time	NOT_AVAILABLE	manifest/log checkpoint evidence
decode1-ideal	decode1	ideal	completion_end_time	NOT_AVAILABLE	manifest/log checkpoint evidence
decode1-ideal	decode1	ideal	completion_elapsed_runtime	NOT_AVAILABLE	manifest/log checkpoint evidence
decode1-generic	decode1	generic	gpu_tot_sim_cycle	32812575	existing_run_log_final_scalar
decode1-generic	decode1	generic	gpu_tot_ipc	125.8222	existing_run_log_final_scalar
decode1-generic	decode1	generic	vm_translation_lookup_requests	75844615	existing_run_log_final_scalar
decode1-generic	decode1	generic	vm_l1_tlb_hits	75775132	existing_run_log_final_scalar
decode1-generic	decode1	generic	vm_l1_tlb_misses	69483	existing_run_log_final_scalar
decode1-generic	decode1	generic	vm_l2_tlb_hits	45678	existing_run_log_final_scalar
decode1-generic	decode1	generic	vm_l2_tlb_misses	23805	existing_run_log_final_scalar
decode1-generic	decode1	generic	vm_translation_mshr_allocations	15694	existing_run_log_final_scalar
decode1-generic	decode1	generic	vm_translation_mshr_merges	8111	existing_run_log_final_scalar
decode1-generic	decode1	generic	vm_translation_mshr_full_events	2301691	existing_run_log_final_scalar
decode1-generic	decode1	generic	vm_translation_pwq_full_events	0	existing_run_log_final_scalar
decode1-generic	decode1	generic	vm_translation_walk_starts	15694	existing_run_log_final_scalar
decode1-generic	decode1	generic	vm_pwc_hits	46978	existing_run_log_final_scalar
decode1-generic	decode1	generic	vm_pwc_misses	104	existing_run_log_final_scalar
decode1-generic	decode1	generic	vm_pte_requests	15798	existing_run_log_final_scalar
decode1-generic	decode1	generic	vm_pte_responses	15798	existing_run_log_final_scalar
decode1-generic	decode1	generic	vm_pte_dram_responses	4082	existing_run_log_final_scalar
decode1-generic	decode1	generic	vm_object_WEIGHT_translation_requesters	7942143	existing_run_log_final_scalar
decode1-generic	decode1	generic	vm_object_KV_CACHE_translation_requesters	1769354	existing_run_log_final_scalar
decode1-generic	decode1	generic	vm_object_UNKNOWN_translation_requesters	66133118	existing_run_log_final_scalar
decode1-generic	decode1	generic	vm_object_attribution_conservation_pass	1	existing_run_log_final_scalar
decode1-generic	decode1	generic	completion_missing_telemetry_records	0	manifest/log checkpoint evidence
decode1-generic	decode1	generic	completion_duplicate_processing_kernel_marker	FALSE	manifest/log checkpoint evidence
decode1-generic	decode1	generic	completion_duplicate_telemetry_records	NOT_AVAILABLE	manifest/log checkpoint evidence
decode1-generic	decode1	generic	completion_start_time	NOT_AVAILABLE	manifest/log checkpoint evidence
decode1-generic	decode1	generic	completion_end_time	NOT_AVAILABLE	manifest/log checkpoint evidence
decode1-generic	decode1	generic	completion_elapsed_runtime	NOT_AVAILABLE	manifest/log checkpoint evidence
decode1-paper	decode1	paper	gpu_tot_sim_cycle	34438514	existing_run_log_final_scalar
decode1-paper	decode1	paper	gpu_tot_ipc	119.8818	existing_run_log_final_scalar
decode1-paper	decode1	paper	vm_translation_lookup_requests	76022343	existing_run_log_final_scalar
decode1-paper	decode1	paper	vm_l1_tlb_hits	75964417	existing_run_log_final_scalar
decode1-paper	decode1	paper	vm_l1_tlb_misses	57926	existing_run_log_final_scalar
decode1-paper	decode1	paper	vm_l2_tlb_hits	35518	existing_run_log_final_scalar
decode1-paper	decode1	paper	vm_l2_tlb_misses	22408	existing_run_log_final_scalar
decode1-paper	decode1	paper	vm_translation_mshr_allocations	15691	existing_run_log_final_scalar
decode1-paper	decode1	paper	vm_translation_mshr_merges	6717	existing_run_log_final_scalar
decode1-paper	decode1	paper	vm_translation_mshr_full_events	130257	existing_run_log_final_scalar
decode1-paper	decode1	paper	vm_translation_pwq_full_events	0	existing_run_log_final_scalar
decode1-paper	decode1	paper	vm_translation_walk_starts	15691	existing_run_log_final_scalar
decode1-paper	decode1	paper	vm_pwc_hits	46978	existing_run_log_final_scalar
decode1-paper	decode1	paper	vm_pwc_misses	95	existing_run_log_final_scalar
decode1-paper	decode1	paper	vm_pte_requests	15786	existing_run_log_final_scalar
decode1-paper	decode1	paper	vm_pte_responses	15786	existing_run_log_final_scalar
decode1-paper	decode1	paper	vm_pte_dram_responses	4100	existing_run_log_final_scalar
decode1-paper	decode1	paper	vm_object_WEIGHT_translation_requesters	8081479	existing_run_log_final_scalar
decode1-paper	decode1	paper	vm_object_KV_CACHE_translation_requesters	1807845	existing_run_log_final_scalar
decode1-paper	decode1	paper	vm_object_UNKNOWN_translation_requesters	66133019	existing_run_log_final_scalar
decode1-paper	decode1	paper	vm_object_attribution_conservation_pass	1	existing_run_log_final_scalar
decode1-paper	decode1	paper	completion_missing_telemetry_records	0	manifest/log checkpoint evidence
decode1-paper	decode1	paper	completion_duplicate_processing_kernel_marker	FALSE	manifest/log checkpoint evidence
decode1-paper	decode1	paper	completion_duplicate_telemetry_records	NOT_AVAILABLE	manifest/log checkpoint evidence
decode1-paper	decode1	paper	completion_start_time	NOT_AVAILABLE	manifest/log checkpoint evidence
decode1-paper	decode1	paper	completion_end_time	NOT_AVAILABLE	manifest/log checkpoint evidence
decode1-paper	decode1	paper	completion_elapsed_runtime	NOT_AVAILABLE	manifest/log checkpoint evidence
prefill-disabled	prefill	disabled	gpu_tot_sim_cycle	36328725	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	gpu_tot_ipc	507.9348	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	vm_translation_lookup_requests	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	vm_l1_tlb_hits	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	vm_l1_tlb_misses	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	vm_l2_tlb_hits	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	vm_l2_tlb_misses	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	vm_translation_mshr_allocations	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	vm_translation_mshr_merges	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	vm_translation_mshr_full_events	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	vm_translation_pwq_full_events	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	vm_translation_walk_starts	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	vm_pwc_hits	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	vm_pwc_misses	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	vm_pte_requests	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	vm_pte_responses	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	vm_pte_dram_responses	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	vm_object_WEIGHT_translation_requesters	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	vm_object_KV_CACHE_translation_requesters	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	vm_object_UNKNOWN_translation_requesters	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	vm_object_attribution_conservation_pass	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-disabled	prefill	disabled	completion_missing_telemetry_records	0	manifest/log checkpoint evidence
prefill-disabled	prefill	disabled	completion_duplicate_processing_kernel_marker	FALSE	manifest/log checkpoint evidence
prefill-disabled	prefill	disabled	completion_duplicate_telemetry_records	NOT_AVAILABLE	manifest/log checkpoint evidence
prefill-disabled	prefill	disabled	completion_start_time	NOT_AVAILABLE	manifest/log checkpoint evidence
prefill-disabled	prefill	disabled	completion_end_time	NOT_AVAILABLE	manifest/log checkpoint evidence
prefill-disabled	prefill	disabled	completion_elapsed_runtime	NOT_AVAILABLE	manifest/log checkpoint evidence
prefill-ideal	prefill	ideal	gpu_tot_sim_cycle	36328725	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	gpu_tot_ipc	507.9348	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	vm_translation_lookup_requests	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	vm_l1_tlb_hits	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	vm_l1_tlb_misses	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	vm_l2_tlb_hits	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	vm_l2_tlb_misses	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	vm_translation_mshr_allocations	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	vm_translation_mshr_merges	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	vm_translation_mshr_full_events	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	vm_translation_pwq_full_events	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	vm_translation_walk_starts	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	vm_pwc_hits	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	vm_pwc_misses	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	vm_pte_requests	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	vm_pte_responses	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	vm_pte_dram_responses	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	vm_object_WEIGHT_translation_requesters	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	vm_object_KV_CACHE_translation_requesters	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	vm_object_UNKNOWN_translation_requesters	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	vm_object_attribution_conservation_pass	NOT_AVAILABLE	existing_run_log_final_scalar
prefill-ideal	prefill	ideal	completion_missing_telemetry_records	0	manifest/log checkpoint evidence
prefill-ideal	prefill	ideal	completion_duplicate_processing_kernel_marker	FALSE	manifest/log checkpoint evidence
prefill-ideal	prefill	ideal	completion_duplicate_telemetry_records	NOT_AVAILABLE	manifest/log checkpoint evidence
prefill-ideal	prefill	ideal	completion_start_time	NOT_AVAILABLE	manifest/log checkpoint evidence
prefill-ideal	prefill	ideal	completion_end_time	NOT_AVAILABLE	manifest/log checkpoint evidence
prefill-ideal	prefill	ideal	completion_elapsed_runtime	NOT_AVAILABLE	manifest/log checkpoint evidence
prefill-generic	prefill	generic	gpu_tot_sim_cycle	45976701	existing_run_log_final_scalar
prefill-generic	prefill	generic	gpu_tot_ipc	401.3472	existing_run_log_final_scalar
prefill-generic	prefill	generic	vm_translation_lookup_requests	93933006	existing_run_log_final_scalar
prefill-generic	prefill	generic	vm_l1_tlb_hits	92686765	existing_run_log_final_scalar
prefill-generic	prefill	generic	vm_l1_tlb_misses	1246241	existing_run_log_final_scalar
prefill-generic	prefill	generic	vm_l2_tlb_hits	1189774	existing_run_log_final_scalar
prefill-generic	prefill	generic	vm_l2_tlb_misses	56467	existing_run_log_final_scalar
prefill-generic	prefill	generic	vm_translation_mshr_allocations	22783	existing_run_log_final_scalar
prefill-generic	prefill	generic	vm_translation_mshr_merges	33684	existing_run_log_final_scalar
prefill-generic	prefill	generic	vm_translation_mshr_full_events	0	existing_run_log_final_scalar
prefill-generic	prefill	generic	vm_translation_pwq_full_events	0	existing_run_log_final_scalar
prefill-generic	prefill	generic	vm_translation_walk_starts	22783	existing_run_log_final_scalar
prefill-generic	prefill	generic	vm_pwc_hits	68258	existing_run_log_final_scalar
prefill-generic	prefill	generic	vm_pwc_misses	91	existing_run_log_final_scalar
prefill-generic	prefill	generic	vm_pte_requests	22874	existing_run_log_final_scalar
prefill-generic	prefill	generic	vm_pte_responses	22874	existing_run_log_final_scalar
prefill-generic	prefill	generic	vm_pte_dram_responses	10384	existing_run_log_final_scalar
prefill-generic	prefill	generic	vm_object_WEIGHT_translation_requesters	47971634	existing_run_log_final_scalar
prefill-generic	prefill	generic	vm_object_KV_CACHE_translation_requesters	2042159	existing_run_log_final_scalar
prefill-generic	prefill	generic	vm_object_UNKNOWN_translation_requesters	43919213	existing_run_log_final_scalar
prefill-generic	prefill	generic	vm_object_attribution_conservation_pass	1	existing_run_log_final_scalar
prefill-generic	prefill	generic	completion_missing_telemetry_records	0	manifest/log checkpoint evidence
prefill-generic	prefill	generic	completion_duplicate_processing_kernel_marker	FALSE	manifest/log checkpoint evidence
prefill-generic	prefill	generic	completion_duplicate_telemetry_records	NOT_AVAILABLE	manifest/log checkpoint evidence
prefill-generic	prefill	generic	completion_start_time	NOT_AVAILABLE	manifest/log checkpoint evidence
prefill-generic	prefill	generic	completion_end_time	NOT_AVAILABLE	manifest/log checkpoint evidence
prefill-generic	prefill	generic	completion_elapsed_runtime	NOT_AVAILABLE	manifest/log checkpoint evidence
