schema	stage	workload	mode	logical_kib	logical_sets	physical_pool_lines	physical_pool_bytes	instructions	trace_list_sha256	core_source_head	runtime_sha256	base_config	base_config_sha256	overlay	overlay_sha256	launch_gate	strict_validation	evidence_boundary
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	GESUMMV	IO	64	128	640	81920	190918656	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_64/FAST64_SENS_LOGICAL_64KB_IO.config	35b84094cf357a593606fc1f334d91317932caebd6d78084040cb9c0d9edb5aa	NONE	NONE	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	GESUMMV	OO	64	128	640	81920	190918656	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_64/FAST64_SENS_LOGICAL_64KB_OO.config	313ff9096e3255735829cb45df28a432be38b1fd4161e381868e10da17fa144f	NONE	NONE	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	GESUMMV	IO	80	160	640	81920	190918656	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/FAST64_IO.config	d4a2d9d0088946b950370b922a8d8e34422bbca9bac26f109b3977fe02a7f621	docs/dtc_l1/iscas2027/granularity/sg4a/config/SG4A_LOGICAL80_IO_OVERLAY.config	894bdff37ec5f0b097a3c67356b2e7df53006a261e068b52e5f582b7ceb6540f	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	GESUMMV	OO	80	160	640	81920	190918656	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/FAST64_OO.config	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	docs/dtc_l1/iscas2027/granularity/sg4a/config/SG4A_LOGICAL80_OO_OVERLAY.config	2dccf5e73be141f11ad08d673fe7cd97fc6884bd26b49f1f3523c9a3671ad3bd	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	GEMM	IO	32	64	640	81920	739246080	fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_32/FAST64_SENS_LOGICAL_32KB_IO.config	fc760923bdea08ce1b256b7944171042a33e74fbe8b5844e7fa582f9bd43d2e3	NONE	NONE	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	GEMM	OO	32	64	640	81920	739246080	fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_32/FAST64_SENS_LOGICAL_32KB_OO.config	cab21e03554de67271b7c7493c397ca2a30747f3d7fbc8ca6cc7d22bc5f3c399	NONE	NONE	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	GEMM	IO	64	128	640	81920	739246080	fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_64/FAST64_SENS_LOGICAL_64KB_IO.config	35b84094cf357a593606fc1f334d91317932caebd6d78084040cb9c0d9edb5aa	NONE	NONE	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	GEMM	OO	64	128	640	81920	739246080	fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_64/FAST64_SENS_LOGICAL_64KB_OO.config	313ff9096e3255735829cb45df28a432be38b1fd4161e381868e10da17fa144f	NONE	NONE	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	GEMM	IO	80	160	640	81920	739246080	fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/FAST64_IO.config	d4a2d9d0088946b950370b922a8d8e34422bbca9bac26f109b3977fe02a7f621	docs/dtc_l1/iscas2027/granularity/sg4a/config/SG4A_LOGICAL80_IO_OVERLAY.config	894bdff37ec5f0b097a3c67356b2e7df53006a261e068b52e5f582b7ceb6540f	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	GEMM	OO	80	160	640	81920	739246080	fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/FAST64_OO.config	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	docs/dtc_l1/iscas2027/granularity/sg4a/config/SG4A_LOGICAL80_OO_OVERLAY.config	2dccf5e73be141f11ad08d673fe7cd97fc6884bd26b49f1f3523c9a3671ad3bd	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	2DConvolution	IO	32	64	640	81920	620347492	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_32/FAST64_SENS_LOGICAL_32KB_IO.config	fc760923bdea08ce1b256b7944171042a33e74fbe8b5844e7fa582f9bd43d2e3	NONE	NONE	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	2DConvolution	OO	32	64	640	81920	620347492	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_32/FAST64_SENS_LOGICAL_32KB_OO.config	cab21e03554de67271b7c7493c397ca2a30747f3d7fbc8ca6cc7d22bc5f3c399	NONE	NONE	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	2DConvolution	IO	64	128	640	81920	620347492	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_64/FAST64_SENS_LOGICAL_64KB_IO.config	35b84094cf357a593606fc1f334d91317932caebd6d78084040cb9c0d9edb5aa	NONE	NONE	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	2DConvolution	OO	64	128	640	81920	620347492	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_64/FAST64_SENS_LOGICAL_64KB_OO.config	313ff9096e3255735829cb45df28a432be38b1fd4161e381868e10da17fa144f	NONE	NONE	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	2DConvolution	IO	80	160	640	81920	620347492	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/FAST64_IO.config	d4a2d9d0088946b950370b922a8d8e34422bbca9bac26f109b3977fe02a7f621	docs/dtc_l1/iscas2027/granularity/sg4a/config/SG4A_LOGICAL80_IO_OVERLAY.config	894bdff37ec5f0b097a3c67356b2e7df53006a261e068b52e5f582b7ceb6540f	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	2DConvolution	OO	80	160	640	81920	620347492	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/FAST64_OO.config	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	docs/dtc_l1/iscas2027/granularity/sg4a/config/SG4A_LOGICAL80_OO_OVERLAY.config	2dccf5e73be141f11ad08d673fe7cd97fc6884bd26b49f1f3523c9a3671ad3bd	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	Btree	IO	32	64	640	81920	444467849	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_32/FAST64_SENS_LOGICAL_32KB_IO.config	fc760923bdea08ce1b256b7944171042a33e74fbe8b5844e7fa582f9bd43d2e3	NONE	NONE	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	Btree	OO	32	64	640	81920	444467849	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_32/FAST64_SENS_LOGICAL_32KB_OO.config	cab21e03554de67271b7c7493c397ca2a30747f3d7fbc8ca6cc7d22bc5f3c399	NONE	NONE	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	Btree	IO	64	128	640	81920	444467849	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_64/FAST64_SENS_LOGICAL_64KB_IO.config	35b84094cf357a593606fc1f334d91317932caebd6d78084040cb9c0d9edb5aa	NONE	NONE	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	Btree	OO	64	128	640	81920	444467849	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/sensitivity_frozen_v2/logical_64/FAST64_SENS_LOGICAL_64KB_OO.config	313ff9096e3255735829cb45df28a432be38b1fd4161e381868e10da17fa144f	NONE	NONE	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	Btree	IO	80	160	640	81920	444467849	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/FAST64_IO.config	d4a2d9d0088946b950370b922a8d8e34422bbca9bac26f109b3977fe02a7f621	docs/dtc_l1/iscas2027/granularity/sg4a/config/SG4A_LOGICAL80_IO_OVERLAY.config	894bdff37ec5f0b097a3c67356b2e7df53006a261e068b52e5f582b7ceb6540f	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
SG4A_FAST12_MISSING_POINT_PLAN_V1	SG4A.2	Btree	OO	80	160	640	81920	444467849	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	configs/dtc_l1/fast64/FAST64_OO.config	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	docs/dtc_l1/iscas2027/granularity/sg4a/config/SG4A_LOGICAL80_OO_OVERLAY.config	2dccf5e73be141f11ad08d673fe7cd97fc6884bd26b49f1f3523c9a3671ad3bd	resource_slot_after_current_live_attempts	natural exit+authority trace/instruction+logical set echo+physical 640+lower and credit drain	Fresh missing-point evidence only; frozen 16KiB reference is not rerun; no result-based selection.
