workload	sensitivity_dimension	row_kind	requested_point	mode	modeled_capacity_or_entries	same_mode_reference	same_mode_reference_cycles	cycles	cycles_over_same_mode_reference	speedup_vs_same_mode_reference	normalization_formula	accepted_status	boundary_disposition	evidence_class	accepted_source
Btree	physical_pool_kib	NUMERIC_ACCEPTED_POINT	16.5	IO	132_lines_16896B	IO@32	244231	548243	2.244772367	0.445479468	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
Btree	physical_pool_kib	NUMERIC_ACCEPTED_POINT	24	IO	192_lines_24576B	IO@32	244231	244231	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
Btree	physical_pool_kib	NUMERIC_ACCEPTED_POINT	32	IO	256_lines_32768B	IO@32	244231	244231	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
Btree	physical_pool_kib	NUMERIC_ACCEPTED_POINT	40	IO	320_lines_40960B	IO@32	244231	244231	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
Btree	physical_pool_kib	NUMERIC_ACCEPTED_POINT	48	IO	384_lines_49152B	IO@32	244231	244231	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
Btree	physical_pool_kib	NUMERIC_ACCEPTED_POINT	16.5	OO	132_lines_16896B	OO@32	172795	171828	0.994403773	1.005627721	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
Btree	physical_pool_kib	NUMERIC_ACCEPTED_POINT	24	OO	192_lines_24576B	OO@32	172795	172795	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
Btree	physical_pool_kib	NUMERIC_ACCEPTED_POINT	32	OO	256_lines_32768B	OO@32	172795	172795	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
Btree	physical_pool_kib	NUMERIC_ACCEPTED_POINT	40	OO	320_lines_40960B	OO@32	172795	172795	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
Btree	physical_pool_kib	NUMERIC_ACCEPTED_POINT	48	OO	384_lines_49152B	OO@32	172795	172795	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
GESUMMV	physical_pool_kib	NONNUMERIC_BOUNDARY_MARKER	16.5	IO	132_lines_16896B	IO@32	105662735	NONNUMERIC	NONNUMERIC	NONNUMERIC	NOT_APPLICABLE_RESOURCE_DEADLOCK_HAS_NO_NUMERIC_PERFORMANCE	EXPECTED_RESOURCE_DEADLOCK_NO_NUMERIC_PERFORMANCE	EXPECTED_RESOURCE_DEADLOCK_NO_NUMERIC_PERFORMANCE	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/fast64_6_expected_deadlocks.tsv
GESUMMV	physical_pool_kib	NUMERIC_ACCEPTED_POINT	24	IO	192_lines_24576B	IO@32	105662735	78710188	0.744919086	1.342427679	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
GESUMMV	physical_pool_kib	NUMERIC_ACCEPTED_POINT	32	IO	256_lines_32768B	IO@32	105662735	105662735	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
GESUMMV	physical_pool_kib	NUMERIC_ACCEPTED_POINT	40	IO	320_lines_40960B	IO@32	105662735	109360156	1.034992668	0.966190419	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
GESUMMV	physical_pool_kib	NUMERIC_ACCEPTED_POINT	48	IO	384_lines_49152B	IO@32	105662735	148257172	1.403116927	0.712698978	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
GESUMMV	physical_pool_kib	NONNUMERIC_BOUNDARY_MARKER	16.5	OO	132_lines_16896B	OO@32	78961728	NONNUMERIC	NONNUMERIC	NONNUMERIC	NOT_APPLICABLE_RESOURCE_DEADLOCK_HAS_NO_NUMERIC_PERFORMANCE	EXPECTED_RESOURCE_DEADLOCK_NO_NUMERIC_PERFORMANCE	EXPECTED_RESOURCE_DEADLOCK_NO_NUMERIC_PERFORMANCE	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/fast64_6_expected_deadlocks.tsv
GESUMMV	physical_pool_kib	NUMERIC_ACCEPTED_POINT	24	OO	192_lines_24576B	OO@32	78961728	64941439	0.822441968	1.215891259	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
GESUMMV	physical_pool_kib	NUMERIC_ACCEPTED_POINT	32	OO	256_lines_32768B	OO@32	78961728	78961728	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
GESUMMV	physical_pool_kib	NUMERIC_ACCEPTED_POINT	40	OO	320_lines_40960B	OO@32	78961728	118283945	1.497990837	0.667560826	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
GESUMMV	physical_pool_kib	NUMERIC_ACCEPTED_POINT	48	OO	384_lines_49152B	OO@32	78961728	143759327	1.820620326	0.549263339	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
