layer	role	module_class	qweight_dtype	qweight_shape	qweight_bytes	storage_offset_bytes	contiguous	median_ms	min_ms	max_ms	cv	samples_ms
10	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07577600330114365	0.07449600100517273	0.07577600330114365	0.006877525660260853	[0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07561600208282471, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07449600100517273, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303]
11	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07475200295448303	0.07372800260782242	0.07596799731254578	0.009130074910135752	[0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07372800260782242, 0.07475200295448303, 0.07577600330114365, 0.07372800260782242, 0.07372800260782242, 0.07596799731254578, 0.07372800260782242, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303]
12	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07577600330114365	0.07475200295448303	0.07699199765920639	0.0075881906744337015	[0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07699199765920639, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07680000364780426, 0.07577600330114365, 0.07577600330114365, 0.07654400169849396, 0.07680000364780426, 0.07577600330114365, 0.07680000364780426, 0.07680000364780426, 0.07577600330114365, 0.07680000364780426, 0.07577600330114365, 0.07577600330114365, 0.07680000364780426, 0.07577600330114365]
13	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07561600208282471	0.07372800260782242	0.07619199901819229	0.009229508891050535	[0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07372800260782242, 0.07494399696588516, 0.07577600330114365, 0.07475200295448303, 0.07539200037717819, 0.07475200295448303, 0.07577600330114365, 0.07606399804353714, 0.07475200295448303, 0.07577600330114365, 0.07619199901819229, 0.07475200295448303, 0.07577600330114365, 0.07561600208282471, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07372800260782242]
14	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07475200295448303	0.07475200295448303	0.07680000364780426	0.008850617741262896	[0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07481600344181061, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07680000364780426, 0.07548800110816956, 0.07475200295448303, 0.07680000364780426, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07593599706888199, 0.07475200295448303, 0.07577600330114365]
15	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07475200295448303	0.07372800260782242	0.07577600330114365	0.008484751533337269	[0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07372800260782242, 0.07500799745321274, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07372800260782242, 0.07440000027418137, 0.07475200295448303, 0.07475200295448303, 0.07497599720954895, 0.07577600330114365, 0.07401599735021591, 0.07571200281381607, 0.07577600330114365]
16	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07475200295448303	0.07372800260782242	0.07577600330114365	0.009526034186761073	[0.07372800260782242, 0.07372800260782242, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07372800260782242, 0.0737600028514862, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07372800260782242, 0.07372800260782242, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07372800260782242, 0.07577600330114365, 0.07385600358247757, 0.07475200295448303, 0.07372800260782242]
17	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07475200295448303	0.07446400076150894	0.07577600330114365	0.00663633677336425	[0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07561600208282471, 0.07446400076150894, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07491199672222137, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303]
18	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07475200295448303	0.07472000271081924	0.07680000364780426	0.007570716165382421	[0.07481600344181061, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07680000364780426, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07472000271081924, 0.07475200295448303, 0.0759039968252182, 0.07475200295448303, 0.07475200295448303]
19	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07577600330114365	0.07475200295448303	0.07680000364780426	0.006326168544760596	[0.07577600330114365, 0.07577600330114365, 0.07680000364780426, 0.07580800354480743, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07542400062084198, 0.07475200295448303, 0.07561600208282471, 0.07580800354480743, 0.07577600330114365]
20	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07475200295448303	0.07356800138950348	0.07577600330114365	0.009505920959709526	[0.07500799745321274, 0.07475200295448303, 0.07372800260782242, 0.07372800260782242, 0.07475200295448303, 0.07475200295448303, 0.07372800260782242, 0.07545600086450577, 0.07475200295448303, 0.07372800260782242, 0.07577600330114365, 0.07372800260782242, 0.07356800138950348, 0.07475200295448303, 0.07372800260782242, 0.07475200295448303, 0.07475200295448303, 0.07372800260782242, 0.07372800260782242, 0.07577600330114365, 0.07475200295448303]
21	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07475200295448303	0.07372800260782242	0.07612799853086472	0.008734049193834113	[0.07475200295448303, 0.07612799853086472, 0.07475200295448303, 0.07475200295448303, 0.07494399696588516, 0.07372800260782242, 0.07475200295448303, 0.07475200295448303, 0.07414399832487106, 0.07449600100517273, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07487999647855759, 0.07475200295448303, 0.07577600330114365, 0.07372800260782242, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303]
22	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07475200295448303	0.07372800260782242	0.07680000364780426	0.00876022180440769	[0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07680000364780426, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07372800260782242, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303]
23	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07475200295448303	0.07459200173616409	0.07577600330114365	0.00651607431664867	[0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07459200173616409, 0.07475200295448303, 0.07577600330114365]
24	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07577600330114365	0.07475200295448303	0.07680000364780426	0.005897782556864715	[0.07577600330114365, 0.07680000364780426, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07680000364780426, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365]
25	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07577600330114365	0.07475200295448303	0.07680000364780426	0.0070958800868028415	[0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07680000364780426, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07548800110816956, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303]
26	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07577600330114365	0.07475200295448303	0.07680000364780426	0.006566672271249701	[0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07680000364780426, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07680000364780426, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365]
27	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07577600330114365	0.07475200295448303	0.07680000364780426	0.009037819567181455	[0.07475200295448303, 0.07577600330114365, 0.07680000364780426, 0.07577600330114365, 0.07583999633789062, 0.07680000364780426, 0.07593599706888199, 0.07577600330114365, 0.07680000364780426, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365]
0	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08595199882984161	0.08396799862384796	0.0870399996638298	0.009742971943128446	[0.08601599931716919, 0.08396799862384796, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08595199882984161, 0.08396799862384796, 0.08601599931716919, 0.08607999980449677, 0.08396799862384796, 0.08601599931716919, 0.08463999629020691, 0.08470399677753448, 0.0870399996638298, 0.08499199897050858, 0.08499199897050858, 0.08601599931716919]
1	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08499199897050858	0.08396799862384796	0.08611200004816055	0.0067540396058099125	[0.08601599931716919, 0.08396799862384796, 0.08601599931716919, 0.08499199897050858, 0.08499199897050858, 0.08601599931716919, 0.08499199897050858, 0.0859839990735054, 0.08508799970149994, 0.08499199897050858, 0.08499199897050858, 0.08499199897050858, 0.08560000360012054, 0.08473599702119827, 0.08591999858617783, 0.08499199897050858, 0.08601599931716919, 0.08499199897050858, 0.08499199897050858, 0.08591999858617783, 0.08611200004816055]
2	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08588799834251404	0.08396799862384796	0.08671999722719193	0.008064773784628235	[0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08396799862384796, 0.08671999722719193, 0.08499199897050858, 0.08601599931716919, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08560000360012054, 0.08483199775218964, 0.08665599673986435, 0.08582399785518646, 0.08499199897050858, 0.08460800349712372, 0.08499199897050858, 0.08495999872684479, 0.08588799834251404, 0.08601599931716919, 0.08601599931716919]
3	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08665599673986435	0.08499199897050858	0.08723200112581253	0.007054854776145873	[0.0870399996638298, 0.08607999980449677, 0.08601599931716919, 0.0870399996638298, 0.08601599931716919, 0.08569599688053131, 0.08601599931716919, 0.08601599931716919, 0.0870399996638298, 0.08723200112581253, 0.08499199897050858, 0.0870399996638298, 0.0870399996638298, 0.08665599673986435, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.0870399996638298, 0.08694399893283844, 0.0870399996638298, 0.0870399996638298]
4	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08582399785518646	0.08499199897050858	0.0870399996638298	0.007562142774638524	[0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08601599931716919, 0.08499199897050858, 0.0867839977145195, 0.08604799956083298, 0.08499199897050858, 0.08499199897050858, 0.0870399996638298, 0.08499199897050858, 0.08601599931716919, 0.08582399785518646, 0.08499199897050858, 0.08556800335645676, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08505599945783615, 0.08569599688053131, 0.0867839977145195]
5	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08601599931716919	0.08499199897050858	0.08886399865150452	0.01040910271501859	[0.08601599931716919, 0.0870399996638298, 0.08601599931716919, 0.08499199897050858, 0.0867839977145195, 0.0857279971241951, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08499199897050858, 0.0870399996638298, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08886399865150452, 0.08588799834251404, 0.08499199897050858, 0.0870399996638298, 0.08499199897050858, 0.08687999844551086, 0.08687999844551086]
6	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08601599931716919	0.08499199897050858	0.0870399996638298	0.006470352081622142	[0.08601599931716919, 0.08601599931716919, 0.08499199897050858, 0.08499199897050858, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08601599931716919, 0.08499199897050858, 0.0870399996638298, 0.08601599931716919, 0.08499199897050858, 0.08579199761152267, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08591999858617783, 0.08601599931716919, 0.08601599931716919]
7	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08499199897050858	0.08396799862384796	0.08761599659919739	0.01041769789314973	[0.08499199897050858, 0.08489599823951721, 0.08499199897050858, 0.0870399996638298, 0.08499199897050858, 0.08473599702119827, 0.08761599659919739, 0.08499199897050858, 0.08499199897050858, 0.08601599931716919, 0.08499199897050858, 0.08499199897050858, 0.08540800213813782, 0.08499199897050858, 0.08396799862384796, 0.08601599931716919, 0.08396799862384796, 0.08396799862384796, 0.08601599931716919, 0.08499199897050858, 0.08499199897050858]
8	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08620800077915192	0.08499199897050858	0.08787199854850769	0.007424434365140281	[0.08659200370311737, 0.08604799956083298, 0.0867839977145195, 0.08579199761152267, 0.08620800077915192, 0.0870399996638298, 0.08563199639320374, 0.08643200248479843, 0.0870399996638298, 0.08499199897050858, 0.08601599931716919, 0.0870399996638298, 0.08595199882984161, 0.08601599931716919, 0.08787199854850769, 0.08684799820184708, 0.08601599931716919, 0.0870399996638298, 0.08601599931716919, 0.08601599931716919, 0.0870399996638298]
9	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08601599931716919	0.08499199897050858	0.0870399996638298	0.006347506960577307	[0.08601599931716919, 0.08601599931716919, 0.08499199897050858, 0.08627200126647949, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.0870399996638298, 0.08601599931716919, 0.08601599931716919, 0.08582399785518646, 0.08499199897050858, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919]
10	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08499199897050858	0.08396799862384796	0.08630400151014328	0.0070029474832146955	[0.08499199897050858, 0.08630400151014328, 0.08463999629020691, 0.08499199897050858, 0.08499199897050858, 0.08499199897050858, 0.08499199897050858, 0.08499199897050858, 0.08601599931716919, 0.08601599931716919, 0.08489599823951721, 0.08396799862384796, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08499199897050858, 0.08499199897050858, 0.08499199897050858, 0.08601599931716919, 0.08499199897050858, 0.08499199897050858]
11	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08601599931716919	0.08499199897050858	0.08636800199747086	0.005166088450457861	[0.08604799956083298, 0.0857279971241951, 0.08604799956083298, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08499199897050858, 0.08620800077915192, 0.08636800199747086, 0.08499199897050858, 0.08601599931716919, 0.08499199897050858, 0.08566399663686752, 0.08515200018882751, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919]
12	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08601599931716919	0.08499199897050858	0.0870399996638298	0.006151150602534181	[0.08601599931716919, 0.08601599931716919, 0.0870399996638298, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08499199897050858, 0.08499199897050858, 0.08499199897050858, 0.08563199639320374, 0.0870399996638298, 0.08595199882984161, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08582399785518646, 0.08515200018882751, 0.08595199882984161]
13	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08601599931716919	0.08499199897050858	0.0870399996638298	0.005298033425294823	[0.08499199897050858, 0.08588799834251404, 0.08601599931716919, 0.08636800199747086, 0.08601599931716919, 0.08601599931716919, 0.08620800077915192, 0.0870399996638298, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.0870399996638298, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919]
14	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08601599931716919	0.08499199897050858	0.0870399996638298	0.005778493429523473	[0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08665599673986435, 0.08601599931716919, 0.08601599931716919, 0.0870399996638298, 0.08687999844551086, 0.08601599931716919, 0.0859839990735054, 0.08595199882984161, 0.08601599931716919, 0.08700799942016602, 0.08607999980449677, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919]
15	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08601599931716919	0.08499199897050858	0.0870399996638298	0.007444443556678885	[0.0857279971241951, 0.08499199897050858, 0.08499199897050858, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08591999858617783, 0.08499199897050858, 0.08601599931716919, 0.0870399996638298, 0.08499199897050858, 0.08601599931716919, 0.08601599931716919, 0.08499199897050858, 0.08499199897050858, 0.08601599931716919, 0.08499199897050858, 0.08499199897050858, 0.0870399996638298, 0.08601599931716919, 0.08601599931716919]
16	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08601599931716919	0.08499199897050858	0.0870399996638298	0.007094321073830604	[0.08499199897050858, 0.08601599931716919, 0.08601599931716919, 0.08582399785518646, 0.08601599931716919, 0.08499199897050858, 0.08499199897050858, 0.0857279971241951, 0.0867839977145195, 0.08601599931716919, 0.0870399996638298, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08691199868917465, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08499199897050858, 0.08521600067615509, 0.08601599931716919]
17	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08601599931716919	0.08499199897050858	0.0870399996638298	0.006981355663314484	[0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.0870399996638298, 0.08582399785518646, 0.08601599931716919, 0.08601599931716919, 0.0870399996638298, 0.08601599931716919, 0.08694399893283844, 0.08585599809885025, 0.08499199897050858, 0.08601599931716919, 0.08601599931716919, 0.08684799820184708, 0.08601599931716919, 0.08499199897050858, 0.08691199868917465, 0.08499199897050858, 0.08601599931716919]
18	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08601599931716919	0.08499199897050858	0.08806400001049042	0.009180658031750171	[0.08601599931716919, 0.08575999736785889, 0.0870399996638298, 0.08665599673986435, 0.08499199897050858, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.0870399996638298, 0.0870399996638298, 0.0870399996638298, 0.08585599809885025, 0.08806400001049042, 0.0870399996638298, 0.0870399996638298, 0.08806400001049042, 0.0870399996638298, 0.08531200140714645, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919]
19	up_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.08601599931716919	0.08473599702119827	0.08601599931716919	0.005582869164257685	[0.08601599931716919, 0.08499199897050858, 0.08569599688053131, 0.08499199897050858, 0.08499199897050858, 0.08601599931716919, 0.08601599931716919, 0.08473599702119827, 0.08601599931716919, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08579199761152267, 0.08601599931716919, 0.08531200140714645, 0.08601599931716919, 0.08499199897050858, 0.08601599931716919, 0.08601599931716919, 0.08601599931716919, 0.0851840004324913]
