stage	config_id	roi	evidence_label	semantic_status	realized_run_id	rss_kb	wall_seconds	gpu_tot_ipc	vm_l2_tlb_misses
B2_VM_SMOKE	b2-pwq-8	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-pwq-8-decode1	204800	02.79	116.1201	32
B2_VM_SMOKE	b2-pwq-16	prefill	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-pwq-16-prefill	626688	48.99	1663.7548	815
B2_VM_SMOKE	b2-pwq-16	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-pwq-16-decode1	204800	04.22	116.1201	32
B2_VM_SMOKE	b2-pwq-64	prefill	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-pwq-64-prefill	626688	49.50	1663.7548	815
B2_VM_SMOKE	b2-pwq-64	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-pwq-64-decode1	204800	02.79	116.1201	32
B2_VM_SMOKE	b2-walkers-1	prefill	SPECULATIVE_DIAGNOSTIC	MISSING	NONE	NONE	NONE	NONE	NONE
B2_VM_SMOKE	b2-walkers-1	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-walkers-1-decode1-retry3	204800	02.74	116.1201	32
B2_VM_SMOKE	b2-walkers-4	prefill	SPECULATIVE_DIAGNOSTIC	MISSING	NONE	NONE	NONE	NONE	NONE
B2_VM_SMOKE	b2-walkers-4	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-walkers-4-decode1-retry3	204800	02.84	116.1201	32
B2_VM_SMOKE	b2-walkers-8	prefill	SPECULATIVE_DIAGNOSTIC	MISSING	NONE	NONE	NONE	NONE	NONE
B2_VM_SMOKE	b2-walkers-8	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-walkers-8-decode1-retry3	204800	02.71	116.1201	32
B2_VM_SMOKE	b2-walkers-32	prefill	SPECULATIVE_DIAGNOSTIC	MISSING	NONE	NONE	NONE	NONE	NONE
B2_VM_SMOKE	b2-walkers-32	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-walkers-32-decode1-retry4	204800	02.72	116.1201	32
B2_VM_SMOKE	b2-pwc-off	prefill	SPECULATIVE_DIAGNOSTIC	MISSING	NONE	NONE	NONE	NONE	NONE
B2_VM_SMOKE	b2-pwc-off	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-pwc-off-decode1-retry4	204800	02.86	114.8912	32
B2_VM_SMOKE	b2-pwc-finite32	prefill	SPECULATIVE_DIAGNOSTIC	MISSING	NONE	NONE	NONE	NONE	NONE
B2_VM_SMOKE	b2-pwc-finite32	decode1	SPECULATIVE_DIAGNOSTIC	MISSING	NONE	NONE	NONE	NONE	NONE
B2_VM_SMOKE	b2-pwc-finite512	prefill	SPECULATIVE_DIAGNOSTIC	MISSING	NONE	NONE	NONE	NONE	NONE
B2_VM_SMOKE	b2-pwc-finite512	decode1	SPECULATIVE_DIAGNOSTIC	MISSING	NONE	NONE	NONE	NONE	NONE
B2_VM_SMOKE	b2-pwc-ideal	prefill	SPECULATIVE_DIAGNOSTIC	MISSING	NONE	NONE	NONE	NONE	NONE
B2_VM_SMOKE	b2-pwc-ideal	decode1	SPECULATIVE_DIAGNOSTIC	MISSING	NONE	NONE	NONE	NONE	NONE
B2_VM_SMOKE	b2-page-2mb-diagnostic	prefill	SPECULATIVE_DIAGNOSTIC	MISSING	NONE	NONE	NONE	NONE	NONE
B2_VM_SMOKE	b2-page-2mb-diagnostic	decode1	SPECULATIVE_DIAGNOSTIC	MISSING	NONE	NONE	NONE	NONE	NONE
B2_VM_SMOKE	b2-control-vm-disabled	prefill	SPECULATIVE_DIAGNOSTIC	MISSING	NONE	NONE	NONE	NONE	NONE
B2_VM_SMOKE	b2-control-vm-disabled	decode1	SPECULATIVE_DIAGNOSTIC	MISSING	NONE	NONE	NONE	NONE	NONE
B2_VM_SMOKE	b2-control-ideal-identity	prefill	SPECULATIVE_DIAGNOSTIC	MISSING	NONE	NONE	NONE	NONE	NONE
B2_VM_SMOKE	b2-control-ideal-identity	decode1	SPECULATIVE_DIAGNOSTIC	MISSING	NONE	NONE	NONE	NONE	NONE
