authority	artifact	role	sha256	bytes
22004807cabb09e8795e0c61f5dc679aa3f37007	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/review_packs/C16_FIRST_V2_FORMAL_INGEST_174NEW_V1/PRODUCER_CONSUMER_CROSSCHECK.tsv	C16_OBJECT_CROSSCHECK	c351aa80fe8c520d439f926e2159c0dd821029e24f379cf980d3fc472a8a298d	434
22004807cabb09e8795e0c61f5dc679aa3f37007	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/review_packs/AWMA_FIRST_CURRENT_MODEL_BASELINE_SIM_174NEW_V1/SIM_EVIDENCE_RECORD.json	Q05_OBJECT_ACCEPTANCE	c61fe536bec707ae3a176e1706df0af31d624d13fdbb93bbd1094a120b3242c1	700
22004807cabb09e8795e0c61f5dc679aa3f37007	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/review_packs/AWMA_FIRST_CURRENT_MODEL_BASELINE_SIM_174NEW_V1/object-map.tsv	Q05_OBJECT_MAP	689af1cfe35897fb17e741cd9699a20dafaf3e529d7d7603447d6381066bfc99	319
22004807cabb09e8795e0c61f5dc679aa3f37007	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/review_packs/AWMA_FIRST_CURRENT_MODEL_BASELINE_SIM_174NEW_V1/raw/replay_1/telemetry/L1D_OBJECT_STATS.tsv	Q05_OBJECT_STATS	89b32e260cae9a49d5d3626a847bc5999465c3a3002d245cffbd2e96adef479b	62698
22004807cabb09e8795e0c61f5dc679aa3f37007	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/review_packs/AWMA_Q05_CONTEXTUAL_WARM_PREFIX_REPLAY_174NEW_V1/WARM_PREFIX_RESULTS.tsv	CONTEXT_INPUT	28dac08e7d580ac9d51efbc61c4a853c6a0e60b70d04ac9d9abef01ea105f898	818
22004807cabb09e8795e0c61f5dc679aa3f37007	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/review_packs/AWMA_Q05_CONTEXTUAL_WARM_PREFIX_REPLAY_174NEW_V1/Q05_TRANSLATION_RESULTS.tsv	CONTEXT_INPUT	8e7bf0eea6a18b1ec70458674a878f39af43a9100f498445230cdf290a7a5eb2	2063
22004807cabb09e8795e0c61f5dc679aa3f37007	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/review_packs/AWMA_Q05_CONTEXTUAL_WARM_PREFIX_REPLAY_174NEW_V1/Q05_DATA_CACHE_RESULTS.tsv	CONTEXT_INPUT	27163c812871001925976058be7f198762de114712082614cb1794688e3e9249	535
22004807cabb09e8795e0c61f5dc679aa3f37007	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/review_packs/AWMA_Q05_CONTEXTUAL_WARM_PREFIX_REPLAY_174NEW_V1/TRANSLATION_RELEVANT_PAGE_OVERLAP_4K.tsv	CONTEXT_INPUT	aa859efa09b31834dab9f47dadc2bf45379d7432881258edbf083bd25e6f7077	281
22004807cabb09e8795e0c61f5dc679aa3f37007	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/review_packs/AWMA_Q05_CONTEXTUAL_WARM_PREFIX_REPLAY_174NEW_V1/TRANSLATION_RELEVANT_PAGE_OVERLAP_64K.tsv	CONTEXT_INPUT	c12837d3a881fef9e9b67eb3328da943601529d875824fdf2adcd7d20f136def	262
22004807cabb09e8795e0c61f5dc679aa3f37007	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/review_packs/AWMA_Q05_CONTEXTUAL_WARM_PREFIX_REPLAY_174NEW_V1/F0_KERNEL_BOUNDARY_STATE_MATRIX_FINAL.tsv	CONTEXT_INPUT	039a3b0d2c56e53d81c92da54f61d1d38276977c3e35b1f45f8749769dd5906d	910
22004807cabb09e8795e0c61f5dc679aa3f37007	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/codex_handoff/c16/autodl_wave1/P3_AWQ_S2_TEXT_G1_CHECKPOINT.json	AWQ_NATIVE_ACCEPTANCE	d0456ea70b67d3fd01e41e1fba9ce4f1a24ec6c3af43f1895dd9c36d6bd26d4c	4325
22004807cabb09e8795e0c61f5dc679aa3f37007	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_g_wave1_native/direct_semantic_p3_awq_s2/SEMANTIC_EVIDENCE_RECEIPT.json	AWQ_SEMANTIC_BOUNDARY	750e8d8d215308492baffa2a0c61ea97e202989cd169dd8ce3ec50aea8dc96a2	2874
22004807cabb09e8795e0c61f5dc679aa3f37007	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_g_wave1_native/direct_semantic_p3_awq_s2/SEMANTIC_COVERAGE.tsv	AWQ_SEMANTIC_BOUNDARY	b089c0f097c1f5e85ddf77fc308279720a3209cf1a6940ab92d949a0f25cdcc3	700
22004807cabb09e8795e0c61f5dc679aa3f37007	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/codex_handoff/c16/autodl_wave1/P2_RAW_S0_RESOURCE_ADMISSION.json	RAW7B_BLOCKER	a087caf9def8834621befdd9c1762c0f1da60c94112ce4c8ab6c72c14641156c	1033
22004807cabb09e8795e0c61f5dc679aa3f37007	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_g_retry570_nvbit175_full_multimodel_campaign/CAMPAIGN_FINAL_REPORT.md	PROVISIONAL_EXCLUSION	bea9655c489c6dbf17f395c5ad4924190b88bbc7d531e6e6fda22883868ced6a	953
THIS_STAGE	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/review_packs/AWMA_POST_NEGATIVE_PROBLEM_PIVOT_V1/CONTEXT_PREFIX_DIAGNOSTIC.tsv	DERIVED_DIAGNOSTIC	ec3d5644bc1fc703bfb7ff75a358ee7256f7593ca095a8f27ebba6f5b768bdd1	720
THIS_STAGE	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/review_packs/AWMA_POST_NEGATIVE_PROBLEM_PIVOT_V1/CONTEXT_MATCHED_PAIR_RESULTS.tsv	DERIVED_DIAGNOSTIC	ad3597d15610c28b7fa913c761072e89add6ceb103362b2776c337e5637c1298	550
THIS_STAGE	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/review_packs/AWMA_POST_NEGATIVE_PROBLEM_PIVOT_V1/CONTEXT_CORRELATION_SUMMARY.tsv	DERIVED_DIAGNOSTIC	e11a1065432b84636a93c55c43c317ee0edd46da8b8e75b3c2cde28ebf46153e	185
THIS_STAGE	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/review_packs/AWMA_POST_NEGATIVE_PROBLEM_PIVOT_V1/CONTEXT_DIAGNOSTIC_RECEIPT.json	DERIVED_DIAGNOSTIC	016a86b665418b1f20a3a73153d227fa1445ab08fdc3cd8387e5a7fab3bc0557	2161
