page_size	q05_page	nearest_predecessor_member	distance_kernels	observed_in_predecessor
4K	0x7dcbda121	32	2	YES
4K	0x7dcbda122	32	2	YES
4K	0x7dcbda123	32	2	YES
4K	0x7dcbda124	32	2	YES
4K	0x7dcbda125	32	2	YES
4K	0x7dcbda126	32	2	YES
4K	0x7dcbda127	32	2	YES
4K	0x7dcbda128	32	2	YES
4K	0x7dcbda129	32	2	YES
4K	0x7dcbda12a	32	2	YES
4K	0x7dcbda12b	32	2	YES
4K	0x7dcbda12c	32	2	YES
4K	0x7dcbda12d	32	2	YES
4K	0x7dcbda12e	32	2	YES
4K	0x7dcbda12f	32	2	YES
4K	0x7dcbda130	32	2	YES
4K	0x7dcbda131	32	2	YES
4K	0x7dcbda132	32	2	YES
4K	0x7dcbda133	32	2	YES
4K	0x7dcbda134	32	2	YES
4K	0x7dcbda135	32	2	YES
4K	0x7dcbda136	32	2	YES
4K	0x7dcbda137	32	2	YES
4K	0x7dcbda138	32	2	YES
4K	0x7dcbda139	32	2	YES
4K	0x7dcbda13a	32	2	YES
4K	0x7dcbda13b	32	2	YES
4K	0x7dcbda13c	32	2	YES
4K	0x7dcbda13d	32	2	YES
4K	0x7dcbda13e	32	2	YES
4K	0x7dcbda13f	32	2	YES
4K	0x7dcbda140	32	2	YES
4K	0x7dcbda141	32	2	YES
4K	0x7dcbda142	32	2	YES
4K	0x7dcbda143	32	2	YES
4K	0x7dcbda144	32	2	YES
4K	0x7dcbda145	32	2	YES
4K	0x7dcbda146	32	2	YES
4K	0x7dcbda147	32	2	YES
4K	0x7dcbda148	32	2	YES
4K	0x7dcbda149	32	2	YES
4K	0x7dcbda14a	32	2	YES
4K	0x7dcbda14b	32	2	YES
4K	0x7dcbda14c	32	2	YES
4K	0x7dcbda14d	32	2	YES
4K	0x7dcbda14e	32	2	YES
4K	0x7dcbda14f	32	2	YES
4K	0x7dcbda150	32	2	YES
4K	0x7dcbda151	32	2	YES
4K	0x7dcbda152	32	2	YES
4K	0x7dcbda153	32	2	YES
4K	0x7dcbda154	32	2	YES
4K	0x7dcbda155	32	2	YES
4K	0x7dcbda156	32	2	YES
4K	0x7dcbda157	32	2	YES
4K	0x7dcbda158	32	2	YES
4K	0x7dcbda159	32	2	YES
4K	0x7dcbda15a	32	2	YES
4K	0x7dcbda15b	32	2	YES
4K	0x7dcbda15c	32	2	YES
4K	0x7dcbda15d	32	2	YES
4K	0x7dcbda15e	32	2	YES
4K	0x7dcbda15f	32	2	YES
4K	0x7dcbda160	32	2	YES
4K	0x7dcbda161	32	2	YES
4K	0x7dcbda162	32	2	YES
4K	0x7dcbda163	32	2	YES
4K	0x7dcbda164	32	2	YES
4K	0x7dcbda165	32	2	YES
4K	0x7dcbda166	32	2	YES
4K	0x7dcbda167	32	2	YES
4K	0x7dcbda168	32	2	YES
4K	0x7dcbda169	32	2	YES
4K	0x7dcbda16a	32	2	YES
4K	0x7dcbda16b	32	2	YES
4K	0x7dcbda16c	32	2	YES
4K	0x7dcbda16d	32	2	YES
4K	0x7dcbda16e	32	2	YES
4K	0x7dcbda16f	32	2	YES
4K	0x7dcbda170	32	2	YES
4K	0x7dcbda171	32	2	YES
4K	0x7dcbda172	32	2	YES
4K	0x7dcbda173	32	2	YES
4K	0x7dcbda174	32	2	YES
4K	0x7dcbda175	32	2	YES
4K	0x7dcbda176	32	2	YES
4K	0x7dcbda177	32	2	YES
4K	0x7dcbda178	32	2	YES
4K	0x7dcbda179	32	2	YES
4K	0x7dcbda17a	32	2	YES
4K	0x7dcbda17b	32	2	YES
4K	0x7dcbda17c	32	2	YES
4K	0x7dcbda17d	32	2	YES
4K	0x7dcbda17e	32	2	YES
4K	0x7dcbda17f	32	2	YES
4K	0x7dcbda180	32	2	YES
4K	0x7dcbda181	32	2	YES
4K	0x7dcbda182	32	2	YES
4K	0x7dcbda183	32	2	YES
4K	0x7dcbda184	32	2	YES
4K	0x7dcbda185	32	2	YES
4K	0x7dcbda186	32	2	YES
4K	0x7dcbda187	32	2	YES
4K	0x7dcbda188	32	2	YES
4K	0x7dcbda189	32	2	YES
4K	0x7dcbda18a	32	2	YES
4K	0x7dcbda18b	32	2	YES
4K	0x7dcbda18c	32	2	YES
4K	0x7dcbda18d	32	2	YES
4K	0x7dcbda18e	32	2	YES
4K	0x7dcbda18f	32	2	YES
4K	0x7dcbda190	32	2	YES
4K	0x7dcbda191	32	2	YES
4K	0x7dcbda192	32	2	YES
4K	0x7dcbda193	32	2	YES
4K	0x7dcbda194	32	2	YES
4K	0x7dcbda195	32	2	YES
4K	0x7dcbda196	32	2	YES
4K	0x7dcbda197	32	2	YES
4K	0x7dcbda198	32	2	YES
4K	0x7dcbda199	32	2	YES
4K	0x7dcbda19a	32	2	YES
4K	0x7dcbda19b	32	2	YES
4K	0x7dcbda19c	32	2	YES
4K	0x7dcbda19d	32	2	YES
4K	0x7dcbda19e	32	2	YES
4K	0x7dcbda19f	32	2	YES
4K	0x7dcbda1a0	32	2	YES
4K	0x7dcbda1a1	32	2	YES
4K	0x7dcbda1a2	32	2	YES
4K	0x7dcbda1a3	32	2	YES
4K	0x7dcbda1a4	32	2	YES
4K	0x7dcbda1a5	32	2	YES
4K	0x7dcbda1a6	32	2	YES
4K	0x7dcbda1a7	32	2	YES
4K	0x7dcbda1a8	32	2	YES
4K	0x7dcbda1a9	32	2	YES
4K	0x7dcbda1aa	32	2	YES
4K	0x7dcbda1ab	32	2	YES
4K	0x7dcbda1ac	32	2	YES
4K	0x7dcbda1ad	32	2	YES
4K	0x7dcbda1ae	32	2	YES
4K	0x7dcbda1af	32	2	YES
4K	0x7dcbda1b0	32	2	YES
4K	0x7dcbda1b1	32	2	YES
4K	0x7dcbda1b2	32	2	YES
4K	0x7dcbda1b3	32	2	YES
4K	0x7dcbda1b4	32	2	YES
4K	0x7dcbda1b5	32	2	YES
4K	0x7dcbda1b6	32	2	YES
4K	0x7dcbda1b7	32	2	YES
4K	0x7dcbda1b8	32	2	YES
4K	0x7dcbda1b9	32	2	YES
4K	0x7dcbda1ba	32	2	YES
4K	0x7dcbda1bb	32	2	YES
4K	0x7dcbda1bc	32	2	YES
4K	0x7dcbda1bd	32	2	YES
4K	0x7dcbda1be	32	2	YES
4K	0x7dcbda1bf	32	2	YES
4K	0x7dcbda1c0	32	2	YES
4K	0x7dcbda1c1	32	2	YES
4K	0x7dcbda1c2	32	2	YES
4K	0x7dcbda1c3	32	2	YES
4K	0x7dcbda1c4	32	2	YES
4K	0x7dcbda1c5	32	2	YES
4K	0x7dcbda1c6	32	2	YES
4K	0x7dcbda1c7	32	2	YES
4K	0x7dcbda1c8	32	2	YES
4K	0x7dcbda1c9	32	2	YES
4K	0x7dcbda1ca	32	2	YES
4K	0x7dcbda1cb	32	2	YES
4K	0x7dcbda1cc	32	2	YES
4K	0x7dcbda1cd	32	2	YES
4K	0x7dcbda1ce	32	2	YES
4K	0x7dcbda1cf	32	2	YES
4K	0x7dcbda1d0	32	2	YES
4K	0x7dcbda1d1	32	2	YES
4K	0x7dcbda1d2	32	2	YES
4K	0x7dcbda1d3	32	2	YES
4K	0x7dcbda1d4	32	2	YES
4K	0x7dcbda1d5	32	2	YES
4K	0x7dcbda1d6	32	2	YES
4K	0x7dcbda1d7	32	2	YES
4K	0x7dcbda1d8	32	2	YES
4K	0x7dcbda1d9	32	2	YES
4K	0x7dcbda1da	32	2	YES
4K	0x7dcbda1db	32	2	YES
4K	0x7dcbda1dc	32	2	YES
4K	0x7dcbda1dd	32	2	YES
4K	0x7dcbda1de	32	2	YES
4K	0x7dcbda1df	32	2	YES
4K	0x7dcbda1e0	32	2	YES
4K	0x7dcbda1e1	32	2	YES
4K	0x7dcbda1e2	32	2	YES
4K	0x7dcbda1e3	32	2	YES
4K	0x7dcbda1e4	32	2	YES
4K	0x7dcbda1e5	32	2	YES
4K	0x7dcbda1e6	32	2	YES
4K	0x7dcbda1e7	32	2	YES
4K	0x7dcbda1e8	32	2	YES
4K	0x7dcbda1e9	32	2	YES
4K	0x7dcbda1ea	32	2	YES
4K	0x7dcbda1eb	32	2	YES
4K	0x7dcbda1ec	32	2	YES
4K	0x7dcbda1ed	32	2	YES
4K	0x7dcbda1ee	32	2	YES
4K	0x7dcbda1ef	32	2	YES
4K	0x7dcbda1f0	32	2	YES
4K	0x7dcbda1f1	32	2	YES
4K	0x7dcbda1f2	32	2	YES
4K	0x7dcbda1f3	32	2	YES
4K	0x7dcbda1f4	32	2	YES
4K	0x7dcbda1f5	32	2	YES
4K	0x7dcbda1f6	32	2	YES
4K	0x7dcbda1f7	32	2	YES
4K	0x7dcbda1f8	32	2	YES
4K	0x7dcbda1f9	32	2	YES
4K	0x7dcbda1fa	32	2	YES
4K	0x7dcbda1fb	32	2	YES
4K	0x7dcbda1fc	32	2	YES
4K	0x7dcbda1fd	32	2	YES
4K	0x7dcbda1fe	32	2	YES
4K	0x7dcbda1ff	32	2	YES
4K	0x7dcbda200	32	2	YES
4K	0x7dcbda201	32	2	YES
4K	0x7dcbda202	32	2	YES
4K	0x7dcbda203	32	2	YES
4K	0x7dcbda204	32	2	YES
4K	0x7dcbda205	32	2	YES
4K	0x7dcbda206	32	2	YES
4K	0x7dcbda207	32	2	YES
4K	0x7dcbda208	32	2	YES
4K	0x7dcbda209	32	2	YES
4K	0x7dcbda20a	32	2	YES
4K	0x7dcbda20b	32	2	YES
4K	0x7dcbda20c	32	2	YES
4K	0x7dcbda20d	32	2	YES
4K	0x7dcbda20e	32	2	YES
4K	0x7dcbda20f	32	2	YES
4K	0x7dcbda210	32	2	YES
4K	0x7dcbda211	32	2	YES
4K	0x7dcbda212	32	2	YES
4K	0x7dcbda213	32	2	YES
4K	0x7dcbda214	32	2	YES
4K	0x7dcbda215	32	2	YES
4K	0x7dcbda216	32	2	YES
4K	0x7dcbda217	32	2	YES
4K	0x7dcbda218	32	2	YES
4K	0x7dcbda219	32	2	YES
4K	0x7dcbda21a	32	2	YES
4K	0x7dcbda21b	32	2	YES
4K	0x7dcbda21c	32	2	YES
4K	0x7dcbda21d	32	2	YES
4K	0x7dcbda21e	32	2	YES
4K	0x7dcbda21f	32	2	YES
4K	0x7dcbda220	32	2	YES
4K	0x7dcbda221	32	2	YES
4K	0x7dcbda222	32	2	YES
4K	0x7dcbda223	32	2	YES
4K	0x7dcbda224	32	2	YES
4K	0x7dcbda225	32	2	YES
4K	0x7dcbda226	32	2	YES
4K	0x7dcbda227	32	2	YES
4K	0x7dcbda228	32	2	YES
4K	0x7dcbda229	32	2	YES
4K	0x7dcbda22a	32	2	YES
4K	0x7dcbda22b	32	2	YES
4K	0x7dcbda22c	32	2	YES
4K	0x7dcbda22d	32	2	YES
4K	0x7dcbda22e	32	2	YES
4K	0x7dcbda22f	32	2	YES
4K	0x7dcbda230	32	2	YES
4K	0x7dcbda231	32	2	YES
4K	0x7dcbda232	32	2	YES
4K	0x7dcbda233	32	2	YES
4K	0x7dcbda234	32	2	YES
4K	0x7dcbda235	32	2	YES
4K	0x7dcbda236	32	2	YES
4K	0x7dcbda237	32	2	YES
4K	0x7dcbda238	32	2	YES
4K	0x7dcbda239	32	2	YES
4K	0x7dcbda23a	32	2	YES
4K	0x7dcbda23b	32	2	YES
4K	0x7dcbda23c	32	2	YES
4K	0x7dcbda23d	32	2	YES
4K	0x7dcbda23e	32	2	YES
4K	0x7dcbda23f	32	2	YES
4K	0x7dcbda240	32	2	YES
4K	0x7dcbda241	32	2	YES
4K	0x7dcbda242	32	2	YES
4K	0x7dcbda243	32	2	YES
4K	0x7dcbda244	32	2	YES
4K	0x7dcbda245	32	2	YES
4K	0x7dcbda246	32	2	YES
4K	0x7dcbda247	32	2	YES
4K	0x7dcbda248	32	2	YES
4K	0x7dcbda249	32	2	YES
4K	0x7dcbda24a	32	2	YES
4K	0x7dcbda24b	32	2	YES
4K	0x7dcbda24c	32	2	YES
4K	0x7dcbda24d	32	2	YES
4K	0x7dcbda24e	32	2	YES
4K	0x7dcbda24f	32	2	YES
4K	0x7dcbda250	32	2	YES
4K	0x7dcbda251	32	2	YES
4K	0x7dcbda252	32	2	YES
4K	0x7dcbda253	32	2	YES
4K	0x7dcbda254	32	2	YES
4K	0x7dcbda255	32	2	YES
4K	0x7dcbda256	32	2	YES
4K	0x7dcbda257	32	2	YES
4K	0x7dcbda258	32	2	YES
4K	0x7dcbda259	32	2	YES
4K	0x7dcbda25a	32	2	YES
4K	0x7dcbda25b	32	2	YES
4K	0x7dcbda25c	32	2	YES
4K	0x7dcbda25d	32	2	YES
4K	0x7dcbda25e	32	2	YES
4K	0x7dcbda25f	32	2	YES
4K	0x7dcbda260	32	2	YES
4K	0x7dcbda261	32	2	YES
4K	0x7dcbda262	32	2	YES
4K	0x7dcbda263	32	2	YES
4K	0x7dcbda264	32	2	YES
4K	0x7dcbda265	32	2	YES
4K	0x7dcbda266	32	2	YES
4K	0x7dcbda267	32	2	YES
4K	0x7dcbda268	32	2	YES
4K	0x7dcbda269	32	2	YES
4K	0x7dcbda26a	32	2	YES
4K	0x7dcbda26b	32	2	YES
4K	0x7dcbda26c	32	2	YES
4K	0x7dcbda26d	32	2	YES
4K	0x7dcbda26e	32	2	YES
4K	0x7dcbda26f	32	2	YES
4K	0x7dcbda270	32	2	YES
4K	0x7dcbda271	32	2	YES
4K	0x7dcbda272	32	2	YES
4K	0x7dcbda273	32	2	YES
4K	0x7dcbda274	32	2	YES
4K	0x7dcbda275	32	2	YES
4K	0x7dcbda276	32	2	YES
4K	0x7dcbda277	32	2	YES
4K	0x7dcbda278	32	2	YES
4K	0x7dcbda279	32	2	YES
4K	0x7dcbda27a	32	2	YES
4K	0x7dcbda27b	32	2	YES
4K	0x7dcbda27c	32	2	YES
4K	0x7dcbda27d	32	2	YES
4K	0x7dcbda27e	32	2	YES
4K	0x7dcbda27f	32	2	YES
4K	0x7dcbda280	32	2	YES
4K	0x7dcbda281	32	2	YES
4K	0x7dcbda282	32	2	YES
4K	0x7dcbda283	32	2	YES
4K	0x7dcbda284	32	2	YES
4K	0x7dcbda285	32	2	YES
4K	0x7dcbda286	32	2	YES
4K	0x7dcbda287	32	2	YES
4K	0x7dcbda288	32	2	YES
4K	0x7dcbda289	32	2	YES
4K	0x7dcbda28a	32	2	YES
4K	0x7dcbda28b	32	2	YES
4K	0x7dcbda28c	32	2	YES
4K	0x7dcbda28d	32	2	YES
4K	0x7dcbda28e	32	2	YES
4K	0x7dcbda28f	32	2	YES
4K	0x7dcbda290	32	2	YES
4K	0x7dcbda291	32	2	YES
4K	0x7dcbda292	32	2	YES
4K	0x7dcbda293	32	2	YES
4K	0x7dcbda294	32	2	YES
4K	0x7dcbda295	32	2	YES
4K	0x7dcbda296	32	2	YES
4K	0x7dcbda297	32	2	YES
4K	0x7dcbda298	32	2	YES
4K	0x7dcbda299	32	2	YES
4K	0x7dcbda29a	32	2	YES
4K	0x7dcbda29b	32	2	YES
4K	0x7dcbda29c	32	2	YES
4K	0x7dcbda29d	32	2	YES
4K	0x7dcbda29e	32	2	YES
4K	0x7dcbda29f	32	2	YES
4K	0x7dcbda2a0	32	2	YES
4K	0x7dcbda2a1	32	2	YES
4K	0x7dcbda2a2	32	2	YES
4K	0x7dcbda2a3	32	2	YES
4K	0x7dcbda2a4	32	2	YES
4K	0x7dcbda2a5	32	2	YES
4K	0x7dcbda2a6	32	2	YES
4K	0x7dcbda2a7	32	2	YES
4K	0x7dcbda2a8	32	2	YES
4K	0x7dcbda2a9	32	2	YES
4K	0x7dcbda2aa	32	2	YES
4K	0x7dcbda2ab	32	2	YES
4K	0x7dcbda2ac	32	2	YES
4K	0x7dcbda2ad	32	2	YES
4K	0x7dcbda2ae	32	2	YES
4K	0x7dcbda2af	32	2	YES
4K	0x7dcbda2b0	32	2	YES
4K	0x7dcbda2b1	32	2	YES
4K	0x7dcbda2b2	32	2	YES
4K	0x7dcbda2b3	32	2	YES
4K	0x7dcbda2b4	32	2	YES
4K	0x7dcbda2b5	32	2	YES
4K	0x7dcbda2b6	32	2	YES
4K	0x7dcbda2b7	32	2	YES
4K	0x7dcbda2b8	32	2	YES
4K	0x7dcbda2b9	32	2	YES
4K	0x7dcbda2ba	32	2	YES
4K	0x7dcbda2bb	32	2	YES
