family	profile_id	kernel_index	kernel_role	kernel_name	grid_size	block_size	metric_name	unit	value	replay_pass_count
critical	L0_DOWN_D3_PERSIST_L0_UP	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	lts__t_bytes.sum	byte	40577472.0	3
critical	L0_DOWN_D3_PERSIST_L0_UP	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	lts__t_bytes.sum	byte	600896.0	3
critical	L0_DOWN_D3_PERSIST_L0_UP	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	dram__bytes.sum	byte	35322880.0	3
critical	L0_DOWN_D3_PERSIST_L0_UP	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	dram__bytes.sum	byte	70400.0	3
critical	L0_DOWN_D3_PERSIST_L0_UP	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	gpu__time_duration.sum	ns	83008.0	3
critical	L0_DOWN_D3_PERSIST_L0_UP	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	gpu__time_duration.sum	ns	5088.0	3
critical	L0_DOWN_D3_PERSIST_L0_UP	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum	sector	155542.0	3
critical	L0_DOWN_D3_PERSIST_L0_UP	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum	sector	1792.0	3
critical	L0_DOWN_D3_PERSIST_L0_UP	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum	sector	1102304.0	3
critical	L0_DOWN_D3_PERSIST_L0_UP	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum	sector	0.0	3
critical	L0_DOWN_D3_PERSIST_L0_UP	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	dram__bytes_read.sum	byte	35295744.0	3
critical	L0_DOWN_D3_PERSIST_L0_UP	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	dram__bytes_read.sum	byte	70400.0	3
critical	L0_DOWN_D3_PERSIST_L0_UP	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct	%	39.2	3
critical	L0_DOWN_D3_PERSIST_L0_UP	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct	%	6.89	3
critical	L0_DOWN_D3_PERSIST_L0_UP	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active	%	4.12	3
critical	L0_DOWN_D3_PERSIST_L0_UP	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active	%	0.32	3
critical	L0_DOWN_D3_PERSIST_L0_UP	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	sm__warps_active.avg.pct_of_peak_sustained_active	%	11.91	3
critical	L0_DOWN_D3_PERSIST_L0_UP	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	sm__warps_active.avg.pct_of_peak_sustained_active	%	8.33	3
critical	L0_DOWN_D3_SETASIDE_ONLY	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	l1tex__t_bytes.sum	byte	45846528.0	3
critical	L0_DOWN_D3_SETASIDE_ONLY	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	l1tex__t_bytes.sum	byte	86016.0	3
critical	L0_DOWN_D3_SETASIDE_ONLY	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	lts__t_bytes.sum	byte	40573440.0	3
critical	L0_DOWN_D3_SETASIDE_ONLY	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	lts__t_bytes.sum	byte	600896.0	3
critical	L0_DOWN_D3_SETASIDE_ONLY	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	dram__bytes.sum	byte	35425920.0	3
critical	L0_DOWN_D3_SETASIDE_ONLY	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	dram__bytes.sum	byte	70272.0	3
critical	L0_DOWN_D3_SETASIDE_ONLY	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	gpu__time_duration.sum	ns	81056.0	3
critical	L0_DOWN_D3_SETASIDE_ONLY	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	gpu__time_duration.sum	ns	5024.0	3
critical	L0_DOWN_D3_SETASIDE_ONLY	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum	sector	155426.0	3
critical	L0_DOWN_D3_SETASIDE_ONLY	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum	sector	1792.0	3
critical	L0_DOWN_D3_SETASIDE_ONLY	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum	sector	1102304.0	3
critical	L0_DOWN_D3_SETASIDE_ONLY	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum	sector	0.0	3
critical	L0_DOWN_D3_SETASIDE_ONLY	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	dram__bytes_read.sum	byte	35295232.0	3
critical	L0_DOWN_D3_SETASIDE_ONLY	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	dram__bytes_read.sum	byte	70272.0	3
critical	L0_DOWN_D3_SETASIDE_ONLY	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct	%	39.13	3
critical	L0_DOWN_D3_SETASIDE_ONLY	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct	%	6.84	3
critical	L0_DOWN_D3_SETASIDE_ONLY	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active	%	4.15	3
critical	L0_DOWN_D3_SETASIDE_ONLY	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active	%	0.32	3
critical	L0_DOWN_D3_SETASIDE_ONLY	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	sm__warps_active.avg.pct_of_peak_sustained_active	%	11.92	3
critical	L0_DOWN_D3_SETASIDE_ONLY	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	sm__warps_active.avg.pct_of_peak_sustained_active	%	8.33	3
critical	L0_UP_D3_BASELINE	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(1184, 1, 1)	(32, 2, 1)	l1tex__t_bytes.sum	byte	46829568.0	3
critical	L0_UP_D3_BASELINE	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(37, 1, 1)	(32, 4, 1)	l1tex__t_bytes.sum	byte	454656.0	3
critical	L0_UP_D3_BASELINE	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(1184, 1, 1)	(32, 2, 1)	lts__t_bytes.sum	byte	40731296.0	3
critical	L0_UP_D3_BASELINE	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(37, 1, 1)	(32, 4, 1)	lts__t_bytes.sum	byte	982880.0	3
critical	L0_UP_D3_BASELINE	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(1184, 1, 1)	(32, 2, 1)	dram__bytes.sum	byte	49959424.0	3
critical	L0_UP_D3_BASELINE	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(37, 1, 1)	(32, 4, 1)	dram__bytes.sum	byte	3456.0	3
critical	L0_UP_D3_BASELINE	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(1184, 1, 1)	(32, 2, 1)	gpu__time_duration.sum	ns	83104.0	3
critical	L0_UP_D3_BASELINE	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(37, 1, 1)	(32, 4, 1)	gpu__time_duration.sum	ns	4416.0	3
critical	L0_UP_D3_BASELINE	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(1184, 1, 1)	(32, 2, 1)	lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum	sector	146104.0	3
critical	L0_UP_D3_BASELINE	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(37, 1, 1)	(32, 4, 1)	lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum	sector	9472.0	3
critical	L0_UP_D3_BASELINE	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(1184, 1, 1)	(32, 2, 1)	lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum	sector	1102304.0	3
critical	L0_UP_D3_BASELINE	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(37, 1, 1)	(32, 4, 1)	lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum	sector	0.0	3
critical	L0_UP_D3_BASELINE	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(1184, 1, 1)	(32, 2, 1)	dram__bytes_read.sum	byte	35282560.0	3
critical	L0_UP_D3_BASELINE	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(37, 1, 1)	(32, 4, 1)	dram__bytes_read.sum	byte	384.0	3
critical	L0_UP_D3_BASELINE	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(1184, 1, 1)	(32, 2, 1)	smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct	%	61.7	3
critical	L0_UP_D3_BASELINE	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(37, 1, 1)	(32, 4, 1)	smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct	%	8.6	3
critical	L0_UP_D3_BASELINE	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(1184, 1, 1)	(32, 2, 1)	smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active	%	4.29	3
critical	L0_UP_D3_BASELINE	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(37, 1, 1)	(32, 4, 1)	smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active	%	0.39	3
critical	L0_UP_D3_BASELINE	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(1184, 1, 1)	(32, 2, 1)	sm__warps_active.avg.pct_of_peak_sustained_active	%	32.98	3
critical	L0_UP_D3_BASELINE	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(37, 1, 1)	(32, 4, 1)	sm__warps_active.avg.pct_of_peak_sustained_active	%	8.32	3
