condition	phase	target	scope	median_cpu_ns	min_cpu_ns	max_cpu_ns	cv	samples_cpu_ns
ROTATE_CONTROL_3	FULL_RUN	ALL_15_UPDATES	TOTAL_PER_RUN	67987	65477	75038	0.04080903633102364	[75038, 68506, 67978, 67987, 68809, 66873, 65477]
SINGLE_L0_UP	D0	L0_DOWN	ONE_UPDATE	2165	1994	5999	0.48324134362985643	[2360, 1994, 5999, 2524, 2145, 2165, 2120]
SINGLE_L0_UP	D0	L0_UP	ONE_UPDATE	7661	7177	8462	0.05365229846681692	[8462, 7621, 7661, 7177, 7541, 8326, 7896]
SINGLE_L0_UP	D0	L14_UP	ONE_UPDATE	3786	3631	3969	0.030202201120752774	[3969, 3786, 3653, 3631, 3822, 3840, 3669]
SINGLE_L0_UP	D1	L0_DOWN	ONE_UPDATE	2012	1888	2134	0.03681353910945709	[2021, 1972, 1976, 2012, 2134, 2084, 1888]
SINGLE_L0_UP	D1	L0_UP	ONE_UPDATE	5795	5113	6234	0.06664924217229728	[6037, 6107, 5795, 5113, 5423, 5491, 6234]
SINGLE_L0_UP	D1	L14_UP	ONE_UPDATE	3727	3557	3824	0.027692146325166405	[3816, 3727, 3567, 3557, 3765, 3824, 3659]
SINGLE_L0_UP	D2	L0_DOWN	ONE_UPDATE	2092	1878	2215	0.061258079615598995	[2179, 2215, 1878, 2027, 2092, 2144, 1884]
SINGLE_L0_UP	D2	L0_UP	ONE_UPDATE	3977	3777	4158	0.028694639100355437	[3977, 3988, 4158, 3777, 3843, 4003, 3927]
SINGLE_L0_UP	D2	L14_UP	ONE_UPDATE	3744	3363	3832	0.05012594885648039	[3763, 3832, 3467, 3798, 3744, 3445, 3363]
SINGLE_L0_UP	D3	L0_DOWN	ONE_UPDATE	1983	1790	2096	0.047512355879361576	[2089, 1996, 2096, 1965, 1963, 1983, 1790]
SINGLE_L0_UP	D3	L0_UP	ONE_UPDATE	3851	3721	8340	0.348200682982061	[3918, 3851, 4007, 3844, 8340, 3845, 3721]
SINGLE_L0_UP	D3	L14_UP	ONE_UPDATE	3599	3444	3781	0.02894296914398198	[3622, 3589, 3595, 3781, 3756, 3599, 3444]
SINGLE_L0_UP	PREFILL	L0_DOWN	ONE_UPDATE	4745	4259	5205	0.060116651347488184	[4596, 5205, 4745, 4765, 4705, 5068, 4259]
SINGLE_L0_UP	PREFILL	L0_UP	ONE_UPDATE	12248	11662	13079	0.03605386474742747	[13079, 12365, 11662, 11708, 12089, 12302, 12248]
SINGLE_L0_UP	PREFILL	L14_UP	ONE_UPDATE	5199	4559	6189	0.09304805885196535	[5045, 6189, 4559, 5256, 5199, 4865, 5588]
SINGLE_L0_UP	FULL_RUN	ALL_15_UPDATES	TOTAL_PER_RUN	68437	64935	70561	0.02713387413169879	[68933, 68437, 68818, 64935, 70561, 66984, 65690]
SHARE2_UP	D0	L0_DOWN	ONE_UPDATE	2031	1990	2187	0.03413489736936979	[2187, 2011, 1990, 2031, 2013, 2076, 2151]
SHARE2_UP	D0	L0_UP	ONE_UPDATE	7778	7345	8481	0.04384022882294256	[8481, 7871, 7345, 8098, 7778, 7557, 7704]
SHARE2_UP	D0	L14_UP	ONE_UPDATE	3943	3802	4052	0.0249503356961628	[3943, 4050, 4052, 3858, 3802, 3821, 3997]
SHARE2_UP	D1	L0_DOWN	ONE_UPDATE	2022	1935	2427	0.07596804739687384	[1961, 2427, 2025, 1976, 1935, 2022, 2112]
SHARE2_UP	D1	L0_UP	ONE_UPDATE	5677	5358	9703	0.23138450541839278	[5936, 5540, 5831, 5677, 5444, 5358, 9703]
SHARE2_UP	D1	L14_UP	ONE_UPDATE	3750	3562	3860	0.02413024197970861	[3860, 3673, 3692, 3562, 3807, 3753, 3750]
SHARE2_UP	D2	L0_DOWN	ONE_UPDATE	1874	1842	2144	0.04964239243241605	[1842, 1867, 1874, 1925, 1919, 1871, 2144]
SHARE2_UP	D2	L0_UP	ONE_UPDATE	3839	3750	4155	0.033120251932923915	[3859, 3839, 3948, 4155, 3790, 3750, 3790]
SHARE2_UP	D2	L14_UP	ONE_UPDATE	3624	3505	3663	0.016733864774383312	[3650, 3624, 3649, 3663, 3505, 3520, 3577]
SHARE2_UP	D3	L0_DOWN	ONE_UPDATE	1880	1845	2042	0.033342142608836445	[1950, 1845, 1861, 2042, 1868, 1880, 1903]
SHARE2_UP	D3	L0_UP	ONE_UPDATE	3750	3625	4024	0.032823730103979286	[4024, 3750, 3766, 3882, 3625, 3747, 3672]
SHARE2_UP	D3	L14_UP	ONE_UPDATE	3643	3388	4000	0.05146632264008759	[3646, 3676, 3643, 3388, 4000, 3421, 3585]
SHARE2_UP	PREFILL	L0_DOWN	ONE_UPDATE	4652	4037	5106	0.07498974324585198	[4729, 5106, 4573, 4652, 4037, 4221, 4913]
SHARE2_UP	PREFILL	L0_UP	ONE_UPDATE	11787	11579	12655	0.03250506513388335	[11787, 12394, 12655, 11723, 11593, 12123, 11579]
SHARE2_UP	PREFILL	L14_UP	ONE_UPDATE	4864	4543	6204	0.10733937856383677	[5679, 4811, 4543, 6204, 4770, 5428, 4864]
SHARE2_UP	FULL_RUN	ALL_15_UPDATES	TOTAL_PER_RUN	66484	63886	69444	0.026338162358861463	[67534, 66484, 65447, 66836, 63886, 64548, 69444]
SHARE2_L0	D0	L0_DOWN	ONE_UPDATE	2106	1982	2295	0.0464619601749665	[2074, 2034, 2202, 2295, 2165, 1982, 2106]
SHARE2_L0	D0	L0_UP	ONE_UPDATE	8089	7268	8907	0.06407386873509466	[7968, 8907, 7481, 8217, 7268, 8448, 8089]
SHARE2_L0	D0	L14_UP	ONE_UPDATE	3816	3602	4004	0.036343711087417206	[3603, 3904, 3779, 3816, 4004, 3602, 3847]
SHARE2_L0	D1	L0_DOWN	ONE_UPDATE	1988	1849	2091	0.03751320159657155	[1986, 1955, 2091, 1988, 1993, 1849, 2078]
SHARE2_L0	D1	L0_UP	ONE_UPDATE	5833	5549	6232	0.03512858565577964	[5922, 5833, 5923, 6232, 5549, 5706, 5684]
SHARE2_L0	D1	L14_UP	ONE_UPDATE	3674	3475	3942	0.04191940814180595	[3580, 3576, 3942, 3674, 3815, 3475, 3824]
SHARE2_L0	D2	L0_DOWN	ONE_UPDATE	1976	1889	2091	0.03207816859381275	[1949, 1976, 1986, 2091, 1908, 1889, 2019]
SHARE2_L0	D2	L0_UP	ONE_UPDATE	3816	3681	4140	0.0410347409230251	[4140, 3681, 4000, 3929, 3748, 3698, 3816]
SHARE2_L0	D2	L14_UP	ONE_UPDATE	3572	3490	3741	0.025726005319631436	[3525, 3572, 3741, 3528, 3490, 3593, 3728]
SHARE2_L0	D3	L0_DOWN	ONE_UPDATE	1904	1852	2359	0.08431777420006834	[1904, 1911, 2024, 2359, 1893, 1862, 1852]
SHARE2_L0	D3	L0_UP	ONE_UPDATE	3885	3660	4012	0.027018725229502744	[3904, 3844, 4012, 3930, 3885, 3660, 3787]
SHARE2_L0	D3	L14_UP	ONE_UPDATE	3600	3531	3960	0.03817666629856915	[3546, 3960, 3736, 3633, 3578, 3531, 3600]
SHARE2_L0	PREFILL	L0_DOWN	ONE_UPDATE	4576	3986	5023	0.06815212000846675	[3986, 5023, 4682, 4297, 4576, 4380, 4684]
SHARE2_L0	PREFILL	L0_UP	ONE_UPDATE	11861	11273	12215	0.027033612274823697	[12215, 11861, 12181, 11551, 11273, 11786, 12071]
SHARE2_L0	PREFILL	L14_UP	ONE_UPDATE	5054	4210	5374	0.08128713094342878	[4446, 5165, 4700, 5150, 5054, 4210, 5374]
SHARE2_L0	FULL_RUN	ALL_15_UPDATES	TOTAL_PER_RUN	66480	63671	67202	0.019811169657889708	[64748, 67202, 66480, 66690, 64199, 63671, 66559]
SHARE3	D0	L0_DOWN	ONE_UPDATE	2021	1893	2219	0.05835526585024727	[1987, 1912, 2027, 2219, 2021, 2200, 1893]
SHARE3	D0	L0_UP	ONE_UPDATE	7670	7566	8327	0.03846965077972608	[7622, 8327, 7670, 8182, 7566, 8107, 7579]
SHARE3	D0	L14_UP	ONE_UPDATE	3920	3728	4081	0.029341612181884826	[4081, 4021, 4035, 3920, 3906, 3728, 3832]
SHARE3	D1	L0_DOWN	ONE_UPDATE	1942	1877	2040	0.0292297730905955	[1997, 1896, 1895, 2040, 1942, 1983, 1877]
SHARE3	D1	L0_UP	ONE_UPDATE	6387	5118	6977	0.09886888309037999	[5118, 5489, 6475, 6060, 6646, 6977, 6387]
SHARE3	D1	L14_UP	ONE_UPDATE	3668	3570	3899	0.031414741048337844	[3854, 3604, 3683, 3899, 3637, 3668, 3570]
SHARE3	D2	L0_DOWN	ONE_UPDATE	1997	1942	2411	0.07455941804736077	[1945, 1942, 2086, 2411, 2042, 1997, 1964]
SHARE3	D2	L0_UP	ONE_UPDATE	3804	3660	3978	0.02559231654130147	[3804, 3849, 3872, 3978, 3790, 3710, 3660]
SHARE3	D2	L14_UP	ONE_UPDATE	3667	3457	7979	0.3577133339382791	[3748, 3608, 3667, 3626, 3706, 7979, 3457]
SHARE3	D3	L0_DOWN	ONE_UPDATE	1927	1864	2031	0.0276144082646161	[1968, 1915, 1927, 1997, 2031, 1903, 1864]
SHARE3	D3	L0_UP	ONE_UPDATE	3862	3749	4069	0.024395623202639213	[3899, 3793, 4069, 3848, 3904, 3749, 3862]
SHARE3	D3	L14_UP	ONE_UPDATE	3738	3512	3799	0.031189567827963356	[3513, 3738, 3799, 3777, 3643, 3768, 3512]
SHARE3	PREFILL	L0_DOWN	ONE_UPDATE	4691	4301	5043	0.053133285648681895	[4972, 4476, 4691, 4552, 5043, 4301, 4812]
SHARE3	PREFILL	L0_UP	ONE_UPDATE	11846	11443	12567	0.03405782778869054	[11990, 11443, 12490, 11707, 11553, 12567, 11846]
SHARE3	PREFILL	L14_UP	ONE_UPDATE	5071	4428	5569	0.07168308358188384	[5071, 5569, 4950, 5547, 5228, 4428, 4938]
SHARE3	FULL_RUN	ALL_15_UPDATES	TOTAL_PER_RUN	66658	65053	71065	0.028309159266218374	[65569, 65582, 67336, 67763, 66658, 71065, 65053]
