workload,status,distance_bin,temporal_reuse_instances,events,conditional_fraction,display
scan,COMPLETE_VALID,129-256,6860467,3643,0.0005310134135183508,
scan,COMPLETE_VALID,257-512,6860467,71332,0.010397542907793303,
scan,COMPLETE_VALID,513-1024,6860467,3171479,0.46228325272900517,
scan,COMPLETE_VALID,1025-2048,6860467,3572530,0.5207415180336848,
scan,COMPLETE_VALID,2049-4096,6860467,24,3.4983041241944607e-06,
scan,COMPLETE_VALID,>4096,6860467,0,0.0,
FWT_7_21,COMPLETE_VALID,<=8,4980736,96,1.927425986842105e-05,
FWT_7_21,COMPLETE_VALID,9-16,4980736,168,3.3729954769736845e-05,
FWT_7_21,COMPLETE_VALID,17-32,4980736,689,0.00013833296926398026,
FWT_7_21,COMPLETE_VALID,33-64,4980736,4880,0.000979774876644737,
FWT_7_21,COMPLETE_VALID,65-128,4980736,55684,0.011179873817845395,
FWT_7_21,COMPLETE_VALID,129-256,4980736,185333,0.03720996254368832,
FWT_7_21,COMPLETE_VALID,257-512,4980736,206524,0.04146455463610197,
FWT_7_21,COMPLETE_VALID,513-1024,4980736,1466949,0.2945245441637541,
FWT_7_21,COMPLETE_VALID,1025-2048,4980736,3059233,0.614213040000514,
FWT_7_21,COMPLETE_VALID,2049-4096,4980736,1180,0.00023691277754934212,
FWT_7_21,COMPLETE_VALID,>4096,4980736,0,0.0,
cfd_097k,COMPLETE_VALID,<=8,750435,15780,0.021027803873753224,
cfd_097k,COMPLETE_VALID,9-16,750435,14065,0.018742462704964453,
cfd_097k,COMPLETE_VALID,17-32,750435,27647,0.036841298713412886,
cfd_097k,COMPLETE_VALID,33-64,750435,54032,0.07200090614110483,
cfd_097k,COMPLETE_VALID,65-128,750435,98289,0.1309760339003378,
cfd_097k,COMPLETE_VALID,129-256,750435,148910,0.1984315763523823,
cfd_097k,COMPLETE_VALID,257-512,750435,153362,0.20436413546809518,
cfd_097k,COMPLETE_VALID,513-1024,750435,103218,0.13754422434987706,
cfd_097k,COMPLETE_VALID,1025-2048,750435,134382,0.17907213815986728,
cfd_097k,COMPLETE_VALID,2049-4096,750435,750,0.0009994203362050011,
cfd_097k,COMPLETE_VALID,>4096,750435,0,0.0,
btree,COMPLETE_VALID,<=8,982519,136419,0.1388461698959511,
btree,COMPLETE_VALID,9-16,982519,79505,0.08091955473634607,
btree,COMPLETE_VALID,17-32,982519,119935,0.1220688861996562,
btree,COMPLETE_VALID,33-64,982519,144374,0.14694270543368626,
btree,COMPLETE_VALID,65-128,982519,98839,0.10059754569631732,
btree,COMPLETE_VALID,129-256,982519,60322,0.06139525037174853,
btree,COMPLETE_VALID,257-512,982519,74787,0.07611761197493382,
btree,COMPLETE_VALID,513-1024,982519,81410,0.08285844853890867,
btree,COMPLETE_VALID,1025-2048,982519,119159,0.12127907959031836,
btree,COMPLETE_VALID,2049-4096,982519,67769,0.06897474756213366,
btree,COMPLETE_VALID,>4096,982519,0,0.0,
gemm,COMPLETE_VALID,<=8,18311830,95417,0.005210675284774924,
gemm,COMPLETE_VALID,9-16,18311830,85560,0.004672389378887856,
gemm,COMPLETE_VALID,17-32,18311830,161667,0.008828555092527618,
gemm,COMPLETE_VALID,33-64,18311830,340455,0.018592079546391596,
gemm,COMPLETE_VALID,65-128,18311830,1402474,0.07658841306412303,
gemm,COMPLETE_VALID,129-256,18311830,9338559,0.5099740987110518,
gemm,COMPLETE_VALID,257-512,18311830,6852401,0.37420623717017903,
gemm,COMPLETE_VALID,513-1024,18311830,2840,0.0001550909985512098,
gemm,COMPLETE_VALID,1025-2048,18311830,32457,0.001772460753512893,
gemm,COMPLETE_VALID,2049-4096,18311830,0,0.0,
gemm,COMPLETE_VALID,>4096,18311830,0,0.0,
