artifact_id	class	campaign	gpu	role	source_path	size_bytes	sha256	hash_basis	source_authority	required_on_destination	destination_path	transfer_status	notes
rtx4080_runtime_wheelhouse	REBUILD_OR_VERIFY_ON_DEST	RTX4080	RTX4080	userspace_runtime	/data/c16/{env,wheelhouse}	UNKNOWN	UNKNOWN	manifest hashes in receipt	C16_4080_USERSPACE_RUNTIME_U1_U3_RECEIPT.json	YES	TO_BE_BOUND_ON_DESTINATION/rtx4080/runtime/	REBUILD_OR_VERIFY	Never assume Python/CUDA binding or LD_LIBRARY_PATH transfers between Docker environments
rtx4080_nvbit_toolchain	REBUILD_OR_VERIFY_ON_DEST	RTX4080	RTX4080	NVBit_toolchain	MISSING_OR_EXTERNAL_ONLY	UNKNOWN	e2290da5e35a43fc4c74917dd08e1d41ece3e21bfca6fd7c6dc590c9c8385328	receipt SHA256	C16_4080_MIGRATION_SOURCE_RECEIPT.json	YES	TO_BE_BOUND_ON_DESTINATION/rtx4080/tools/	REBUILD_OR_VERIFY	Verify NVBit 1.7.5 and tracer closure; no historical build argv is asserted
rtx4080_ncu_runtime	REBUILD_OR_VERIFY_ON_DEST	RTX4080	RTX4080	NCU_runtime	MISSING_OR_EXTERNAL_ONLY	UNKNOWN	a44ff2c735c4dcf66c78f3f430155805d6a0b1f74f26331f98ecec03bfbf3f1a	receipt SHA256	C16_4080_NCU_N1_RECEIPT.json	YES	TO_BE_BOUND_ON_DESTINATION/rtx4080/tools/	REBUILD_OR_VERIFY	Verify destination NCU/version/permission independently; do not profile during V0
rtx3090_q1_raw	STORAGE_REQUIRED	RTX3090	RTX3090	Route_B_Q1_raw	/root/share/c16_recovery_v3/raw/llama32_1b/S0/ROUTE_B_Q1/q1_tiny_88168889_20260914T072246Z/raw.jsonl	502744	420ab3b009bcf20975bde9a38d3792f84882ee4977f8254464bdf8ca07fb1a0b	local SHA-closed inventory	649af1b9d65a774d4aa8c32a15f9b6f4da0dd4d9	ONLY_IF_CROSS_PLATFORM_COMPARISON	TO_BE_BOUND_ON_DESTINATION/rtx3090/route_b/	NOT_STARTED_COPY_NOT_MOVE	Minimal historical comparison subset
rtx3090_q2_prefill_raw	STORAGE_REQUIRED	RTX3090	RTX3090	Route_B_Q2_prefill_raw	/root/share/c16_recovery_v3/raw/llama32_1b/S0/ROUTE_B_Q2_PREFILL_DYNAMIC/91e27027-eb2d-4572-a4b0-b9baf4fd34fb/raw.jsonl	729983913	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667	prior receipt SHA closure	649af1b9d65a774d4aa8c32a15f9b6f4da0dd4d9	ONLY_IF_CROSS_PLATFORM_COMPARISON	TO_BE_BOUND_ON_DESTINATION/rtx3090/route_b/	NOT_STARTED_COPY_NOT_MOVE	Large raw; no rehash required before a future copy plan
rtx3090_q2_prefill_static_map	STORAGE_REQUIRED	RTX3090	RTX3090	Route_B_Q2_prefill_static_map	/root/share/c16_recovery_v3/raw/llama32_1b/S0/ROUTE_B_Q2_PREFILL_STATIC_MAP/ffb46485-1432-4c19-9966-08253b77bf88/raw/EXACT_FUNCTION_STATIC_MAP.tsv	110617	aa256fac6f71749a420a20b9988928867e1ed7c8d3232dcf6113c40097dbfa13	local SHA-closed inventory	649af1b9d65a774d4aa8c32a15f9b6f4da0dd4d9	ONLY_IF_CROSS_PLATFORM_COMPARISON	TO_BE_BOUND_ON_DESTINATION/rtx3090/route_b/	NOT_STARTED_COPY_NOT_MOVE	Keep paired with Q2 Prefill raw
rtx3090_q2_decode_raw	STORAGE_REQUIRED	RTX3090	RTX3090	Route_B_Q2_decode_raw	/root/share/c16_recovery_v3/raw/llama32_1b/S0/ROUTE_B_Q2_DECODE_DYNAMIC/391deb99-0430-4a19-8a2d-b2bf62243266/raw.jsonl	16863304	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c	local SHA-closed inventory	649af1b9d65a774d4aa8c32a15f9b6f4da0dd4d9	ONLY_IF_CROSS_PLATFORM_COMPARISON	TO_BE_BOUND_ON_DESTINATION/rtx3090/route_b/	NOT_STARTED_COPY_NOT_MOVE	Minimal historical comparison subset
rtx3090_q2_decode_static_map	STORAGE_REQUIRED	RTX3090	RTX3090	Route_B_Q2_decode_static_map	/root/share/c16_recovery_v3/raw/llama32_1b/S0/ROUTE_B_Q2_DECODE_STATIC_MAP/777d7cef-c45c-430d-8d0d-f3535c126d67/raw/EXACT_FUNCTION_STATIC_MAP.tsv	88627	a8d55ddb4f196ec61de93a38d3fbdba8ee935b3a05ab76242e98a589448dbe1d	local SHA-closed inventory	649af1b9d65a774d4aa8c32a15f9b6f4da0dd4d9	ONLY_IF_CROSS_PLATFORM_COMPARISON	TO_BE_BOUND_ON_DESTINATION/rtx3090/route_b/	NOT_STARTED_COPY_NOT_MOVE	Keep paired with Q2 Decode raw
rtx3090_route_a_formal_s3_s4_s5	STORAGE_REQUIRED	RTX3090	RTX3090	Route_A_formal_traces	/root/share/c16_recovery_v3/raw/llama_3p2_1b/S0/recovery_v2/formal/{s3_prefill,s4_prefill,s5_prefill,s5_decode2,s5_decode3,s5_decode4}/*.trace	16319706	MULTI_SHA_SEE_3090_CLOSEOUT_FILE_INVENTORY	local SHA-closed inventory	649af1b9d65a774d4aa8c32a15f9b6f4da0dd4d9	ONLY_IF_CROSS_PLATFORM_COMPARISON	TO_BE_BOUND_ON_DESTINATION/rtx3090/route_a/	NOT_STARTED_COPY_NOT_MOVE	Six individually hash-closed traces; retain Route-A to Q2 bridge Git receipts
rtx3090_recovery_endpoint	SOURCE_RETAIN	RTX3090	RTX3090	historical_recovery_root	/root/share/c16_recovery_v3	74835853037	SEE_CLOSEOUT_FILE_INVENTORY	649af1 closeout inventory	649af1b9d65a774d4aa8c32a15f9b6f4da0dd4d9	NO	SOURCE_RETAIN	RETAIN	Do not bulk-copy approximately 75 GB; copy only approved minimal subset later
source_host_private_receipts	EXCLUDE_SECRET_OR_HOST_PRIVATE	RTX4080	RTX4080	host_private	/home/huangrulin and /etc host-private receipts	UNKNOWN	UNKNOWN	host-private exclusion	C16_4080_PHASE_B1_CLOSEOUT.json	NO	NONE	EXCLUDED	No SSH keys, tokens, passwords, private network inventory, or administrator-only receipts in Git
