artifact_id	kind	requiredness	source_ref	local_path	destination_relpath	size_bytes	sha256	verification_status	transfer_action	notes
A_IMMUTABLE_RECEIPT:c16_qwen25_7b_awq:model-00002-of-00002.safetensors	IMMUTABLE_VERIFICATION_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	A_LOCAL_IMMUTABLE_RECEIPT	/workspace/c16_assets/c16-a/download_logs/immutable_verified_receipts/c16_qwen25_7b_awq/model-00002-of-00002.safetensors.json	a_assets/immutable_verified_receipts/c16_qwen25_7b_awq/model-00002-of-00002.safetensors.json	962	a71fd2a073a649a6373d51a42a880fd017c994ff0bd1283023819d14529fd55e	IMMUTABLE_VERIFIED_RECEIPT	RSYNC_FILE_WITH_SHA256_RECHECK	single whole-file SHA-256 closure receipt consumed without rescanning checkpoint
A_INPUT:CODE.py	FROZEN_INPUT	REQUIRED_DEPLOYMENT_DELTA	A_FIXED_INPUT	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/inputs/CODE.py	a_assets/inputs/CODE.py	156	fd7cd54612d072f0832e32cab751ab3fd2c8d9e5588f349910eb0ab3db2758ff	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	frozen raw input
A_INPUT:STRUCTURED.json	FROZEN_INPUT	REQUIRED_DEPLOYMENT_DELTA	A_FIXED_INPUT	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/inputs/STRUCTURED.json	a_assets/inputs/STRUCTURED.json	178	0e9ddcb8a03cfed41c2501eb15f761b76a8e8fe376b09a1fb0977c81b58ca765	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	frozen raw input
A_INPUT:TEXT.txt	FROZEN_INPUT	REQUIRED_DEPLOYMENT_DELTA	A_FIXED_INPUT	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/inputs/TEXT.txt	a_assets/inputs/TEXT.txt	203	bae0b908106146659663fa04f44bc03ec0da18cadb08c9ec357c140afc4d8208	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	frozen raw input
A_RECEIPT:INPUT_CORPUS.tsv	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	A_FIXED_RECEIPT	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/INPUT_CORPUS.tsv	a_assets/INPUT_CORPUS.tsv	715	c8fc0b95b2f4c19a22ad706044d4e52a73bcef7ecac44cbe1cdc0980f9c45815	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	frozen CPU-only input/scenario evidence
A_RECEIPT:SCENARIO_MATRIX.tsv	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	A_FIXED_RECEIPT	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/SCENARIO_MATRIX.tsv	a_assets/SCENARIO_MATRIX.tsv	1214	82291d77429f641aad4490cfb533a2dbf38398d1509b5a95dd25382cc54147b2	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	frozen CPU-only input/scenario evidence
A_RECEIPT:SCENARIO_POLICY.md	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	A_FIXED_RECEIPT	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/SCENARIO_POLICY.md	a_assets/SCENARIO_POLICY.md	1120	20ab4ac1d9c48452a6c19d05330c2da1d22c431b187024b2645a8e3a10bbb1d0	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_qwen25_7b_awq/CODE_T128.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	A_FIXED_RECEIPT	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_qwen25_7b_awq/CODE_T128.json	a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/CODE_T128.json	1936	61286e1ec5f91f7566c829d132ae715503e5105039d08f79fb2aff6230643cbf	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_qwen25_7b_awq/CODE_T2048.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	A_FIXED_RECEIPT	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_qwen25_7b_awq/CODE_T2048.json	a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/CODE_T2048.json	10578	931af717d4a542d94103533836f37d3c4147d0e325b2750535c71afbea23b774	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_qwen25_7b_awq/CODE_T256.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	A_FIXED_RECEIPT	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_qwen25_7b_awq/CODE_T256.json	a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/CODE_T256.json	2516	a79f553ec78365702856d349eb4abf7bba5f4ae02afefc060927b2541d56bfbf	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_qwen25_7b_awq/CODE_T8192.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	A_FIXED_RECEIPT	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_qwen25_7b_awq/CODE_T8192.json	a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/CODE_T8192.json	38225	4bfacdb22e883367ee75710469a65121e8712fad8aa682455c6663a8dcf1638d	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_qwen25_7b_awq/STRUCTURED_T128.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	A_FIXED_RECEIPT	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_qwen25_7b_awq/STRUCTURED_T128.json	a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/STRUCTURED_T128.json	2016	cefd05f81c855d5d9a70c523c55222564e0e91ce39770acc1861d6427e618d1c	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_qwen25_7b_awq/STRUCTURED_T2048.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	A_FIXED_RECEIPT	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_qwen25_7b_awq/STRUCTURED_T2048.json	a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/STRUCTURED_T2048.json	9746	b3b929f5187758aa8e8bed0d9b6c4ceccc8f8de36a2a2c7900b3a3a7d47f7413	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_qwen25_7b_awq/STRUCTURED_T256.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	A_FIXED_RECEIPT	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_qwen25_7b_awq/STRUCTURED_T256.json	a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/STRUCTURED_T256.json	2530	6cb1d9c57bace7073a6fcbd7ae6ae0c7928b62b5ffdc9b999c6b115da8f82927	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_qwen25_7b_awq/STRUCTURED_T8192.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	A_FIXED_RECEIPT	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_qwen25_7b_awq/STRUCTURED_T8192.json	a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/STRUCTURED_T8192.json	34503	e1d3c23b62456da2cdfd52c06007dd887685b655e22809e6bb7ef1896862a813	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_qwen25_7b_awq/TEXT_T128.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	A_FIXED_RECEIPT	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_qwen25_7b_awq/TEXT_T128.json	a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/TEXT_T128.json	1984	129d5c524306f9fb5ded6e6072baf886a080f8b077f012bd5260574c76496bae	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_qwen25_7b_awq/TEXT_T2048.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	A_FIXED_RECEIPT	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_qwen25_7b_awq/TEXT_T2048.json	a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/TEXT_T2048.json	11044	a618c2c5efd25e81e04b43f0af467ceb966948ae9c4cc2cd51598f09398d5a95	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_qwen25_7b_awq/TEXT_T256.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	A_FIXED_RECEIPT	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_qwen25_7b_awq/TEXT_T256.json	a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/TEXT_T256.json	2588	5b20ec5e3b51c24299f2aed25c2672a1f1c7be0e618bd1c67e5defca8b575aa3	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	frozen CPU-only input/scenario evidence
A_RECEIPT:TOKEN_RECEIPTS/c16_qwen25_7b_awq/TEXT_T8192.json	A_INPUT_OR_SCENARIO_RECEIPT	REQUIRED_DEPLOYMENT_DELTA	A_FIXED_RECEIPT	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_a/TOKEN_RECEIPTS/c16_qwen25_7b_awq/TEXT_T8192.json	a_assets/TOKEN_RECEIPTS/c16_qwen25_7b_awq/TEXT_T8192.json	40030	49d92bb7e17b0721c9183cc5c5dc6aa732ae1f7411e09a9b8ef8559dcd9ad9c1	LOCAL_SHA256_VERIFIED	RSYNC_FILE_WITH_SHA256_RECHECK	frozen CPU-only input/scenario evidence
G_SOURCE___init__.py	G_COMMITTED_SOURCE	REQUIRED_DEPLOYMENT_DELTA	git:45e293b84940ef59b7b134bcda48aca7d0b99b2f:util/vm_tlb/c16/lane_g/__init__.py	NA	g_source/util/vm_tlb/c16/lane_g/__init__.py	69	fd056b29375b0a829ce848f4398f0044cb66abd114957949b40dd89e9dadc35e	GIT_BLOB_SHA256_VERIFIED	GIT_ARCHIVE_OR_RSYNC_NAMED_SOURCE	final fixed G runner/environment source
G_SOURCE_bootstrap_autodl.sh	G_COMMITTED_SOURCE	REQUIRED_DEPLOYMENT_DELTA	git:45e293b84940ef59b7b134bcda48aca7d0b99b2f:util/vm_tlb/c16/lane_g/bootstrap_autodl.sh	NA	g_source/util/vm_tlb/c16/lane_g/bootstrap_autodl.sh	1977	2e0bd55fdeca57859609c55d8097667063b6699b9d7f7325965206818cd4ab10	GIT_BLOB_SHA256_VERIFIED	GIT_ARCHIVE_OR_RSYNC_NAMED_SOURCE	final fixed G runner/environment source
G_SOURCE_requirements.lock	G_COMMITTED_SOURCE	REQUIRED_DEPLOYMENT_DELTA	git:45e293b84940ef59b7b134bcda48aca7d0b99b2f:util/vm_tlb/c16/lane_g/requirements.lock	NA	g_source/util/vm_tlb/c16/lane_g/requirements.lock	542	8085caecebf1e641cb6ab1f2c0e2d8e8cfd5007fd8236b6c10771b223052fa82	GIT_BLOB_SHA256_VERIFIED	GIT_ARCHIVE_OR_RSYNC_NAMED_SOURCE	final fixed G runner/environment source
G_SOURCE_WHEELHOUSE_MANIFEST.tsv	G_COMMITTED_SOURCE	REQUIRED_DEPLOYMENT_DELTA	git:45e293b84940ef59b7b134bcda48aca7d0b99b2f:util/vm_tlb/c16/lane_g/WHEELHOUSE_MANIFEST.tsv	NA	g_source/util/vm_tlb/c16/lane_g/WHEELHOUSE_MANIFEST.tsv	16079	ebae0934de68b36e08da5db0e6bfdc47880620205e8bf6d8c8afe8906abc2d2d	GIT_BLOB_SHA256_VERIFIED	GIT_ARCHIVE_OR_RSYNC_NAMED_SOURCE	final fixed G runner/environment source
G_SOURCE_WHEELHOUSE_CLOSURE.md	G_COMMITTED_SOURCE	REQUIRED_DEPLOYMENT_DELTA	git:45e293b84940ef59b7b134bcda48aca7d0b99b2f:util/vm_tlb/c16/lane_g/WHEELHOUSE_CLOSURE.md	NA	g_source/util/vm_tlb/c16/lane_g/WHEELHOUSE_CLOSURE.md	1425	917b0390c856db93790bad8ba439843a3488e05966c01b50003cb97d9b9c56c8	GIT_BLOB_SHA256_VERIFIED	GIT_ARCHIVE_OR_RSYNC_NAMED_SOURCE	final fixed G runner/environment source
G_SOURCE_c16_native_common.py	G_COMMITTED_SOURCE	REQUIRED_DEPLOYMENT_DELTA	git:45e293b84940ef59b7b134bcda48aca7d0b99b2f:util/vm_tlb/c16/lane_g/c16_native_common.py	NA	g_source/util/vm_tlb/c16/lane_g/c16_native_common.py	1699	3b2ce0bff1ea20de5f0870cdeb5b3148df29a8a3d76e3056c5723e5f91501db7	GIT_BLOB_SHA256_VERIFIED	GIT_ARCHIVE_OR_RSYNC_NAMED_SOURCE	final fixed G runner/environment source
G_SOURCE_wheelhouse_manifest.py	G_COMMITTED_SOURCE	REQUIRED_DEPLOYMENT_DELTA	git:45e293b84940ef59b7b134bcda48aca7d0b99b2f:util/vm_tlb/c16/lane_g/wheelhouse_manifest.py	NA	g_source/util/vm_tlb/c16/lane_g/wheelhouse_manifest.py	6015	71e35127733e8fbdca358b5641b6b155c35c1b7bc36129d528d90195ca64f475	GIT_BLOB_SHA256_VERIFIED	GIT_ARCHIVE_OR_RSYNC_NAMED_SOURCE	final fixed G runner/environment source
G_SOURCE_wheelhouse_verify.py	G_COMMITTED_SOURCE	REQUIRED_DEPLOYMENT_DELTA	git:45e293b84940ef59b7b134bcda48aca7d0b99b2f:util/vm_tlb/c16/lane_g/wheelhouse_verify.py	NA	g_source/util/vm_tlb/c16/lane_g/wheelhouse_verify.py	3451	9d6a9c81b6fbb0df5c80c07934afa5e2a9b44a0b931b21b705edea394c057eec	GIT_BLOB_SHA256_VERIFIED	GIT_ARCHIVE_OR_RSYNC_NAMED_SOURCE	final fixed G runner/environment source
G_SOURCE_offline_wheelhouse_verify.py	G_COMMITTED_SOURCE	REQUIRED_DEPLOYMENT_DELTA	git:45e293b84940ef59b7b134bcda48aca7d0b99b2f:util/vm_tlb/c16/lane_g/offline_wheelhouse_verify.py	NA	g_source/util/vm_tlb/c16/lane_g/offline_wheelhouse_verify.py	4357	cf3d61799a7cb57190037573222384c0ec32499a43b3bfb3c4fb68ce7ecfbc85	GIT_BLOB_SHA256_VERIFIED	GIT_ARCHIVE_OR_RSYNC_NAMED_SOURCE	final fixed G runner/environment source
G_SOURCE_model_adapters.py	G_COMMITTED_SOURCE	REQUIRED_DEPLOYMENT_DELTA	git:45e293b84940ef59b7b134bcda48aca7d0b99b2f:util/vm_tlb/c16/lane_g/model_adapters.py	NA	g_source/util/vm_tlb/c16/lane_g/model_adapters.py	1289	ab996165d62b487e050ba6cd1ad18c61c38a7e4bbd4141d926f4eea28d7c2a1b	GIT_BLOB_SHA256_VERIFIED	GIT_ARCHIVE_OR_RSYNC_NAMED_SOURCE	final fixed G runner/environment source
G_SOURCE_run_schema.py	G_COMMITTED_SOURCE	REQUIRED_DEPLOYMENT_DELTA	git:45e293b84940ef59b7b134bcda48aca7d0b99b2f:util/vm_tlb/c16/lane_g/run_schema.py	NA	g_source/util/vm_tlb/c16/lane_g/run_schema.py	3212	f3a1fbf3b4fe4c19f405df111ff4db6536b0a8856b693d60f677e453668af14d	GIT_BLOB_SHA256_VERIFIED	GIT_ARCHIVE_OR_RSYNC_NAMED_SOURCE	final fixed G runner/environment source
G_SOURCE_run_model.py	G_COMMITTED_SOURCE	REQUIRED_DEPLOYMENT_DELTA	git:45e293b84940ef59b7b134bcda48aca7d0b99b2f:util/vm_tlb/c16/lane_g/run_model.py	NA	g_source/util/vm_tlb/c16/lane_g/run_model.py	12483	0b0a12e780a7b3179dd66321d2ed6f655946b32e4cde29211dd6ab810d8c3be2	GIT_BLOB_SHA256_VERIFIED	GIT_ARCHIVE_OR_RSYNC_NAMED_SOURCE	final fixed G runner/environment source
G_SOURCE_scenario_driver.py	G_COMMITTED_SOURCE	REQUIRED_DEPLOYMENT_DELTA	git:45e293b84940ef59b7b134bcda48aca7d0b99b2f:util/vm_tlb/c16/lane_g/scenario_driver.py	NA	g_source/util/vm_tlb/c16/lane_g/scenario_driver.py	3521	e1423121c4e47658b8ddd43f92c171fc9e5bf69a8ea0d77dd0fecb3beba24d5f	GIT_BLOB_SHA256_VERIFIED	GIT_ARCHIVE_OR_RSYNC_NAMED_SOURCE	final fixed G runner/environment source
