    PID    PPID     ELAPSED STAT CMD
     59       2  3-23:06:44 S    [cpuhp/14]
     60       2  3-23:06:44 S    [idle_inject/14]
     61       2  3-23:06:44 S    [migration/14]
     62       2  3-23:06:44 S    [ksoftirqd/14]
     64       2  3-23:06:44 I<   [kworker/14:0H-kblockd]
     65       2  3-23:06:44 S    [cpuhp/16]
     66       2  3-23:06:44 S    [idle_inject/16]
     67       2  3-23:06:44 S    [migration/16]
     68       2  3-23:06:44 S    [ksoftirqd/16]
     70       2  3-23:06:44 I<   [kworker/16:0H-kblockd]
     71       2  3-23:06:44 S    [cpuhp/17]
     72       2  3-23:06:44 S    [idle_inject/17]
     73       2  3-23:06:44 S    [migration/17]
     74       2  3-23:06:44 S    [ksoftirqd/17]
     76       2  3-23:06:44 I<   [kworker/17:0H-kblockd]
     77       2  3-23:06:44 S    [cpuhp/18]
     78       2  3-23:06:44 S    [idle_inject/18]
     79       2  3-23:06:44 S    [migration/18]
     80       2  3-23:06:44 S    [ksoftirqd/18]
     82       2  3-23:06:44 I<   [kworker/18:0H-kblockd]
     83       2  3-23:06:44 S    [cpuhp/19]
     84       2  3-23:06:44 S    [idle_inject/19]
     85       2  3-23:06:44 S    [migration/19]
     86       2  3-23:06:44 S    [ksoftirqd/19]
     88       2  3-23:06:44 I<   [kworker/19:0H-kblockd]
     89       2  3-23:06:44 S    [cpuhp/20]
     90       2  3-23:06:44 S    [idle_inject/20]
     91       2  3-23:06:44 S    [migration/20]
     92       2  3-23:06:44 S    [ksoftirqd/20]
     94       2  3-23:06:44 I<   [kworker/20:0H-kblockd]
     95       2  3-23:06:44 S    [cpuhp/21]
     96       2  3-23:06:44 S    [idle_inject/21]
     97       2  3-23:06:44 S    [migration/21]
     98       2  3-23:06:44 S    [ksoftirqd/21]
    100       2  3-23:06:44 I<   [kworker/21:0H-kblockd]
    101       2  3-23:06:44 S    [cpuhp/22]
    102       2  3-23:06:44 S    [idle_inject/22]
    103       2  3-23:06:44 S    [migration/22]
    104       2  3-23:06:44 S    [ksoftirqd/22]
    106       2  3-23:06:44 I<   [kworker/22:0H-kblockd]
    107       2  3-23:06:44 S    [cpuhp/23]
    108       2  3-23:06:44 S    [idle_inject/23]
    109       2  3-23:06:44 S    [migration/23]
    110       2  3-23:06:44 S    [ksoftirqd/23]
    112       2  3-23:06:44 I<   [kworker/23:0H-kblockd]
    113       2  3-23:06:44 S    [cpuhp/1]
    114       2  3-23:06:44 S    [idle_inject/1]
    115       2  3-23:06:44 S    [migration/1]
    116       2  3-23:06:44 S    [ksoftirqd/1]
    118       2  3-23:06:44 I<   [kworker/1:0H-kblockd]
    119       2  3-23:06:44 S    [cpuhp/3]
    120       2  3-23:06:44 S    [idle_inject/3]
    121       2  3-23:06:44 S    [migration/3]
    122       2  3-23:06:44 S    [ksoftirqd/3]
    124       2  3-23:06:44 I<   [kworker/3:0H-kblockd]
    125       2  3-23:06:44 S    [cpuhp/5]
    126       2  3-23:06:44 S    [idle_inject/5]
    127       2  3-23:06:44 S    [migration/5]
    128       2  3-23:06:44 S    [ksoftirqd/5]
    130       2  3-23:06:44 I<   [kworker/5:0H-kblockd]
    131       2  3-23:06:44 S    [cpuhp/7]
    132       2  3-23:06:44 S    [idle_inject/7]
    133       2  3-23:06:44 S    [migration/7]
    134       2  3-23:06:44 S    [ksoftirqd/7]
    136       2  3-23:06:44 I<   [kworker/7:0H-kblockd]
    137       2  3-23:06:44 S    [cpuhp/9]
    138       2  3-23:06:44 S    [idle_inject/9]
    139       2  3-23:06:44 S    [migration/9]
    140       2  3-23:06:44 S    [ksoftirqd/9]
    142       2  3-23:06:44 I<   [kworker/9:0H-kblockd]
    143       2  3-23:06:44 S    [cpuhp/11]
    144       2  3-23:06:44 S    [idle_inject/11]
    145       2  3-23:06:44 S    [migration/11]
    146       2  3-23:06:44 S    [ksoftirqd/11]
    148       2  3-23:06:44 I<   [kworker/11:0H]
    149       2  3-23:06:44 S    [cpuhp/13]
    150       2  3-23:06:44 S    [idle_inject/13]
    151       2  3-23:06:44 S    [migration/13]
    152       2  3-23:06:44 S    [ksoftirqd/13]
    154       2  3-23:06:44 I<   [kworker/13:0H-kblockd]
    155       2  3-23:06:44 S    [cpuhp/15]
    156       2  3-23:06:44 S    [idle_inject/15]
    157       2  3-23:06:44 S    [migration/15]
    158       2  3-23:06:44 S    [ksoftirqd/15]
    160       2  3-23:06:44 I<   [kworker/15:0H-kblockd]
    161       2  3-23:06:44 S    [kdevtmpfs]
    162       2  3-23:06:44 I<   [kworker/R-inet_frag_wq]
    163       2  3-23:06:44 I    [rcu_tasks_kthread]
    164       2  3-23:06:44 I    [rcu_tasks_rude_kthread]
    165       2  3-23:06:44 S    [kauditd]
    166       2  3-23:06:44 S    [khungtaskd]
    167       2  3-23:06:44 S    [oom_reaper]
    170       2  3-23:06:44 I<   [kworker/R-writeback]
    171       2  3-23:06:44 S    [kcompactd0]
    172       2  3-23:06:44 SN   [ksmd]
    173       2  3-23:06:44 SN   [khugepaged]
    174       2  3-23:06:44 I<   [kworker/R-kblockd]
    175       2  3-23:06:44 I<   [kworker/R-blkcg_punt_bio]
    176       2  3-23:06:44 I<   [kworker/R-kintegrityd]
    177       2  3-23:06:44 S    [irq/9-acpi]
    181       2  3-23:06:44 I<   [kworker/R-tpm_dev_wq]
    182       2  3-23:06:44 I<   [kworker/R-ata_sff]
    183       2  3-23:06:44 I<   [kworker/R-md_bitmap]
    184       2  3-23:06:44 I<   [kworker/R-md_llbitmap_io]
    185       2  3-23:06:44 I<   [kworker/R-md_llbitmap_unplug]
    186       2  3-23:06:44 I<   [kworker/R-edac-poller]
    187       2  3-23:06:44 I<   [kworker/R-devfreq_wq]
    188       2  3-23:06:44 S    [watchdogd]
    190       2  3-23:06:44 I<   [kworker/R-quota_events_unbound]
    191       2  3-23:06:44 S    [kswapd0]
    192       2  3-23:06:44 S    [ecryptfs-kthread]
    193       2  3-23:06:44 I<   [kworker/R-kthrotld]
    195       2  3-23:06:44 S    [irq/122-aerdrv]
    196       2  3-23:06:44 S    [irq/123-aerdrv]
    197       2  3-23:06:44 I<   [kworker/R-acpi_thermal_pm]
    200       2  3-23:06:44 S    [hwrng]
    202       2  3-23:06:44 I<   [kworker/R-hfi-updates]
    204       2  3-23:06:44 I<   [kworker/R-mld]
    205       2  3-23:06:44 I<   [kworker/R-ipv6_addrconf]
    206       2  3-23:06:44 I<   [kworker/R-kstrp]
    210       2  3-23:06:44 I    [kworker/5:1-mm_percpu_wq]
    214       2  3-23:06:44 I<   [kworker/u97:0]
    227       2  3-23:06:44 I<   [kworker/R-charger_manager]
    332       2  3-23:06:43 I<   [kworker/R-nvme-wq]
    333       2  3-23:06:43 I<   [kworker/R-nvme-reset-wq]
    334       2  3-23:06:43 I<   [kworker/R-nvme-delete-wq]
    335       2  3-23:06:43 I<   [kworker/R-nvme-auth-wq]
    336       2  3-23:06:43 S    [scsi_eh_0]
    337       2  3-23:06:43 I<   [kworker/R-scsi_tmf_0]
    338       2  3-23:06:43 S    [scsi_eh_1]
    339       2  3-23:06:43 I<   [kworker/R-scsi_tmf_1]
    340       2  3-23:06:43 S    [scsi_eh_2]
    341       2  3-23:06:43 I<   [kworker/R-scsi_tmf_2]
    342       2  3-23:06:43 S    [scsi_eh_3]
    343       2  3-23:06:43 I<   [kworker/R-scsi_tmf_3]
    344       2  3-23:06:43 S    [scsi_eh_4]
    345       2  3-23:06:43 I<   [kworker/R-scsi_tmf_4]
    346       2  3-23:06:43 S    [scsi_eh_5]
    347       2  3-23:06:43 I<   [kworker/R-scsi_tmf_5]
    348       2  3-23:06:43 S    [scsi_eh_6]
    349       2  3-23:06:43 I<   [kworker/R-scsi_tmf_6]
    350       2  3-23:06:43 S    [scsi_eh_7]
    351       2  3-23:06:43 I<   [kworker/R-scsi_tmf_7]
    386       1  3-23:06:42 Sl   /usr/sbin/plymouthd --mode=boot --attach-to-session --pid-file=/run/plymouth/pid
    405       2  3-23:06:42 I<   [kworker/19:1H-kblockd]
    407       2  3-23:06:42 S    [jbd2/nvme0n1p2-8]
    408       2  3-23:06:42 I<   [kworker/R-ext4-rsv-conversion]
    459       1  3-23:06:42 S<s  /usr/lib/systemd/systemd-journald
    505       2  3-23:06:42 I<   [kworker/18:1H-kblockd]
    508       2  3-23:06:42 I<   [kworker/20:1H-kblockd]
    512       2  3-23:06:42 I<   [kworker/16:1H-kblockd]
    514       2  3-23:06:42 I<   [kworker/17:1H-kblockd]
    526       2  3-23:06:41 I<   [kworker/12:1H-kblockd]
    534       2  3-23:06:41 I<   [kworker/6:1H-kblockd]
    536       2  3-23:06:41 I<   [kworker/0:1H-kblockd]
    538       2  3-23:06:41 I<   [kworker/14:1H-kblockd]
    547       2  3-23:06:41 I<   [kworker/15:1H-kblockd]
    549       2  3-23:06:41 I<   [kworker/21:1H-kblockd]
    550       2  3-23:06:41 I<   [kworker/3:1H-kblockd]
    551       2  3-23:06:41 I<   [kworker/11:1H-kblockd]
    552       2  3-23:06:41 I<   [kworker/9:1H-kblockd]
    553       2  3-23:06:41 I<   [kworker/23:1H-kblockd]
    555       1  3-23:06:41 Ss   /usr/lib/systemd/systemd-udevd
    557       2  3-23:06:41 I<   [kworker/5:1H-kblockd]
    558       2  3-23:06:41 I<   [kworker/1:1H-kblockd]
    559       2  3-23:06:41 I<   [kworker/2:1H-kblockd]
    563       2  3-23:06:41 S    [psimon]
    652       2  3-23:06:41 S    [irq/143-mei_me]
    700       2  3-23:06:41 S    [irq/16-processor_thermal_device_pci]
    741       2  3-23:06:41 I<   [kworker/R-ttm]
    742       2  3-23:06:41 S    [card0-crtc0]
    743       2  3-23:06:41 S    [card0-crtc1]
    744       2  3-23:06:41 S    [card0-crtc2]
    745       2  3-23:06:41 S    [card0-crtc3]
    746       2  3-23:06:41 S    [nv_queue]
    747       2  3-23:06:41 S    [nv_queue]
    748       2  3-23:06:41 S    [nv_open_q]
    757       2  3-23:06:41 S    [nvidia-modeset/kthread_q]
    758       2  3-23:06:41 S    [nvidia-modeset/deferred_close_kthread_q]
    760       2  3-23:06:41 S    [irq/146-nvidia]
    761       2  3-23:06:41 S    [nvidia]
    762       2  3-23:06:41 S    [nv_queue]
   1009       1  3-23:06:40 Ss   /usr/lib/systemd/systemd-oomd
   1033       1  3-23:06:40 Ss   /usr/lib/systemd/systemd-resolved
   1035       1  3-23:06:40 Ssl  /usr/lib/systemd/systemd-timesyncd
   1083       2  3-23:06:40 I<   [kworker/10:1H-kblockd]
   1224       2  3-23:06:39 I<   [kworker/7:1H-kblockd]
   1245       2  3-23:06:39 I<   [kworker/4:1H-kblockd]
   1254       2  3-23:06:39 I<   [kworker/8:1H-kblockd]
   1255       2  3-23:06:39 I<   [kworker/22:1H-kblockd]
   1283       1  3-23:06:39 Ss   avahi-daemon: running [PC.local]
   1284       1  3-23:06:39 Ss   @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1287       1  3-23:06:39 Ssl  /usr/libexec/gnome-remote-desktop-daemon --system
   1296       1  3-23:06:39 Ssl  /usr/libexec/power-profiles-daemon
   1305       1  3-23:06:39 Ss   /usr/bin/nvidia-persistenced --user nvidia-persistenced
   1307       1  3-23:06:39 Ssl  /snap/snapd/current/usr/lib/snapd/snapd
   1311       1  3-23:06:39 Ssl  /usr/libexec/accounts-daemon
   1314       1  3-23:06:39 Ss   /usr/sbin/cron -f -P
   1318       1  3-23:06:39 Ssl  /usr/libexec/switcheroo-control
   1320       1  3-23:06:39 Ss   /usr/lib/systemd/systemd-logind
   1322       1  3-23:06:39 Ssl  /usr/libexec/udisks2/udisksd
   1338    1283  3-23:06:39 S    avahi-daemon: chroot helper
   1363       1  3-23:06:39 Ssl  /usr/sbin/NetworkManager --no-daemon
   1365       1  3-23:06:39 Ss   /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
   1410       1  3-23:06:39 Ssl  /usr/sbin/rsyslogd -n -iNONE
   1470       2  3-23:06:39 S    [UVM global queue]
   1471       2  3-23:06:39 S    [UVM deferred release queue]
   1472       2  3-23:06:39 S    [UVM Tools Event Queue]
   1582       1  3-23:06:38 Ssl  /usr/libexec/upowerd
   1592       1  3-23:06:38 Ssl  /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
   1597       1  3-23:06:38 Ssl  /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   1603       1  3-23:06:38 Ss   /usr/bin/plymouth --wait
   1605       1  3-23:06:38 Ss   /usr/lib/systemd/systemd --user
   1606       1  3-23:06:38 Ssl  /usr/bin/containerd
   1621    1605  3-23:06:38 S    (sd-pam)
   1623       1  3-23:06:38 Ssl  /usr/sbin/gdm3
   1644    1623  3-23:06:38 Sl   gdm-session-worker [pam/gdm-launch-environment]
   1657       1  3-23:06:38 Ss   /usr/lib/systemd/systemd --user
   1658    1657  3-23:06:38 S    (sd-pam)
   1681    1605  3-23:06:38 Ssl  /home/loongson/.local/bin/mihomo -d /home/loongson/.config/mihomo -f /home/loongson/.config/mihomo/config.yaml
   1682    1605  3-23:06:38 Ssl  /usr/bin/pipewire
   1683    1605  3-23:06:38 Ssl  /usr/bin/pipewire -c filter-chain.conf
   1684    1605  3-23:06:38 Ssl  /snap/snapd-desktop-integration/391/usr/bin/user-session-helper /snap/snapd-desktop-integration/391/usr/bin/snapd-desktop-integration
   1685    1605  3-23:06:38 Ssl  /usr/bin/wireplumber
   1686    1605  3-23:06:38 Ssl  /usr/bin/pipewire-pulse
   1697    1605  3-23:06:38 Ss   /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1720       1  3-23:06:38 SNsl /usr/libexec/rtkit-daemon
   1742    1657  3-23:06:38 S<sl /usr/bin/pipewire
   1743    1657  3-23:06:38 Ssl  /usr/bin/pipewire -c filter-chain.conf
   1747    1657  3-23:06:38 S<sl /usr/bin/wireplumber
   1749    1657  3-23:06:38 S<sl /usr/bin/pipewire-pulse
   1751    1644  3-23:06:38 Ssl+ /usr/libexec/gdm-x-session dbus-run-session -- gnome-session --autostart /usr/share/gdm/greeter/autostart
   1760    1751  3-23:06:38 Sl+  /usr/lib/xorg/Xorg vt1 -displayfd 3 -auth /run/user/120/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
   1762    1657  3-23:06:38 Ss   /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1841    1605  3-23:06:38 Ssl  /usr/libexec/xdg-document-portal
   1842    1657  3-23:06:38 Ssl  /usr/libexec/xdg-document-portal
   1855    1605  3-23:06:38 Ssl  /usr/libexec/xdg-permission-store
   1856    1657  3-23:06:38 Ssl  /usr/libexec/xdg-permission-store
   1868    1841  3-23:06:38 Ss   fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   1870    1842  3-23:06:38 Ss   fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/120/doc
   2006       2  3-23:06:37 S    [nvidia-drm/timeline-15]
   2013    1751  3-23:06:36 S+   dbus-run-session -- gnome-session --autostart /usr/share/gdm/greeter/autostart
   2014    2013  3-23:06:36 S+   dbus-daemon --nofork --print-address 4 --session
   2015    2013  3-23:06:36 Sl+  /usr/libexec/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
   2018       1  3-23:06:36 Sl+  /usr/libexec/at-spi-bus-launcher
   2024    2018  3-23:06:36 S+   /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/120/at-spi/bus_0
   2035    2015  3-23:06:36 Sl+  /usr/bin/gnome-shell
   2054       2  3-23:06:36 S    [nvidia-drm/timeline-19]
   2055    2035  3-23:06:36 Sl+  /usr/libexec/mutter-x11-frames
   2058       1  3-23:06:36 Sl+  /usr/libexec/at-spi2-registryd --use-gnome-session
   2059       1  3-23:06:36 Ssl  /usr/libexec/colord
   2098       1  3-23:06:36 Sl+  /usr/libexec/xdg-permission-store
   2107       1  3-23:06:36 Sl+  /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   2119    2015  3-23:06:36 Sl+  /usr/libexec/gsd-sharing
   2120    2015  3-23:06:36 Sl+  /usr/libexec/gsd-wacom
   2125    2015  3-23:06:36 Sl+  /usr/libexec/gsd-color
   2126    2015  3-23:06:36 Sl+  /usr/libexec/gsd-keyboard
   2128    2015  3-23:06:36 Sl+  /usr/libexec/gsd-print-notifications
   2130    2015  3-23:06:36 Sl+  /usr/libexec/gsd-rfkill
   2131    2015  3-23:06:36 Sl+  /usr/libexec/gsd-smartcard
   2132    2015  3-23:06:36 Sl+  /usr/libexec/gsd-datetime
   2136    2015  3-23:06:36 Sl+  /usr/libexec/gsd-media-keys
   2139    2015  3-23:06:36 Sl+  /usr/libexec/gsd-screensaver-proxy
   2144    2015  3-23:06:36 Sl+  /usr/libexec/gsd-sound
   2148    2015  3-23:06:36 Sl+  /usr/libexec/gsd-a11y-settings
   2153    2015  3-23:06:36 Sl+  /usr/libexec/gsd-housekeeping
   2155    2015  3-23:06:36 Sl+  /usr/libexec/gsd-power
   2184    2035  3-23:06:36 Sl   ibus-daemon --panel disable --xim
   2274    2184  3-23:06:36 Sl   /usr/libexec/ibus-memconf
   2280       1  3-23:06:36 Sl   /usr/libexec/ibus-x11 --kill-daemon
   2281       1  3-23:06:36 Sl+  /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   2288       1  3-23:06:36 Sl+  /usr/libexec/ibus-portal
   2342    2184  3-23:06:36 Sl   /usr/libexec/ibus-engine-simple
   2347       1  3-23:06:36 Sl+  /usr/libexec/dconf-service
   2362       1  3-23:06:35 Sl+  /usr/libexec/gsd-printer
   2375       1  3-23:06:34 Ssl  /usr/sbin/thermald --systemd --dbus-enable --adaptive
   2416       1  3-23:06:32 Ssl  /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
   2417       1  3-23:06:32 Ssl  /usr/local/bin/frpc -c /etc/frp/frpc.toml
   2421       1  3-23:06:32 Ss   /usr/sbin/kerneloops --test
   2424       1  3-23:06:32 Ss   /usr/sbin/kerneloops
   2701       1  3-23:06:20 Ss   sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
   3205       1  3-23:01:58 Ss   /usr/lib/systemd/systemd --user
   3209    3205  3-23:01:58 S    (sd-pam)
   3221    3205  3-23:01:58 Ssl  /usr/bin/pipewire
   3222    3205  3-23:01:58 Ssl  /usr/bin/pipewire -c filter-chain.conf
   3224    3205  3-23:01:58 Ssl  /snap/snapd-desktop-integration/391/usr/bin/user-session-helper /snap/snapd-desktop-integration/391/usr/bin/snapd-desktop-integration
   3226    3205  3-23:01:58 Ssl  /usr/bin/wireplumber
   3230    3205  3-23:01:58 Ssl  /usr/bin/pipewire-pulse
   3256    3205  3-23:01:58 Ss   /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   3325    3205  3-23:01:58 Ssl  /usr/libexec/xdg-document-portal
   3332    3205  3-23:01:58 Ssl  /usr/libexec/xdg-permission-store
   3339    3325  3-23:01:58 Ss   fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1004/doc
   3802       1  3-22:57:09 Ssl  /usr/libexec/fwupd/fwupd
   3875       2  3-22:56:38 I<   [kworker/13:1H-kblockd]
  89957    3205  3-20:16:39 Sl   /usr/bin/gnome-keyring-daemon --start --foreground --components=secrets
  89958    3205  3-20:16:39 Ssl  /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1004/keyring
 192215       2  3-05:41:05 I<   [kworker/R-tls-strp]
 373891    2701  2-04:47:00 Ss   sshd: huangrulin [priv]
 373933  373891  2-04:46:59 S    sshd: huangrulin@pts/1
 373934  373933  2-04:46:59 Ss+  -bash
 483051       2  1-16:32:31 I    [kworker/13:0-events]
 526615       2  1-12:47:27 I    [kworker/3:1-events]
 534481       1  1-09:59:30 Ssl  /usr/lib/polkit-1/polkitd --no-debug
 534505       1  1-09:59:30 Ssl  /usr/sbin/ModemManager
 539818    2701  1-08:06:44 Ss   sshd: huangrulin [priv]
 539860  539818  1-08:06:44 S    sshd: huangrulin@pts/0
 539861  539860  1-08:06:44 Ss   -bash
 540120  539861  1-07:59:54 Sl+  /home/huangrulin/.local/nvitop/bin/python3 /home/huangrulin/.local/nvitop/bin/nvitop --readonly
 623973    2701  1-02:29:51 Ss   sshd: huangrulin [priv]
 624015  623973  1-02:29:51 S    sshd: huangrulin@pts/2
 624016  624015  1-02:29:51 Ss+  -bash
 644854       2  1-00:51:24 I    [kworker/1:1-events]
 659689       2    20:45:40 I    [kworker/7:1-events]
 665283       2    19:46:25 I    [kworker/1:0-mm_percpu_wq]
 683415       2    18:16:19 S    [psimon]
 717165       1    16:18:25 Ss   /usr/sbin/cupsd -l
 717206       1    16:18:25 Ssl  /usr/sbin/cups-browsed
 744066       2    07:18:29 I    [kworker/9:2-memcg]
 774974       2    04:48:45 I    [kworker/11:0-events]
 775050       2    04:47:57 I    [kworker/13:2-memcg]
 784358       2    04:03:34 I    [kworker/9:0-events]
 797208       2    02:40:05 I    [kworker/3:2]
 798409       2    02:29:05 I    [kworker/21:1-mm_percpu_wq]
 800654       2    02:12:50 I    [kworker/22:0-events]
 801833       2    02:03:55 I    [kworker/10:1-events]
 802683       2    01:57:05 I    [kworker/7:2-mm_percpu_wq]
 804198       2    01:45:55 I    [kworker/23:0-events]
 804203       2    01:45:47 I    [kworker/17:2-mm_percpu_wq]
 807376       2    01:19:59 I    [kworker/11:1-mm_percpu_wq]
 807659       2    01:17:59 I    [kworker/12:1-events]
 807895       2    01:17:59 I    [kworker/14:0-events]
 808574       2    01:15:54 I    [kworker/15:2-events_freezable]
 808636       2    01:15:03 I    [kworker/2:1-cgroup_free]
 809012       2    01:13:26 I    [kworker/10:2-events]
 809419       2    01:09:10 I    [kworker/0:0-events]
 809433       2    01:08:00 I    [kworker/u96:0-flush-259:0]
 810582       2    01:06:27 I    [kworker/2:0-mm_percpu_wq]
 811335       2    01:04:35 I    [kworker/20:2-memcg]
 812525       2    01:00:14 I    [kworker/0:1-events]
 814126       2       58:03 I    [kworker/15:1]
 814300       2       56:56 I    [kworker/8:2-mm_percpu_wq]
 816524       2       50:47 I    [kworker/8:1-events]
 817121       2       48:26 I    [kworker/4:1-display_unordered]
 818182       2       46:21 I    [kworker/5:0]
 818614       2       44:44 I    [kworker/19:0-mm_percpu_wq]
 820131       2       37:20 I    [kworker/16:2-events]
 820429       2       34:49 I    [kworker/6:0-mm_percpu_wq]
 820948       2       33:18 I    [kworker/u96:2-events_power_efficient]
 821472       2       28:11 I    [kworker/6:1]
 821880       2       24:04 I    [kworker/14:1-cgroup_free]
 822897       2       21:24 I    [kworker/u96:3-events_unbound]
 823348       2       18:19 I    [kworker/18:1-mm_percpu_wq]
 823669       2       16:00 I    [kworker/22:2-cgroup_free]
 824212       2       15:29 I    [kworker/23:2-mm_percpu_wq]
 824816       2       11:56 I    [kworker/18:2-cgroup_free]
 824945       2       10:55 I    [kworker/16:0-cgroup_free]
 825006       2       10:29 I    [kworker/u96:4-events_power_efficient]
 825227       2       09:54 I    [kworker/20:1-cgroup_free]
 825334       2       09:51 I    [kworker/21:0-cgroup_free]
 825833       2       08:53 I    [kworker/12:2-cgroup_free]
 826024       2       08:19 I    [kworker/19:1-cgroup_free]
 826087       2       07:19 I    [kworker/17:0-cgroup_free]
 826421       2       05:17 I    [kworker/4:0]
 826476       2       04:47 I    [kworker/16:1-cgroup_free]
 826585       2       03:56 I    [kworker/11:2]
 826590       2       03:46 I    [kworker/21:2]
 826715       2       03:16 I    [kworker/18:0-cgroup_free]
 826772       2       03:11 I    [kworker/8:0]
 826777       2       02:45 I    [kworker/20:0]
 826833       2       02:27 I    [kworker/10:0]
 826896       2       01:45 I    [kworker/19:2-cgroup_free]
 827194       2       00:44 I    [kworker/17:1]
 827257       1       00:43 S    sleep 60
 827309       1       00:23 S    sleep 60
 827414    2701       00:10 Ss   sshd: huangrulin [priv]
 827456  827414       00:10 S    sshd: huangrulin@notty
 827457  827456       00:10 Ss   bash -c bash /tmp/early_close_stop_own_followons.sh; grep -E 'run_p2d_after|run_p2e_after|run_p3_after|run_selected_sidelane_capture|requalification_.*driver.py' /data/c16/awma/unattended_campaign_v1/EARLY_CLOSE_PROCESS_SNAPSHOT_AFTER_TERM.txt || true
 827458  827457       00:10 S    bash /tmp/early_close_stop_own_followons.sh
 827477       2       00:09 I    [kworker/2:2]
 827478  827458       00:00 R    ps -eo pid,ppid,etime,stat,cmd
