priority_rank	priority_band	evidence_label	stage	workload	config_id	roi	job_id	information_gain	resource_cost	evidence_gap	prerequisite	rationale
25	P1_REMAINING_B2_SMOKE	SPECULATIVE_DIAGNOSTIC	B2	llama	b2-page-2mb-diagnostic	prefill	B2_RETRY_b2-page-2mb-diagnostic_prefill	MEDIUM	MEDIUM_CALIBRATED_PREFILL_SMOKE	B2 OFAT smoke missing	A terminal; clean no-swap gate; effective concurrency=1	先完成语义去重的 B2 smoke matrix，仍不启动 full ROI。
25	P1_REMAINING_B2_SMOKE	SPECULATIVE_DIAGNOSTIC	B2	llama	b2-pwc-finite32	prefill	B2_RETRY_b2-pwc-finite32_prefill	MEDIUM	MEDIUM_CALIBRATED_PREFILL_SMOKE	B2 OFAT smoke missing	A terminal; clean no-swap gate; effective concurrency=1	先完成语义去重的 B2 smoke matrix，仍不启动 full ROI。
25	P1_REMAINING_B2_SMOKE	SPECULATIVE_DIAGNOSTIC	B2	llama	b2-pwc-finite512	prefill	B2_RETRY_b2-pwc-finite512_prefill	MEDIUM	MEDIUM_CALIBRATED_PREFILL_SMOKE	B2 OFAT smoke missing	A terminal; clean no-swap gate; effective concurrency=1	先完成语义去重的 B2 smoke matrix，仍不启动 full ROI。
25	P1_REMAINING_B2_SMOKE	SPECULATIVE_DIAGNOSTIC	B2	llama	b2-pwc-ideal	prefill	B2_RETRY_b2-pwc-ideal_prefill	MEDIUM	MEDIUM_CALIBRATED_PREFILL_SMOKE	B2 OFAT smoke missing	A terminal; clean no-swap gate; effective concurrency=1	先完成语义去重的 B2 smoke matrix，仍不启动 full ROI。
25	P1_REMAINING_B2_SMOKE	SPECULATIVE_DIAGNOSTIC	B2	llama	b2-pwc-off	prefill	B2_RETRY_b2-pwc-off_prefill	MEDIUM	MEDIUM_CALIBRATED_PREFILL_SMOKE	B2 OFAT smoke missing	A terminal; clean no-swap gate; effective concurrency=1	先完成语义去重的 B2 smoke matrix，仍不启动 full ROI。
25	P1_REMAINING_B2_SMOKE	SPECULATIVE_DIAGNOSTIC	B2	llama	b2-walkers-1	prefill	B2_RETRY_b2-walkers-1_prefill	MEDIUM	MEDIUM_CALIBRATED_PREFILL_SMOKE	B2 OFAT smoke missing	A terminal; clean no-swap gate; effective concurrency=1	先完成语义去重的 B2 smoke matrix，仍不启动 full ROI。
25	P1_REMAINING_B2_SMOKE	SPECULATIVE_DIAGNOSTIC	B2	llama	b2-walkers-32	prefill	B2_RETRY_b2-walkers-32_prefill	MEDIUM	MEDIUM_CALIBRATED_PREFILL_SMOKE	B2 OFAT smoke missing	A terminal; clean no-swap gate; effective concurrency=1	先完成语义去重的 B2 smoke matrix，仍不启动 full ROI。
25	P1_REMAINING_B2_SMOKE	SPECULATIVE_DIAGNOSTIC	B2	llama	b2-walkers-4	prefill	B2_RETRY_b2-walkers-4_prefill	MEDIUM	MEDIUM_CALIBRATED_PREFILL_SMOKE	B2 OFAT smoke missing	A terminal; clean no-swap gate; effective concurrency=1	先完成语义去重的 B2 smoke matrix，仍不启动 full ROI。
25	P1_REMAINING_B2_SMOKE	SPECULATIVE_DIAGNOSTIC	B2	llama	b2-walkers-8	prefill	B2_RETRY_b2-walkers-8_prefill	MEDIUM	MEDIUM_CALIBRATED_PREFILL_SMOKE	B2 OFAT smoke missing	A terminal; clean no-swap gate; effective concurrency=1	先完成语义去重的 B2 smoke matrix，仍不启动 full ROI。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_100	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_101	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_102	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_103	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_104	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_105	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_106	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_107	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_108	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_109	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_110	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_111	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_112	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_113	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_114	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_115	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_116	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_117	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_118	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_119	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_120	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_121	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_122	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_123	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_124	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_125	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_126	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_127	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_128	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_129	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_130	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_131	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_132	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_133	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_134	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_135	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_136	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_137	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_138	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_139	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_140	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_141	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_142	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_143	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_144	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_145	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_146	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_147	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_148	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_149	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_150	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_151	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_152	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_153	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_154	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_155	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_156	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_157	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_158	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_159	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_160	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_161	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_162	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_163	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_164	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
35	P2_B1_PARTIALS	SPECULATIVE_DIAGNOSTIC	B1	llama	offline_trace_mining	decode1	B1_decode1_KERNEL_165	HIGH	UNKNOWN_UNTIL_CALIBRATED	missing atomic trace partial	对应 ROI worker peak calibration 已通过；one worker	保持 immutable trace mining 的 per-kernel 恢复顺序。
