evidence_label	stage	workload	config_id	roi	coverage_class	realized_run_id	object_class	translation_requesters	unique_translation_keys	l1_lookup_launches	l1_hits	l1_misses	l2_lookup_launches	l2_hits	l2_misses	mshr_allocations	mshr_merges	walk_starts	completed	pwc_accesses	pwc_hits	pwc_misses	pte_requests	pte_l2_only_responses	pte_dram_responses	pte_memory_wait_cycles_total	pte_memory_wait_cycles_max	l2_fills	caveat
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l1tlb-e128	prefill	SMOKE_ONLY	b2-smoke-b2-l1tlb-e128-prefill	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l1tlb-e128	prefill	SMOKE_ONLY	b2-smoke-b2-l1tlb-e128-prefill	UNKNOWN	66232	33	66232	64714	1518	1518	822	696	33	663	33	66232	99	95	4	37	24	13	10571	464	33	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l1tlb-e128	decode1	SMOKE_ONLY	b2-smoke-b2-l1tlb-e128-decode1	WEIGHT	528	1	528	512	16	16	0	16	1	15	1	528	3	1	2	3	0	3	1392	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l1tlb-e128	decode1	SMOKE_ONLY	b2-smoke-b2-l1tlb-e128-decode1	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l1tlb-e128	decode1	SMOKE_ONLY	b2-smoke-b2-l1tlb-e128-decode1	UNKNOWN	1040	1	1040	1024	16	16	0	16	1	15	1	1040	3	0	3	4	0	4	1856	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e128	prefill	SMOKE_ONLY	b2-smoke-b2-l2tlb-e128-prefill	WEIGHT	32887	5	32887	32657	230	230	111	119	5	114	5	32887	15	14	1	6	3	3	2062	553	5	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e128	prefill	SMOKE_ONLY	b2-smoke-b2-l2tlb-e128-prefill	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e128	prefill	SMOKE_ONLY	b2-smoke-b2-l2tlb-e128-prefill	UNKNOWN	66232	33	66232	64572	1660	1660	964	696	33	663	33	66232	99	95	4	37	24	13	10571	464	33	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e128	decode1	SMOKE_ONLY	b2-smoke-b2-l2tlb-e128-decode1	WEIGHT	528	1	528	512	16	16	0	16	1	15	1	528	3	1	2	3	0	3	1392	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e128	decode1	SMOKE_ONLY	b2-smoke-b2-l2tlb-e128-decode1	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e128	decode1	SMOKE_ONLY	b2-smoke-b2-l2tlb-e128-decode1	UNKNOWN	1040	1	1040	1024	16	16	0	16	1	15	1	1040	3	0	3	4	0	4	1856	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e256	prefill	SMOKE_ONLY	b2-smoke-b2-l2tlb-e256-prefill	WEIGHT	32887	5	32887	32657	230	230	111	119	5	114	5	32887	15	14	1	6	3	3	2062	553	5	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e256	prefill	SMOKE_ONLY	b2-smoke-b2-l2tlb-e256-prefill	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e256	prefill	SMOKE_ONLY	b2-smoke-b2-l2tlb-e256-prefill	UNKNOWN	66232	33	66232	64572	1660	1660	964	696	33	663	33	66232	99	95	4	37	24	13	10571	464	33	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e256	decode1	SMOKE_ONLY	b2-smoke-b2-l2tlb-e256-decode1	WEIGHT	528	1	528	512	16	16	0	16	1	15	1	528	3	1	2	3	0	3	1392	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e256	decode1	SMOKE_ONLY	b2-smoke-b2-l2tlb-e256-decode1	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e256	decode1	SMOKE_ONLY	b2-smoke-b2-l2tlb-e256-decode1	UNKNOWN	1040	1	1040	1024	16	16	0	16	1	15	1	1040	3	0	3	4	0	4	1856	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e512	prefill	SMOKE_ONLY	b2-smoke-retry1-b2-l2tlb-e512-prefill	WEIGHT	32887	5	32887	32657	230	230	111	119	5	114	5	32887	15	14	1	6	3	3	2062	553	5	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e512	prefill	SMOKE_ONLY	b2-smoke-retry1-b2-l2tlb-e512-prefill	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e512	prefill	SMOKE_ONLY	b2-smoke-retry1-b2-l2tlb-e512-prefill	UNKNOWN	66232	33	66232	64572	1660	1660	964	696	33	663	33	66232	99	95	4	37	24	13	10571	464	33	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e512	decode1	SMOKE_ONLY	b2-smoke-retry1-b2-l2tlb-e512-decode1	WEIGHT	528	1	528	512	16	16	0	16	1	15	1	528	3	1	2	3	0	3	1392	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e512	decode1	SMOKE_ONLY	b2-smoke-retry1-b2-l2tlb-e512-decode1	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e512	decode1	SMOKE_ONLY	b2-smoke-retry1-b2-l2tlb-e512-decode1	UNKNOWN	1040	1	1040	1024	16	16	0	16	1	15	1	1040	3	0	3	4	0	4	1856	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e1536	prefill	SMOKE_ONLY	b2-smoke-b2-l2tlb-e1536-prefill	WEIGHT	32887	5	32887	32657	230	230	111	119	5	114	5	32887	15	14	1	6	3	3	2062	553	5	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e1536	prefill	SMOKE_ONLY	b2-smoke-b2-l2tlb-e1536-prefill	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e1536	prefill	SMOKE_ONLY	b2-smoke-b2-l2tlb-e1536-prefill	UNKNOWN	66232	33	66232	64572	1660	1660	964	696	33	663	33	66232	99	95	4	37	24	13	10571	464	33	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e1536	decode1	SMOKE_ONLY	b2-smoke-b2-l2tlb-e1536-decode1	WEIGHT	528	1	528	512	16	16	0	16	1	15	1	528	3	1	2	3	0	3	1392	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e1536	decode1	SMOKE_ONLY	b2-smoke-b2-l2tlb-e1536-decode1	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e1536	decode1	SMOKE_ONLY	b2-smoke-b2-l2tlb-e1536-decode1	UNKNOWN	1040	1	1040	1024	16	16	0	16	1	15	1	1040	3	0	3	4	0	4	1856	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e3072	prefill	SMOKE_ONLY	b2-smoke-b2-l2tlb-e3072-prefill	WEIGHT	32887	5	32887	32657	230	230	111	119	5	114	5	32887	15	14	1	6	3	3	2062	553	5	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e3072	prefill	SMOKE_ONLY	b2-smoke-b2-l2tlb-e3072-prefill	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e3072	prefill	SMOKE_ONLY	b2-smoke-b2-l2tlb-e3072-prefill	UNKNOWN	66232	33	66232	64572	1660	1660	964	696	33	663	33	66232	99	95	4	37	24	13	10571	464	33	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e3072	decode1	SMOKE_ONLY	b2-smoke-b2-l2tlb-e3072-decode1	WEIGHT	528	1	528	512	16	16	0	16	1	15	1	528	3	1	2	3	0	3	1392	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e3072	decode1	SMOKE_ONLY	b2-smoke-b2-l2tlb-e3072-decode1	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e3072	decode1	SMOKE_ONLY	b2-smoke-b2-l2tlb-e3072-decode1	UNKNOWN	1040	1	1040	1024	16	16	0	16	1	15	1	1040	3	0	3	4	0	4	1856	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-8	prefill	SMOKE_ONLY	b2-smoke-b2-mshr-8-prefill	WEIGHT	32887	5	32887	32657	230	230	111	119	5	114	5	32887	15	14	1	6	3	3	2062	553	5	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-8	prefill	SMOKE_ONLY	b2-smoke-b2-mshr-8-prefill	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-8	prefill	SMOKE_ONLY	b2-smoke-b2-mshr-8-prefill	UNKNOWN	66232	33	66232	64572	1660	1660	964	696	33	663	33	66232	99	95	4	37	24	13	10571	464	33	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-8	decode1	SMOKE_ONLY	b2-smoke-b2-mshr-8-decode1	WEIGHT	528	1	528	512	16	16	0	16	1	15	1	528	3	1	2	3	0	3	1392	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-8	decode1	SMOKE_ONLY	b2-smoke-b2-mshr-8-decode1	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-8	decode1	SMOKE_ONLY	b2-smoke-b2-mshr-8-decode1	UNKNOWN	1040	1	1040	1024	16	16	0	16	1	15	1	1040	3	0	3	4	0	4	1856	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-16	prefill	SMOKE_ONLY	b2-smoke-retry1-b2-mshr-16-prefill	WEIGHT	32887	5	32887	32657	230	230	111	119	5	114	5	32887	15	14	1	6	3	3	2062	553	5	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-16	prefill	SMOKE_ONLY	b2-smoke-retry1-b2-mshr-16-prefill	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-16	prefill	SMOKE_ONLY	b2-smoke-retry1-b2-mshr-16-prefill	UNKNOWN	66232	33	66232	64572	1660	1660	964	696	33	663	33	66232	99	95	4	37	24	13	10571	464	33	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-16	decode1	SMOKE_ONLY	b2-smoke-retry1-b2-mshr-16-decode1	WEIGHT	528	1	528	512	16	16	0	16	1	15	1	528	3	1	2	3	0	3	1392	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-16	decode1	SMOKE_ONLY	b2-smoke-retry1-b2-mshr-16-decode1	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-16	decode1	SMOKE_ONLY	b2-smoke-retry1-b2-mshr-16-decode1	UNKNOWN	1040	1	1040	1024	16	16	0	16	1	15	1	1040	3	0	3	4	0	4	1856	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-64	prefill	SMOKE_ONLY	b2-smoke-retry1-b2-mshr-64-prefill	WEIGHT	32887	5	32887	32657	230	230	111	119	5	114	5	32887	15	14	1	6	3	3	2062	553	5	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-64	prefill	SMOKE_ONLY	b2-smoke-retry1-b2-mshr-64-prefill	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-64	prefill	SMOKE_ONLY	b2-smoke-retry1-b2-mshr-64-prefill	UNKNOWN	66232	33	66232	64572	1660	1660	964	696	33	663	33	66232	99	95	4	37	24	13	10571	464	33	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-64	decode1	SMOKE_ONLY	b2-smoke-retry2-b2-mshr-64-decode1	WEIGHT	528	1	528	512	16	16	0	16	1	15	1	528	3	1	2	3	0	3	1392	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-64	decode1	SMOKE_ONLY	b2-smoke-retry2-b2-mshr-64-decode1	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-64	decode1	SMOKE_ONLY	b2-smoke-retry2-b2-mshr-64-decode1	UNKNOWN	1040	1	1040	1024	16	16	0	16	1	15	1	1040	3	0	3	4	0	4	1856	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-128	prefill	SMOKE_ONLY	b2-smoke-b2-mshr-128-prefill	WEIGHT	32887	5	32887	32657	230	230	111	119	5	114	5	32887	15	14	1	6	3	3	2062	553	5	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-128	prefill	SMOKE_ONLY	b2-smoke-b2-mshr-128-prefill	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-128	prefill	SMOKE_ONLY	b2-smoke-b2-mshr-128-prefill	UNKNOWN	66232	33	66232	64572	1660	1660	964	696	33	663	33	66232	99	95	4	37	24	13	10571	464	33	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-128	decode1	SMOKE_ONLY	b2-smoke-b2-mshr-128-decode1	WEIGHT	528	1	528	512	16	16	0	16	1	15	1	528	3	1	2	3	0	3	1392	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-128	decode1	SMOKE_ONLY	b2-smoke-b2-mshr-128-decode1	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-128	decode1	SMOKE_ONLY	b2-smoke-b2-mshr-128-decode1	UNKNOWN	1040	1	1040	1024	16	16	0	16	1	15	1	1040	3	0	3	4	0	4	1856	464	1	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwq-8	prefill	SMOKE_ONLY	b2-smoke-b2-pwq-8-prefill	WEIGHT	32887	5	32887	32657	230	230	111	119	5	114	5	32887	15	14	1	6	3	3	2062	553	5	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwq-8	prefill	SMOKE_ONLY	b2-smoke-b2-pwq-8-prefill	KV_CACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwq-8	prefill	SMOKE_ONLY	b2-smoke-b2-pwq-8-prefill	UNKNOWN	66232	33	66232	64572	1660	1660	964	696	33	663	33	66232	99	95	4	37	24	13	10571	464	33	单 kernel smoke；对象归因守恒应由原始 manifest/log 复核。
