evidence_label	stage	workload	config_id	roi	coverage_class	signal_class	changed_metrics	ipc_delta_pct	interpretation_limit
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e256	decode1	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e256	prefill	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e3072	decode1	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e3072	prefill	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e512	decode1	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-l2tlb-e512	prefill	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-128	decode1	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-128	prefill	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-16	decode1	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-16	prefill	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-64	decode1	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-64	prefill	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-8	decode1	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-mshr-8	prefill	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwc-off	decode1	SMOKE_ONLY	OBSERVED_STRONG_SMOKE_SIGNAL	vm_pwc_hits:1->0;vm_pwc_misses:5->0;vm_pte_requests:7->8	-1.0583	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwq-16	decode1	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwq-16	prefill	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwq-64	decode1	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwq-64	prefill	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwq-8	decode1	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-pwq-8	prefill	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-walkers-1	decode1	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-walkers-32	decode1	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-walkers-4	decode1	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
SPECULATIVE_DIAGNOSTIC	B2_VM_SMOKE	llama	b2-walkers-8	decode1	SMOKE_ONLY	NO_DETECTABLE_SMOKE_DELTA	NONE	0.0000	只比较单 kernel smoke；需完整 ROI 重跑后才能判断 workload-level 行为。
