deployment_family	scenario_id	model_id	revision	receipt_path	receipt_sha256	status
qwen2p5_7b_instruct_awq	S2_TEXT	Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	/data/c16/inputs/.incoming/qwen2p5_7b_instruct_awq/S2_TEXT/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	e374c63ed03cdbcfff753e865a68c00727bedf1942f44a3888d8ba9c09c746aa	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
qwen2p5_7b_instruct_awq	S3_TEXT	Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	/data/c16/inputs/.incoming/qwen2p5_7b_instruct_awq/S3_TEXT/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	652b574c0b366a66c997593b0040216a23bbb9ffa5828d6a800348efff1d1b7d	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
qwen2p5_7b_instruct_awq	S4_STRUCTURED	Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	/data/c16/inputs/.incoming/qwen2p5_7b_instruct_awq/S4_STRUCTURED/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	83fe8b2280d611d083bf455ec5318bd2aeea34a32273b3929d237b62f91d0ac1	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
qwen2p5_7b_instruct_raw	S0_TEXT	Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	/data/c16/inputs/.incoming/qwen2p5_7b_instruct_raw/S0_TEXT/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	ece031f385ded8ae48b6adb6e7086a143a309b6b9e90fcf95a90f45bda23856a	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
qwen2p5_7b_instruct_raw	S1_CODE	Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	/data/c16/inputs/.incoming/qwen2p5_7b_instruct_raw/S1_CODE/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	00d4bed990baa604a84c62d5c9460e5a095c34f656e676830143910435b9b318	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
qwen2p5_7b_instruct_raw	S2_CODE	Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	/data/c16/inputs/.incoming/qwen2p5_7b_instruct_raw/S2_CODE/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	bc7d8158e3e745a9d4bfa38d9ac3e03d3b38780983f989419c2e0eb0c11cb9ef	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
qwen2p5_7b_instruct_raw	S2_STRUCTURED	Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	/data/c16/inputs/.incoming/qwen2p5_7b_instruct_raw/S2_STRUCTURED/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	43ba5496bf9f4db343937b63da30d13c7476a968d43f82bf3f66064478f1417a	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
qwen2p5_7b_instruct_raw	S2_TEXT	Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	/data/c16/inputs/.incoming/qwen2p5_7b_instruct_raw/S2_TEXT/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	29480b5e03a354732bb4266bb5a492a6fb688491aa3c6d7f68b9ab876445fc4a	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
qwen2p5_7b_instruct_raw	S3_TEXT	Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	/data/c16/inputs/.incoming/qwen2p5_7b_instruct_raw/S3_TEXT/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	2e30a12d1c2c86fd6a6663e07c25b8e32352053f19e22bd7e83f481b0bf39adf	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
qwen2p5_7b_instruct_raw	S4_STRUCTURED	Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	/data/c16/inputs/.incoming/qwen2p5_7b_instruct_raw/S4_STRUCTURED/C16_FROZEN_INPUT_BINDING_TRANSFER_RECEIPT.json	6aaaf57a647faf4a13c3299a70f1871246e58fa851a073a2adff47b28210e898	PASS_HASH_CLOSED_EXACT_FROZEN_BINDING
llama_3p2_1b	S0_B1_T128_Decode4_TEXT	meta-llama/Llama-3.2-1B	4e20de362430cd3b72f300e6b0f18e50e7166e08	/data/c16/inputs/.incoming/llama_3p2_1b/S0_B1_T128_Decode4_TEXT/C16_FIND_AND_TRANSFER_LLAMA_S5_FROZEN_INPUT_BINDING_RECEIPT.json	5eff72842b2e87c79d2070b9085215e5bfca0e98c25e91155aec04aa12d6fe0d	FROZEN_INPUT_ADMISSION_PASS
