deployment_id	scenario	phase	decode_step	launch_ordinal_within_phase	function_name	code_object_identity	grid	block	stream	duration_ns	phase_duration_share	semantic_class
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	11	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	UNKNOWN_BY_NSYS	256x1x1	128x1x1	7	1984	0.000060678	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	12	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	7648	0.000233905	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	13	void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	5344	0.000163440	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	14	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4>>(T3)	UNKNOWN_BY_NSYS	128x1x1	32x16x1	7	4512	0.000137994	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	15	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)	UNKNOWN_BY_NSYS	4x1x1	128x1x1	7	992	0.000030339	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	16	void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	UNKNOWN_BY_NSYS	4x1x1	128x1x1	7	1024	0.000031318	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	17	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	UNKNOWN_BY_NSYS	7168x1x1	128x1x1	7	7328	0.000224119	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	18	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	7232	0.000221182	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	19	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	6944	0.000212374	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	20	ampere_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_stages_32x1_tn	UNKNOWN_BY_NSYS	7x16x1	128x1x1	7	52928	0.001618743	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	21	ampere_fp16_s16816gemm_fp16_64x64_ldg8_relu_f2f_stages_64x5_tn	UNKNOWN_BY_NSYS	2x32x1	128x1x1	7	9856	0.000301435	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	22	ampere_fp16_s16816gemm_fp16_64x64_ldg8_relu_f2f_stages_64x5_tn	UNKNOWN_BY_NSYS	2x32x1	128x1x1	7	9504	0.000290669	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	23	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	7648	0.000233905	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	24	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	UNKNOWN_BY_NSYS	1792x1x1	128x1x1	7	4032	0.000123314	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	25	void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)	UNKNOWN_BY_NSYS	152x2x1	512x1x1	7	12992	0.000397346	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	26	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	7200	0.000220204	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	27	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	7616	0.000232927	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	28	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	UNKNOWN_BY_NSYS	512x1x1	128x1x1	7	2336	0.000071444	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	29	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	UNKNOWN_BY_NSYS	256x1x1	128x1x1	7	2016	0.000061657	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	30	void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)	UNKNOWN_BY_NSYS	152x2x1	512x1x1	7	4384	0.000134080	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	31	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	UNKNOWN_BY_NSYS	512x1x1	128x1x1	7	2304	0.000070465	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	32	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	UNKNOWN_BY_NSYS	512x1x1	128x1x1	7	2336	0.000071444	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	33	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	7808	0.000238799	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	34	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	7776	0.000237820	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	35	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)128, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)128, (int)128, (int)4, cutlass::half_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0>(pytorch_flash::Flash_fwd_params)	UNKNOWN_BY_NSYS	16x1x14	128x1x1	7	149185	0.004562653	ATTENTION_CORE
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	36	ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_stages_32x1_tn	UNKNOWN_BY_NSYS	4x32x1	128x1x1	7	52128	0.001594275	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	37	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char *, (int)3>>(int, T2, T3)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	4608	0.000140930	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	38	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	7520	0.000229991	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	39	void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	5984	0.000183014	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	40	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4>>(T3)	UNKNOWN_BY_NSYS	128x1x1	32x16x1	7	4768	0.000145824	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	41	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)	UNKNOWN_BY_NSYS	4x1x1	128x1x1	7	992	0.000030339	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	42	void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	UNKNOWN_BY_NSYS	4x1x1	128x1x1	7	1024	0.000031318	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	43	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	UNKNOWN_BY_NSYS	7168x1x1	128x1x1	7	7328	0.000224119	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	44	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	7232	0.000221182	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	45	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	6912	0.000211396	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	46	void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(T1::Params)	UNKNOWN_BY_NSYS	128x3x1	256x1x1	7	203649	0.006228372	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	47	void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 5)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	UNKNOWN_BY_NSYS	19456x1x1	128x1x1	7	18368	0.000561764	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	48	void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(T1::Params)	UNKNOWN_BY_NSYS	128x3x1	256x1x1	7	204993	0.006269477	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	49	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	UNKNOWN_BY_NSYS	19456x1x1	128x1x1	7	38336	0.001172463	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	50	[CUDA memset]	UNKNOWN_BY_NSYS	xx	xx	7	352	0.000010766	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	51	ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_tn	UNKNOWN_BY_NSYS	7x16x4	128x1x1	7	200065	0.006118760	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	52	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char *, (int)3>>(int, T2, T3)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	10272	0.000314157	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	53	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	7872	0.000240756	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	54	void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	6560	0.000200630	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	55	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4>>(T3)	UNKNOWN_BY_NSYS	128x1x1	32x16x1	7	5440	0.000166376	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	56	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)	UNKNOWN_BY_NSYS	4x1x1	128x1x1	7	1280	0.000039147	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	57	void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	UNKNOWN_BY_NSYS	4x1x1	128x1x1	7	992	0.000030339	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	58	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	UNKNOWN_BY_NSYS	7168x1x1	128x1x1	7	7264	0.000222161	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	59	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	6944	0.000212374	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	60	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	6752	0.000206502	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	61	ampere_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_stages_32x1_tn	UNKNOWN_BY_NSYS	7x16x1	128x1x1	7	51328	0.001569808	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	62	ampere_fp16_s16816gemm_fp16_64x64_ldg8_relu_f2f_stages_64x5_tn	UNKNOWN_BY_NSYS	2x32x1	128x1x1	7	9408	0.000287733	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	63	ampere_fp16_s16816gemm_fp16_64x64_ldg8_relu_f2f_stages_64x5_tn	UNKNOWN_BY_NSYS	2x32x1	128x1x1	7	9376	0.000286754	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	64	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	UNKNOWN_BY_NSYS	3584x1x1	128x1x1	7	7616	0.000232927	UNKNOWN
qwen25_05b_fp16_sdpa	S2_TEXT	PREFILL	NA	65	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	UNKNOWN_BY_NSYS	1792x1x1	128x1x1	7	3904	0.000119399	UNKNOWN
