trace_opcode	base_opcode	decoded_opcode	decoded_class	ampere_map_present	M0_count	M1_count	M2_count	M3_count	active_record_count	relevance	modifier_or_semantic_audit	known_or_unresolved_trace_relevant_difference	scope
IMAD.WIDE	IMAD	OP_IMAD	INTP_OP	YES	2	2	32	2	38	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
IMAD.WIDE.U32	IMAD	OP_IMAD	INTP_OP	YES	1024	1024	16384	1024	19456	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
IMAD.X	IMAD	OP_IMAD	INTP_OP	YES	2	2	32	2	38	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
ISETP.GE.AND	ISETP	OP_ISETP	INTP_OP	YES	5	5	80	5	95	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
ISETP.GE.U32.AND	ISETP	OP_ISETP	INTP_OP	YES	10	10	160	10	190	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
ISETP.GE.U32.OR	ISETP	OP_ISETP	INTP_OP	YES	1	1	16	1	19	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
ISETP.GT.AND	ISETP	OP_ISETP	INTP_OP	YES	70	70	1120	70	1330	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
ISETP.NE.AND	ISETP	OP_ISETP	INTP_OP	YES	6	6	96	6	114	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
ISETP.NE.OR	ISETP	OP_ISETP	INTP_OP	YES	2	2	32	2	38	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
ISETP.NE.U32.AND	ISETP	OP_ISETP	INTP_OP	YES	6	6	96	6	114	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
LDC.S8	LDC	OP_LDC	ALU_OP	YES	2	2	32	2	38	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
LDG.E	LDG	OP_LDG	LOAD_OP	YES	1024	1024	16384	1024	19456	ESSENTIAL_DEPENDENT_LOAD	TRACE_ADDRESSES_MASKS_AND_GLOBAL_LOAD_PATH_CLOSED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
LDG.E.STRONG.GPU	LDG	OP_LDG	LOAD_OP	YES	1024	1024	16384	1024	0	INACTIVE_MEMORY_FORM	ZERO_ACTIVE_MASK_ONLY_STRONG_GPU_DECODER_PATH_AUDITED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
LEA	LEA	OP_LEA	INTP_OP	YES	1024	1024	16384	1024	19456	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
LEA.HI.X	LEA	OP_LEA	INTP_OP	YES	1024	1024	16384	1024	19456	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
LOP3.LUT	LOP3	OP_LOP3	INTP_OP	YES	8	8	128	8	76	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
MUFU.RCP	MUFU	OP_MUFU	SFU_OP	YES	4	4	64	4	76	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
PLOP3.LUT	PLOP3	OP_PLOP3	ALU_OP	YES	70	70	1120	70	1330	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
S2R	S2R	OP_S2R	ALU_OP	YES	1	1	16	1	19	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
SEL	SEL	OP_SEL	ALU_OP	YES	4	4	64	4	76	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
SHF.R.S32.HI	SHF	OP_SHF	INTP_OP	YES	1	1	16	1	19	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
SHF.R.U32.HI	SHF	OP_SHF	INTP_OP	YES	1	1	16	1	19	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
STG.E.64	STG	OP_STG	STORE_OP	YES	2	2	32	2	38	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
UISETP.NE.AND	UISETP	OP_UISETP	SPECIALIZED_UNIT_4_OP	YES	2	2	32	2	38	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
ULDC	ULDC	OP_ULDC	SPECIALIZED_UNIT_4_OP	YES	1	1	16	1	19	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
ULDC.64	ULDC	OP_ULDC	SPECIALIZED_UNIT_4_OP	YES	1	1	16	1	19	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
ULDC.S8	ULDC	OP_ULDC	SPECIALIZED_UNIT_4_OP	YES	2	2	32	2	38	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
USHF.R.U32.HI	USHF	OP_USHF	SPECIALIZED_UNIT_4_OP	YES	1	1	16	1	19	TRACE_EXECUTION_SUPPORT	NO_ADA_ONLY_OPCODE_SPELLING_OBSERVED	NO	PARSER_ADMISSION_ONLY_NO_ADA_FIDELITY_CLAIM
