target	level	phase	repetition	cycles	instructions	cta	wall_seconds	user_seconds	system_seconds	max_rss_kb	output_bytes	runtime_overhead	rss_delta_kb	output_delta_bytes	run_dir
T2	3	measured	2	93079	43357696	1216	102.981695574	102.666622	1.017209	897024	227617	0.04482173925719701	5461.333333333372	67448.0	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L3_overhead_m2
T2	3	measured	3	93079	43357696	1216	101.924296106	101.624143	1.072543	897024	227617	0.03409367787611872	5461.333333333372	67448.0	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L3_overhead_m3
T1	0	warmup	0	665802	369131520	384	767.184505302	765.797342	4.551931	2617344	182088	-0.010275399170850186	1365.3333333334886	0.3333333333430346	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L0_overhead_warmup
T1	0	measured	1	665802	369131520	384	767.823470308	766.495745	4.49804	2617344	182088	-0.009451087181835072	1365.3333333334886	0.3333333333430346	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L0_overhead_m1
T1	0	measured	2	665802	369131520	384	767.281642082	765.737471	4.544926	2617344	182088	-0.010150085559656463	1365.3333333334886	0.3333333333430346	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L0_overhead_m2
T1	0	measured	3	665802	369131520	384	790.343314352	788.76348	4.651344	2613248	182087	0.019601172741491757	-2730.6666666665114	-0.6666666666569654	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L0_overhead_m3
T1	1	warmup	0	665802	369131520	384	797.110162119	795.979867	4.172987	2617344	186152	0.028330905496494863	1365.3333333334886	4064.333333333343	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L1_overhead_warmup
T1	1	measured	1	665802	369131520	384	789.919989036	788.458637	4.623765	2605056	186151	0.019055051858570593	-10922.666666666511	4063.333333333343	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L1_overhead_m1
T1	1	measured	2	665802	369131520	384	781.788602712	780.220353	4.639275	2621440	186152	0.008564963714076113	5461.333333333489	4064.333333333343	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L1_overhead_m2
T1	1	measured	3	665802	369131520	384	777.709948325	776.177975	4.61883	2613248	186152	0.003303198705534083	-2730.6666666665114	4064.333333333343	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L1_overhead_m3
T1	2	warmup	0	665802	369131520	384	789.899237311	788.252996	4.701411	2613248	252357	0.01902828060263384	-2730.6666666665114	70269.33333333334	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L2_overhead_warmup
T1	2	measured	1	665802	369131520	384	789.603679037	788.027169	4.486461	2629632	252357	0.018646988628232997	13653.333333333489	70269.33333333334	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L2_overhead_m1
T1	2	measured	2	665802	369131520	384	794.448542695	792.935527	4.591369	2625536	252358	0.024897220113419216	9557.333333333489	70270.33333333334	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L2_overhead_m2
T1	2	measured	3	665802	369131520	384	799.291492583	797.725435	4.70752	2621440	252358	0.031144982694142342	5461.333333333489	70270.33333333334	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L2_overhead_m3
T1	3	warmup	0	665802	369131520	384	801.100847078	799.689458	4.450579	2637824	252484	0.03347918345412437	21845.33333333349	70396.33333333334	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L3_overhead_warmup
T1	3	measured	1	665802	369131520	384	794.095971458	792.485472	4.553274	2633728	252484	0.024442377211363775	17749.33333333349	70396.33333333334	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L3_overhead_m1
T1	3	measured	2	665802	369131520	384	796.178113385	794.704656	4.504034	2633728	252484	0.02712849387994587	17749.33333333349	70396.33333333334	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L3_overhead_m2
T1	3	measured	3	665802	369131520	384	796.983539054	795.045373	4.782794	2617344	252484	0.028167552402686535	1365.3333333334886	70396.33333333334	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L3_overhead_m3
