target	level	tag	status	rc_zero	cycles_exact	instructions_exact	cta_exact	uid_exact	untranslated_zero	unobserved_zero	duplicate_zero	quiescent	off_no_output	enabled_has_output	run_dir
COMBINE	2	overhead_m3	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L2_overhead_m3
COMBINE	2	overhead_warmup	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L2_overhead_warmup
COMBINE	3	overhead_m1	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L3_overhead_m1
COMBINE	3	overhead_m2	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L3_overhead_m2
COMBINE	3	overhead_m3	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L3_overhead_m3
COMBINE	3	overhead_warmup	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/COMBINE/10_80/L3_overhead_warmup
T1	0	overhead_m1	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L0_overhead_m1
T1	0	overhead_m2	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L0_overhead_m2
T1	0	overhead_m3	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L0_overhead_m3
T1	0	overhead_warmup	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L0_overhead_warmup
T1	1	overhead_m1	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L1_overhead_m1
T1	1	overhead_m2	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L1_overhead_m2
T1	1	overhead_m3	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L1_overhead_m3
T1	1	overhead_warmup	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L1_overhead_warmup
T1	2	overhead_m1	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L2_overhead_m1
T1	2	overhead_m2	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L2_overhead_m2
T1	2	overhead_m3	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L2_overhead_m3
T1	2	overhead_warmup	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L2_overhead_warmup
T1	3	overhead_m1	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L3_overhead_m1
T1	3	overhead_m2	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L3_overhead_m2
T1	3	overhead_m3	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L3_overhead_m3
T1	3	overhead_warmup	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T1/10_80/L3_overhead_warmup
T2	0	overhead_m1	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L0_overhead_m1
T2	0	overhead_m2	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L0_overhead_m2
T2	0	overhead_m3	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L0_overhead_m3
T2	0	overhead_warmup	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L0_overhead_warmup
T2	1	overhead_m1	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L1_overhead_m1
T2	1	overhead_m2	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L1_overhead_m2
T2	1	overhead_m3	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L1_overhead_m3
T2	1	overhead_warmup	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L1_overhead_warmup
T2	2	overhead_m1	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L2_overhead_m1
T2	2	overhead_m2	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L2_overhead_m2
T2	2	overhead_m3	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L2_overhead_m3
T2	2	overhead_warmup	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L2_overhead_warmup
T2	3	overhead_m1	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L3_overhead_m1
T2	3	overhead_m2	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L3_overhead_m2
T2	3	overhead_m3	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L3_overhead_m3
T2	3	overhead_warmup	PASS	1	1	1	1	1	1	1	1	1	1	1	/root/awma_bottleneck_observatory_v1_runtime/runs/T2/10_80/L3_overhead_warmup
