domain	metric	source file	source predicate/counter	semantic definition	already_existing	new_hook_required	level	status
memory	LDST resource stall	src/gpgpu-sim/shader.cc	rc_fail==BK_CONF	LDST stage returned the existing resource/bank-conflict stall enum	YES	YES	1	AVAILABLE
memory	LDST coalescing/translation wait	src/gpgpu-sim/shader.cc	rc_fail==COAL_STALL	LDST stage returned COAL_STALL; source does not separate all contributors	YES	YES	1	AVAILABLE_COARSE
memory	LDST ICNT stall	src/gpgpu-sim/shader.cc	rc_fail==ICNT_RC_FAIL	LDST downstream interconnect admission predicate reported full	YES	YES	1	AVAILABLE
memory	LDST data-port stall	src/gpgpu-sim/shader.cc	rc_fail==DATA_PORT_STALL	L1D data port was unavailable	YES	YES	1	AVAILABLE
memory	L1D status	src/gpgpu-sim/shader.cc	cache->access cache_request_status	L1D HIT/HIT_RESERVED/MISS/RESERVATION_FAIL/OTHER observations	YES	YES	1	AVAILABLE
memory	L1D reservation failures	src/gpgpu-sim/gpu-cache.cc	RESERVATION_FAIL	L1D rejected the current cache access due to existing cache-resource semantics	YES	YES	1	AVAILABLE
memory	downstream admissions	src/gpgpu-sim/shader.cc	successful L1 latency queue/cache/ICNT admission	Coalesced data request accepted past the frozen downstream admission predicate	PARTIAL	YES	1	AVAILABLE
memory	downstream bytes	src/abstract_hardware_model.h	mem_access_t::get_size	Bytes carried by successful downstream admissions	PARTIAL	YES	1	AVAILABLE
memory	L2 status	src/gpgpu-sim/l2cache.cc	m_L2cache->access cache_request_status	L2 HIT/HIT_RESERVED/MISS/RESERVATION_FAIL/OTHER observations	YES	YES	1	AVAILABLE
memory	L2 partition queues	src/gpgpu-sim/l2cache.cc	four fifo_pipeline get_length predicates	ICNT-to-L2/L2-to-DRAM/DRAM-to-L2/L2-to-ICNT occupancy samples	PARTIAL	YES	1/2	AVAILABLE
memory	DRAM queue	src/gpgpu-sim/dram.cc	FRFCFS num_pending or FIFO mrqq get_length	Source scheduler queue occupancy sampled on each DRAM cycle	YES	YES	1/2	AVAILABLE
memory	DRAM service/throughput	src/gpgpu-sim/dram.cc	n_cmd/n_req/bw_util/queue_avg	Existing per-channel command/request/bandwidth and average queue statistics	YES	NO	1	AVAILABLE_EXISTING
memory	data DRAM completion boundary	src/gpgpu-sim/l2cache.cc	dram return accepted into dram_L2_queue	First/last application-data DRAM-return boundary; PTE classes excluded	PARTIAL	YES	3	AVAILABLE
memory	unified outstanding requests	multiple cache/ICNT/partition/DRAM structures	No single source counter spans all live downstream structures without double counting	NO	NO	-	NOT_AVAILABLE
memory	separate ICNT injection FIFO pressure	src/gpgpu-sim/icnt_wrapper.cc	backend-specific interconnect state	No accepted backend-independent occupancy counter at this source boundary	NO	NO	-	NOT_AVAILABLE
translation	accepted VM telemetry	src/gpgpu-sim/vm_translation.cc	translation_stats print_stats	Lookup/TLB/MSHR/PWQ/walker/PWC/PTE/requester latency counters	YES	NO	1	AVAILABLE_EXISTING
translation	READY release	src/gpgpu-sim/shader.cc	translate(...) == READY at frozen prelaunch/head points	Earliest READY observation per resident coalesced-access UID while memory domain is enabled	PARTIAL	YES	2/3	AVAILABLE
translation	READY-to-admission latency	bottleneck_observatory.cc	UID READY map erased by successful admission	Cycles from earliest legal READY observation to successful downstream admission	NO	YES	3	AVAILABLE
translation	not-ready observations	src/gpgpu-sim/shader.cc	translate(...) != READY	Legal translation calls that did not return READY	PARTIAL	YES	1/2	AVAILABLE
sync	barrier waiting warps	src/gpgpu-sim/shader.cc	warp_waiting_at_barrier	Active supervised warps currently marked at CTA barrier	YES	YES	1/2	AVAILABLE
sync	membar waiting warps	src/gpgpu-sim/shader.h	get_membar	Active supervised warps carrying memory-barrier state	YES	YES	1/2	AVAILABLE
occupancy	active CTA count	src/gpgpu-sim/gpu-sim.cc	issue_block2core / release_shader_resource_1block	Global active CTA gauge updated at exact source-supported launch and completion boundaries	PARTIAL	YES	1/2	AVAILABLE
occupancy	CTA admission limit	src/gpgpu-sim/shader.cc	shader_core_config::max_cta limited-by print	Static per-kernel CTA/core limit and limiting resource (threads/shmem/regs/CTA cap)	YES	NO	1	AVAILABLE_EXISTING
