run	static_index	classification	active_lane_events	unique_va	pages4k	pages64k	pages2m	lines128	object
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	248	EXECUTED_SHARD	1060864	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	524	EXECUTED_SHARD	1792	1792	15	2	1	448	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	527	EXECUTED_SHARD	1792	1792	15	2	1	448	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	530	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	533	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	536	EXECUTED_SHARD	1792	1792	15	2	1	448	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	539	EXECUTED_SHARD	1792	1792	15	2	1	448	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	542	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	545	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	548	EXECUTED_SHARD	1792	1792	15	2	1	448	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	551	EXECUTED_SHARD	1792	1792	15	2	1	448	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	554	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	555	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	556	EXECUTED_SHARD	1792	1792	15	2	1	448	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	557	EXECUTED_SHARD	1792	1792	15	2	1	448	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	558	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	559	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	560	EXECUTED_SHARD	1792	1792	15	2	1	448	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	561	EXECUTED_SHARD	1792	1792	15	2	1	448	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	562	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	563	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	564	EXECUTED_SHARD	1792	1792	15	2	1	448	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	565	EXECUTED_SHARD	1792	1792	15	2	1	448	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	566	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	567	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	568	EXECUTED_SHARD	1792	1792	15	2	1	448	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	569	EXECUTED_SHARD	1792	1792	15	2	1	448	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	570	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	571	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	572	EXECUTED_SHARD	1792	1792	15	2	1	448	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	573	EXECUTED_SHARD	1792	1792	15	2	1	448	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	577	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	UNKNOWN_RUNTIME
C16R_qwen25-7b-awq_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj_20260916T001000Z_aa10aa10aa10	578	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	16	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	18	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	101	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	103	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	105	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	107	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	109	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	111	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	113	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	115	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	117	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	119	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	121	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	123	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	125	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	127	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	129	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	131	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	133	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	135	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	137	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	139	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	141	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	143	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	145	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	147	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	149	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	151	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	153	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	155	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	157	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	159	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	161	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	163	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	165	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	167	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	169	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	171	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	173	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	175	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	177	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	179	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	181	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	183	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	185	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	187	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	189	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	191	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	193	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	195	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	197	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	199	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	201	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	203	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	205	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	207	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	209	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	211	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	213	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	215	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	217	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	219	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	221	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	223	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	225	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	227	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	229	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	231	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	233	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	235	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	237	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	239	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	241	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	243	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	245	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	247	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	249	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	251	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	253	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	255	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
C16R_qwen25-7b-raw_s2-text_decode_nvbit-warp-mref-shard_v10-semantic-downproj-r2_20260916T005000Z_cc10cc10cc10	257	EXECUTED_SHARD	344064	1	1	1	1	1	UNKNOWN_RUNTIME
