target	mode	domain	metric	width	mean	p50	p95	p99	peak	top1_start_cycle	top1_end_cycle	top1_value
A2	off	scheduler	eligible_structural	128	10576.958695652	8243	35447	38850	38912	5248	5375	38912
A2	off	scheduler	eligible_structural	512	42307.834782609	32381	142058	154586	155648	5632	6143	155648
A2	off	memory	admissions	32	111.17803751	112	272	317	383	7296	7327	383
A2	off	memory	admissions	128	444.591304348	450	1084	1252	1293	6912	7039	1293
A2	off	memory	admissions	512	1778.365217391	1806	4245	4932	5070	11776	12287	5070
A2	off	memory	l1_reservation_fail	32	2576.046751835	2732	5301	6187	7316	17568	17599	7316
A2	off	memory	l1_reservation_fail	128	10301.386956522	10914	21191	24473	28999	17536	17663	28999
A2	off	memory	l1_reservation_fail	512	41205.547826087	43630	84252	90725	113682	17408	17919	113682
A2	off	memory	icnt_to_l2_occupancy	32	12.88556673	7	30	43	51	13152	13183	51
A2	off	memory	icnt_to_l2_occupancy	128	12.884782609	7	30	44	50	13184	13311	50
A2	off	memory	icnt_to_l2_occupancy	512	12.895652174	7	30	41	48	12800	13311	48
A2	off	memory	dram_queue_occupancy	32	27.65126393	27	62	63	63	11904	11935	63
A2	off	memory	dram_queue_occupancy	128	27.638043478	27	62	63	63	11904	12031	63
A2	off	memory	dram_queue_occupancy	512	27.665217391	26	61	63	63	12288	12799	63
A2	off	translation	translation_ready	32	111.17803751	112	272	317	383	7296	7327	383
A2	off	translation	translation_ready	128	444.591304348	448	1083	1252	1293	6912	7039	1293
A2	off	translation	translation_ready	512	1778.365217391	1808	4244	4931	5070	11776	12287	5070
A2	off	translation	translation_not_ready	32	863.206306061	805	2133	2432	2432	5184	5215	2432
A2	off	translation	translation_not_ready	128	3451.886956522	3229	8513	9669	9728	5248	5375	9728
A2	off	translation	translation_not_ready	512	13807.547826087	12899	34667	38641	38912	5632	6143	38912
A2	candidate	progress	instructions	32	8898.742857143	8928	13664	15604	143104	5120	5151	143104
A2	candidate	progress	instructions	128	35594.971428571	36096	53736	60512	471296	4992	5119	471296
A2	candidate	progress	instructions	512	142379.885714286	143520	214304	232280	471296	4608	5119	471296
A2	candidate	scheduler	dependency_scoreboard	32	5633.056632653	6127	8252	8685	8772	28992	29023	8772
A2	candidate	scheduler	dependency_scoreboard	128	22532.226530612	24488	32962	34752	35041	28928	29055	35041
A2	candidate	scheduler	dependency_scoreboard	512	90128.906122449	97893	131891	139020	139667	28672	29183	139667
A2	candidate	scheduler	eligible_structural	32	2973.000510204	3017	8875	9728	9728	5184	5215	9728
A2	candidate	scheduler	eligible_structural	128	11892.002040816	12082	35547	38836	38912	5248	5375	38912
A2	candidate	scheduler	eligible_structural	512	47568.008163265	48304	142208	154247	155648	5632	6143	155648
A2	candidate	memory	admissions	32	104.342857143	100	253	307	374	6976	7007	374
A2	candidate	memory	admissions	128	417.371428571	402	1006	1226	1234	10624	10751	1234
A2	candidate	memory	admissions	512	1669.485714286	1600	3101	4894	4899	11776	12287	4899
A2	candidate	memory	l1_reservation_fail	32	3293.078571429	3829	6270	6568	6880	16736	16767	6880
A2	candidate	memory	l1_reservation_fail	128	13172.314285714	15350	25083	26330	27098	16640	16767	27098
A2	candidate	memory	l1_reservation_fail	512	52689.257142857	61457	99158	104715	106986	16384	16895	106986
A2	candidate	memory	icnt_to_l2_occupancy	32	13.070663265	7	30	38	43	11456	11487	43
A2	candidate	memory	icnt_to_l2_occupancy	128	13.067346939	7	30	39	43	11520	11647	43
A2	candidate	memory	icnt_to_l2_occupancy	512	13.06122449	7	30	38	42	11264	11775	42
A2	candidate	memory	dram_queue_occupancy	32	25.332653061	24	55	63	63	11104	11135	63
A2	candidate	memory	dram_queue_occupancy	128	25.333673469	24	55	63	63	11264	11391	63
A2	candidate	memory	dram_queue_occupancy	512	25.302040816	24	54	63	63	11264	11775	63
A2	candidate	translation	translation_ready	32	74.742857143	72	181	222	248	6976	7007	248
A2	candidate	translation	translation_ready	128	298.971428571	286	722	875	888	7040	7167	888
A2	candidate	translation	translation_ready	512	1195.885714286	1143	2287	3500	3510	10240	10751	3510
A2	candidate	translation	translation_not_ready	32	828.05255102	754	2126	2430	2432	5184	5215	2432
A2	candidate	translation	translation_not_ready	128	3312.210204082	2986	8502	9669	9728	5248	5375	9728
A2	candidate	translation	translation_not_ready	512	13248.840816327	11996	34018	38548	38912	5632	6143	38912
