seed	budget	roi	metric	reference_value	estimate	absolute_error	relative_error_fraction	relative_error_percent	interpretation
15002	12	prefill	vm_l1_tlb_accesses	94168155	129052233.333	34884078.3333	0.37044453439	37.044453439	predeclared random-selection variability only; not a context-bias or population CI
15002	12	prefill	vm_l1_tlb_misses	1119527	1602095.33333	482568.333333	0.431046623559	43.1046623559	predeclared random-selection variability only; not a context-bias or population CI
15002	12	prefill	vm_l2_tlb_accesses	1119527	1602095.33333	482568.333333	0.431046623559	43.1046623559	predeclared random-selection variability only; not a context-bias or population CI
15002	12	prefill	vm_l2_tlb_misses	45227	33792.6666667	11434.3333333	0.252820955034	25.2820955034	predeclared random-selection variability only; not a context-bias or population CI
15002	12	prefill	vm_translation_walk_starts	20816	15685.3333333	5130.66666667	0.246477068921	24.6477068921	predeclared random-selection variability only; not a context-bias or population CI
15002	12	prefill	vm_pte_requests	20899	15685.3333333	5213.66666667	0.249469671595	24.9469671595	predeclared random-selection variability only; not a context-bias or population CI
15002	12	prefill	vm_pte_dram_responses	8629	4036.66666667	4592.33333333	0.532197628153	53.2197628153	predeclared random-selection variability only; not a context-bias or population CI
15002	12	decode1	gpu_sim_cycle	34564626	4945543.33333	29619082.6667	0.856918939805	85.6918939805	predeclared random-selection variability only; not a context-bias or population CI
15002	12	decode1	vm_l1_tlb_accesses	76015393	286133.333333	75729259.6667	0.996235850108	99.6235850108	predeclared random-selection variability only; not a context-bias or population CI
15002	12	decode1	vm_l1_tlb_misses	57947	616.666666667	57330.3333333	0.989358091589	98.9358091589	predeclared random-selection variability only; not a context-bias or population CI
15002	12	decode1	vm_l2_tlb_accesses	57947	616.666666667	57330.3333333	0.989358091589	98.9358091589	predeclared random-selection variability only; not a context-bias or population CI
15002	12	decode1	vm_l2_tlb_misses	22220	0	22220	1	100	predeclared random-selection variability only; not a context-bias or population CI
15002	12	decode1	vm_translation_walk_starts	15691	0	15691	1	100	predeclared random-selection variability only; not a context-bias or population CI
15002	12	decode1	vm_pte_requests	15796	0	15796	1	100	predeclared random-selection variability only; not a context-bias or population CI
15002	12	decode1	vm_pte_dram_responses	4134	0	4134	1	100	predeclared random-selection variability only; not a context-bias or population CI
15002	24	prefill	gpu_sim_cycle	62490238	52654164.6667	9836073.33333	0.157401758229	15.7401758229	predeclared random-selection variability only; not a context-bias or population CI
15002	24	prefill	vm_l1_tlb_accesses	94168155	82933778	11234377	0.119301232991	11.9301232991	predeclared random-selection variability only; not a context-bias or population CI
15002	24	prefill	vm_l1_tlb_misses	1119527	1293694	174167	0.155571951369	15.5571951369	predeclared random-selection variability only; not a context-bias or population CI
15002	24	prefill	vm_l2_tlb_accesses	1119527	1293694	174167	0.155571951369	15.5571951369	predeclared random-selection variability only; not a context-bias or population CI
15002	24	prefill	vm_l2_tlb_misses	45227	24277.6666667	20949.3333333	0.463204133224	46.3204133224	predeclared random-selection variability only; not a context-bias or population CI
15002	24	prefill	vm_translation_walk_starts	20816	8131	12685	0.609387009992	60.9387009992	predeclared random-selection variability only; not a context-bias or population CI
15002	24	prefill	vm_pte_requests	20899	8188.66666667	12710.3333333	0.60817901973	60.817901973	predeclared random-selection variability only; not a context-bias or population CI
15002	24	prefill	vm_pte_dram_responses	8629	2191.33333333	6437.66666667	0.746050140997	74.6050140997	predeclared random-selection variability only; not a context-bias or population CI
15002	24	decode1	gpu_sim_cycle	34564626	8202961.66667	26361664.3333	0.762677551707	76.2677551707	predeclared random-selection variability only; not a context-bias or population CI
15002	24	decode1	vm_l1_tlb_accesses	76015393	7109118.33333	68906274.6667	0.906477911213	90.6477911213	predeclared random-selection variability only; not a context-bias or population CI
15002	24	decode1	vm_l1_tlb_misses	57947	41440	16507	0.28486375481	28.486375481	predeclared random-selection variability only; not a context-bias or population CI
15002	24	decode1	vm_l2_tlb_accesses	57947	41440	16507	0.28486375481	28.486375481	predeclared random-selection variability only; not a context-bias or population CI
15002	24	decode1	vm_l2_tlb_misses	22220	4131.66666667	18088.3333333	0.814056405641	81.4056405641	predeclared random-selection variability only; not a context-bias or population CI
15002	24	decode1	vm_translation_walk_starts	15691	616.666666667	15074.3333333	0.960699339324	96.0699339324	predeclared random-selection variability only; not a context-bias or population CI
15002	24	decode1	vm_pte_requests	15796	616.666666667	15179.3333333	0.960960580738	96.0960580738	predeclared random-selection variability only; not a context-bias or population CI
15002	24	decode1	vm_pte_dram_responses	4134	123.333333333	4010.66666667	0.970166102242	97.0166102242	predeclared random-selection variability only; not a context-bias or population CI
15002	48	prefill	gpu_sim_cycle	62490238	24831336.8696	37658901.1304	0.602636545094	60.2636545094	predeclared random-selection variability only; not a context-bias or population CI
15002	48	prefill	vm_l1_tlb_accesses	94168155	28253006.087	65915148.913	0.699972818975	69.9972818975	predeclared random-selection variability only; not a context-bias or population CI
15002	48	prefill	vm_l1_tlb_misses	1119527	547672.869565	571854.130435	0.510799766718	51.0799766718	predeclared random-selection variability only; not a context-bias or population CI
15002	48	prefill	vm_l2_tlb_accesses	1119527	547672.869565	571854.130435	0.510799766718	51.0799766718	predeclared random-selection variability only; not a context-bias or population CI
15002	48	prefill	vm_l2_tlb_misses	45227	18322.9565217	26904.0434783	0.594866860023	59.4866860023	predeclared random-selection variability only; not a context-bias or population CI
15002	48	prefill	vm_translation_walk_starts	20816	2888.34782609	17927.6521739	0.861243859239	86.1243859239	predeclared random-selection variability only; not a context-bias or population CI
15002	48	prefill	vm_pte_requests	20899	2948.52173913	17950.4782609	0.858915654379	85.8915654379	predeclared random-selection variability only; not a context-bias or population CI
15002	48	prefill	vm_pte_dram_responses	8629	902.608695652	7726.39130435	0.895398227413	89.5398227413	predeclared random-selection variability only; not a context-bias or population CI
15002	48	decode1	gpu_sim_cycle	34564626	34887566.4	322940.4	0.0093430896663	0.93430896663	predeclared random-selection variability only; not a context-bias or population CI
15002	48	decode1	vm_l1_tlb_accesses	76015393	81822066.4	5806673.4	0.0763881257576	7.63881257576	predeclared random-selection variability only; not a context-bias or population CI
15002	48	decode1	vm_l1_tlb_misses	57947	47952	9995	0.172485201995	17.2485201995	predeclared random-selection variability only; not a context-bias or population CI
15002	48	decode1	vm_l2_tlb_accesses	57947	47952	9995	0.172485201995	17.2485201995	predeclared random-selection variability only; not a context-bias or population CI
15002	48	decode1	vm_l2_tlb_misses	22220	14533.6	7686.4	0.345922592259	34.5922592259	predeclared random-selection variability only; not a context-bias or population CI
15002	48	decode1	vm_translation_walk_starts	15691	8199.2	7491.8	0.477458415652	47.7458415652	predeclared random-selection variability only; not a context-bias or population CI
15002	48	decode1	vm_pte_requests	15796	8228.8	7567.2	0.479057989364	47.9057989364	predeclared random-selection variability only; not a context-bias or population CI
15002	48	decode1	vm_pte_dram_responses	4134	2190.4	1943.6	0.47014997581	47.014997581	predeclared random-selection variability only; not a context-bias or population CI
15003	8	prefill	gpu_sim_cycle	62490238	29921907	32568331	0.521174699319	52.1174699319	predeclared random-selection variability only; not a context-bias or population CI
15003	8	prefill	vm_l1_tlb_accesses	94168155	51812808	42355347	0.449784186597	44.9784186597	predeclared random-selection variability only; not a context-bias or population CI
15003	8	prefill	vm_l1_tlb_misses	1119527	109682	1009845	0.902028267295	90.2028267295	predeclared random-selection variability only; not a context-bias or population CI
15003	8	prefill	vm_l2_tlb_accesses	1119527	109682	1009845	0.902028267295	90.2028267295	predeclared random-selection variability only; not a context-bias or population CI
15003	8	prefill	vm_l2_tlb_misses	45227	12456	32771	0.724589294006	72.4589294006	predeclared random-selection variability only; not a context-bias or population CI
15003	8	prefill	vm_translation_walk_starts	20816	5536	15280	0.734050730208	73.4050730208	predeclared random-selection variability only; not a context-bias or population CI
15003	8	prefill	vm_pte_requests	20899	5536	15363	0.735106942916	73.5106942916	predeclared random-selection variability only; not a context-bias or population CI
15003	8	prefill	vm_pte_dram_responses	8629	1557	7072	0.819561942288	81.9561942288	predeclared random-selection variability only; not a context-bias or population CI
15003	8	decode1	gpu_sim_cycle	34564626	5084910	29479716	0.852886879204	85.2886879204	predeclared random-selection variability only; not a context-bias or population CI
15003	8	decode1	vm_l1_tlb_accesses	76015393	793280	75222113	0.989564218921	98.9564218921	predeclared random-selection variability only; not a context-bias or population CI
15003	8	decode1	vm_l1_tlb_misses	57947	11285	46662	0.805253076087	80.5253076087	predeclared random-selection variability only; not a context-bias or population CI
15003	8	decode1	vm_l2_tlb_accesses	57947	11285	46662	0.805253076087	80.5253076087	predeclared random-selection variability only; not a context-bias or population CI
15003	8	decode1	vm_l2_tlb_misses	22220	0	22220	1	100	predeclared random-selection variability only; not a context-bias or population CI
15003	8	decode1	vm_translation_walk_starts	15691	0	15691	1	100	predeclared random-selection variability only; not a context-bias or population CI
15003	8	decode1	vm_pte_requests	15796	0	15796	1	100	predeclared random-selection variability only; not a context-bias or population CI
15003	8	decode1	vm_pte_dram_responses	4134	0	4134	1	100	predeclared random-selection variability only; not a context-bias or population CI
15003	12	prefill	gpu_sim_cycle	62490238	33758758.6667	28731479.3333	0.459775482586	45.9775482586	predeclared random-selection variability only; not a context-bias or population CI
15003	12	prefill	vm_l1_tlb_accesses	94168155	47463126.6667	46705028.3333	0.495974762735	49.5974762735	predeclared random-selection variability only; not a context-bias or population CI
15003	12	prefill	vm_l1_tlb_misses	1119527	636178.666667	483348.333333	0.431743346372	43.1743346372	predeclared random-selection variability only; not a context-bias or population CI
15003	12	prefill	vm_l2_tlb_accesses	1119527	636178.666667	483348.333333	0.431743346372	43.1743346372	predeclared random-selection variability only; not a context-bias or population CI
15003	12	prefill	vm_l2_tlb_misses	45227	43250	1977	0.043712826409	4.3712826409	predeclared random-selection variability only; not a context-bias or population CI
15003	12	prefill	vm_translation_walk_starts	20816	11418	9398	0.451479631053	45.1479631053	predeclared random-selection variability only; not a context-bias or population CI
15003	12	prefill	vm_pte_requests	20899	11418	9481	0.453658069764	45.3658069764	predeclared random-selection variability only; not a context-bias or population CI
15003	12	prefill	vm_pte_dram_responses	8629	3229.33333333	5399.66666667	0.625758102523	62.5758102523	predeclared random-selection variability only; not a context-bias or population CI
15003	12	decode1	gpu_sim_cycle	34564626	59516350	24951724	0.721886127164	72.1886127164	predeclared random-selection variability only; not a context-bias or population CI
15003	12	decode1	vm_l1_tlb_accesses	76015393	157140726.667	81125333.6667	1.0672224462	106.72224462	predeclared random-selection variability only; not a context-bias or population CI
15003	12	decode1	vm_l1_tlb_misses	57947	18006.6666667	39940.3333333	0.689256274412	68.9256274412	predeclared random-selection variability only; not a context-bias or population CI
15003	12	decode1	vm_l2_tlb_accesses	57947	18006.6666667	39940.3333333	0.689256274412	68.9256274412	predeclared random-selection variability only; not a context-bias or population CI
15003	12	decode1	vm_l2_tlb_misses	22220	15786.6666667	6433.33333333	0.289528952895	28.9528952895	predeclared random-selection variability only; not a context-bias or population CI
15003	12	decode1	vm_translation_walk_starts	15691	15786.6666667	95.6666666667	0.00609691330487	0.609691330487	predeclared random-selection variability only; not a context-bias or population CI
15003	12	decode1	vm_pte_requests	15796	15786.6666667	9.33333333333	0.000590866886132	0.0590866886132	predeclared random-selection variability only; not a context-bias or population CI
15003	12	decode1	vm_pte_dram_responses	4134	4070	64	0.0154813739719	1.54813739719	predeclared random-selection variability only; not a context-bias or population CI
15003	24	prefill	gpu_sim_cycle	62490238	81633856	19143618	0.306345736753	30.6345736753	predeclared random-selection variability only; not a context-bias or population CI
15003	24	prefill	vm_l1_tlb_accesses	94168155	140991943.667	46823788.6667	0.497235914484	49.7235914484	predeclared random-selection variability only; not a context-bias or population CI
15003	24	prefill	vm_l1_tlb_misses	1119527	815118.333333	304408.666667	0.271908285076	27.1908285076	predeclared random-selection variability only; not a context-bias or population CI
15003	24	prefill	vm_l2_tlb_accesses	1119527	815118.333333	304408.666667	0.271908285076	27.1908285076	predeclared random-selection variability only; not a context-bias or population CI
15003	24	prefill	vm_l2_tlb_misses	45227	71622	26395	0.583611559467	58.3611559467	predeclared random-selection variability only; not a context-bias or population CI
15003	24	prefill	vm_translation_walk_starts	20816	23009	2193	0.105351652575	10.5351652575	predeclared random-selection variability only; not a context-bias or population CI
15003	24	prefill	vm_pte_requests	20899	23009	2110	0.100961768506	10.0961768506	predeclared random-selection variability only; not a context-bias or population CI
15003	24	prefill	vm_pte_dram_responses	8629	6112.66666667	2516.33333333	0.291613551203	29.1613551203	predeclared random-selection variability only; not a context-bias or population CI
15003	24	decode1	gpu_sim_cycle	34564626	5835886.66667	28728739.3333	0.831160138499	83.1160138499	predeclared random-selection variability only; not a context-bias or population CI
15003	24	decode1	vm_l1_tlb_accesses	76015393	1340880	74674513	0.982360414818	98.2360414818	predeclared random-selection variability only; not a context-bias or population CI
15003	24	decode1	vm_l1_tlb_misses	57947	22508.3333333	35438.6666667	0.611570343015	61.1570343015	predeclared random-selection variability only; not a context-bias or population CI
15003	24	decode1	vm_l2_tlb_accesses	57947	22508.3333333	35438.6666667	0.611570343015	61.1570343015	predeclared random-selection variability only; not a context-bias or population CI
15003	24	decode1	vm_l2_tlb_misses	22220	2096.66666667	20123.3333333	0.905640564056	90.5640564056	predeclared random-selection variability only; not a context-bias or population CI
15003	24	decode1	vm_translation_walk_starts	15691	123.333333333	15567.6666667	0.992139867865	99.2139867865	predeclared random-selection variability only; not a context-bias or population CI
15003	24	decode1	vm_pte_requests	15796	123.333333333	15672.6666667	0.992192116148	99.2192116148	predeclared random-selection variability only; not a context-bias or population CI
15003	24	decode1	vm_pte_dram_responses	4134	123.333333333	4010.66666667	0.970166102242	97.0166102242	predeclared random-selection variability only; not a context-bias or population CI
15003	48	prefill	gpu_sim_cycle	62490238	42921510.6087	19568727.3913	0.313148549559	31.3148549559	predeclared random-selection variability only; not a context-bias or population CI
15003	48	prefill	vm_l1_tlb_accesses	94168155	64265378.087	29902776.913	0.317546594314	31.7546594314	predeclared random-selection variability only; not a context-bias or population CI
15003	48	prefill	vm_l1_tlb_misses	1119527	746066.26087	373460.73913	0.333587969857	33.3587969857	predeclared random-selection variability only; not a context-bias or population CI
15003	48	prefill	vm_l2_tlb_accesses	1119527	746066.26087	373460.73913	0.333587969857	33.3587969857	predeclared random-selection variability only; not a context-bias or population CI
15003	48	prefill	vm_l2_tlb_misses	45227	16668.173913	28558.826087	0.631455238839	63.1455238839	predeclared random-selection variability only; not a context-bias or population CI
15003	48	prefill	vm_translation_walk_starts	20816	6920	13896	0.667563412759	66.7563412759	predeclared random-selection variability only; not a context-bias or population CI
15003	48	prefill	vm_pte_requests	20899	6920	13979	0.668883678645	66.8883678645	predeclared random-selection variability only; not a context-bias or population CI
15003	48	prefill	vm_pte_dram_responses	8629	1925.56521739	6703.43478261	0.776849551815	77.6849551815	predeclared random-selection variability only; not a context-bias or population CI
15003	48	decode1	gpu_sim_cycle	34564626	28555001.6	6009624.4	0.173866322176	17.3866322176	predeclared random-selection variability only; not a context-bias or population CI
15003	48	decode1	vm_l1_tlb_accesses	76015393	63756268.8	12259124.2	0.161271601924	16.1271601924	predeclared random-selection variability only; not a context-bias or population CI
15003	48	decode1	vm_l1_tlb_misses	57947	55085.6	2861.4	0.0493796055016	4.93796055016	predeclared random-selection variability only; not a context-bias or population CI
15003	48	decode1	vm_l2_tlb_accesses	57947	55085.6	2861.4	0.0493796055016	4.93796055016	predeclared random-selection variability only; not a context-bias or population CI
15003	48	decode1	vm_l2_tlb_misses	22220	10537.6	11682.4	0.525760576058	52.5760576058	predeclared random-selection variability only; not a context-bias or population CI
15003	48	decode1	vm_translation_walk_starts	15691	6156.8	9534.2	0.607622203811	60.7622203811	predeclared random-selection variability only; not a context-bias or population CI
15003	48	decode1	vm_pte_requests	15796	6156.8	9639.2	0.610230438086	61.0230438086	predeclared random-selection variability only; not a context-bias or population CI
15003	48	decode1	vm_pte_dram_responses	4134	1628	2506	0.606192549589	60.6192549589	predeclared random-selection variability only; not a context-bias or population CI
15004	8	prefill	gpu_sim_cycle	62490238	22407133	40083105	0.641429866214	64.1429866214	predeclared random-selection variability only; not a context-bias or population CI
15004	8	prefill	vm_l1_tlb_accesses	94168155	24110837	70057318	0.74395976007	74.395976007	predeclared random-selection variability only; not a context-bias or population CI
15004	8	prefill	vm_l1_tlb_misses	1119527	1145260	25733	0.0229856001686	2.29856001686	predeclared random-selection variability only; not a context-bias or population CI
15004	8	prefill	vm_l2_tlb_accesses	1119527	1145260	25733	0.0229856001686	2.29856001686	predeclared random-selection variability only; not a context-bias or population CI
15004	8	prefill	vm_l2_tlb_misses	45227	18165	27062	0.598359387092	59.8359387092	predeclared random-selection variability only; not a context-bias or population CI
15004	8	prefill	vm_translation_walk_starts	20816	1384	19432	0.933512682552	93.3512682552	predeclared random-selection variability only; not a context-bias or population CI
15004	8	prefill	vm_pte_requests	20899	1384	19515	0.933776735729	93.3776735729	predeclared random-selection variability only; not a context-bias or population CI
15004	8	prefill	vm_pte_dram_responses	8629	346	8283	0.959902653842	95.9902653842	predeclared random-selection variability only; not a context-bias or population CI
15004	8	decode1	gpu_sim_cycle	34564626	87142955	52578329	1.52116007273	152.116007273	predeclared random-selection variability only; not a context-bias or population CI
15004	8	decode1	vm_l1_tlb_accesses	76015393	235428780	159413387	2.09711981625	209.711981625	predeclared random-selection variability only; not a context-bias or population CI
15004	8	decode1	vm_l1_tlb_misses	57947	35520	22427	0.387026075552	38.7026075552	predeclared random-selection variability only; not a context-bias or population CI
15004	8	decode1	vm_l2_tlb_accesses	57947	35520	22427	0.387026075552	38.7026075552	predeclared random-selection variability only; not a context-bias or population CI
15004	8	decode1	vm_l2_tlb_misses	22220	25530	3310	0.14896489649	14.896489649	predeclared random-selection variability only; not a context-bias or population CI
15004	8	decode1	vm_translation_walk_starts	15691	23680	7989	0.509145369957	50.9145369957	predeclared random-selection variability only; not a context-bias or population CI
15004	8	decode1	vm_pte_requests	15796	23680	7884	0.499113699671	49.9113699671	predeclared random-selection variability only; not a context-bias or population CI
15004	8	decode1	vm_pte_dram_responses	4134	6105	1971	0.476777939042	47.6777939042	predeclared random-selection variability only; not a context-bias or population CI
15004	12	prefill	gpu_sim_cycle	62490238	34136360	28353878	0.453732917452	45.3732917452	predeclared random-selection variability only; not a context-bias or population CI
15004	12	prefill	vm_l1_tlb_accesses	94168155	40436212.6667	53731942.3333	0.570595678904	57.0595678904	predeclared random-selection variability only; not a context-bias or population CI
15004	12	prefill	vm_l1_tlb_misses	1119527	805718.666667	313808.333333	0.280304390455	28.0304390455	predeclared random-selection variability only; not a context-bias or population CI
15004	12	prefill	vm_l2_tlb_accesses	1119527	805718.666667	313808.333333	0.280304390455	28.0304390455	predeclared random-selection variability only; not a context-bias or population CI
15004	12	prefill	vm_l2_tlb_misses	45227	41635.3333333	3591.66666667	0.0794142142231	7.94142142231	predeclared random-selection variability only; not a context-bias or population CI
15004	12	prefill	vm_translation_walk_starts	20816	7381.33333333	13434.6666667	0.64540097361	64.540097361	predeclared random-selection variability only; not a context-bias or population CI
15004	12	prefill	vm_pte_requests	20899	7381.33333333	13517.6666667	0.646809257221	64.6809257221	predeclared random-selection variability only; not a context-bias or population CI
15004	12	prefill	vm_pte_dram_responses	8629	2076	6553	0.75941592305	75.941592305	predeclared random-selection variability only; not a context-bias or population CI
15004	12	decode1	gpu_sim_cycle	34564626	59624143.3333	25059517.3333	0.725004729787	72.5004729787	predeclared random-selection variability only; not a context-bias or population CI
15004	12	decode1	vm_l1_tlb_accesses	76015393	157287986.667	81272593.6667	1.06915968542	106.915968542	predeclared random-selection variability only; not a context-bias or population CI
15004	12	decode1	vm_l1_tlb_misses	57947	29723.3333333	28223.6666667	0.487060014611	48.7060014611	predeclared random-selection variability only; not a context-bias or population CI
15004	12	decode1	vm_l2_tlb_accesses	57947	29723.3333333	28223.6666667	0.487060014611	48.7060014611	predeclared random-selection variability only; not a context-bias or population CI
15004	12	decode1	vm_l2_tlb_misses	22220	17020	5200	0.23402340234	23.402340234	predeclared random-selection variability only; not a context-bias or population CI
15004	12	decode1	vm_translation_walk_starts	15691	15786.6666667	95.6666666667	0.00609691330487	0.609691330487	predeclared random-selection variability only; not a context-bias or population CI
15004	12	decode1	vm_pte_requests	15796	15786.6666667	9.33333333333	0.000590866886132	0.0590866886132	predeclared random-selection variability only; not a context-bias or population CI
15004	12	decode1	vm_pte_dram_responses	4134	4070	64	0.0154813739719	1.54813739719	predeclared random-selection variability only; not a context-bias or population CI
15004	24	prefill	gpu_sim_cycle	62490238	19814843.3333	42675394.6667	0.682912980211	68.2912980211	predeclared random-selection variability only; not a context-bias or population CI
15004	24	prefill	vm_l1_tlb_accesses	94168155	21275136.3333	72893018.6667	0.77407291952	77.407291952	predeclared random-selection variability only; not a context-bias or population CI
15004	24	prefill	vm_l1_tlb_misses	1119527	767831.666667	351695.333333	0.314146361216	31.4146361216	predeclared random-selection variability only; not a context-bias or population CI
15004	24	prefill	vm_l2_tlb_accesses	1119527	767831.666667	351695.333333	0.314146361216	31.4146361216	predeclared random-selection variability only; not a context-bias or population CI
15004	24	prefill	vm_l2_tlb_misses	45227	9515	35712	0.78961682181	78.961682181	predeclared random-selection variability only; not a context-bias or population CI
15004	24	prefill	vm_translation_walk_starts	20816	519	20297	0.975067255957	97.5067255957	predeclared random-selection variability only; not a context-bias or population CI
15004	24	prefill	vm_pte_requests	20899	519	20380	0.975166275898	97.5166275898	predeclared random-selection variability only; not a context-bias or population CI
15004	24	prefill	vm_pte_dram_responses	8629	173	8456	0.979951326921	97.9951326921	predeclared random-selection variability only; not a context-bias or population CI
15004	24	decode1	gpu_sim_cycle	34564626	70125730	35561104	1.02882941653	102.882941653	predeclared random-selection variability only; not a context-bias or population CI
15004	24	decode1	vm_l1_tlb_accesses	76015393	183522960	107507567	1.4142868011	141.42868011	predeclared random-selection variability only; not a context-bias or population CI
15004	24	decode1	vm_l1_tlb_misses	57947	56918.3333333	1028.66666667	0.0177518537054	1.77518537054	predeclared random-selection variability only; not a context-bias or population CI
15004	24	decode1	vm_l2_tlb_accesses	57947	56918.3333333	1028.66666667	0.0177518537054	1.77518537054	predeclared random-selection variability only; not a context-bias or population CI
15004	24	decode1	vm_l2_tlb_misses	22220	23495	1275	0.0573807380738	5.73807380738	predeclared random-selection variability only; not a context-bias or population CI
15004	24	decode1	vm_translation_walk_starts	15691	18376.6666667	2685.66666667	0.171159688144	17.1159688144	predeclared random-selection variability only; not a context-bias or population CI
15004	24	decode1	vm_pte_requests	15796	18376.6666667	2580.66666667	0.163374694015	16.3374694015	predeclared random-selection variability only; not a context-bias or population CI
15004	24	decode1	vm_pte_dram_responses	4134	4810	676	0.163522012579	16.3522012579	predeclared random-selection variability only; not a context-bias or population CI
15004	48	prefill	gpu_sim_cycle	62490238	47534593.2174	14955644.7826	0.239327697593	23.9327697593	predeclared random-selection variability only; not a context-bias or population CI
15004	48	prefill	vm_l1_tlb_accesses	94168155	75372369.2174	18795785.7826	0.199598110238	19.9598110238	predeclared random-selection variability only; not a context-bias or population CI
15004	48	prefill	vm_l1_tlb_misses	1119527	887144	232383	0.207572483736	20.7572483736	predeclared random-selection variability only; not a context-bias or population CI
15004	48	prefill	vm_l2_tlb_accesses	1119527	887144	232383	0.207572483736	20.7572483736	predeclared random-selection variability only; not a context-bias or population CI
15004	48	prefill	vm_l2_tlb_misses	45227	32313.3913043	12913.6086957	0.285528748218	28.5528748218	predeclared random-selection variability only; not a context-bias or population CI
15004	48	prefill	vm_translation_walk_starts	20816	9447.30434783	11368.6956522	0.546151789593	54.6151789593	predeclared random-selection variability only; not a context-bias or population CI
15004	48	prefill	vm_pte_requests	20899	9477.39130435	11421.6086957	0.546514603362	54.6514603362	predeclared random-selection variability only; not a context-bias or population CI
15004	48	prefill	vm_pte_dram_responses	8629	2647.65217391	5981.34782609	0.693168133745	69.3168133745	predeclared random-selection variability only; not a context-bias or population CI
15004	48	decode1	gpu_sim_cycle	34564626	18849398.4	15715227.6	0.454662162408	45.4662162408	predeclared random-selection variability only; not a context-bias or population CI
15004	48	decode1	vm_l1_tlb_accesses	76015393	38636110.4	37379282.6	0.491733070432	49.1733070432	predeclared random-selection variability only; not a context-bias or population CI
15004	48	decode1	vm_l1_tlb_misses	57947	26373.6	31573.4	0.544866861097	54.4866861097	predeclared random-selection variability only; not a context-bias or population CI
15004	48	decode1	vm_l2_tlb_accesses	57947	26373.6	31573.4	0.544866861097	54.4866861097	predeclared random-selection variability only; not a context-bias or population CI
15004	48	decode1	vm_l2_tlb_misses	22220	12372.8	9847.2	0.443168316832	44.3168316832	predeclared random-selection variability only; not a context-bias or population CI
15004	48	decode1	vm_translation_walk_starts	15691	4232.8	11458.2	0.73024026512	73.024026512	predeclared random-selection variability only; not a context-bias or population CI
15004	48	decode1	vm_pte_requests	15796	4232.8	11563.2	0.732033426184	73.2033426184	predeclared random-selection variability only; not a context-bias or population CI
15004	48	decode1	vm_pte_dram_responses	4134	1154.4	2979.6	0.720754716981	72.0754716981	predeclared random-selection variability only; not a context-bias or population CI
15005	8	prefill	gpu_sim_cycle	62490238	19306627	43183611	0.691045711812	69.1045711812	predeclared random-selection variability only; not a context-bias or population CI
15005	8	prefill	vm_l1_tlb_accesses	94168155	25604000	68564155	0.728103412454	72.8103412454	predeclared random-selection variability only; not a context-bias or population CI
15005	8	prefill	vm_l1_tlb_misses	1119527	459488	660039	0.589569523558	58.9569523558	predeclared random-selection variability only; not a context-bias or population CI
15005	8	prefill	vm_l2_tlb_accesses	1119527	459488	660039	0.589569523558	58.9569523558	predeclared random-selection variability only; not a context-bias or population CI
