roi	arm	lseg	classification	config_path	config_sha256	trace_list_sha256	registration_sha256	charged_bits	realized_geometry	framework_head	core_head	binary_sha256
prefill	F1	NONE	PRIMARY_EQUAL_COST;REFERENCE_APPROX_SUBENTRY_16	configs/vm_tlb/c5_configs/C11_C5_PREFILL_F1.config	f9c14e4ffea7e90a34c4381b11560466ffccfcab065a6aaa04eedfd0013d241c	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	59802	subentry-G96	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
prefill	F2	NONE	PRIMARY_EQUAL_COST	configs/vm_tlb/c5_configs/C11_C5_PREFILL_F2.config	5d63705a125014c4488fec967380b7dcba920769d082b6de62198bc90b512ba5	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	59125	exact-688	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
prefill	F5	NONE	PRIMARY_EQUAL_COST	configs/vm_tlb/c5_configs/C11_C5_PREFILL_F5.config	cdf87d5f366b6db2d8360da07af6c27d71158ffbd5e2b16dd9258f07f2e73cfa	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	64745	physical-PWC-120+exact-656	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
prefill	F7	5	PRIMARY_EQUAL_COST;SPECULATIVE_CANDIDATE	configs/vm_tlb/c5_configs/C11_C5_PREFILL_F7_Lseg5.config	28c6c1823cb75e56250023dd269790d7438b43cb16a803003d332f06c13e4059	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	65300	Segment-N8+exact-320	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
prefill	F7	10	PRIMARY_EQUAL_COST;SPECULATIVE_CANDIDATE	configs/vm_tlb/c5_configs/C11_C5_PREFILL_F7_Lseg10.config	dee876d571a8532585e21e92248085ca6868351ed1552d03d334d66cac6af8b6	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	65300	Segment-N8+exact-320	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
prefill	F7	20	PRIMARY_EQUAL_COST;SPECULATIVE_CANDIDATE	configs/vm_tlb/c5_configs/C11_C5_PREFILL_F7_Lseg20.config	0745bed01fdd395a2a55915d3315afc7b04a21124ff3bfad1cb670a3d229d2ad	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	65300	Segment-N8+exact-320	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
prefill	F8	5	PRIMARY_EQUAL_COST;REFERENCE_APPROX_SUBENTRY_16;SPECULATIVE_CANDIDATE	configs/vm_tlb/c5_configs/C11_C5_PREFILL_F8_Lseg5.config	a032d783866a802a23c7d518214addda5562b1976655ff48efd9a5c86adf391b	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	57734	Segment-N8+G32	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
prefill	F8	10	PRIMARY_EQUAL_COST;REFERENCE_APPROX_SUBENTRY_16;SPECULATIVE_CANDIDATE	configs/vm_tlb/c5_configs/C11_C5_PREFILL_F8_Lseg10.config	c51a1a4c9c60e1b805c48e34e7bbec934ed74647702714b13642e7a6a19f493e	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	57734	Segment-N8+G32	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
prefill	F8	20	PRIMARY_EQUAL_COST;REFERENCE_APPROX_SUBENTRY_16;SPECULATIVE_CANDIDATE	configs/vm_tlb/c5_configs/C11_C5_PREFILL_F8_Lseg20.config	48206c1dd80e2a66f231e7d24aeb202f65ea1d7ea22d7798c86ae95b6e9184ba	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	57734	Segment-N8+G32	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
prefill	F9	NONE	PRIMARY_EQUAL_COST	configs/vm_tlb/c5_configs/C11_C5_PREFILL_F9.config	9b9b30b68a9541b77e5685d6567240b6aef71ae456bb0b163b44843247eb09f5	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	56375	exact-656-no-Segment	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a
