point_id	arm	arrival_target	rep	t_bg_start_ns	t_ready_ns	t_submit_end_ns	t_fg_first_kernel_start_ns	t_fg_last_kernel_end_ns	t_bg_end_ns	actual_arrival_fraction_of_b0	arrival_valid	background_active_at_ready	ready_to_fg_start_us	submit_to_fg_start_us	ready_to_fg_complete_us	foreground_gpu_duration_us	background_gpu_span_us	background_completion_extension_us	background_kernel_at_fg_start	gpu_interval_overlap	background_kernel_count	foreground_kernel_count	background_stream_ids	foreground_stream_ids
B32_A25	CHUNKED_GRAPH_32	0.25	0	1231173652	1231278319	1231317910	1231320980	1231349396	1231668309	0.253711111876024	True	True	42.661	3.07	71.077	28.416	494.657	82.11298793029783	OVERLAP_BG_KERNEL_9:594,1,1	True	33	2	13	16
B32_A25	CHUNKED_GRAPH_32	0.25	1	1231716469	1231823058	1231862448	1231863189	1231891445	1232210389	0.2583700087301014	True	True	40.131	0.741	68.387	28.256	493.92	81.37598793029787	OVERLAP_BG_KERNEL_9:594,1,1	True	33	2	13	16
B32_A25	CHUNKED_GRAPH_32	0.25	2	1232259478	1232363935	1232402547	1232406870	1232435478	1232755446	0.25320207527906446	True	True	42.935	4.323	71.543	28.608	495.968	83.42398793029787	OVERLAP_BG_KERNEL_9:594,1,1	True	33	2	13	16
B32_A25	CHUNKED_GRAPH_32	0.25	3	1232803030	1232907110	1232943990	1232944662	1232978199	1233297751	0.25228823338833234	True	True	37.552	0.672	71.089	33.537	494.721	82.17698793029786	OVERLAP_BG_KERNEL_9:594,1,1	True	33	2	13	16
B32_A25	CHUNKED_GRAPH_32	0.25	4	1233345623	1233449958	1233487176	1233492215	1233520567	1233839960	0.2529063492560689	True	True	42.257	5.039	70.609	28.352	494.337	81.79298793029784	OVERLAP_BG_KERNEL_9:594,1,1	True	33	2	13	16
B32_A25	CHUNKED_GRAPH_32	0.25	5	1233888152	1233994333	1234032277	1234033784	1234062168	1234379993	0.25738102334172286	True	True	39.451	1.507	67.835	28.384	491.841	79.29698793029786	OVERLAP_BG_KERNEL_9:594,1,1	True	33	2	13	16
B32_A25	CHUNKED_GRAPH_32	0.25	6	1234428377	1234532845	1234570652	1234574777	1234602905	1234921913	0.25322873910080995	True	True	41.932	4.125	70.06	28.128	493.536	80.99198793029785	OVERLAP_BG_KERNEL_9:594,1,1	True	33	2	13	16
B32_A50	CHUNKED_GRAPH_32	0.5	0	1235599591	1235806986	1235846193	1235849064	1235877864	1236092264	0.5027221191734549	True	True	42.078	2.871	70.878	28.8	492.673	80.12898793029785	OVERLAP_BG_KERNEL_16:594,1,1	True	33	2	13	16
B32_A50	CHUNKED_GRAPH_32	0.5	1	1236140328	1236350142	1236388056	1236389737	1236418057	1236633737	0.5085857359736699	True	True	39.595	1.681	67.915	28.32	493.409	80.86498793029784	OVERLAP_BG_KERNEL_16:594,1,1	True	33	2	13	16
B32_A50	CHUNKED_GRAPH_32	0.5	2	1236681225	1236888613	1236925862	1236918569	1236947465	1237177290	0.5027051512868895	True	True	29.956	-7.293	58.852	28.896	496.065	83.52098793029785	SAFE_BOUNDARY_AFTER_15_BEFORE_16	True	33	2	13	16
B32_A50	CHUNKED_GRAPH_32	0.5	3	1237226090	1237433149	1237470131	1237462506	1237491114	1237721226	0.5019076606183196	True	True	29.357	-7.625	57.965	28.608	495.136	82.59198793029788	SAFE_BOUNDARY_AFTER_15_BEFORE_16	True	33	2	13	16
B32_A50	CHUNKED_GRAPH_32	0.5	4	1237770154	1237977266	1238014543	1238007371	1238035851	1238265899	0.5020361317594569	True	True	30.105	-7.172	58.585	28.48	495.745	83.20098793029786	OVERLAP_BG_KERNEL_15:594,1,1	True	33	2	13	16
B32_A50	CHUNKED_GRAPH_32	0.5	5	1238313675	1238520950	1238557572	1238550380	1238578540	1238807820	0.5024312411180494	True	True	29.43	-7.192	57.59	28.16	494.145	81.60098793029783	OVERLAP_BG_KERNEL_15:594,1,1	True	33	2	13	16
B32_A50	CHUNKED_GRAPH_32	0.5	6	1238855404	1239062740	1239099969	1239092812	1239121196	1239350829	0.5025791041295472	True	True	30.072	-7.157	58.456	28.384	495.425	82.88098793029786	OVERLAP_BG_KERNEL_15:594,1,1	True	33	2	13	16
B8_A25	CHUNKED_GRAPH_8	0.25	0	1230632330	1230737235	1230776545	1230768394	1230791498	1231096490	0.25428802001924483	True	True	31.159	-8.151	54.263	23.104	464.16	51.61598793029788	OVERLAP_BG_KERNEL_2:4748,1,1	True	9	2	13	16
B8_A25	CHUNKED_GRAPH_8	0.25	1	1231132939	1231238040	1231278108	1231274091	1231294539	1231596971	0.25476312084307373	True	True	36.051	-4.017	56.499	20.448	464.032	51.487987930297834	OVERLAP_BG_KERNEL_2:4748,1,1	True	9	2	13	16
B8_A25	CHUNKED_GRAPH_8	0.25	2	1231633355	1231738263	1231776404	1231769067	1231789835	1232096684	0.25429529197062994	True	True	30.804	-7.337	51.572	20.768	463.329	50.78498793029786	OVERLAP_BG_KERNEL_2:4748,1,1	True	9	2	13	16
B8_A25	CHUNKED_GRAPH_8	0.25	3	1232132076	1232236937	1232274787	1232267660	1232287884	1232594988	0.2541813647322628	True	True	30.723	-7.127	50.947	20.224	462.912	50.36798793029783	OVERLAP_BG_KERNEL_2:4748,1,1	True	9	2	13	16
B8_A25	CHUNKED_GRAPH_8	0.25	4	1232630444	1232735419	1232773178	1232766253	1232787181	1233094029	0.254457698884898	True	True	30.834	-6.925	51.762	20.928	463.585	51.04098793029783	OVERLAP_BG_KERNEL_2:4748,1,1	True	9	2	13	16
B8_A25	CHUNKED_GRAPH_8	0.25	5	1233129101	1233233747	1233272498	1233264525	1233284429	1233591950	0.25366020821632806	True	True	30.778	-7.973	50.682	19.904	462.849	50.30498793029784	OVERLAP_BG_KERNEL_2:4748,1,1	True	9	2	13	16
B8_A25	CHUNKED_GRAPH_8	0.25	6	1233626926	1233731599	1233768788	1233762926	1233783118	1234090862	0.2537256557787943	True	True	31.327	-5.862	51.519	20.192	463.936	51.39198793029783	OVERLAP_BG_KERNEL_2:4748,1,1	True	9	2	13	16
B8_A50	CHUNKED_GRAPH_8	0.5	0	1236241986	1236450051	1236488969	1236484866	1236505539	1236705219	0.5043461883161353	True	True	34.815	-4.103	55.488	20.673	463.233	50.688987930297856	OVERLAP_BG_KERNEL_4:4748,1,1	True	9	2	13	16
B8_A50	CHUNKED_GRAPH_8	0.5	1	1236740451	1236948513	1236986946	1236979299	1236999683	1237203587	0.5043389163647501	True	True	30.786	-7.647	51.17	20.384	463.136	50.591987930297876	OVERLAP_BG_KERNEL_4:4748,1,1	True	9	2	13	16
B8_A50	CHUNKED_GRAPH_8	0.5	2	1237239172	1237446972	1237484739	1237477060	1237497956	1237703108	0.5037038326104483	True	True	30.088	-7.679	50.984	20.896	463.936	51.39198793029783	OVERLAP_BG_KERNEL_4:4748,1,1	True	9	2	13	16
B8_A50	CHUNKED_GRAPH_8	0.5	3	1237738596	1237946302	1237983836	1237977637	1237998405	1238203749	0.503475978133714	True	True	31.335	-6.199	52.103	20.768	465.153	52.60898793029787	OVERLAP_BG_KERNEL_4:4748,1,1	True	9	2	13	16
B8_A50	CHUNKED_GRAPH_8	0.5	4	1238239493	1238447531	1238484955	1238477797	1238498469	1238703014	0.5042807407536691	True	True	30.266	-7.158	50.938	20.672	463.521	50.97698793029787	OVERLAP_BG_KERNEL_4:4748,1,1	True	9	2	13	16
B8_A50	CHUNKED_GRAPH_8	0.5	5	1238737478	1238945073	1238981782	1238976262	1238996262	1239200870	0.5032069159324639	True	True	31.189	-5.52	51.189	20.0	463.392	50.84798793029785	OVERLAP_BG_KERNEL_4:4748,1,1	True	9	2	13	16
B8_A50	CHUNKED_GRAPH_8	0.5	6	1239235558	1239443297	1239482254	1239478567	1239499047	1239698791	0.5035559695989504	True	True	35.27	-3.687	55.75	20.48	463.233	50.688987930297856	OVERLAP_BG_KERNEL_4:4748,1,1	True	9	2	13	16
