point_id	arm	arrival_fraction	rep	hypothetical_invalidation_t_ready_ns	remaining_background_wall_us	time_to_next_software_boundary_us	fraction_background_kernel_time_after_boundary	real_invalidation_authority	claim
B32_A25	CHUNKED_GRAPH_32	0.25	6	1234532845	389.068	13.868	0.7559216620351992	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B32_A50	CHUNKED_GRAPH_32	0.5	0	1235806986	285.278	14.558	0.541755662626664	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B32_A50	CHUNKED_GRAPH_32	0.5	1	1236350142	283.595	11.626	0.5438144329896907	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B32_A50	CHUNKED_GRAPH_32	0.5	2	1236888613	288.677	0.356	0.5719571825029734	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B32_A50	CHUNKED_GRAPH_32	0.5	3	1237433149	288.077	14.509	0.5429261743855796	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B32_A50	CHUNKED_GRAPH_32	0.5	4	1237977266	288.633	0.761	0.5724267215511748	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B32_A50	CHUNKED_GRAPH_32	0.5	5	1238520950	286.87	0.022	0.5717209421795411	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B32_A50	CHUNKED_GRAPH_32	0.5	6	1239062740	288.089	0.472	0.5716468236330221	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B8_A25	CHUNKED_GRAPH_8	0.25	0	1230737235	359.255	8.951	0.754605036219386	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B8_A25	CHUNKED_GRAPH_8	0.25	1	1231238040	358.931	8.979	0.7541402152911951	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B8_A25	CHUNKED_GRAPH_8	0.25	2	1231738263	358.421	8.948	0.754198582081011	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B8_A25	CHUNKED_GRAPH_8	0.25	3	1232236937	358.051	8.579	0.7548253199584919	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B8_A25	CHUNKED_GRAPH_8	0.25	4	1232735419	358.61	9.042	0.7540050039612894	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B8_A25	CHUNKED_GRAPH_8	0.25	5	1233233747	358.203	8.794	0.7547749559426119	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B8_A25	CHUNKED_GRAPH_8	0.25	6	1233731599	359.263	9.343	0.7541583270066947	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B8_A50	CHUNKED_GRAPH_8	0.5	0	1236450051	255.168	18.303	0.5111997286747185	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B8_A50	CHUNKED_GRAPH_8	0.5	1	1236948513	255.074	19.33	0.5089538823204038	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B8_A50	CHUNKED_GRAPH_8	0.5	2	1237446972	256.136	18.856	0.5112859805342721	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B8_A50	CHUNKED_GRAPH_8	0.5	3	1237946302	257.447	19.975	0.510394055499502	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B8_A50	CHUNKED_GRAPH_8	0.5	4	1238447531	255.483	19.002	0.5100881103873532	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B8_A50	CHUNKED_GRAPH_8	0.5	5	1238945073	255.797	19.733	0.5093283582089553	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
B8_A50	CHUNKED_GRAPH_8	0.5	6	1239443297	255.494	19.334	0.5097458917766405	NO	R52_SYNTHETIC_CANCEL_WINDOW_DIAGNOSTIC_ONLY
