wheel_filename	package	version	size_bytes	sha256	source	compatibility_tag	status
exceptiongroup-1.3.1-py3-none-any.whl	exceptiongroup	1.3.1	16740	a7a39a3bd276781e98394987d3a5701d0c4edffb633bb7a5144577f82c773598	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
filelock-3.32.6-py3-none-any.whl	filelock	3.32.6	100189	3f16ecd0117feae0dfc147e8c62eb5daeccd8bd800378c3ddf416de9b4feb6b1	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
frozenlist-1.8.0-cp310-cp310-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl	frozenlist	1.8.0	219464	f57fb59d9f385710aa7060e89410aeb5058b99e62f4d16b08b91986b9a2140c2	https://pypi.org/simple	cp310-cp310-manylinux1_x86_64;cp310-cp310-manylinux_2_28_x86_64;cp310-cp310-manylinux_2_5_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
fsspec-2026.6.0-py3-none-any.whl	fsspec	2026.6.0	203949	02e0b71817df9b2169dc30a16832045764def1191b43dcff5bb85bdee212d2a1	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
h11-0.16.0-py3-none-any.whl	h11	0.16.0	37515	63cf8bbe7522de3bf65932fda1d9c2772064ffb3dae62d55932da54b31cb6c86	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
httpcore-1.0.9-py3-none-any.whl	httpcore	1.0.9	78784	2d400746a40668fc9dec9810239072b40b4484b640a8c38fd654a024c7a1bf55	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
httpx-0.28.1-py3-none-any.whl	httpx	0.28.1	73517	d909fcccc110f8c7faf814ca82a9a4d816bc5a6dbfea25d6591d6985b8ba59ad	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
huggingface_hub-0.26.5-py3-none-any.whl	huggingface-hub	0.26.5	447766	fb7386090bbe892072e64b85f7c4479fd2d65eea5f2543327c970d5169e83924	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
idna-3.19-py3-none-any.whl	idna	3.19	68550	815e7be7a7806d54abb586dc943addc79e8b2ee16915059658cbeff4b1b43bf4	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
jinja2-3.1.6-py3-none-any.whl	Jinja2	3.1.6	134899	85ece4451f492d0c13c5dd7c13a64681a86afae63a5f347908daf103ce6d2f67	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
markupsafe-3.0.3-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	MarkupSafe	3.0.3	20681	f42d0984e947b8adf7dd6dde396e720934d12c506ce84eea8476409563607591	https://pypi.org/simple	cp310-cp310-manylinux2014_x86_64;cp310-cp310-manylinux_2_17_x86_64;cp310-cp310-manylinux_2_28_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
mpmath-1.3.0-py3-none-any.whl	mpmath	1.3.0	536198	a0b2b9fe80bbcd81a6647ff13108738cfb482d481d826cc0e02f5b35e5c88d2c	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
multidict-6.8.0-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	multidict	6.8.0	259314	e418ec99574ca24365ca96546af285c2b021a1a072478a79f0e3cc3b08837154	https://pypi.org/simple	cp310-cp310-manylinux2014_x86_64;cp310-cp310-manylinux_2_17_x86_64;cp310-cp310-manylinux_2_28_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
multiprocess-0.70.19-py310-none-any.whl	multiprocess	0.70.19	134948	97404393419dcb2a8385910864eedf47a3cadf82c66345b44f036420eb0b5d87	https://pypi.org/simple	py310-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
networkx-3.4.2-py3-none-any.whl	networkx	3.4.2	1723263	df5d4365b724cf81b8c6a7312509d0c22386097011ad1abe274afd5e9d3bbc5f	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
numpy-2.2.6-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	numpy	2.2.6	16801050	fc7b73d02efb0e18c000e9ad8b83480dfcd5dfd11065997ed4c6747470ae8915	https://pypi.org/simple	cp310-cp310-manylinux2014_x86_64;cp310-cp310-manylinux_2_17_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
nvidia_cublas_cu12-12.4.5.8-py3-none-manylinux2014_x86_64.whl	nvidia-cublas-cu12	12.4.5.8	363438805	2fc8da60df463fdefa81e323eef2e36489e1c94335b5358bcb38360adf75ac9b	https://pypi.org/simple	py3-none-manylinux2014_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
nvidia_cuda_cupti_cu12-12.4.127-py3-none-manylinux2014_x86_64.whl	nvidia-cuda-cupti-cu12	12.4.127	13813957	9dec60f5ac126f7bb551c055072b69d85392b13311fcc1bcda2202d172df30fb	https://pypi.org/simple	py3-none-manylinux2014_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
nvidia_cuda_nvrtc_cu12-12.4.127-py3-none-manylinux2014_x86_64.whl	nvidia-cuda-nvrtc-cu12	12.4.127	24640306	a178759ebb095827bd30ef56598ec182b85547f1508941a3d560eb7ea1fbf338	https://pypi.org/simple	py3-none-manylinux2014_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
nvidia_cuda_runtime_cu12-12.4.127-py3-none-manylinux2014_x86_64.whl	nvidia-cuda-runtime-cu12	12.4.127	883737	64403288fa2136ee8e467cdc9c9427e0434110899d07c779f25b5c068934faa5	https://pypi.org/simple	py3-none-manylinux2014_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
nvidia_cudnn_cu12-9.1.0.70-py3-none-manylinux2014_x86_64.whl	nvidia-cudnn-cu12	9.1.0.70	664752741	165764f44ef8c61fcdfdfdbe769d687e06374059fbb388b6c89ecb0e28793a6f	https://pypi.org/simple	py3-none-manylinux2014_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
nvidia_cufft_cu12-11.2.1.3-py3-none-manylinux2014_x86_64.whl	nvidia-cufft-cu12	11.2.1.3	211459117	f083fc24912aa410be21fa16d157fed2055dab1cc4b6934a0e03cba69eb242b9	https://pypi.org/simple	py3-none-manylinux2014_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
nvidia_curand_cu12-10.3.5.147-py3-none-manylinux2014_x86_64.whl	nvidia-curand-cu12	10.3.5.147	56305206	a88f583d4e0bb643c49743469964103aa59f7f708d862c3ddb0fc07f851e3b8b	https://pypi.org/simple	py3-none-manylinux2014_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
nvidia_cusolver_cu12-11.6.1.9-py3-none-manylinux2014_x86_64.whl	nvidia-cusolver-cu12	11.6.1.9	127936057	19e33fa442bcfd085b3086c4ebf7e8debc07cfe01e11513cc6d332fd918ac260	https://pypi.org/simple	py3-none-manylinux2014_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
nvidia_cusparse_cu12-12.3.1.170-py3-none-manylinux2014_x86_64.whl	nvidia-cusparse-cu12	12.3.1.170	207454763	ea4f11a2904e2a8dc4b1833cc1b5181cde564edd0d5cd33e3c168eff2d1863f1	https://pypi.org/simple	py3-none-manylinux2014_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
nvidia_ml_py-12.560.30-py3-none-any.whl	nvidia-ml-py	12.560.30	40526	fea371c94d63e38a611c17bbb85fe400e9c8ddb9e8684a9cd0e47786a4bc3c73	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
nvidia_nccl_cu12-2.21.5-py3-none-manylinux2014_x86_64.whl	nvidia-nccl-cu12	2.21.5	188654414	8579076d30a8c24988834445f8d633c697d42397e92ffc3f63fa26766d25e0a0	https://pypi.org/simple	py3-none-manylinux2014_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
nvidia_nvjitlink_cu12-12.4.127-py3-none-manylinux2014_x86_64.whl	nvidia-nvjitlink-cu12	12.4.127	21066810	06b3b9b25bf3f8af351d664978ca26a16d2c5127dbd53c0497e28d1fb9611d57	https://pypi.org/simple	py3-none-manylinux2014_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
nvidia_nvtx_cu12-12.4.127-py3-none-manylinux2014_x86_64.whl	nvidia-nvtx-cu12	12.4.127	99144	781e950d9b9f60d8241ccea575b32f5105a5baf4c2351cab5256a24869f12a1a	https://pypi.org/simple	py3-none-manylinux2014_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
packaging-26.3-py3-none-any.whl	packaging	26.3	129956	d7193f7c8e4e93f444fde0262bf90af30e16fa0ad0ad44cb553c87339b23cd1c	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
pandas-2.3.3-cp310-cp310-manylinux_2_24_x86_64.manylinux_2_28_x86_64.whl	pandas	2.3.3	12769373	dd7478f1463441ae4ca7308a70e90b33470fa593429f9d4c578dd00d1fa78838	https://pypi.org/simple	cp310-cp310-manylinux_2_24_x86_64;cp310-cp310-manylinux_2_28_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
pip-26.1-py3-none-any.whl	pip	26.1	1812804	4e8486d821d814b77319acb7b9e8bf5a4ee7590a643e7cb21029f209be8573c1	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
propcache-0.5.2-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	propcache	0.5.2	60140	b96db7141a592cbc968daf1feea83a118e6ab378af4abbc72b248c895414c22d	https://pypi.org/simple	cp310-cp310-manylinux2014_x86_64;cp310-cp310-manylinux_2_17_x86_64;cp310-cp310-manylinux_2_28_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
psutil-7.2.2-cp36-abi3-manylinux2010_x86_64.manylinux_2_12_x86_64.manylinux_2_28_x86_64.whl	psutil	7.2.2	155560	076a2d2f923fd4821644f5ba89f059523da90dc9014e85f8e45a5774ca5bc6f9	https://pypi.org/simple	cp36-abi3-manylinux2010_x86_64;cp36-abi3-manylinux_2_12_x86_64;cp36-abi3-manylinux_2_28_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
pyarrow-25.0.1-cp310-cp310-manylinux_2_28_x86_64.whl	pyarrow	25.0.1	50066460	a4d6d5e9a3d1879a97c08ded0c797579b7965eafd0f0c26c30b45ccc06db939b	https://pypi.org/simple	cp310-cp310-manylinux_2_28_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
python_dateutil-2.9.0.post0-py2.py3-none-any.whl	python-dateutil	2.9.0.post0	229892	a8b2bc7bffae282281c8140a97d3aa9c14da0b136dfe83f850eea9a5f7470427	https://pypi.org/simple	py2-none-any;py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
pytz-2026.3.post1-py2.py3-none-any.whl	pytz	2026.3.post1	508283	dd95840dd199baea12d9cc096a1d452caa6596a1c1e4b5f3dbd1541855d5e815	https://pypi.org/simple	py2-none-any;py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
pyyaml-6.0.3-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	PyYAML	6.0.3	770293	9c7708761fccb9397fe64bbc0395abcae8c4bf7b0eac081e12b809bf47700d0b	https://pypi.org/simple	cp310-cp310-manylinux2014_x86_64;cp310-cp310-manylinux_2_17_x86_64;cp310-cp310-manylinux_2_28_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
regex-2026.9.10-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	regex	2026.9.10	796252	c3d95d7d9538b5b726dd6fcd7b6117a71e6565202f6d64f5845fb4d8f203f533	https://pypi.org/simple	cp310-cp310-manylinux2014_x86_64;cp310-cp310-manylinux_2_17_x86_64;cp310-cp310-manylinux_2_28_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
requests-2.34.2-py3-none-any.whl	requests	2.34.2	73075	2a0d60c172f83ac6ab31e4554906c0f3b3588d37b5cb939b1c061f4907e278e0	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
safetensors-0.4.5-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	safetensors	0.4.5	435016	c6d156bdb26732feada84f9388a9f135528c1ef5b05fae153da365ad4319c4c5	https://pypi.org/simple	cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
six-1.17.0-py2.py3-none-any.whl	six	1.17.0	11050	4721f391ed90541fddacab5acf947aa0d3dc7d27b2e1e8eda2be8970586c3274	https://pypi.org/simple	py2-none-any;py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
sympy-1.13.1-py3-none-any.whl	sympy	1.13.1	6189177	db36cdc64bf61b9b24578b6f7bab1ecdd2452cf008f34faa33776680c26d66f8	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
tokenizers-0.20.3-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	tokenizers	0.20.3	2994038	1fd9fee817f655a8f50049f685e224828abfadd436b8ff67979fc1d054b435f1	https://pypi.org/simple	cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
torch-2.5.1+cu124-cp310-cp310-linux_x86_64.whl	torch	2.5.1+cu124	908270848	9dde30f399ca22137455cca4d47140dfb7f4176e2d16a9729fc044eebfadb13a	https://download.pytorch.org/whl/cu124	cp310-cp310-linux_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
tqdm-4.70.1-py3-none-any.whl	tqdm	4.70.1	80199	c293e525e6fef9c20e8728fd4612df02a0aa31bb5fe91ecd93e123b1b7bffa73	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
transformers-4.46.3-py3-none-any.whl	transformers	4.46.3	10034536	a12ef6f52841fd190a3e5602145b542d03507222f2c64ebb7ee92e8788093aef	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
triton-3.1.0-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	triton	3.1.0	209460013	6b0dd10a925263abbe9fa37dcde67a5e9b2383fc269fdf59f5657cac38c5d1d8	https://pypi.org/simple	cp310-cp310-manylinux2014_x86_64;cp310-cp310-manylinux_2_17_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
typing_extensions-4.16.0-py3-none-any.whl	typing_extensions	4.16.0	45571	481caa481374e813c1b176ada14e97f1f67a4539ce9cfeb3f350d78d6370c2e8	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
tzdata-2026.3-py2.py3-none-any.whl	tzdata	2026.3	348168	dc096730c87af6cab1b171c9d532be840741ff5d459015e7f6947bd7d7e54931	https://pypi.org/simple	py2-none-any;py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
urllib3-2.7.0-py3-none-any.whl	urllib3	2.7.0	131087	9fb4c81ebbb1ce9531cce37674bbc6f1360472bc18ca9a553ede278ef7276897	https://pypi.org/simple	py3-none-any	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
xxhash-4.0.1-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	xxhash	4.0.1	249503	7e27dbed5c4ba033919e4b4ed8dc14e029e91d14a93cd9f920d25277c7df6781	https://pypi.org/simple	cp310-cp310-manylinux2014_x86_64;cp310-cp310-manylinux_2_17_x86_64;cp310-cp310-manylinux_2_28_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
yarl-1.24.5-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	yarl	1.24.5	110758	7fa5e51397466ea7e98de493fa2ff1b8193cfef8a7b0f9b4842f92d342df0dba	https://pypi.org/simple	cp310-cp310-manylinux2014_x86_64;cp310-cp310-manylinux_2_17_x86_64;cp310-cp310-manylinux_2_28_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
zstandard-0.25.0-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.whl	zstandard	0.25.0	5556583	4b6d83057e713ff235a12e73916b6d356e3084fd3d14ced499d84240f3eecee0	https://pypi.org/simple	cp310-cp310-manylinux2014_x86_64;cp310-cp310-manylinux_2_17_x86_64	LOCAL_HASH_CLOSED_CP310_LINUX_X86_64
