artifact_id	kind	path_or_commit	sha256	required_for	closure_status	note
G_SOURCE_identity_guard.py	LANE_G_SOURCE	util/vm_tlb/c16/lane_g/identity_guard.py	0d725e8b2448c1e1d6a0f45d4cc037813fa7a3fc6d44fc5ae4c167488f623417	C16-0.3/C16-0.4	LOCAL_HASH_CLOSED	small committed source; no model/profiler raw data
G_SOURCE_profiler_wrapper.py	LANE_G_SOURCE	util/vm_tlb/c16/lane_g/profiler_wrapper.py	8cf4faea0395f50afea83d6b225c21b42e31db22eab112e5f4115e10d473e31f	C16-0.3/C16-0.4	LOCAL_HASH_CLOSED	small committed source; no model/profiler raw data
G_SOURCE_nsys_wrapper.py	LANE_G_SOURCE	util/vm_tlb/c16/lane_g/nsys_wrapper.py	a0899180d2b590336dcb4ca6b644bd684fa32fd85573b5cec785f7c4c2c1ff20	C16-0.3/C16-0.4	LOCAL_HASH_CLOSED	small committed source; no model/profiler raw data
G_SOURCE_ncu_wrapper.py	LANE_G_SOURCE	util/vm_tlb/c16/lane_g/ncu_wrapper.py	04c9e10de58e1c581e267c82f9e9669d0b01925b0dfdde2e440d86c0b4de046b	C16-0.3/C16-0.4	LOCAL_HASH_CLOSED	small committed source; no model/profiler raw data
G_SOURCE_nvbit_wrapper.py	LANE_G_SOURCE	util/vm_tlb/c16/lane_g/nvbit_wrapper.py	1f6d0fb4339a2272d1c5a793f00df31dbffeb65cdfaf2966157ac822f0f75365	C16-0.3/C16-0.4	LOCAL_HASH_CLOSED	small committed source; no model/profiler raw data
G_SOURCE_prepare_gpu_package.py	LANE_G_SOURCE	util/vm_tlb/c16/lane_g/prepare_gpu_package.py	3668f8e34e66c44c6f52857c3e2d10f6c1fb9544292a846945f91ff59c27fbf2	C16-0.3/C16-0.4	LOCAL_HASH_CLOSED	small committed source; no model/profiler raw data
G_SOURCE_offline_dry_run.py	LANE_G_SOURCE	util/vm_tlb/c16/lane_g/offline_dry_run.py	0af7307b7a2598e1e3377f6542265971858b6273efab355390a4060bddbe24e1	C16-0.3/C16-0.4	LOCAL_HASH_CLOSED	small committed source; no model/profiler raw data
G_SOURCE_autodl_instance_receipt.py	LANE_G_SOURCE	util/vm_tlb/c16/lane_g/autodl_instance_receipt.py	9aecc5c8f0c48b4eb1436bb694258b5cbbfb4f5499a8dca5d3449090a5a8d13a	C16-0.3/C16-0.4	LOCAL_HASH_CLOSED	small committed source; no model/profiler raw data
G_SOURCE_transfer_verify.py	LANE_G_SOURCE	util/vm_tlb/c16/lane_g/transfer_verify.py	0c5a02b0fbfbba5a301d907e2f7b4753c337658ccbad1865b2c12bb77540356f	C16-0.3/C16-0.4	LOCAL_HASH_CLOSED	small committed source; no model/profiler raw data
A_MODEL_ASSET_MANIFEST	UPSTREAM_A_MANIFEST	hrl/vm-c16-a-static-coord-v0:MODEL_ASSET_MANIFEST.tsv	NA	C16-1.2+	UPSTREAM_A_COMMITTED_MANIFEST_REQUIRED	do not invent model-weight hashes
A_INPUT_AND_TOKEN_RECEIPTS	UPSTREAM_A_MANIFEST	hrl/vm-c16-a-static-coord-v0:INPUT_CORPUS.tsv;TOKEN_RECEIPTS/	NA	C16-1.3+	UPSTREAM_A_COMMITTED_MANIFEST_REQUIRED	actual per-deployment token IDs required
A_SCENARIO_MATRIX	UPSTREAM_A_MANIFEST	hrl/vm-c16-a-static-coord-v0:SCENARIO_MATRIX.tsv	NA	C16-1.3+	UPSTREAM_A_COMMITTED_MANIFEST_REQUIRED	S0-S4 must be frozen before GPU run
A_C16_GPU_PACKAGE	UPSTREAM_A_MANIFEST	hrl/vm-c16-a-static-coord-v0:C16_GPU_PACKAGE_MANIFEST.tsv	NA	C16-0.9/C16-1.2	UPSTREAM_A_COMMITTED_MANIFEST_REQUIRED	A owns asset/input/package closure
