schema	stage	workload	variant	observer	instructions	trace_list_sha256	canonical_core_source_head	canonical_runtime_sha256	config_chain_sha256	config_chain_reference	launch_gate	validation_contract	evidence_boundary
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	BICG	IO	1	145666048	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	3e6efd9e54be52a6bc2384b9544d726339bc357ab9d2be911959bb478d6f6f20	FAST64_IO.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	BICG	OO	1	145666048	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	fe3d3a8a081b7754d888c0164ea7a1a508d0d452eb09768ddc6d33bbe60966e8	FAST64_OO.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	GESUMMV	B16-S	1	190918656	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	a11afe617c03b067801fa638ddbb7be2872b2d44a50d7607be3ef655899f21b8	FAST64_BASE.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	GESUMMV	TC80-S	1	190918656	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	33e392081a0da7b7f81e99444f19736955461b17389b11d489f71ee4079d501a	FAST64_BASE.config;TC80_CAPACITY_MATCHED_OVERLAY.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	GESUMMV	B16-N	1	190918656	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	568456e3bc07ae87357331181d2d11a5ca96b8f8474f6adaebfdaeec48e1196f	FAST64_BASE.config;SG1_B16_N_OVERLAY.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	GESUMMV	TC80-N	1	190918656	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	ed8be97fcf66332c603fd94ed9f09acffa904e1cffdff3872958dd7d8aeeae03	FAST64_BASE.config;SG1_TC80_N_OVERLAY.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	GESUMMV	IO	1	190918656	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	3e6efd9e54be52a6bc2384b9544d726339bc357ab9d2be911959bb478d6f6f20	FAST64_IO.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	GESUMMV	OO	1	190918656	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	fe3d3a8a081b7754d888c0164ea7a1a508d0d452eb09768ddc6d33bbe60966e8	FAST64_OO.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	Btree	B16-S	1	444467849	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	a11afe617c03b067801fa638ddbb7be2872b2d44a50d7607be3ef655899f21b8	FAST64_BASE.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	Btree	TC80-S	1	444467849	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	33e392081a0da7b7f81e99444f19736955461b17389b11d489f71ee4079d501a	FAST64_BASE.config;TC80_CAPACITY_MATCHED_OVERLAY.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	Btree	B16-N	1	444467849	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	568456e3bc07ae87357331181d2d11a5ca96b8f8474f6adaebfdaeec48e1196f	FAST64_BASE.config;SG1_B16_N_OVERLAY.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	Btree	TC80-N	1	444467849	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	ed8be97fcf66332c603fd94ed9f09acffa904e1cffdff3872958dd7d8aeeae03	FAST64_BASE.config;SG1_TC80_N_OVERLAY.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	Btree	IO	1	444467849	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	3e6efd9e54be52a6bc2384b9544d726339bc357ab9d2be911959bb478d6f6f20	FAST64_IO.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	Btree	OO	1	444467849	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	fe3d3a8a081b7754d888c0164ea7a1a508d0d452eb09768ddc6d33bbe60966e8	FAST64_OO.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	2DConvolution	B16-S	1	620347492	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	a11afe617c03b067801fa638ddbb7be2872b2d44a50d7607be3ef655899f21b8	FAST64_BASE.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	2DConvolution	TC80-S	1	620347492	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	33e392081a0da7b7f81e99444f19736955461b17389b11d489f71ee4079d501a	FAST64_BASE.config;TC80_CAPACITY_MATCHED_OVERLAY.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	2DConvolution	B16-N	1	620347492	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	568456e3bc07ae87357331181d2d11a5ca96b8f8474f6adaebfdaeec48e1196f	FAST64_BASE.config;SG1_B16_N_OVERLAY.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	2DConvolution	TC80-N	1	620347492	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	ed8be97fcf66332c603fd94ed9f09acffa904e1cffdff3872958dd7d8aeeae03	FAST64_BASE.config;SG1_TC80_N_OVERLAY.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	2DConvolution	IO	1	620347492	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	3e6efd9e54be52a6bc2384b9544d726339bc357ab9d2be911959bb478d6f6f20	FAST64_IO.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	2DConvolution	OO	1	620347492	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	fe3d3a8a081b7754d888c0164ea7a1a508d0d452eb09768ddc6d33bbe60966e8	FAST64_OO.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	Gaussian	B16-S	1	283685120	6dc7caba6733657293e8c517467bac28890ae4eb97c732ffd245d7fd1c479fb9	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	a11afe617c03b067801fa638ddbb7be2872b2d44a50d7607be3ef655899f21b8	FAST64_BASE.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	Gaussian	TC80-S	1	283685120	6dc7caba6733657293e8c517467bac28890ae4eb97c732ffd245d7fd1c479fb9	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	33e392081a0da7b7f81e99444f19736955461b17389b11d489f71ee4079d501a	FAST64_BASE.config;TC80_CAPACITY_MATCHED_OVERLAY.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	Gaussian	B16-N	1	283685120	6dc7caba6733657293e8c517467bac28890ae4eb97c732ffd245d7fd1c479fb9	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	568456e3bc07ae87357331181d2d11a5ca96b8f8474f6adaebfdaeec48e1196f	FAST64_BASE.config;SG1_B16_N_OVERLAY.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	Gaussian	TC80-N	1	283685120	6dc7caba6733657293e8c517467bac28890ae4eb97c732ffd245d7fd1c479fb9	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	ed8be97fcf66332c603fd94ed9f09acffa904e1cffdff3872958dd7d8aeeae03	FAST64_BASE.config;SG1_TC80_N_OVERLAY.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	Gaussian	IO	1	283685120	6dc7caba6733657293e8c517467bac28890ae4eb97c732ffd245d7fd1c479fb9	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	3e6efd9e54be52a6bc2384b9544d726339bc357ab9d2be911959bb478d6f6f20	FAST64_IO.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
SG5_CANONICAL_G6_PLAN_V1	SG5.C2	Gaussian	OO	1	283685120	6dc7caba6733657293e8c517467bac28890ae4eb97c732ffd245d7fd1c479fb9	1406840bc2000c9f5292f6db64fa84e115568b0c	7d3e80859e482d3a7029e4300a87a61c71c09485d6cfd2c7c0dd97aa02fd89a7	fe3d3a8a081b7754d888c0164ea7a1a508d0d452eb09768ddc6d33bbe60966e8	FAST64_OO.config	SG5_C1_PASS+actual_live_workers_below_target	validate-run requires authority trace+instruction, core/config identity, natural exit, observer report	Diagnostic observer row only; never primary performance evidence.
