roi	arm	lseg	terminal_status	framework_anchor	core_head	binary_sha256	config_sha256	trace_sha256	registration_sha256	charged_bits	gpu_tot_sim_cycle	gpu_tot_sim_insn	gpu_tot_ipc	speedup_vs_f0	vm_l1_tlb_accesses	vm_l1_tlb_hits	vm_l1_tlb_misses	vm_l2_tlb_accesses	vm_l2_tlb_hits	vm_l2_tlb_misses	vm_l2_tlb_evictions	vm_l2_tlb_port_stalls	vm_translation_mshr_allocations	vm_translation_mshr_merges	vm_translation_mshr_full_events	vm_translation_requester_mshr_wait_cycles_total	vm_translation_requester_latency_cycles_total	vm_translation_requester_latency_cycles_max	vm_translation_walk_starts	vm_pte_requests	vm_pte_responses	vm_pte_l2_only_responses	vm_pte_dram_responses	vm_pte_memory_wait_cycles_total	vm_pte_memory_wait_cycles_max	vm_pwc_accesses	vm_pwc_hits	vm_pwc_misses	vm_pwc_evictions	segment_lookup_attempts	segment_hits	segment_l2_suppressed	subentry_hits	subentry_misses	l1d_summary	l2_summary	l2_queue_summary	native_memory_latency_summary	object_conservation_pass	pte_conservation_pass	kernel_markers	telemetry_records	peak_rss_kb	elapsed_seconds	raw_log_sha256	parser_version
decode1	F9	NONE	PASS	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	09e702871b1d7172eaddb91c4b9643555858ba98b889c4df61a020e73b3b644e	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	56375	34564626	4128551787	119.4444	1.000000000	76015393	75957446	57947	57947	35727	22220	15035	309614	15691	6529	135022	10254160	775156250	8815	15691	15796	15796	11662	4134	7337292	8661	47073	46968	105	0	0	0	0	NOT_EMITTED	NOT_EMITTED	kernel_records=35520	kernel_records=35520	kernel_records=740	averagemflatency=1258;avg_icnt2mem_latency=793;avg_mrq_latency=52;avg_icnt2sh_latency=2	1	PASS	740	740	641512	28182.0	b8628dae1c47866a0d739f07c921d89d64722f62e5eefbe0d45b4ffadd253d8c	88b6a349fe3a35d26935d7d95b8988b5a34c552961176274278fc36240adb6da
prefill	F0	NONE	PASS	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	16f9f1866a541ac5686a02f15b8f3abf5fd8723601ff8795db77a64fffb8d446	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	66000	62490238	18452620427	295.2881	1.000000000	94168155	93048628	1119527	1119527	1074300	45227	20048	935987	20816	24411	0	18969743	1050434230	6114	20816	20899	20899	12270	8629	8161497	6021	62448	62365	83	0	0	0	0	NOT_EMITTED	NOT_EMITTED	kernel_records=33216	kernel_records=33216	kernel_records=692	averagemflatency=745;avg_icnt2mem_latency=375;avg_mrq_latency=53;avg_icnt2sh_latency=7	1	PASS	692	692	1795232	77144.0	8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7	82bab5d28dfc83462bb4ef2e3aab5cb2a1c0322096e475cfc87dd29ef6642215
prefill	F1	NONE	PENDING	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_VALID	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED
prefill	F2	NONE	PASS	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	5d63705a125014c4488fec967380b7dcba920769d082b6de62198bc90b512ba5	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	59125	63302886	18452620427	291.4973	0.987162544	94244002	93123627	1120375	1120375	1003502	116873	40800	1280363	41488	75385	0	45807277	1078177799	6015	41488	41577	41577	14380	27197	17554143	5922	124464	124375	89	0	0	0	0	NOT_EMITTED	NOT_EMITTED	kernel_records=33216	kernel_records=33216	kernel_records=692	averagemflatency=747;avg_icnt2mem_latency=375;avg_mrq_latency=53;avg_icnt2sh_latency=7	1	PASS	692	692	1557300	84042.0	e4fc67d645c01f9588898f9cad6e021db4dde4619558edcac24d3575a881b914	82bab5d28dfc83462bb4ef2e3aab5cb2a1c0322096e475cfc87dd29ef6642215
prefill	F5	NONE	PASS	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	cdf87d5f366b6db2d8360da07af6c27d71158ffbd5e2b16dd9258f07f2e73cfa	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	64745	63223313	18452620427	291.8642	0.988404989	94242902	93122803	1120099	1120099	1005079	115020	38515	1293532	39171	75849	0	43905499	1076246205	7067	39171	39259	39259	14739	24520	16290147	6974	117513	117425	88	4	0	0	0	NOT_EMITTED	NOT_EMITTED	kernel_records=33216	kernel_records=33216	kernel_records=692	averagemflatency=745;avg_icnt2mem_latency=374;avg_mrq_latency=53;avg_icnt2sh_latency=7	1	PASS	692	692	1579796	84415.0	9881d28fd3570cd6333bfac0d07f3435b8f96fa68f39ce9235fe564cc3237b8a	82bab5d28dfc83462bb4ef2e3aab5cb2a1c0322096e475cfc87dd29ef6642215
prefill	F7	10	PASS	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	dee876d571a8532585e21e92248085ca6868351ed1552d03d334d66cac6af8b6	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	65300	63370888	18452620427	291.1845	0.986103240	94315107	45209021	49106086	1013352	892433	120919	33429	1234186	33749	87170	0	49259315	1073767415	7301	33749	33772	33772	4057	29715	15277922	7208	101247	101224	23	0	94194188	48092734	48092734	NOT_EMITTED	NOT_EMITTED	kernel_records=33216	kernel_records=33216	kernel_records=692	averagemflatency=806;avg_icnt2mem_latency=427;avg_mrq_latency=55;avg_icnt2sh_latency=8	1	PASS	692	692	1597164	83865.0	6d29515bf7e393da19cab337122eb98836c998b2ec5bd4e1a54cfba599fa800d	82bab5d28dfc83462bb4ef2e3aab5cb2a1c0322096e475cfc87dd29ef6642215
prefill	F7	20	PENDING	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_VALID	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED
prefill	F7	5	PENDING	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_VALID	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED
prefill	F8	10	PASS	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	c51a1a4c9c60e1b805c48e34e7bbec934ed74647702714b13642e7a6a19f493e	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	57734	63375503	18452620427	291.1633	0.986031432	94311192	45206299	49104893	1013253	893925	119328	7532	1229061	33845	85483	0	47109645	1071569405	6005	33845	33867	33867	4185	29682	15084189	5912	101535	101513	22	0	94191864	48091640	48091640	893925	92250	kernel_records=33216	kernel_records=33216	kernel_records=692	averagemflatency=806;avg_icnt2mem_latency=428;avg_mrq_latency=55;avg_icnt2sh_latency=7	1	PASS	692	692	1755828	73800.0	0f47c705532f577d5a0b80400bb2301c8883c0daa14dcc2f1359bb45e0550b7b	ded37df70f40d91ad2e2d64ed62629a18dd12a62f1dbcb0ecbbc7d1cc065a2f4
prefill	F8	20	PENDING	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_VALID	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED
prefill	F8	5	PENDING	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_VALID	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED	NOT_EMITTED
prefill	F9	NONE	PASS	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	9b9b30b68a9541b77e5685d6567240b6aef71ae456bb0b163b44843247eb09f5	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	56375	63252745	18452620427	291.7284	0.987945077	94240399	93119941	1120458	1120458	1004209	116249	38704	1310981	39360	76889	0	44564297	1076912891	6279	39360	39455	39455	14860	24595	16319521	6186	118080	117985	95	0	0	0	0	NOT_EMITTED	NOT_EMITTED	kernel_records=33216	kernel_records=33216	kernel_records=692	averagemflatency=747;avg_icnt2mem_latency=375;avg_mrq_latency=53;avg_icnt2sh_latency=7	1	PASS	692	692	1798496	69867.0	c37c4af60090cfb3df949aa072b55858ac2b4c7a724a0a23adae17a0a18cbf62	ded37df70f40d91ad2e2d64ed62629a18dd12a62f1dbcb0ecbbc7d1cc065a2f4
