roi	arm	lseg	state	owner_pid	simulator_pid	lock_path	attempt_id	start_time	current_kernel_markers	expected_kernels	binary_sha256	config_sha256	trace_sha256	registration_sha256	updated_utc
decode1	F9	NONE	PASS	2073441		/workspace/vm-m4b-speculative/c5-results/.arm_locks/decode1__f9.lock	2026-09-08T20:06:31+00:00-pid2073441	2026-09-08T20:06:31+00:00	740	740	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	09e702871b1d7172eaddb91c4b9643555858ba98b889c4df61a020e73b3b644e	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	2026-09-10T13:45:58+00:00
prefill	F0	NONE	PASS	1149841		/workspace/vm-m4b-speculative/c5-results/.arm_locks/prefill__f0.lock	P0_LOCK_GUARD	2026-09-08T07:49:41Z	692	692	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	16f9f1866a541ac5686a02f15b8f3abf5fd8723601ff8795db77a64fffb8d446	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	2026-09-10T13:45:59+00:00
prefill	F1	NONE	PASS	3390022		/workspace/vm-m4b-speculative/c5-results/.arm_locks/prefill__f1.lock	2026-09-09T14:42:44+00:00-pid3390022	2026-09-09T14:42:44+00:00	692	692	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	f9c14e4ffea7e90a34c4381b11560466ffccfcab065a6aaa04eedfd0013d241c	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	2026-09-10T13:45:59+00:00
prefill	F2	NONE	PASS	1159487		/workspace/vm-m4b-speculative/c5-results/.arm_locks/prefill__f2.lock	2026-09-08T07:57:42+00:00-pid1159487	2026-09-08T07:57:42+00:00	692	692	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	5d63705a125014c4488fec967380b7dcba920769d082b6de62198bc90b512ba5	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	2026-09-10T13:46:00+00:00
prefill	F5	NONE	PASS	1159487		/workspace/vm-m4b-speculative/c5-results/.arm_locks/prefill__f5.lock	2026-09-08T07:57:42+00:00-pid1159487	2026-09-08T07:57:42+00:00	692	692	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	cdf87d5f366b6db2d8360da07af6c27d71158ffbd5e2b16dd9258f07f2e73cfa	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	2026-09-10T13:46:01+00:00
prefill	F7	10	PASS	1174507		/workspace/vm-m4b-speculative/c5-results/.arm_locks/prefill__f7_lseg10.lock	2026-09-08T08:09:28+00:00-pid1174507	2026-09-08T08:09:28+00:00	692	692	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	dee876d571a8532585e21e92248085ca6868351ed1552d03d334d66cac6af8b6	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	2026-09-10T13:46:01+00:00
prefill	F7	20	PASS	2916742		/workspace/vm-m4b-speculative/c5-results/.arm_locks/prefill__f7_lseg20.lock	2026-09-09T07:18:36+00:00-pid2916742	2026-09-09T07:18:36+00:00	692	692	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	0745bed01fdd395a2a55915d3315afc7b04a21124ff3bfad1cb670a3d229d2ad	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	2026-09-10T13:46:02+00:00
prefill	F7	5	PASS	2681155		/workspace/vm-m4b-speculative/c5-results/.arm_locks/prefill__f7_lseg5.lock	2026-09-09T04:00:36+00:00-pid2681155	2026-09-09T04:00:36+00:00	692	692	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	28c6c1823cb75e56250023dd269790d7438b43cb16a803003d332f06c13e4059	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	2026-09-10T13:46:02+00:00
prefill	F8	10	PASS	1884093		/workspace/vm-m4b-speculative/c5-results/.arm_locks/prefill__f8_lseg10.lock	2026-09-08T17:47:29+00:00-pid1884093	2026-09-08T17:47:29+00:00	692	692	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	c51a1a4c9c60e1b805c48e34e7bbec934ed74647702714b13642e7a6a19f493e	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	2026-09-10T13:46:03+00:00
prefill	F8	20	PASS	3238897		/workspace/vm-m4b-speculative/c5-results/.arm_locks/prefill__f8_lseg20.lock	2026-09-09T12:12:37+00:00-pid3238897	2026-09-09T12:12:37+00:00	692	692	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	48206c1dd80e2a66f231e7d24aeb202f65ea1d7ea22d7798c86ae95b6e9184ba	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	2026-09-10T13:46:03+00:00
prefill	F8	5	PASS	2927900		/workspace/vm-m4b-speculative/c5-results/.arm_locks/prefill__f8_lseg5.lock	2026-09-09T07:27:26+00:00-pid2927900	2026-09-09T07:27:26+00:00	692	692	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	a032d783866a802a23c7d518214addda5562b1976655ff48efd9a5c86adf391b	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	2026-09-10T13:46:04+00:00
prefill	F9	NONE	PASS	2073442		/workspace/vm-m4b-speculative/c5-results/.arm_locks/prefill__f9.lock	2026-09-08T20:06:31+00:00-pid2073442	2026-09-08T20:06:31+00:00	692	692	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	9b9b30b68a9541b77e5685d6567240b6aef71ae456bb0b163b44843247eb09f5	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	2026-09-10T13:46:05+00:00
