roi	arm	lseg	terminal_status	attempt	run_dir	simulator_exit	kernel_markers	expected_kernels	telemetry_records	raw_log_sha256	validation_json	failure_summary
decode1	F9	NONE	PASS	1	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f9	0	740	740	740	b8628dae1c47866a0d739f07c921d89d64722f62e5eefbe0d45b4ffadd253d8c	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/decode1/f9/C12_ARM_VALIDATION.json	
prefill	F0	NONE	PASS	1	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0	0	692	692	692	8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f0/C12_ARM_VALIDATION.json	
prefill	F1	NONE	PENDING	0	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f1	NOT_RUN	NOT_RUN	692	NOT_RUN	NOT_RUN	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f1/C12_ARM_VALIDATION.json	
prefill	F2	NONE	PENDING	0	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f2	NOT_RUN	NOT_RUN	692	NOT_RUN	NOT_RUN	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f2/C12_ARM_VALIDATION.json	
prefill	F5	NONE	PENDING	0	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f5	NOT_RUN	NOT_RUN	692	NOT_RUN	NOT_RUN	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f5/C12_ARM_VALIDATION.json	
prefill	F7	10	PENDING	0	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f7_lseg10	NOT_RUN	NOT_RUN	692	NOT_RUN	NOT_RUN	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f7_lseg10/C12_ARM_VALIDATION.json	
prefill	F7	20	PENDING	0	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f7_lseg20	NOT_RUN	NOT_RUN	692	NOT_RUN	NOT_RUN	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f7_lseg20/C12_ARM_VALIDATION.json	
prefill	F7	5	PENDING	0	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f7_lseg5	NOT_RUN	NOT_RUN	692	NOT_RUN	NOT_RUN	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f7_lseg5/C12_ARM_VALIDATION.json	
prefill	F8	10	PENDING	0	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f8_lseg10	NOT_RUN	NOT_RUN	692	NOT_RUN	NOT_RUN	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f8_lseg10/C12_ARM_VALIDATION.json	
prefill	F8	20	PENDING	0	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f8_lseg20	NOT_RUN	NOT_RUN	692	NOT_RUN	NOT_RUN	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f8_lseg20/C12_ARM_VALIDATION.json	
prefill	F8	5	PENDING	0	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f8_lseg5	NOT_RUN	NOT_RUN	692	NOT_RUN	NOT_RUN	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f8_lseg5/C12_ARM_VALIDATION.json	
prefill	F9	NONE	PENDING	0	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f9	NOT_RUN	NOT_RUN	692	NOT_RUN	NOT_RUN	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN/prefill/f9/C12_ARM_VALIDATION.json	
