workload,variant,runtime_core_sha,runtime_framework_sha,runtime_config_composite_sha256,trace_identity,trace_sha256,raw_log_uncompressed_sha256,parser_success,required_parsed_artifacts,terminal_clean,payload_consistency
sgemm,B0-Legacy,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sgemm/_i___data_medium_input_matrix1_txt___data_medium_input_matrix2t_txt___data_medium_input_matrix2t_txt__o_matrix3_txt/traces/kernelslist.g,0a0d21711ff3f3de1604fc0a243d5be2df5155147bb09bc4533bd017b62f5913,ed67a42e1963b61d8e44fd144e700fe2844d76bfacbb0c9f575e3f3747a22f16,True,True,True,True
spmv,B0-Legacy,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-spmv/_i___data_large_input_Dubcova3_mtx_bin___data_large_input_vector_bin__o_Dubcova3_mtx_out/traces/kernelslist.g,da1065944705e52eb270304233f0865cf80f7618b5597f73af7096d20a194394,50fb2cca35014c40fa5b4df83d9bef11c08eb50c1a6291a73cddfe2c636ffba1,True,True,True,True
vectorAdd_4M,B0-Legacy,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/vectorAdd/__size_4000000/traces/kernelslist.g,755319919723f68f25aa7c64b9bdcaf5699b9aca38e7b664825e81d49f306e9a,53dd1c67a19203ed1fca84cea87fd2aade8d4b6daf80d1bdc85b45bebd12bc91,True,True,True,True
3mm,B0-Banked,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-3mm/NO_ARGS/traces/kernelslist.g,024b84b0fa33cfe4c63f026fd9be21469c7dd1d48ff4d6594ac613ee361d9fa8,657a9ce102755b7e6a2e79dd43bedc68501d97d898a7e3e5724bc2de8876b7b9,True,True,True,True
FWT_11_19,B0-Banked,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_11__logD_19/traces/kernelslist.g,a91e2655cd672585257294d09834e7d6647350e6c9ece7769fea5cb38fb6d6f2,be32157bb48c2923f37b03a0e225b27791b733e9141a8548bdb524f273240eea,True,True,True,True
FWT_7_21,B0-Banked,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_7__logD_21/traces/kernelslist.g,9dfd2639f6660bef2feac69405597380835d4d08f1e0bdb9dd9b2022ed1a0f26,9ff27c5256fdfa1d90c12aeff9ca7d62fbec24eca101b7b6ab73e242ee086973,True,True,True,True
btree,B0-Banked,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt/traces/kernelslist.g,26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467,84bb79a67281c77c0e0293f243efb312364a51b45ed173e714f45f057443b63f,True,True,True,True
cfd_097k,B0-Banked,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/cfd-rodinia-3.1/__data_fvcorr_domn_097K/traces/kernelslist.g,ce71e70525c6299a6be1bae3790b0eeb0417e1f4608cbd10e706c0a14fdd6b46,2302f50cfbe162d76c89a50c3602d4dec719b06d383950ef80ef7562c5363d33,True,True,True,True
convolutionSeparable,B0-Banked,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/convolutionSeparable/__size_3072/traces/kernelslist.g,ab2290810368438cabf35a3c0fcb9686473aaa2235607a6e2bc0347f651ff484,efb18c1229a22bdca7302fd8d4847ca0f90bb03f455254168c72bd8b739490d4,True,True,True,True
dwt2d,B0-Banked,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/dwt2d-rodinia-3.1/__data_rgb_bmp__d_1024x1024__f__5__l_3/traces/kernelslist.g,337087fedad435cd92cbd7e0f962f90d567ec9e77038fd8150977b7c6beb7164,1b657906542ccc310edc5e21121fe80b28222c0d921fa35cb3c10af5f9734a64,True,True,True,True
gemm,B0-Banked,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-gemm/NO_ARGS/traces/kernelslist.g,fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057,81b3c61559c6204b3c7703e1c70aa2abe2bfd71d74bee390b244b75e08dfdc4d,True,True,True,True
sad,B0-Banked,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sad/_i___data_default_input_reference_bin___data_default_input_frame_bin__o_out_bin/traces/kernelslist.g,36c0931b5a7cd780dc16fd5466cba2ed31d4a2c1dbf062721f55bbcef1d7a2a8,7e1b13958c77214cdce6d618c531bc478571af8fd3d005b1cb8a857d2519a94c,True,True,True,True
scan,B0-Banked,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/scan/NO_ARGS/traces/kernelslist.g,6e8572dff8fa6ff912fce3f834009d2e62ace23e3671d083bd901d42af6bcee8,5d3020ed078d80289902511d9bdac6b6034680cbf66c238a121326f12a5531ff,True,True,True,True
sgemm,B0-Banked,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sgemm/_i___data_medium_input_matrix1_txt___data_medium_input_matrix2t_txt___data_medium_input_matrix2t_txt__o_matrix3_txt/traces/kernelslist.g,0a0d21711ff3f3de1604fc0a243d5be2df5155147bb09bc4533bd017b62f5913,aee890de74d153060fc829a6dbdee7304d51a1696bcfeb45f436aa47c2d0dd9f,True,True,True,True
spmv,B0-Banked,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-spmv/_i___data_large_input_Dubcova3_mtx_bin___data_large_input_vector_bin__o_Dubcova3_mtx_out/traces/kernelslist.g,da1065944705e52eb270304233f0865cf80f7618b5597f73af7096d20a194394,d3ec5fcd92930ccc13ce08b4964c870a5fc2f1ff2c2f77c35e2d5a9af926d868,True,True,True,True
vectorAdd_4M,B0-Banked,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,f08d2ce857972fad73c4e1ab7162ba94c6336507,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/vectorAdd/__size_4000000/traces/kernelslist.g,755319919723f68f25aa7c64b9bdcaf5699b9aca38e7b664825e81d49f306e9a,40a4fcdd0795016149cbf7c78998f5a11ddd9b6715c2f8e6f303cbd1b2808c66,True,True,True,True
