workload	variant	status	terminal_cycles	terminal_instructions	runtime_core_sha	runtime_framework_sha	runtime_config_composite_sha256	trace_identity	analysis_framework_sha	lane_d_v3_cardinality_status	native_dram_snapshot_status
gemm	B0-Banked	COMPLETE_VALID	556340	739246080	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-gemm/NO_ARGS/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
sad	B0-Legacy	COMPLETE_VALID	110653	157583646	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sad/_i___data_default_input_reference_bin___data_default_input_frame_bin__o_out_bin/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
sad	B0-Banked	COMPLETE_VALID	110653	157583646	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sad/_i___data_default_input_reference_bin___data_default_input_frame_bin__o_out_bin/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
scan	B0-Legacy	COMPLETE_VALID	2157997	1963460720	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/scan/NO_ARGS/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
scan	B0-Banked	COMPLETE_VALID	2157997	1963460720	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/scan/NO_ARGS/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
sgemm	B0-Legacy	COMPLETE_VALID	353756	1658916864	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sgemm/_i___data_medium_input_matrix1_txt___data_medium_input_matrix2t_txt___data_medium_input_matrix2t_txt__o_matrix3_txt/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
sgemm	B0-Banked	COMPLETE_VALID	353756	1658916864	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sgemm/_i___data_medium_input_matrix1_txt___data_medium_input_matrix2t_txt___data_medium_input_matrix2t_txt__o_matrix3_txt/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
spmv	B0-Legacy	COMPLETE_VALID	23453	21131849	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-spmv/_i___data_large_input_Dubcova3_mtx_bin___data_large_input_vector_bin__o_Dubcova3_mtx_out/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
spmv	B0-Banked	COMPLETE_VALID	23453	21131849	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-spmv/_i___data_large_input_Dubcova3_mtx_bin___data_large_input_vector_bin__o_Dubcova3_mtx_out/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
vectorAdd_4M	B0-Legacy	COMPLETE_VALID	73325	56000000	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/vectorAdd/__size_4000000/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
vectorAdd_4M	B0-Banked	COMPLETE_VALID	73325	56000000	ece1a3a77c5628763e0a4605bfd1c639ee6a1495	f08d2ce857972fad73c4e1ab7162ba94c6336507	85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/vectorAdd/__size_4000000/traces/kernelslist.g	cb83606eb8640382b7c1932d8981b70608d9d130	PASS_FULL_WINDOWS_ONLY	PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT
