arm	export	record_rows	provenance
prefill-ideal	WINDOW_MEMORY_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-ideal	L1D_OBJECT_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-ideal	L1D_FAIL_PRESSURE.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-ideal	L2_REQUEST_CLASS_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-ideal	L2_QUEUE_PRESSURE.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-ideal	L2_CLASS_REPLACEMENT_MATRIX.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-ideal	DRAM_REQUEST_CLASS_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-ideal	CROSS_LAYER_OUTCOME_MATRIX.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-ideal	NATIVE_MEMORY_SYSTEM_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-generic	KERNEL_MEMORY_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-generic	WINDOW_MEMORY_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-generic	L1D_OBJECT_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-generic	L1D_FAIL_PRESSURE.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-generic	L2_REQUEST_CLASS_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-generic	L2_QUEUE_PRESSURE.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-generic	L2_CLASS_REPLACEMENT_MATRIX.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-generic	DRAM_REQUEST_CLASS_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-generic	CROSS_LAYER_OUTCOME_MATRIX.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
prefill-generic	NATIVE_MEMORY_SYSTEM_STATS.tsv	NOT_SCANNED_LOW_RESOURCE	header+first-record provenance validated
