profile	object_class	translation_source	l1d_outcome	l2_outcome	count
generic	DATA_UNKNOWN	UNOBSERVED	MISS	HIT	4175967
generic	DATA_UNKNOWN	UNOBSERVED	MISS	MISS	11557420
generic	DATA_UNKNOWN	UNOBSERVED	MISS	NOT_OBSERVED	20619675
generic	DATA_UNKNOWN	UNOBSERVED	MISS	RESERVATION_FAIL	834814
generic	DATA_WEIGHT	L1_TLB_HIT	HIT	NOT_OBSERVED	448
generic	DATA_WEIGHT	L1_TLB_HIT	MISS	HIT	9826
generic	DATA_WEIGHT	L1_TLB_HIT	MISS	MISS	3528892
generic	DATA_WEIGHT	L1_TLB_HIT	MISS	NOT_OBSERVED	3538718
generic	DATA_WEIGHT	L1_TLB_HIT	MISS	RESERVATION_FAIL	8559
generic	DATA_WEIGHT	L2_TLB_HIT	MISS	HIT	83
generic	DATA_WEIGHT	L2_TLB_HIT	MISS	MISS	7023
generic	DATA_WEIGHT	L2_TLB_HIT	MISS	NOT_OBSERVED	7106
generic	DATA_WEIGHT	L2_TLB_HIT	MISS	RESERVATION_FAIL	14
generic	DATA_WEIGHT	PTW	MISS	HIT	15
generic	DATA_WEIGHT	PTW	MISS	MISS	10065
generic	DATA_WEIGHT	PTW	MISS	NOT_OBSERVED	10080
generic	DATA_WEIGHT	PTW	MISS	RESERVATION_FAIL	2859
paper	DATA_KV_CACHE	L1_TLB_HIT	HIT	NOT_OBSERVED	68460
paper	DATA_KV_CACHE	L1_TLB_HIT	MISS	HIT	424290
paper	DATA_KV_CACHE	L1_TLB_HIT	MISS	MISS	223035
paper	DATA_KV_CACHE	L1_TLB_HIT	MISS	NOT_OBSERVED	683803
paper	DATA_KV_CACHE	L1_TLB_HIT	MISS	RESERVATION_FAIL	907
paper	DATA_KV_CACHE	L2_TLB_HIT	MISS	HIT	437
paper	DATA_KV_CACHE	L2_TLB_HIT	MISS	MISS	5699
paper	DATA_KV_CACHE	L2_TLB_HIT	MISS	NOT_OBSERVED	6136
paper	DATA_KV_CACHE	PTW	MISS	MISS	1841
paper	DATA_KV_CACHE	PTW	MISS	NOT_OBSERVED	1841
paper	DATA_UNKNOWN	L1_TLB_HIT	HIT	HIT	237
paper	DATA_UNKNOWN	L1_TLB_HIT	HIT	NOT_OBSERVED	45603403
paper	DATA_UNKNOWN	L1_TLB_HIT	MISS	HIT	15818057
paper	DATA_UNKNOWN	L1_TLB_HIT	MISS	MISS	425176
paper	DATA_UNKNOWN	L1_TLB_HIT	MISS	NOT_OBSERVED	20243514
paper	DATA_UNKNOWN	L1_TLB_HIT	MISS	RESERVATION_FAIL	407177
paper	DATA_UNKNOWN	L2_TLB_HIT	MISS	HIT	1534
paper	DATA_UNKNOWN	L2_TLB_HIT	MISS	MISS	15240
paper	DATA_UNKNOWN	L2_TLB_HIT	MISS	NOT_OBSERVED	16774
paper	DATA_UNKNOWN	PTW	MISS	HIT	13
paper	DATA_UNKNOWN	PTW	MISS	MISS	1324
paper	DATA_UNKNOWN	PTW	MISS	NOT_OBSERVED	1337
paper	DATA_UNKNOWN	PTW	MISS	RESERVATION_FAIL	557
paper	DATA_UNKNOWN	UNOBSERVED	HIT	HIT	18
paper	DATA_UNKNOWN	UNOBSERVED	HIT	NOT_OBSERVED	46667914
paper	DATA_UNKNOWN	UNOBSERVED	MISS	HIT	3288835
paper	DATA_UNKNOWN	UNOBSERVED	MISS	MISS	11578009
paper	DATA_UNKNOWN	UNOBSERVED	MISS	NOT_OBSERVED	18547994
paper	DATA_UNKNOWN	UNOBSERVED	MISS	RESERVATION_FAIL	830670
paper	DATA_UNKNOWN	UNOBSERVED	RESERVATION_FAIL	NOT_OBSERVED	495
paper	DATA_WEIGHT	L1_TLB_HIT	HIT	NOT_OBSERVED	448
paper	DATA_WEIGHT	L1_TLB_HIT	MISS	HIT	9526
paper	DATA_WEIGHT	L1_TLB_HIT	MISS	MISS	3529920
paper	DATA_WEIGHT	L1_TLB_HIT	MISS	NOT_OBSERVED	3539446
paper	DATA_WEIGHT	L1_TLB_HIT	MISS	RESERVATION_FAIL	70035
paper	DATA_WEIGHT	L1_TLB_HIT	RESERVATION_FAIL	NOT_OBSERVED	215
paper	DATA_WEIGHT	L2_TLB_HIT	MISS	HIT	82
paper	DATA_WEIGHT	L2_TLB_HIT	MISS	MISS	6834
paper	DATA_WEIGHT	L2_TLB_HIT	MISS	NOT_OBSERVED	6916
paper	DATA_WEIGHT	L2_TLB_HIT	MISS	RESERVATION_FAIL	819
paper	DATA_WEIGHT	PTW	MISS	HIT	39
paper	DATA_WEIGHT	PTW	MISS	MISS	9503
paper	DATA_WEIGHT	PTW	MISS	NOT_OBSERVED	9542
paper	DATA_WEIGHT	PTW	MISS	RESERVATION_FAIL	4608
