metric	disabled	ideal	generic	paper	generic_vs_ideal_ratio	paper_vs_ideal_ratio
vm_l2_tlb_lookup_latency_cycles	NOT_AVAILABLE	NOT_AVAILABLE	80	80	NOT_AVAILABLE	NOT_AVAILABLE
vm_l2_tlb_lookup_launches	NOT_AVAILABLE	NOT_AVAILABLE	69483	57926	NOT_AVAILABLE	NOT_AVAILABLE
vm_l2_tlb_lookup_service_cycles	NOT_AVAILABLE	NOT_AVAILABLE	5558640	4634080	NOT_AVAILABLE	NOT_AVAILABLE
vm_l2_tlb_misses	NOT_AVAILABLE	NOT_AVAILABLE	23805	22408	NOT_AVAILABLE	NOT_AVAILABLE
vm_l2_tlb_occupancy	NOT_AVAILABLE	NOT_AVAILABLE	768	768	NOT_AVAILABLE	NOT_AVAILABLE
vm_l2_tlb_port_stalls	NOT_AVAILABLE	NOT_AVAILABLE	632037	313232	NOT_AVAILABLE	NOT_AVAILABLE
vm_l2_tlb_replacement_incoming_KV_CACHE_victim_KV_CACHE	NOT_AVAILABLE	NOT_AVAILABLE	0	0	NOT_AVAILABLE	NOT_AVAILABLE
vm_l2_tlb_replacement_incoming_KV_CACHE_victim_UNKNOWN	NOT_AVAILABLE	NOT_AVAILABLE	0	0	NOT_AVAILABLE	NOT_AVAILABLE
vm_l2_tlb_replacement_incoming_KV_CACHE_victim_WEIGHT	NOT_AVAILABLE	NOT_AVAILABLE	86	86	NOT_AVAILABLE	NOT_AVAILABLE
vm_l2_tlb_replacement_incoming_UNKNOWN_victim_KV_CACHE	NOT_AVAILABLE	NOT_AVAILABLE	0	1	NOT_AVAILABLE	NOT_AVAILABLE
vm_l2_tlb_replacement_incoming_UNKNOWN_victim_UNKNOWN	NOT_AVAILABLE	NOT_AVAILABLE	1	0	NOT_AVAILABLE	NOT_AVAILABLE
vm_l2_tlb_replacement_incoming_UNKNOWN_victim_WEIGHT	NOT_AVAILABLE	NOT_AVAILABLE	98	98	NOT_AVAILABLE	NOT_AVAILABLE
vm_l2_tlb_replacement_incoming_WEIGHT_victim_KV_CACHE	NOT_AVAILABLE	NOT_AVAILABLE	109	108	NOT_AVAILABLE	NOT_AVAILABLE
vm_l2_tlb_replacement_incoming_WEIGHT_victim_UNKNOWN	NOT_AVAILABLE	NOT_AVAILABLE	138	136	NOT_AVAILABLE	NOT_AVAILABLE
vm_l2_tlb_replacement_incoming_WEIGHT_victim_WEIGHT	NOT_AVAILABLE	NOT_AVAILABLE	14494	14494	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_completed	NOT_AVAILABLE	NOT_AVAILABLE	1769354	1807845	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_l1_hits	NOT_AVAILABLE	NOT_AVAILABLE	1758477	1799575	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_l1_lookup_launches	NOT_AVAILABLE	NOT_AVAILABLE	1769354	1807845	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_l1_misses	NOT_AVAILABLE	NOT_AVAILABLE	10877	8270	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_l2_fills	NOT_AVAILABLE	NOT_AVAILABLE	109	109	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_l2_hits	NOT_AVAILABLE	NOT_AVAILABLE	8656	6300	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_l2_lookup_launches	NOT_AVAILABLE	NOT_AVAILABLE	10877	8270	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_l2_misses	NOT_AVAILABLE	NOT_AVAILABLE	2221	1970	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_mshr_allocations	NOT_AVAILABLE	NOT_AVAILABLE	111	111	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_mshr_merges	NOT_AVAILABLE	NOT_AVAILABLE	2110	1859	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_pte_dram_responses	NOT_AVAILABLE	NOT_AVAILABLE	53	53	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_pte_l2_only_responses	NOT_AVAILABLE	NOT_AVAILABLE	60	59	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_pte_memory_wait_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	535	891	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_pte_memory_wait_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	37647	37413	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_pte_requests	NOT_AVAILABLE	NOT_AVAILABLE	113	112	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_pwc_accesses	NOT_AVAILABLE	NOT_AVAILABLE	333	333	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_pwc_hits	NOT_AVAILABLE	NOT_AVAILABLE	331	332	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_pwc_misses	NOT_AVAILABLE	NOT_AVAILABLE	2	1	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_requester_latency_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	1037	1053	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_requester_latency_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	19068056	19294935	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_requester_mshr_wait_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	947	963	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_requester_mshr_wait_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	488549	539837	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_translation_requesters	NOT_AVAILABLE	NOT_AVAILABLE	1769354	1807845	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_unique_translation_keys	NOT_AVAILABLE	NOT_AVAILABLE	82	82	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_KV_CACHE_walk_starts	NOT_AVAILABLE	NOT_AVAILABLE	111	111	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_completed	NOT_AVAILABLE	NOT_AVAILABLE	66133118	66133019	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_l1_hits	NOT_AVAILABLE	NOT_AVAILABLE	66104634	66112795	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_l1_lookup_launches	NOT_AVAILABLE	NOT_AVAILABLE	66133118	66133019	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_l1_misses	NOT_AVAILABLE	NOT_AVAILABLE	28484	20224	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_l2_fills	NOT_AVAILABLE	NOT_AVAILABLE	142	139	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_l2_hits	NOT_AVAILABLE	NOT_AVAILABLE	26170	18337	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_l2_lookup_launches	NOT_AVAILABLE	NOT_AVAILABLE	28484	20224	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_l2_misses	NOT_AVAILABLE	NOT_AVAILABLE	2314	1887	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_mshr_allocations	NOT_AVAILABLE	NOT_AVAILABLE	139	136	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_mshr_merges	NOT_AVAILABLE	NOT_AVAILABLE	2175	1751	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_pte_dram_responses	NOT_AVAILABLE	NOT_AVAILABLE	82	82	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_pte_l2_only_responses	NOT_AVAILABLE	NOT_AVAILABLE	69	63	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_pte_memory_wait_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	480	5707	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_pte_memory_wait_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	61455	108730	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_pte_requests	NOT_AVAILABLE	NOT_AVAILABLE	151	145	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_pwc_accesses	NOT_AVAILABLE	NOT_AVAILABLE	417	408	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_pwc_hits	NOT_AVAILABLE	NOT_AVAILABLE	405	399	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_pwc_misses	NOT_AVAILABLE	NOT_AVAILABLE	12	9	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_requester_latency_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	1984	9089	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_requester_latency_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	664437695	663706853	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_requester_mshr_wait_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	1893	8999	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_requester_mshr_wait_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	783819	730849	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_translation_requesters	NOT_AVAILABLE	NOT_AVAILABLE	66133118	66133019	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_unique_translation_keys	NOT_AVAILABLE	NOT_AVAILABLE	92	89	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_UNKNOWN_walk_starts	NOT_AVAILABLE	NOT_AVAILABLE	139	136	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_completed	NOT_AVAILABLE	NOT_AVAILABLE	7942143	8081479	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_l1_hits	NOT_AVAILABLE	NOT_AVAILABLE	7912021	8052047	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_l1_lookup_launches	NOT_AVAILABLE	NOT_AVAILABLE	7942143	8081479	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_l1_misses	NOT_AVAILABLE	NOT_AVAILABLE	30122	29432	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_l2_fills	NOT_AVAILABLE	NOT_AVAILABLE	15443	15443	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_l2_hits	NOT_AVAILABLE	NOT_AVAILABLE	10852	10881	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_l2_lookup_launches	NOT_AVAILABLE	NOT_AVAILABLE	30122	29432	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_l2_misses	NOT_AVAILABLE	NOT_AVAILABLE	19270	18551	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_mshr_allocations	NOT_AVAILABLE	NOT_AVAILABLE	15444	15444	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_mshr_merges	NOT_AVAILABLE	NOT_AVAILABLE	3826	3107	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_pte_dram_responses	NOT_AVAILABLE	NOT_AVAILABLE	3947	3965	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_pte_l2_only_responses	NOT_AVAILABLE	NOT_AVAILABLE	11587	11564	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_pte_memory_wait_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	2839	7210	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_pte_memory_wait_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	4735899	6414047	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_pte_requests	NOT_AVAILABLE	NOT_AVAILABLE	15534	15529	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_pwc_accesses	NOT_AVAILABLE	NOT_AVAILABLE	46332	46332	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_pwc_hits	NOT_AVAILABLE	NOT_AVAILABLE	46242	46247	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_pwc_misses	NOT_AVAILABLE	NOT_AVAILABLE	90	85	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_requester_latency_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	2937	10094	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_requester_latency_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	90228076	91520056	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_requester_mshr_wait_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	2842	10004	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_requester_mshr_wait_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	7793168	8281802	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_translation_requesters	NOT_AVAILABLE	NOT_AVAILABLE	7942143	8081479	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_unique_translation_keys	NOT_AVAILABLE	NOT_AVAILABLE	15443	15443	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_WEIGHT_walk_starts	NOT_AVAILABLE	NOT_AVAILABLE	15444	15444	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_attribution_conservation_pass	NOT_AVAILABLE	NOT_AVAILABLE	1	1	NOT_AVAILABLE	NOT_AVAILABLE
vm_object_attribution_enabled	NOT_AVAILABLE	NOT_AVAILABLE	1	1	NOT_AVAILABLE	NOT_AVAILABLE
vm_pte_dram_responses	NOT_AVAILABLE	NOT_AVAILABLE	4082	4100	NOT_AVAILABLE	NOT_AVAILABLE
vm_pte_l2_only_responses	NOT_AVAILABLE	NOT_AVAILABLE	11716	11686	NOT_AVAILABLE	NOT_AVAILABLE
vm_pte_memory_wait_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	2839	7210	NOT_AVAILABLE	NOT_AVAILABLE
vm_pte_memory_wait_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	4835001	6560190	NOT_AVAILABLE	NOT_AVAILABLE
vm_pte_requests	NOT_AVAILABLE	NOT_AVAILABLE	15798	15786	NOT_AVAILABLE	NOT_AVAILABLE
vm_pte_response_misassociations	NOT_AVAILABLE	NOT_AVAILABLE	0	0	NOT_AVAILABLE	NOT_AVAILABLE
vm_pte_responses	NOT_AVAILABLE	NOT_AVAILABLE	15798	15786	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_accesses	NOT_AVAILABLE	NOT_AVAILABLE	47082	47073	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_entries_configured	NOT_AVAILABLE	NOT_AVAILABLE	128	128	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_evictions	NOT_AVAILABLE	NOT_AVAILABLE	0	0	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_hits	NOT_AVAILABLE	NOT_AVAILABLE	46978	46978	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_inserts	NOT_AVAILABLE	NOT_AVAILABLE	42	42	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_level_0_accesses	NOT_AVAILABLE	NOT_AVAILABLE	15694	15691	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_level_0_hits	NOT_AVAILABLE	NOT_AVAILABLE	15691	15689	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_level_0_misses	NOT_AVAILABLE	NOT_AVAILABLE	3	2	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_level_0_pte_requests_skipped	NOT_AVAILABLE	NOT_AVAILABLE	15691	15689	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_level_1_accesses	NOT_AVAILABLE	NOT_AVAILABLE	15694	15691	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_level_1_hits	NOT_AVAILABLE	NOT_AVAILABLE	15690	15688	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_level_1_misses	NOT_AVAILABLE	NOT_AVAILABLE	4	3	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_level_1_pte_requests_skipped	NOT_AVAILABLE	NOT_AVAILABLE	15690	15688	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_level_2_accesses	NOT_AVAILABLE	NOT_AVAILABLE	15694	15691	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_level_2_hits	NOT_AVAILABLE	NOT_AVAILABLE	15597	15601	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_level_2_misses	NOT_AVAILABLE	NOT_AVAILABLE	97	90	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_level_2_pte_requests_skipped	NOT_AVAILABLE	NOT_AVAILABLE	15597	15601	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_level_3_accesses	NOT_AVAILABLE	NOT_AVAILABLE	0	0	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_level_3_hits	NOT_AVAILABLE	NOT_AVAILABLE	0	0	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_level_3_misses	NOT_AVAILABLE	NOT_AVAILABLE	0	0	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_level_3_pte_requests_skipped	NOT_AVAILABLE	NOT_AVAILABLE	0	0	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_lookup_latency_cycles	NOT_AVAILABLE	NOT_AVAILABLE	1	1	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_misses	NOT_AVAILABLE	NOT_AVAILABLE	104	95	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_mode	NOT_AVAILABLE	NOT_AVAILABLE	1	1	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_occupancy	NOT_AVAILABLE	NOT_AVAILABLE	42	42	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_occupancy_high_watermark	NOT_AVAILABLE	NOT_AVAILABLE	42	42	NOT_AVAILABLE	NOT_AVAILABLE
vm_pwc_service_cycles	NOT_AVAILABLE	NOT_AVAILABLE	47082	47073	NOT_AVAILABLE	NOT_AVAILABLE
vm_requests	78714096	78714096	849554637	850521779	10.792916138	10.805202908
vm_translation_lookup_inflight_bypasses	NOT_AVAILABLE	NOT_AVAILABLE	688823676	688947013	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_lookup_requests	NOT_AVAILABLE	NOT_AVAILABLE	75844615	76022343	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_mshr_active	NOT_AVAILABLE	NOT_AVAILABLE	0	0	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_mshr_allocations	NOT_AVAILABLE	NOT_AVAILABLE	15694	15691	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_mshr_entries_completed	NOT_AVAILABLE	NOT_AVAILABLE	15694	15691	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_mshr_full_events	NOT_AVAILABLE	NOT_AVAILABLE	2301691	130257	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_mshr_lifetime_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	2842	10004	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_mshr_lifetime_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	6503060	7331345	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_mshr_merges	NOT_AVAILABLE	NOT_AVAILABLE	8111	6717	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_mshr_occupancy_high_watermark	NOT_AVAILABLE	NOT_AVAILABLE	32	32	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_mshr_waiter_depth_max	NOT_AVAILABLE	NOT_AVAILABLE	46	35	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_mshr_waiter_depth_total	NOT_AVAILABLE	NOT_AVAILABLE	23805	22408	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_page_size_bytes	NOT_AVAILABLE	NOT_AVAILABLE	65536	65536	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_pending_waiter_bypasses	NOT_AVAILABLE	NOT_AVAILABLE	9065536	9552488	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_pwq_full_events	NOT_AVAILABLE	NOT_AVAILABLE	0	0	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_pwq_occupancy	NOT_AVAILABLE	NOT_AVAILABLE	0	0	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_requester_completions	NOT_AVAILABLE	NOT_AVAILABLE	75844615	76022343	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_requester_l1_queue_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	0	0	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_requester_l1_queue_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	0	0	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_requester_l1_service_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	10	10	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_requester_l1_service_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	758446150	760223430	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_requester_l2_queue_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	45	34	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_requester_l2_queue_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	125098	73016	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_requester_l2_service_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	80	80	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_requester_l2_service_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	5558640	4634080	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_requester_latency_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	2937	10094	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_requester_latency_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	773733827	774521844	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_requester_mshr_wait_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	2842	10004	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_requester_mshr_wait_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	9065536	9552488	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_stall_cycles	0	0	773733827	774521844	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_waiter_registrations	NOT_AVAILABLE	NOT_AVAILABLE	23805	22408	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_waiter_wakeups	NOT_AVAILABLE	NOT_AVAILABLE	23805	22408	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_walk_completions	NOT_AVAILABLE	NOT_AVAILABLE	15694	15691	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_walk_starts	NOT_AVAILABLE	NOT_AVAILABLE	15694	15691	NOT_AVAILABLE	NOT_AVAILABLE
vm_translation_walkers_active	NOT_AVAILABLE	NOT_AVAILABLE	0	0	NOT_AVAILABLE	NOT_AVAILABLE
