workload	variant	raw_log_gz	raw_log_gz_sha256	maturity
sad	B0-Banked	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__sad/B0-Banked/sad/raw.log.gz	21ee8a9bd24846cfbec0a2d55a3a881505fb1a1c2d16f0d4dd59b271e6a926a2	PROMOTED_VALID_CALIBRATION
sad	B0-Legacy	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__sad/B0-Legacy/sad/raw.log.gz	c1a5d102d412e3239a56244ee5c2d11e0b08eeef60138e978b714ee2ebef1889	PROMOTED_VALID_CALIBRATION
scan	B0-Banked	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__scan/B0-Banked/scan/raw.log.gz	9fb0ab279fe017266145bea854b2b2cb10166729f67b106ab92187ad05868b96	PROMOTED_VALID_CALIBRATION
scan	B0-Legacy	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__scan/B0-Legacy/scan/raw.log.gz	dbc4ba8bc909db809f94e7f1b4790d2fea517214bac30a2aa10336c48a83066f	PROMOTED_VALID_CALIBRATION
sgemm	B0-Banked	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__sgemm/B0-Banked/sgemm/raw.log.gz	462f0afe0cb4872dd3ac6f9c970c98b715f32b7c3ef3669c8361b66175bf47db	PROMOTED_VALID_CALIBRATION
sgemm	B0-Legacy	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__sgemm/B0-Legacy/sgemm/raw.log.gz	65558936a4d705dcde6687610e07baa007276c6cbb197096115feaf824510b04	PROMOTED_VALID_CALIBRATION
spmv	B0-Banked	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__spmv/B0-Banked/spmv/raw.log.gz	4af7c6f86a9ab575b1cc62455a68d4bb733f35a5e2496ceb7173c168adc2b9b8	PROMOTED_VALID_CALIBRATION
spmv	B0-Legacy	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__spmv/B0-Legacy/spmv/raw.log.gz	5965433d9830571319c9a1898c4607e2c70b2c6581639dda8daafb979d2bdda9	PROMOTED_VALID_CALIBRATION
vectorAdd_4M	B0-Banked	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__vectorAdd_4M/B0-Banked/vectorAdd_4M/raw.log.gz	404f85d695295c4accafc3eac796347a93835a2f16a44f96d2b58828193a566f	PROMOTED_VALID_CALIBRATION
vectorAdd_4M	B0-Legacy	/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__vectorAdd_4M/B0-Legacy/vectorAdd_4M/raw.log.gz	ed78f4ac9b770da87e3639493eaffa8e4754312cd86009f976fe23631ea4c158	PROMOTED_VALID_CALIBRATION
