workload,variant,d512_status,maturity,d256_to_d512_speedup,d256_cycles,d256_descriptor_need,d256_descriptor_avg,d256_descriptor_p95,d256_descriptor_max,d256_descriptor_pool_full_block,d256_line_mshr_avg,d256_line_mshr_p95,d256_line_mshr_max,d256_line_mshr_full_block,d256_per_address_cap_block,d256_l1d_misses,d256_l1d_line_alloc_fail,d256_l1d_miss_queue_full,d256_wad_avg,d256_wad_p95,d256_wad_max,d256_wad_full_events,d256_resident_payload_avg,d256_resident_payload_p95,d256_resident_payload_max,d256_bank_logical_ops,d256_bank_true_conflict_ops,d256_bank_wait_cycles,d256_l2_to_dram_full_block,d256_scheduler_occ_avg,d256_scheduler_full_cycles,d256_dram_bandwidth_util,d256_dram_successful_read_bytes,d256_dram_successful_write_bytes,d512_cycles,d512_descriptor_need,d512_descriptor_avg,d512_descriptor_p95,d512_descriptor_max,d512_descriptor_pool_full_block,d512_line_mshr_avg,d512_line_mshr_p95,d512_line_mshr_max,d512_line_mshr_full_block,d512_per_address_cap_block,d512_l1d_misses,d512_l1d_line_alloc_fail,d512_l1d_miss_queue_full,d512_wad_avg,d512_wad_p95,d512_wad_max,d512_wad_full_events,d512_resident_payload_avg,d512_resident_payload_p95,d512_resident_payload_max,d512_bank_logical_ops,d512_bank_true_conflict_ops,d512_bank_wait_cycles,d512_l2_to_dram_full_block,d512_scheduler_occ_avg,d512_scheduler_full_cycles,d512_dram_bandwidth_util,d512_dram_successful_read_bytes,d512_dram_successful_write_bytes
convolutionSeparable,B0-Banked,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,0.993487583,290308,5865143,109,256,256,3373327,42,112,126,0,0,5215696,5179994,1460359,27,93,128,8266,969,1024,1024,2740470,0,0,3133633,66,1276637,0.651093299,75504448,69831744,292211,4941849,119,321,427,0,46,128,128,931416,0,5215296,5150930,1496702,28,102,128,3407,970,1024,1024,2729611,0,0,2455970,64,1243887,0.646697654,75503680,69797632
convolutionSeparable,B0-Legacy,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,0.993487583,290308,5865143,109,256,256,3373327,42,112,126,0,0,5215696,5179994,1460359,27,93,128,8266,969,1024,1024,0,0,0,3133633,66,1276637,0.651093299,75504448,69831744,292211,4941849,119,321,427,0,46,128,128,931416,0,5215296,5150930,1496702,28,102,128,3407,970,1024,1024,0,0,0,2455970,64,1243887,0.646697654,75503680,69797632
dwt2d,B0-Banked,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,1.000000000,166961,446140,15,104,233,0,4,28,59,0,0,1641970,0,1929192,8,48,128,74044,967,1024,1024,847374,0,0,0,17,161970,0.272531667,14015232,20971520,166961,446140,15,104,233,0,4,28,59,0,0,1641970,0,1929192,8,48,128,74044,967,1024,1024,847374,0,0,0,17,161970,0.272531667,14015232,20971520
dwt2d,B0-Legacy,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,1.000000000,166961,446140,15,104,233,0,4,28,59,0,0,1641970,0,1929192,8,48,128,74044,967,1024,1024,0,0,0,0,17,161970,0.272531667,14015232,20971520,166961,446140,15,104,233,0,4,28,59,0,0,1641970,0,1929192,8,48,128,74044,967,1024,1024,0,0,0,0,17,161970,0.272531667,14015232,20971520
gemm,B0-Banked,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,1.000000000,556340,162036,0,3,231,0,0,1,76,0,0,1615010,0,14259191,0,0,0,0,266,384,384,18346402,0,0,0,0,0,0.007353751,3145728,0,556340,162036,0,3,231,0,0,1,76,0,0,1615010,0,14259191,0,0,0,0,266,384,384,18346402,0,0,0,0,0,0.007353751,3145728,0
gemm,B0-Legacy,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,1.000000000,556340,162036,0,3,231,0,0,1,76,0,0,1615010,0,14259191,0,0,0,0,266,384,384,0,0,0,0,0,0,0.007353751,3145728,0,556340,162036,0,3,231,0,0,1,76,0,0,1615010,0,14259191,0,0,0,0,266,384,384,0,0,0,0,0,0,0.007353751,3145728,0
sad,B0-Banked,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,1.000000000,110653,6402,0,0,84,0,0,0,7,0,0,422873,0,340795,0,0,10,0,301,962,1024,188826,0,0,0,0,0,0.006725926,63456,508800,110653,6402,0,0,84,0,0,0,7,0,0,422873,0,340795,0,0,10,0,301,962,1024,188826,0,0,0,0,0,0.006725926,63456,508800
sad,B0-Legacy,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,1.000000000,110653,6402,0,0,84,0,0,0,7,0,0,422873,0,340795,0,0,10,0,301,962,1024,0,0,0,0,0,0,0.006725926,63456,508800,110653,6402,0,0,84,0,0,0,7,0,0,422873,0,340795,0,0,10,0,301,962,1024,0,0,0,0,0,0,0.006725926,63456,508800
scan,B0-Banked,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,0.997522830,2157997,83641439,207,256,256,60513316,60,82,113,0,0,35947209,471629,38533635,57,108,128,2318944,1019,1024,1024,28244978,0,0,62160071,111,18691183,0.818652729,684980256,673405056,2163356,80226602,237,322,399,0,67,95,128,19,0,35947187,483274,38110564,64,110,128,2673263,1019,1024,1024,28244350,0,0,58792353,111,18868498,0.816627838,684984960,673405440
scan,B0-Legacy,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,0.997522830,2157997,83641439,207,256,256,60513316,60,82,113,0,0,35947209,471629,38533635,57,108,128,2318944,1019,1024,1024,0,0,0,62160071,111,18691183,0.818652729,684980256,673405056,2163356,80226602,237,322,399,0,67,95,128,19,0,35947187,483274,38110564,64,110,128,2673263,1019,1024,1024,0,0,0,58792353,111,18868498,0.816627838,684984960,673405440
sgemm,B0-Banked,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,1.000000000,353756,1162247,5,30,120,0,0,3,22,0,1409,2452480,0,331698,0,0,0,0,521,1024,1024,1819898,0,0,0,0,0,0.046244951,12578816,0,353756,1162247,5,30,120,0,0,3,22,0,1409,2452480,0,331698,0,0,0,0,521,1024,1024,1819898,0,0,0,0,0,0.046244951,12578816,0
sgemm,B0-Legacy,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,1.000000000,353756,1162247,5,30,120,0,0,3,22,0,1409,2452480,0,331698,0,0,0,0,521,1024,1024,0,0,0,0,0,0,0.046244951,12578816,0,353756,1162247,5,30,120,0,0,3,22,0,1409,2452480,0,331698,0,0,0,0,521,1024,1024,0,0,0,0,0,0,0.046244951,12578816,0
spmv,B0-Banked,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,0.995458404,23453,755597,142,256,256,361635,41,87,99,0,8598,432620,0,73304,0,0,0,0,567,1024,1024,422502,0,0,348466,47,217,0.666052669,12010688,0,23560,696157,179,382,403,0,50,116,125,0,21040,432595,0,72693,0,0,0,0,576,1024,1024,420898,0,0,288174,47,124,0.663003081,12010688,0
spmv,B0-Legacy,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,0.995458404,23453,755597,142,256,256,361635,41,87,99,0,8598,432620,0,73304,0,0,0,0,567,1024,1024,0,0,0,348466,47,217,0.666052669,12010688,0,23560,696157,179,382,403,0,50,116,125,0,21040,432595,0,72693,0,0,0,0,576,1024,1024,0,0,0,288174,47,124,0.663003081,12010688,0
vectorAdd_4M,B0-Banked,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,0.992581863,73325,3176663,223,256,256,2176663,58,71,92,0,0,1500000,0,1263518,28,61,95,0,895,1024,1024,1000000,0,0,2176661,112,496563,0.795837193,32000000,12869632,73873,2724003,262,339,368,0,68,88,110,0,0,1500000,0,1249749,33,65,90,0,898,1024,1024,1000000,0,0,1724003,111,486133,0.789993871,32000000,12873472
vectorAdd_4M,B0-Legacy,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,0.992581863,73325,3176663,223,256,256,2176663,58,71,92,0,0,1500000,0,1263518,28,61,95,0,895,1024,1024,0,0,0,2176661,112,496563,0.795837193,32000000,12869632,73873,2724003,262,339,368,0,68,88,110,0,0,1500000,0,1249749,33,65,90,0,898,1024,1024,0,0,0,1724003,111,486133,0.789993871,32000000,12873472
