workload,variant,descriptor_capacity,native_dram_snapshot_status,native_dram_channels_observed,native_dram_data_bus_util_weighted_mean,native_dram_data_bus_util_p50,native_dram_data_bus_util_p95,native_dram_data_bus_util_max,native_dram_n_cmd_sum,source_dir
FWT_7_21,B0-Legacy,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.16291921875,0.162954,0.163558,0.163612,11857120,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/FWT_7_21
FWT_7_21,B0-Legacy,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.16208846875000005,0.162172,0.162602,0.162774,11913472,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__FWT_7_21/B0-Legacy/FWT_7_21
btree,B0-Banked,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.14431968750000002,0.144115,0.149822,0.150729,3033792,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/btree
btree,B0-Banked,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.14431968750000002,0.144115,0.149822,0.150729,3033792,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__btree/B0-Banked/btree
btree,B0-Legacy,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.14431968750000002,0.144115,0.149822,0.150729,3033792,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/btree
btree,B0-Legacy,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.14431968750000002,0.144115,0.149822,0.150729,3033792,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__btree/B0-Legacy/btree
cfd_097k,B0-Banked,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.17225362499999997,0.172025,0.173202,0.173595,1956928,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/cfd_097k
cfd_097k,B0-Banked,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.17225362499999997,0.172025,0.173202,0.173595,1956928,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__cfd_097k/B0-Banked/cfd_097k
cfd_097k,B0-Legacy,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.17629446875000002,0.176443,0.177314,0.177447,1911552,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/cfd_097k
cfd_097k,B0-Legacy,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.1767833125,0.176794,0.17807,0.178138,1904864,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__cfd_097k/B0-Legacy/cfd_097k
convolutionSeparable,B0-Banked,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6510933124999998,0.651066,0.651259,0.651342,6975584,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/convolutionSeparable
convolutionSeparable,B0-Banked,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6466976562499999,0.646689,0.646826,0.646844,7021312,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__convolutionSeparable/B0-Banked/convolutionSeparable
convolutionSeparable,B0-Legacy,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6510933124999998,0.651066,0.651259,0.651342,6975584,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/convolutionSeparable
convolutionSeparable,B0-Legacy,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6466976562499999,0.646689,0.646826,0.646844,7021312,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__convolutionSeparable/B0-Legacy/convolutionSeparable
dwt2d,B0-Banked,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.2725316875,0.27251,0.272733,0.272925,4011776,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/dwt2d
dwt2d,B0-Banked,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.2725316875,0.27251,0.272733,0.272925,4011776,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__dwt2d/B0-Banked/dwt2d
dwt2d,B0-Legacy,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.2725316875,0.27251,0.272733,0.272925,4011776,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/dwt2d
dwt2d,B0-Legacy,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.2725316875,0.27251,0.272733,0.272925,4011776,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__dwt2d/B0-Legacy/dwt2d
gemm,B0-Banked,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.007354000000000004,0.007354,0.007354,0.007354,13367872,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/gemm
gemm,B0-Banked,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.007354000000000004,0.007354,0.007354,0.007354,13367872,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__gemm/B0-Banked/gemm
gemm,B0-Legacy,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.007354000000000004,0.007354,0.007354,0.007354,13367872,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/gemm
gemm,B0-Legacy,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.007354000000000004,0.007354,0.007354,0.007354,13367872,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__gemm/B0-Legacy/gemm
sad,B0-Banked,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.006726125,0.006716,0.006824,0.006836,2658816,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/sad
sad,B0-Banked,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.006726125,0.006716,0.006824,0.006836,2658816,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__sad/B0-Banked/sad
sad,B0-Legacy,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.006726125,0.006716,0.006824,0.006836,2658816,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/sad
sad,B0-Legacy,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.006726125,0.006716,0.006824,0.006836,2658816,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__sad/B0-Legacy/sad
scan,B0-Banked,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.8186528124999998,0.818637,0.818721,0.818722,51852928,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/scan
scan,B0-Banked,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.8166278124999999,0.816612,0.816696,0.816699,51981696,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__scan/B0-Banked/scan
scan,B0-Legacy,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.8186528124999998,0.818637,0.818721,0.818722,51852928,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/scan
scan,B0-Legacy,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.8166278124999999,0.816612,0.816696,0.816699,51981696,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__scan/B0-Legacy/scan
sgemm,B0-Banked,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.046245000000000036,0.04623,0.04626,0.04626,8500128,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/sgemm
sgemm,B0-Banked,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.046245000000000036,0.04623,0.04626,0.04626,8500128,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__sgemm/B0-Banked/sgemm
sgemm,B0-Legacy,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.046245000000000036,0.04623,0.04626,0.04626,8500128,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/sgemm
sgemm,B0-Legacy,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.046245000000000036,0.04623,0.04626,0.04626,8500128,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__sgemm/B0-Legacy/sgemm
spmv,B0-Banked,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6660526249999998,0.665247,0.679557,0.685576,563520,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/spmv
spmv,B0-Banked,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6630031249999999,0.662201,0.676446,0.682437,566112,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__spmv/B0-Banked/spmv
spmv,B0-Legacy,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6660526249999998,0.665247,0.679557,0.685576,563520,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/spmv
spmv,B0-Legacy,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6630031249999999,0.662201,0.676446,0.682437,566112,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__spmv/B0-Legacy/spmv
vectorAdd_4M,B0-Banked,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.7958373750000001,0.795656,0.796818,0.797036,1761888,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/vectorAdd_4M
vectorAdd_4M,B0-Banked,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.7899938750000001,0.789746,0.791693,0.792991,1775072,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Banked__vectorAdd_4M/B0-Banked/vectorAdd_4M
vectorAdd_4M,B0-Legacy,256,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.7958373750000001,0.795656,0.796818,0.797036,1761888,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/vectorAdd_4M
vectorAdd_4M,B0-Legacy,512,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.7899938750000001,0.789746,0.791693,0.792991,1775072,/workspace/worktrees/accel-sim-ep-l2-d512/docs/ep_l2/calibration_results/d512_850/speculative_rows/B0-Legacy__vectorAdd_4M/B0-Legacy/vectorAdd_4M
