workload,variant,descriptor_capacity,cycles,instructions,wall_seconds,invariants_terminal_clean,invariants_payload_consistent,l1d_accesses,l1d_misses,l1d_line_alloc_fail,l1d_miss_queue_full,l1d_mshr_entry_fail,l1d_mshr_merge_fail,l1d_mshr_rw_pending,l1d_bank_latency_queue_conflict,tag_way_alloc_need,tag_way_alloc_block,tag_set_all_reserved_block,line_mshr_need,line_mshr_avg,line_mshr_p95,line_mshr_max,line_mshr_full_block,descriptor_need,descriptor_avg,descriptor_p95,descriptor_max,descriptor_pool_full_block,per_address_cap_check,per_address_cap_block,chain_depth_avg,chain_depth_p95,chain_depth_max,wad_avg,wad_p95,wad_max,wad_full_events,wad_hazard_events,wad_hazard_wait_cycles,resident_payload_avg,resident_payload_p95,resident_payload_max,resident_valid_avg,resident_dirty_avg,resident_pending_sector_avg,bypass_pending_avg,bypass_ready_avg,payload_service_port_denial,payload_capacity_allocation_denial,bank_logical_ops,bank_attempts,bank_grants,bank_retry_attempts,bank_true_conflict_ops,bank_true_conflict_events,bank_wait_cycles,missq_avg,missq_p95,missq_max,missq_full_block,l2_to_dram_full_block,dram_issue_attempt,dram_successful_read_issues,dram_successful_write_issues,dram_successful_read_bytes,dram_successful_write_bytes,scheduler_occ_avg,scheduler_occ_max,scheduler_full_cycles,scheduler_full_observed,scheduler_causal_block,returnq_occ_avg,returnq_occ_max,returnq_full_cycles,dram_to_l2_return_path_block,window_records,dram_bandwidth_util,bank_true_conflict_rate,bank0_logical_ops,bank0_grants,bank0_true_conflict_ops,bank0_wait_cycles,bank1_logical_ops,bank1_grants,bank1_true_conflict_ops,bank1_wait_cycles,bank2_logical_ops,bank2_grants,bank2_true_conflict_ops,bank2_wait_cycles,bank3_logical_ops,bank3_grants,bank3_true_conflict_ops,bank3_wait_cycles
dwt2d,B0-Legacy,512,166961,148684429,231.566,1,1,1704000,1641970,0,1929192,0,0,0,602591,306102,0,0,111818,4,28,59,0,446140,15,104,233,0,334322,0,3,4,9,8,48,128,74044,19521,19521,967,1024,1024,963,584,4,0,0,0,0,0,0,0,0,0,0,0,0,NOT_EMITTED,120,0,0,883065,437976,163840,14015232,20971520,17,128,161970,281249,281249,0,1,0,0,1056,0.272531667,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dwt2d,B0-Banked,512,166961,148684429,229.286,1,1,1704000,1641970,0,1929192,0,0,0,602591,306102,0,0,111818,4,28,59,0,446140,15,104,233,0,334322,0,3,4,9,8,48,128,74044,19521,19521,967,1024,1024,963,584,4,0,0,0,0,847374,847374,847374,0,0,0,0,0,NOT_EMITTED,120,0,0,883065,437976,163840,14015232,20971520,17,128,161970,281249,281249,0,1,0,0,1056,0.272531667,0.000000000,199200,199200,0,0,216376,216376,0,0,219144,219144,0,0,212654,212654,0,0
sad,B0-Legacy,512,110653,157583646,180.657,1,1,505098,422873,0,340795,0,0,0,17622,69907,0,0,848,0,0,7,0,6402,0,0,84,0,5554,0,5,16,16,0,0,10,0,0,0,301,962,1024,301,296,0,0,0,2,0,0,0,0,0,0,0,0,0,NOT_EMITTED,1,0,0,5958,1983,3975,63456,508800,0,10,0,0,0,0,1,0,0,704,0.006725926,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sad,B0-Banked,512,110653,157583646,358.643,1,1,505098,422873,0,340795,0,0,0,17622,69907,0,0,848,0,0,7,0,6402,0,0,84,0,5554,0,5,16,16,0,0,10,0,0,0,301,962,1024,301,296,0,0,0,0,0,188826,188826,188826,0,0,0,0,0,NOT_EMITTED,1,0,0,5958,1983,3975,63456,508800,0,10,0,0,0,0,1,0,0,704,0.006725926,0.000000000,40709,40709,0,0,46105,46105,0,0,51489,51489,0,0,50523,50523,0,0
sgemm,B0-Legacy,512,353756,1658916864,983.918,1,1,9698304,2452480,0,331698,0,0,0,329353,98272,0,0,116218,0,3,22,0,1162247,5,30,120,0,1046029,1409,6,16,32,0,0,0,0,0,0,521,1024,1024,520,13,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT_EMITTED,1,0,0,393088,393088,0,12578816,0,0,37,0,0,0,0,1,0,0,2240,0.046244951,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sgemm,B0-Banked,512,353756,1658916864,1580.268,1,1,9698304,2452480,0,331698,0,0,0,329353,98272,0,0,116218,0,3,22,0,1162247,5,30,120,0,1046029,1409,6,16,32,0,0,0,0,0,0,521,1024,1024,520,13,0,0,0,0,0,1819898,1819898,1819898,0,0,0,0,0,NOT_EMITTED,1,0,0,393088,393088,0,12578816,0,0,37,0,0,0,0,1,0,0,2240,0.046244951,0.000000000,457720,457720,0,0,443460,443460,0,0,465366,465366,0,0,453352,453352,0,0
btree,B0-Legacy,512,126259,444467849,308.137,1,1,4249841,1340267,0,233530,0,527591,0,346228,135047,0,0,139249,2,15,69,0,477174,9,48,253,0,337925,674,3,4,32,0,0,3,0,0,0,717,1004,1020,714,16,2,0,0,0,0,0,0,0,0,0,0,0,0,NOT_EMITTED,23,0,0,436600,436188,412,13958016,52736,3,92,0,0,0,0,1,0,0,800,0.144319716,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
btree,B0-Banked,512,126259,444467849,351.132,1,1,4249841,1340267,0,233530,0,527591,0,346228,135047,0,0,139249,2,15,69,0,477174,9,48,253,0,337925,674,3,4,32,0,0,3,0,0,0,717,1004,1020,714,16,2,0,0,0,0,1370834,1370834,1370834,0,0,0,0,0,NOT_EMITTED,23,0,0,436600,436188,412,13958016,52736,3,92,0,0,0,0,1,0,0,800,0.144319716,0.000000000,474909,474909,0,0,279352,279352,0,0,293926,293926,0,0,322647,322647,0,0
3mm,B0-Legacy,512,1661135,1813512192,6848.801,1,1,113344512,5214033,0,44771040,0,163888205,0,52725554,57344,0,0,106501,0,1,76,0,333799,0,1,248,0,227298,0,2,8,20,0,0,0,0,0,0,595,896,896,595,229,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT_EMITTED,22,0,0,229376,229376,0,7340032,0,0,47,0,0,0,0,1,0,0,10624,0.005746730,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3mm,B0-Banked,512,1661135,1813512192,8009.307,1,1,113344512,5214033,0,44771040,0,163888205,0,52725554,57344,0,0,106501,0,1,76,0,333799,0,1,248,0,227298,0,2,8,20,0,0,0,0,0,0,595,896,896,595,229,0,0,0,0,0,55249546,55249546,55249546,0,0,0,0,0,NOT_EMITTED,22,0,0,229376,229376,0,7340032,0,0,47,0,0,0,0,1,0,0,10624,0.005746730,0.000000000,13774746,13774746,0,0,22054435,22054435,0,0,5517508,5517508,0,0,13902857,13902857,0,0
gemm,B0-Legacy,512,556340,739246080,2513.843,1,1,37814272,1615010,0,14259191,0,58227284,0,18509661,24576,0,0,49152,0,1,76,0,162036,0,3,231,0,112884,0,2,8,20,0,0,0,0,0,0,266,384,384,266,100,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT_EMITTED,20,0,0,98304,98304,0,3145728,0,0,34,0,0,0,0,1,0,0,3552,0.007353751,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemm,B0-Banked,512,556340,739246080,2724.496,1,1,37814272,1615010,0,14259191,0,58227284,0,18509661,24576,0,0,49152,0,1,76,0,162036,0,3,231,0,112884,0,2,8,20,0,0,0,0,0,0,266,384,384,266,100,0,0,0,0,0,18346402,18346402,18346402,0,0,0,0,0,NOT_EMITTED,20,0,0,98304,98304,0,3145728,0,0,34,0,0,0,0,1,0,0,3552,0.007353751,0.000000000,4732635,4732635,0,0,12726218,12726218,0,0,445946,445946,0,0,441603,441603,0,0
FWT_7_21,B0-Legacy,512,495811,791609344,1516.878,1,1,10223616,5242880,0,19908236,5019508,0,0,9033221,748174,0,0,751269,7,81,117,0,2295101,27,280,383,0,1543832,0,3,4,4,5,53,110,0,296250,296250,999,1024,1024,992,928,7,0,0,0,0,0,0,0,0,0,0,0,6,NOT_EMITTED,128,1077737,1077737,2271722,1217364,178418,38955648,22837504,17,128,476126,875940,875940,0,1,0,0,3168,0.162088432,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FWT_7_21,B0-Banked,512,495811,791609344,1642.352,1,1,10223616,5242880,0,19908236,5019508,0,0,9033221,748174,0,0,751269,7,81,117,0,2295101,27,280,383,0,1543832,0,3,4,4,5,53,110,0,296250,296250,999,1024,1024,992,928,7,0,0,0,0,10223616,10223616,10223616,0,0,0,0,6,NOT_EMITTED,128,1077737,1077737,2271722,1217364,178418,38955648,22837504,17,128,476126,875940,875940,0,1,0,0,3168,0.162088432,0.000000000,2556596,2556596,0,0,2557872,2557872,0,0,2555668,2555668,0,0,2553480,2553480,0,0
FWT_11_19,B0-Legacy,512,171778,180944896,253.381,1,1,2162688,1114112,0,2682218,276838,0,0,1095037,54122,0,0,54122,2,0,108,0,222647,7,0,326,0,168525,0,3,4,4,0,0,0,0,0,0,412,512,512,410,405,2,0,0,0,0,0,0,0,0,0,0,0,2,NOT_EMITTED,128,91575,91575,131072,131072,0,4194304,0,0,47,0,0,0,0,1,0,0,1088,0.031755630,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FWT_11_19,B0-Banked,512,171778,180944896,263.755,1,1,2162688,1114112,0,2682218,276838,0,0,1095037,54122,0,0,54122,2,0,108,0,222647,7,0,326,0,168525,0,3,4,4,0,0,0,0,0,0,412,512,512,410,405,2,0,0,0,0,2162688,2162688,2162688,0,0,0,0,2,NOT_EMITTED,128,91575,91575,131072,131072,0,4194304,0,0,47,0,0,0,0,1,0,0,1088,0.031755630,0.000000000,540672,540672,0,0,540672,540672,0,0,540672,540672,0,0,540672,540672,0,0
